timestamped_line
[16:11:25] ▶ Starting baseline phase for 2.5 seconds...
[16:11:25] t (s) | A | B | C | D
[16:11:25] 0.050 | 38158 | 33514 | 63 | 28902
[16:11:25] 0.100 | 33542 | 28411 | 58 | 28915
[16:11:25] 0.150 | 31087 | 28602 | 56 | 28915
[16:11:25] 0.200 | 35297 | 28880 | 65 | 28922
[16:11:25] 0.250 | 33227 | 33684 | 67 | 28932
[16:11:25] 0.300 | 35716 | 30822 | 62 | 28954
[16:11:25] 0.350 | 28672 | 34651 | 60 | 28938
[16:11:25] 0.400 | 32163 | 34254 | 59 | 28916
[16:11:25] 0.450 | 34362 | 30982 | 64 | 28929
[16:11:25] 0.500 | 31886 | 35148 | 64 | 28924
[16:11:26] 0.550 | 38285 | 32375 | 52 | 28929
[16:11:26] 0.600 | 29574 | 34640 | 68 | 28938
[16:11:26] 0.650 | 27741 | 33612 | 65 | 28929
[16:11:26] 0.700 | 33673 | 37243 | 54 | 28937
[16:11:26] 0.750 | 32897 | 28448 | 61 | 28952
[16:11:26] 0.800 | 30359 | 30558 | 54 | 28944
[16:11:26] 0.850 | 29886 | 32481 | 55 | 28930
[16:11:26] 0.900 | 31005 | 31542 | 66 | 28917
[16:11:26] 0.950 | 34218 | 32125 | 53 | 28930
[16:11:26] 1.000 | 35008 | 31589 | 40 | 28919
[16:11:26] 1.050 | 29550 | 28480 | 46 | 28906
[16:11:26] 1.100 | 32524 | 37422 | 49 | 28918
[16:11:26] 1.150 | 32835 | 38314 | 60 | 28905
[16:11:26] 1.200 | 30201 | 31600 | 59 | 28911
[16:11:26] 1.250 | 31915 | 32135 | 68 | 28917
[16:11:26] 1.300 | 36519 | 30705 | 49 | 28914
[16:11:26] 1.350 | 36983 | 30265 | 50 | 28926
[16:11:26] 1.400 | 32589 | 37379 | 60 | 28917
[16:11:26] 1.450 | 35593 | 34454 | 51 | 28927
[16:11:26] 1.500 | 33289 | 34675 | 60 | 28922
[16:11:27] 1.550 | 32757 | 25676 | 66 | 28911
[16:11:27] 1.600 | 31036 | 31639 | 58 | 28914
[16:11:27] 1.650 | 34474 | 31151 | 61 | 28908
[16:11:27] 1.700 | 32941 | 30879 | 65 | 28927
