timestamped_line
[16:06:03] ▶ Starting baseline phase for 2.5 seconds...
[16:06:03] t (s) | A | B | C | D
[16:06:03] 0.050 | 33338 | 35451 | 53 | 41433
[16:06:03] 0.100 | 34326 | 37870 | 81 | 41386
[16:06:04] 0.150 | 39150 | 33155 | 69 | 41395
[16:06:04] 0.200 | 39891 | 35130 | 62 | 41418
[16:06:04] 0.250 | 37119 | 36044 | 64 | 41482
[16:06:04] 0.300 | 34934 | 33045 | 64 | 41491
[16:06:04] 0.350 | 32007 | 33946 | 62 | 41548
[16:06:04] 0.400 | 32698 | 32834 | 67 | 41553
[16:06:04] 0.450 | 37364 | 31869 | 70 | 41565
[16:06:04] 0.500 | 30977 | 31821 | 62 | 41598
[16:06:04] 0.550 | 33150 | 36814 | 58 | 41571
[16:06:04] 0.600 | 36373 | 32858 | 62 | 41492
[16:06:04] 0.650 | 30208 | 35861 | 74 | 41426
[16:06:04] 0.700 | 31009 | 35400 | 57 | 41421
[16:06:04] 0.750 | 32788 | 34597 | 65 | 41438
[16:06:04] 0.800 | 35627 | 34449 | 67 | 41507
[16:06:04] 0.850 | 31976 | 31302 | 56 | 41532
[16:06:04] 0.900 | 31246 | 28385 | 67 | 41548
[16:06:04] 0.950 | 33255 | 29541 | 58 | 41539
[16:06:04] 1.000 | 31406 | 32918 | 45 | 41501
[16:06:04] 1.050 | 29353 | 30326 | 59 | 41470
[16:06:04] 1.100 | 34248 | 35709 | 55 | 41486
[16:06:05] 1.150 | 34093 | 34553 | 71 | 41548
[16:06:05] 1.200 | 32102 | 32555 | 66 | 41595
[16:06:05] 1.250 | 32891 | 36365 | 69 | 41602
[16:06:05] 1.300 | 30963 | 36597 | 60 | 41589
[16:06:05] 1.350 | 34611 | 29993 | 64 | 41518
[16:06:05] 1.400 | 33535 | 32912 | 68 | 41525
[16:06:05] 1.450 | 34316 | 35784 | 71 | 41537
[16:06:05] 1.500 | 28294 | 35031 | 66 | 41549
[16:06:05] 1.550 | 32869 | 33735 | 76 | 41582
[16:06:05] 1.600 | 31257 | 31015 | 64 | 41591
[16:06:05] 1.650 | 38136 | 35734 | 66 | 41628
[16:06:05] 1.700 | 34042 | 29369 | 63 | 41660
[16:06:05] 1.750 | 31784 | 30777 | 59 | 41673
[16:06:05] 1.800 | 34735 | 32178 | 62 | 41645
[16:06:05] 1.850 | 32810 | 36026 | 62 | 41651
[16:06:05] 1.900 | 32848 | 32890 | 61 | 41638
[16:06:05] 1.950 | 33637 | 39048 | 68 | 41627
[16:06:05] 2.000 | 38697 | 33216 | 72 | 41628
[16:06:05] 2.050 | 29716 | 32959 | 67 | 41633
[16:06:05] 2.100 | 32561 | 31899 | 72 | 41652
[16:06:06] 2.150 | 31492 | 33719 | 66 | 41663
[16:06:06] 2.200 | 37457 | 35977 | 68 | 41661
[16:06:06] 2.250 | 30511 | 35300 | 63 | 41707
[16:06:06] 2.300 | 32346 | 33254 | 74 | 41739
[16:06:06] 2.350 | 29305 | 26319 | 64 | 41747
[16:06:06] 2.400 | 33895 | 29983 | 63 | 41793
[16:06:06] 2.450 | 35519 | 33663 | 63 | 41806
[16:06:06] 2.500 | 32645 | 28579 | 67 | 41834
[16:06:06] ✅ Baseline complete. Starting main recording for 10 seconds...
[16:06:06] 2.550 | 29235 | 28213 | 76 | 41852
[16:06:06] 0.050 | 27660 | 34489 | 62 | 41843
[16:06:06] 0.100 | 34974 | 28262 | 46 | 41834
[16:06:06] 0.150 | 28437 | 30284 | 56 | 41815
[16:06:06] 0.200 | 31723 | 32716 | 62 | 41846
[16:06:06] 0.250 | 31958 | 35711 | 65 | 41865
[16:06:06] 0.300 | 31428 | 32998 | 52 | 41896
[16:06:06] 0.350 | 31485 | 32177 | 66 | 41891
[16:06:06] 0.400 | 29296 | 30838 | 67 | 41880
[16:06:06] 0.450 | 33821 | 33924 | 70 | 41886
[16:06:06] 0.500 | 37847 | 24321 | 76 | 41880
[16:06:06] 0.550 | 33847 | 32131 | 64 | 41887
[16:06:07] 0.600 | 34030 | 29696 | 47 | 41857
[16:06:07] 0.650 | 32087 | 33174 | 64 | 41910
[16:06:07] 0.700 | 36720 | 30812 | 62 | 41903
[16:06:07] 0.750 | 31354 | 36093 | 57 | 41929
[16:06:07] 0.800 | 38819 | 34988 | 67 | 41929
[16:06:07] 0.850 | 33095 | 33654 | 57 | 41926
[16:06:07] 0.900 | 33096 | 31827 | 65 | 41930
[16:06:07] 0.950 | 33268 | 31651 | 65 | 41930
[16:06:07] 1.000 | 34713 | 36651 | 74 | 41896
[16:06:07] 1.050 | 33859 | 30695 | 68 | 41899
[16:06:07] 1.100 | 35670 | 29509 | 71 | 41927
[16:06:07] 1.150 | 31524 | 33473 | 71 | 41913
[16:06:07] 1.200 | 30898 | 35128 | 62 | 41914
[16:06:07] 1.250 | 33238 | 35209 | 53 | 41929
[16:06:07] 1.300 | 31397 | 27147 | 57 | 41875
[16:06:07] 1.350 | 34714 | 27003 | 57 | 41849
[16:06:07] 1.400 | 30686 | 33206 | 59 | 41834
[16:06:07] 1.450 | 34278 | 29180 | 64 | 41867
[16:06:07] 1.500 | 34603 | 31066 | 64 | 41921
[16:06:07] 1.550 | 34688 | 37073 | 59 | 41926
[16:06:08] 1.600 | 36772 | 31882 | 51 | 41950
[16:06:08] 1.650 | 33365 | 35019 | 63 | 41967
[16:06:08] 1.700 | 31019 | 33613 | 58 | 41975
[16:06:08] 1.750 | 33291 | 30034 | 63 | 41976
[16:06:08] 1.800 | 37634 | 32702 | 61 | 41985
[16:06:08] 1.850 | 31513 | 31730 | 66 | 41977
[16:06:08] 1.900 | 31914 | 35995 | 62 | 41983
[16:06:08] 1.950 | 38713 | 35388 | 63 | 41949
[16:06:08] 2.000 | 30856 | 29864 | 64 | 41914
[16:06:08] 2.050 | 29548 | 33557 | 64 | 41881
[16:06:08] 2.100 | 36070 | 33644 | 63 | 41852
[16:06:08] 2.150 | 35232 | 34651 | 70 | 41835
[16:06:08] 2.200 | 35042 | 33191 | 59 | 41842
[16:06:08] 2.250 | 33463 | 37463 | 64 | 41855
[16:06:08] 2.300 | 32631 | 33464 | 60 | 41869
[16:06:08] 2.350 | 32860 | 32454 | 68 | 41866
[16:06:08] 2.400 | 31943 | 34275 | 60 | 41878
[16:06:08] 2.450 | 32582 | 32297 | 60 | 41848
[16:06:08] 2.500 | 35868 | 36800 | 65 | 41817
[16:06:08] 2.550 | 34056 | 32048 | 61 | 41789
[16:06:09] 2.600 | 36165 | 33617 | 54 | 41760
[16:06:09] 2.650 | 33018 | 30933 | 68 | 41744
[16:06:09] 2.700 | 32615 | 30532 | 59 | 41779
[16:06:09] 2.750 | 31251 | 31702 | 57 | 41773
[16:06:09] 2.800 | 35649 | 34321 | 63 | 41763
[16:06:09] 2.850 | 33833 | 29703 | 60 | 41778
[16:06:09] 2.900 | 34864 | 33171 | 76 | 41763
[16:06:09] 2.950 | 29071 | 37163 | 62 | 41760
[16:06:09] 3.000 | 35492 | 34011 | 63 | 41720
[16:06:09] 3.050 | 30169 | 34091 | 67 | 41719
[16:06:09] 3.100 | 32573 | 25997 | 57 | 41737
[16:06:09] 3.150 | 33654 | 34427 | 64 | 41730
[16:06:09] 3.200 | 34174 | 35873 | 65 | 41749
[16:06:09] 3.250 | 31795 | 30831 | 53 | 41737
[16:06:09] 3.300 | 35947 | 33171 | 62 | 41724
[16:06:09] 3.350 | 31096 | 31525 | 67 | 41725
[16:06:09] 3.400 | 33373 | 32706 | 57 | 41764
[16:06:09] 3.450 | 33818 | 30678 | 52 | 41757
[16:06:09] 3.500 | 39157 | 36267 | 67 | 41787
[16:06:09] 3.550 | 34870 | 34160 | 61 | 41768
[16:06:10] 3.600 | 35343 | 28758 | 61 | 41771
[16:06:10] 3.650 | 33651 | 29932 | 62 | 41785
[16:06:10] 3.700 | 31594 | 35428 | 60 | 41768
[16:06:10] 3.750 | 34072 | 34217 | 67 | 41776
[16:06:10] 3.800 | 30911 | 29630 | 59 | 41791
[16:06:10] 3.850 | 33020 | 29850 | 62 | 41824
