timestamped_line
[17:23:31] ▶ Starting baseline phase for 2.5 seconds...
[17:23:31] t (s) | A | B | C | D
[17:23:31] 0.050 | 32635 | 28364 | 64 | 27438
[17:23:31] 0.100 | 34898 | 33943 | 74 | 27468
[17:23:32] 0.150 | 33102 | 34235 | 54 | 27426
[17:23:32] 0.200 | 30962 | 34319 | 63 | 27413
[17:23:32] 0.250 | 33225 | 32407 | 70 | 27377
[17:23:32] 0.300 | 34934 | 31898 | 71 | 27368
[17:23:32] 0.350 | 36582 | 29409 | 68 | 27405
[17:23:32] 0.400 | 35244 | 31414 | 66 | 27399
[17:23:32] 0.450 | 30636 | 33625 | 79 | 27420
[17:23:32] 0.500 | 36347 | 30085 | 60 | 27428
[17:23:32] 0.550 | 32038 | 29123 | 53 | 27396
[17:23:32] 0.600 | 35493 | 29906 | 59 | 27431
[17:23:32] 0.650 | 33778 | 30865 | 78 | 27439
[17:23:32] 0.700 | 29813 | 31350 | 71 | 27374
[17:23:32] 0.750 | 26984 | 32033 | 73 | 27356
[17:23:32] 0.800 | 29982 | 30082 | 68 | 27404
[17:23:32] 0.850 | 33854 | 32234 | 57 | 27338
[17:23:32] 0.900 | 30180 | 32038 | 70 | 27440
[17:23:32] 0.950 | 33485 | 30836 | 61 | 27398
[17:23:32] 1.000 | 32940 | 30771 | 68 | 27436
[17:23:32] 1.050 | 34604 | 31114 | 51 | 27370
[17:23:32] 1.100 | 33803 | 32254 | 77 | 27381
[17:23:33] 1.150 | 34768 | 28705 | 58 | 27357
[17:23:33] 1.200 | 30226 | 34642 | 52 | 27321
[17:23:33] 1.250 | 33754 | 26018 | 56 | 27351
[17:23:33] 1.300 | 30206 | 33778 | 57 | 27411
[17:23:33] 1.350 | 37155 | 30485 | 75 | 27374
[17:23:33] 1.400 | 28845 | 25438 | 63 | 27367
[17:23:33] 1.450 | 26585 | 30698 | 72 | 27404
[17:23:33] 1.500 | 30778 | 26888 | 80 | 27363
[17:23:33] 1.550 | 32328 | 34659 | 78 | 27327
[17:23:33] 1.600 | 36658 | 31330 | 63 | 27376
[17:23:33] 1.650 | 39746 | 29589 | 66 | 27375
[17:23:33] 1.700 | 29571 | 33217 | 71 | 27375
[17:23:33] 1.750 | 28484 | 29964 | 54 | 27355
[17:23:33] 1.800 | 29522 | 30447 | 66 | 27393
[17:23:33] 1.850 | 27154 | 33330 | 75 | 27380
[17:23:33] 1.900 | 29929 | 30851 | 57 | 27378
[17:23:33] 1.950 | 32291 | 34127 | 66 | 27369
[17:23:33] 2.000 | 28158 | 27765 | 74 | 27397
[17:23:33] 2.050 | 26811 | 35559 | 77 | 27398
[17:23:33] 2.100 | 30646 | 28697 | 67 | 27370
[17:23:34] 2.150 | 26784 | 30307 | 62 | 27373
[17:23:34] 2.200 | 31048 | 23549 | 69 | 27399
[17:23:34] 2.250 | 34555 | 33075 | 67 | 27382
[17:23:34] 2.300 | 30377 | 30690 | 75 | 27371
[17:23:34] 2.350 | 29076 | 32024 | 83 | 27403
[17:23:34] 2.400 | 29734 | 34464 | 55 | 27387
[17:23:34] 2.450 | 29810 | 35877 | 70 | 27397
[17:23:34] 2.500 | 31492 | 31461 | 66 | 27398
[17:23:34] ✅ Baseline complete. Starting main recording for 10 seconds...
[17:23:34] 2.550 | 30716 | 33145 | 76 | 27394
[17:23:34] 0.050 | 30226 | 30405 | 70 | 27391
