timestamped_line
[17:06:52] ▶ Starting baseline phase for 2.5 seconds...
[17:06:52] t (s) | A | B | C | D
[17:06:52] 0.051 | 30702 | 29040 | 75 | 43542
[17:06:53] 0.101 | 36148 | 32624 | 69 | 43558
[17:06:53] 0.151 | 33953 | 31411 | 82 | 43537
[17:06:53] 0.201 | 33719 | 33507 | 78 | 43552
[17:06:53] 0.251 | 30277 | 34787 | 78 | 43674
[17:06:53] 0.301 | 31963 | 31462 | 64 | 43677
[17:06:53] 0.351 | 33530 | 30843 | 68 | 43719
[17:06:53] 0.401 | 32909 | 34405 | 76 | 43690
[17:06:53] 0.451 | 36595 | 38094 | 73 | 43655
[17:06:53] 0.501 | 34260 | 37053 | 81 | 43652
[17:06:53] 0.551 | 32238 | 33777 | 84 | 43715
[17:06:53] 0.601 | 33799 | 34718 | 78 | 43705
[17:06:53] 0.651 | 32484 | 35515 | 74 | 43754
[17:06:53] 0.701 | 28744 | 29862 | 73 | 43806
[17:06:53] 0.751 | 33327 | 33856 | 88 | 43785
[17:06:53] 0.801 | 31887 | 36046 | 84 | 43783
[17:06:53] 0.851 | 34783 | 28127 | 61 | 43734
[17:06:53] 0.901 | 33354 | 26576 | 77 | 43740
[17:06:53] 0.951 | 31490 | 32740 | 92 | 43748
[17:06:53] 1.001 | 31663 | 32270 | 84 | 43777
[17:06:53] 1.051 | 35489 | 34076 | 74 | 43787
[17:06:54] 1.101 | 35849 | 33184 | 72 | 43779
[17:06:54] 1.151 | 33361 | 29862 | 68 | 43789
[17:06:54] 1.201 | 38358 | 33963 | 80 | 43784
[17:06:54] 1.251 | 35765 | 35022 | 76 | 43733
[17:06:54] 1.301 | 34389 | 29100 | 88 | 43702
[17:06:54] 1.351 | 33283 | 38861 | 63 | 43693
[17:06:54] 1.401 | 29913 | 31995 | 89 | 43645
[17:06:54] 1.451 | 35930 | 29157 | 80 | 43614
[17:06:54] 1.501 | 40988 | 33711 | 82 | 43596
[17:06:54] 1.551 | 27274 | 30747 | 63 | 43612
[17:06:54] 1.601 | 35890 | 29964 | 78 | 43608
[17:06:54] 1.651 | 32072 | 30985 | 81 | 43613
[17:06:54] 1.701 | 31484 | 32786 | 74 | 43586
[17:06:54] 1.751 | 35633 | 29960 | 79 | 43600
[17:06:54] 1.801 | 30485 | 36522 | 69 | 43629
[17:06:54] 1.851 | 29942 | 34034 | 84 | 43661
[17:06:54] 1.901 | 35143 | 32039 | 69 | 43707
[17:06:54] 1.951 | 32433 | 32372 | 76 | 43754
[17:06:54] 2.001 | 35754 | 32790 | 61 | 43747
[17:06:54] 2.051 | 33117 | 30479 | 82 | 43764
[17:06:55] 2.101 | 34207 | 34410 | 73 | 43748
[17:06:55] 2.151 | 34415 | 33508 | 93 | 43759
[17:06:55] 2.201 | 32969 | 41588 | 89 | 43729
[17:06:55] 2.251 | 33279 | 32287 | 89 | 43724
[17:06:55] 2.301 | 34877 | 36594 | 78 | 43736
[17:06:55] 2.351 | 34798 | 32236 | 83 | 43802
[17:06:55] 2.401 | 38172 | 35315 | 80 | 43794
[17:06:55] 2.451 | 30118 | 32052 | 72 | 43839
[17:06:55] ✅ Baseline complete. Starting main recording for 10 seconds...
[17:06:55] 2.501 | 31257 | 36110 | 74 | 43818
[17:06:55] 0.050 | 28470 | 27545 | 72 | 43815
[17:06:55] 0.100 | 29934 | 32503 | 76 | 43879
[17:06:55] 0.150 | 35282 | 30319 | 64 | 43905
[17:06:55] 0.200 | 30097 | 34564 | 89 | 43936
[17:06:55] 0.250 | 37144 | 28082 | 63 | 43991
[17:06:55] 0.300 | 32696 | 32084 | 76 | 44000
[17:06:55] 0.350 | 31968 | 32304 | 65 | 43998
[17:06:55] 0.400 | 30789 | 33540 | 62 | 44004
[17:06:55] 0.450 | 33886 | 33613 | 85 | 44036
[17:06:55] 0.500 | 32506 | 32800 | 65 | 44013
[17:06:55] 0.550 | 29896 | 33961 | 71 | 43919
[17:06:56] 0.600 | 31263 | 30796 | 74 | 43937
[17:06:56] 0.650 | 32918 | 31461 | 77 | 43980
[17:06:56] 0.700 | 34346 | 35713 | 77 | 44056
[17:06:56] 0.750 | 34906 | 34811 | 70 | 44057
[17:06:56] 0.800 | 30041 | 38723 | 48 | 44069
[17:06:56] 0.850 | 35662 | 35028 | 79 | 44054
[17:06:56] 0.900 | 31102 | 35315 | 82 | 44116
[17:06:56] 0.950 | 31736 | 32149 | 86 | 44158
[17:06:56] 1.000 | 31874 | 29098 | 65 | 44148
[17:06:56] 1.050 | 31336 | 31066 | 73 | 44187
[17:06:56] 1.100 | 37802 | 38747 | 91 | 44195
[17:06:56] 1.150 | 36572 | 34157 | 87 | 44168
[17:06:56] 1.200 | 30243 | 27846 | 63 | 44175
[17:06:56] 1.250 | 31619 | 31846 | 87 | 44164
[17:06:56] 1.300 | 34468 | 34023 | 64 | 44153
[17:06:56] 1.350 | 29051 | 35790 | 77 | 44093
[17:06:56] 1.400 | 35992 | 35028 | 65 | 44069
[17:06:56] 1.450 | 29925 | 33903 | 81 | 44049
[17:06:56] 1.500 | 34717 | 35315 | 82 | 44020
[17:06:56] 1.550 | 31176 | 29847 | 84 | 44051
[17:06:57] 1.600 | 36875 | 35060 | 69 | 44107
[17:06:57] 1.650 | 33222 | 32314 | 91 | 44086
[17:06:57] 1.700 | 36322 | 33278 | 83 | 44093
[17:06:57] 1.750 | 32701 | 33346 | 67 | 44088
[17:06:57] 1.800 | 36824 | 34622 | 74 | 44071
[17:06:57] 1.850 | 33323 | 37899 | 64 | 44080
[17:06:57] 1.900 | 34883 | 28730 | 74 | 44047
[17:06:57] 1.950 | 30986 | 32885 | 95 | 44047
[17:06:57] 2.000 | 34951 | 33020 | 74 | 44003
[17:06:57] 2.050 | 37887 | 31219 | 74 | 44004
[17:06:57] 2.100 | 36148 | 31533 | 67 | 44018
[17:06:57] 2.150 | 30668 | 35090 | 83 | 44055
[17:06:57] 2.200 | 35539 | 31362 | 73 | 44073
[17:06:57] 2.250 | 33389 | 34330 | 85 | 44084
[17:06:57] 2.300 | 34156 | 38842 | 77 | 44158
[17:06:57] 2.350 | 34861 | 32457 | 109 | 44189
[17:06:57] 2.400 | 33256 | 32195 | 81 | 44197
[17:06:57] 2.450 | 30304 | 29426 | 79 | 44195
[17:06:57] 2.500 | 29779 | 33267 | 74 | 44181
[17:06:57] 2.550 | 31177 | 30990 | 82 | 44178
[17:06:58] 2.600 | 37526 | 35596 | 84 | 44170
[17:06:58] 2.650 | 34792 | 37039 | 84 | 44144
[17:06:58] 2.700 | 37197 | 30483 | 72 | 44140
[17:06:58] 2.750 | 35676 | 35494 | 74 | 44137
[17:06:58] 2.800 | 37412 | 30257 | 94 | 44114
[17:06:58] 2.850 | 36830 | 35247 | 75 | 44120
[17:06:58] 2.900 | 33697 | 32187 | 83 | 44113
[17:06:58] 2.950 | 35100 | 33652 | 91 | 44123
[17:06:58] 3.000 | 38165 | 27971 | 70 | 44128
[17:06:58] 3.050 | 35840 | 30830 | 79 | 44116
[17:06:58] 3.100 | 32383 | 30414 | 88 | 44139
[17:06:58] 3.150 | 33497 | 30834 | 78 | 44109
[17:06:58] 3.200 | 35911 | 28713 | 67 | 44091
[17:06:58] 3.250 | 31838 | 30323 | 67 | 44091
[17:06:58] 3.300 | 37089 | 37194 | 72 | 44164
[17:06:58] 3.350 | 30869 | 30906 | 72 | 44168
[17:06:58] 3.400 | 32049 | 31819 | 89 | 44176
[17:06:58] 3.450 | 33648 | 31131 | 79 | 44168
[17:06:58] 3.500 | 31939 | 27565 | 81 | 44160
[17:06:58] 3.550 | 30028 | 35529 | 86 | 44135
[17:06:59] 3.600 | 35453 | 30135 | 79 | 44140
[17:06:59] 3.650 | 32501 | 30819 | 69 | 44201
[17:06:59] 3.700 | 35208 | 34302 | 77 | 44149
[17:06:59] 3.750 | 34632 | 32309 | 74 | 44133
[17:06:59] 3.800 | 37271 | 29890 | 74 | 44139
[17:06:59] 3.850 | 36777 | 32724 | 79 | 44143
[17:06:59] 3.900 | 35483 | 28221 | 72 | 44138
[17:06:59] 3.950 | 31782 | 29758 | 65 | 44146
[17:06:59] 4.000 | 29196 | 32071 | 60 | 44156
[17:06:59] 4.050 | 31226 | 32275 | 61 | 44170
[17:06:59] 4.100 | 33642 | 32209 | 88 | 44136
[17:06:59] 4.150 | 34704 | 36913 | 74 | 44145
[17:06:59] 4.200 | 35145 | 35730 | 67 | 44130
[17:06:59] 4.250 | 34035 | 33271 | 78 | 44135
[17:06:59] 4.300 | 35555 | 32456 | 87 | 44080
[17:06:59] 4.350 | 32976 | 32275 | 77 | 44114
[17:06:59] 4.400 | 37622 | 29104 | 69 | 44039
[17:06:59] 4.450 | 27101 | 28794 | 78 | 44035
[17:06:59] 4.500 | 34802 | 29923 | 65 | 43999
[17:06:59] 4.550 | 29434 | 37286 | 68 | 44003
[17:07:00] 4.600 | 33400 | 36987 | 75 | 43990
[17:07:00] 4.650 | 34273 | 35345 | 64 | 43989
[17:07:00] 4.700 | 31996 | 33815 | 74 | 43999
[17:07:00] 4.750 | 29949 | 32675 | 81 | 43939
[17:07:00] 4.800 | 35808 | 33452 | 79 | 43934
[17:07:00] 4.850 | 34941 | 32912 | 69 | 43932
[17:07:00] 4.900 | 36471 | 33932 | 65 | 43945
[17:07:00] 4.950 | 30794 | 34624 | 63 | 43923
[17:07:00] 5.000 | 30288 | 33494 | 85 | 43890
[17:07:00] 5.050 | 32598 | 35774 | 80 | 43887
[17:07:00] 5.100 | 36640 | 33424 | 77 | 43878
[17:07:00] 5.150 | 33976 | 34206 | 77 | 43861
[17:07:00] 5.200 | 29172 | 34879 | 80 | 43847
[17:07:00] 5.250 | 31976 | 34882 | 87 | 43848
[17:07:00] 5.300 | 35611 | 30561 | 73 | 43870
[17:07:00] 5.350 | 28968 | 30473 | 75 | 43884
[17:07:00] 5.400 | 27388 | 31649 | 73 | 43900
[17:07:00] 5.450 | 40097 | 31488 | 69 | 43955
[17:07:00] 5.500 | 30395 | 30800 | 70 | 43931
[17:07:00] 5.550 | 32955 | 36668 | 93 | 43863
[17:07:01] 5.600 | 33217 | 34782 | 70 | 43804
[17:07:01] 5.650 | 40600 | 30220 | 82 | 43887
[17:07:01] 5.700 | 34864 | 33364 | 79 | 43927
[17:07:01] 5.750 | 29425 | 35750 | 80 | 43890
[17:07:01] 5.800 | 35094 | 32009 | 79 | 43915
[17:07:01] 5.850 | 37068 | 35140 | 95 | 43935
[17:07:01] 5.900 | 36927 | 37081 | 61 | 43953
[17:07:01] 5.950 | 34139 | 36385 | 81 | 43955
[17:07:01] 6.000 | 29789 | 30665 | 62 | 43880
[17:07:01] 6.050 | 33464 | 33522 | 73 | 43861
[17:07:01] 6.100 | 36300 | 34101 | 64 | 43842
[17:07:01] 6.150 | 36430 | 34865 | 87 | 43841
[17:07:01] 6.200 | 32692 | 31333 | 82 | 43810
[17:07:01] 6.250 | 34030 | 32854 | 62 | 43784
[17:07:01] 6.300 | 34169 | 28377 | 75 | 43774
[17:07:01] 6.350 | 30330 | 29027 | 64 | 43799
[17:07:01] 6.400 | 28801 | 31749 | 71 | 43801
[17:07:01] 6.450 | 33465 | 29919 | 89 | 43799
[17:07:01] 6.500 | 33068 | 32019 | 90 | 43786
[17:07:01] 6.550 | 36299 | 31863 | 81 | 43766
[17:07:02] 6.600 | 29930 | 30834 | 66 | 43780
[17:07:02] 6.650 | 28372 | 27983 | 77 | 43786
[17:07:02] 6.700 | 35792 | 34530 | 68 | 43779
[17:07:02] 6.750 | 33741 | 33146 | 69 | 43760
[17:07:02] 6.800 | 38415 | 32887 | 88 | 43801
[17:07:02] 6.850 | 33588 | 32232 | 78 | 43789
[17:07:02] 6.900 | 36394 | 29783 | 62 | 43798
[17:07:02] 6.950 | 33653 | 37081 | 78 | 43791
[17:07:02] 7.000 | 31744 | 33049 | 74 | 43776
[17:07:02] 7.050 | 35425 | 33328 | 74 | 43753
[17:07:02] 7.100 | 32513 | 35114 | 72 | 43724
[17:07:02] 7.150 | 31042 | 36183 | 59 | 43694
[17:07:02] 7.200 | 31272 | 34277 | 77 | 43701
[17:07:02] 7.250 | 31945 | 31997 | 74 | 43702
[17:07:02] 7.300 | 34904 | 32433 | 74 | 43716
[17:07:02] 7.350 | 38068 | 28203 | 74 | 43660
[17:07:02] 7.400 | 38456 | 33797 | 88 | 43619
[17:07:02] 7.450 | 35903 | 34417 | 60 | 43661
