timestamped_line
[17:08:49] ▶ Starting baseline phase for 2.5 seconds...
[17:08:49] t (s) | A | B | C | D
[17:08:49] 0.050 | 34628 | 30772 | 69 | 35220
[17:08:49] 0.100 | 36595 | 32466 | 73 | 35222
[17:08:49] 0.150 | 31406 | 35733 | 74 | 35226
[17:08:49] 0.200 | 30159 | 35147 | 75 | 35246
[17:08:50] 0.250 | 30602 | 31055 | 84 | 35219
[17:08:50] 0.300 | 36229 | 33371 | 71 | 35243
[17:08:50] 0.350 | 31839 | 32584 | 69 | 35235
[17:08:50] 0.400 | 29366 | 31209 | 65 | 35235
[17:08:50] 0.450 | 31262 | 33800 | 81 | 35236
[17:08:50] 0.500 | 35273 | 30441 | 66 | 35244
[17:08:50] 0.550 | 34345 | 29332 | 83 | 35222
[17:08:50] 0.600 | 33427 | 29930 | 72 | 35217
[17:08:50] 0.650 | 35217 | 32473 | 83 | 35217
[17:08:50] 0.700 | 35772 | 33740 | 86 | 35242
[17:08:50] 0.750 | 32663 | 36330 | 79 | 35228
[17:08:50] 0.800 | 34100 | 25966 | 75 | 35235
[17:08:50] 0.850 | 32433 | 30518 | 77 | 35228
[17:08:50] 0.900 | 33393 | 27244 | 74 | 35230
[17:08:50] 0.950 | 32150 | 31715 | 73 | 35246
[17:08:50] 1.000 | 34952 | 26728 | 50 | 35247
[17:08:50] 1.050 | 31238 | 34285 | 72 | 35258
[17:08:50] 1.100 | 32161 | 35569 | 75 | 35236
[17:08:50] 1.150 | 35786 | 29369 | 68 | 35237
[17:08:50] 1.200 | 31349 | 29185 | 71 | 35204
[17:08:51] 1.250 | 30928 | 34421 | 78 | 35215
[17:08:51] 1.300 | 35811 | 36824 | 66 | 35248
[17:08:51] 1.350 | 35930 | 32587 | 86 | 35242
[17:08:51] 1.400 | 33607 | 31927 | 85 | 35241
[17:08:51] 1.450 | 29546 | 33574 | 59 | 35243
[17:08:51] 1.500 | 32423 | 32355 | 81 | 35238
[17:08:51] 1.550 | 29614 | 36241 | 62 | 35236
[17:08:51] 1.600 | 30751 | 28234 | 76 | 35239
[17:08:51] 1.650 | 31698 | 32905 | 77 | 35215
[17:08:51] 1.700 | 32906 | 34147 | 71 | 35192
[17:08:51] 1.750 | 32899 | 36710 | 79 | 35205
[17:08:51] 1.800 | 32580 | 31469 | 84 | 35214
[17:08:51] 1.850 | 31678 | 30575 | 81 | 35209
[17:08:51] 1.900 | 32009 | 30070 | 81 | 35206
[17:08:51] 1.950 | 32762 | 33567 | 69 | 35196
