timestamped_line
[16:43:07] ▶ Starting baseline phase for 2.5 seconds...
[16:43:07] t (s) | A | B | C | D
[16:43:07] 0.050 | 37291 | 47094 | 10 | 23551
[16:43:07] 0.100 | 35910 | 36139 | 10 | 23547
[16:43:07] 0.150 | 38962 | 38243 | 10 | 23570
[16:43:07] 0.200 | 31512 | 32616 | 11 | 23558
[16:43:07] 0.250 | 30021 | 36965 | 8 | 23562
[16:43:07] 0.300 | 34687 | 36452 | 12 | 23541
[16:43:07] 0.350 | 35209 | 32085 | 10 | 23540
[16:43:07] 0.400 | 36044 | 37038 | 10 | 23571
[16:43:08] 0.450 | 32788 | 35535 | 9 | 23555
[16:43:08] 0.500 | 40012 | 31454 | 9 | 23537
[16:43:08] 0.550 | 35272 | 34477 | 11 | 23547
[16:43:08] 0.600 | 35510 | 35801 | 11 | 23545
[16:43:08] 0.650 | 30405 | 33359 | 9 | 23517
[16:43:08] 0.700 | 33478 | 35912 | 10 | 23524
[16:43:08] 0.750 | 35521 | 40996 | 8 | 23518
[16:43:08] 0.800 | 34879 | 39102 | 6 | 23531
[16:43:08] 0.850 | 34896 | 38020 | 10 | 23508
[16:43:08] 0.900 | 31791 | 36077 | 10 | 23501
[16:43:08] 0.950 | 35056 | 37520 | 10 | 23506
[16:43:08] 1.000 | 34088 | 33158 | 6 | 23503
[16:43:08] 1.050 | 33692 | 36813 | 9 | 23485
[16:43:08] 1.100 | 35050 | 35254 | 5 | 23508
[16:43:08] 1.150 | 37220 | 37952 | 11 | 23505
[16:43:08] 1.200 | 30373 | 35026 | 12 | 23498
[16:43:08] 1.250 | 32736 | 28672 | 10 | 23507
[16:43:08] 1.300 | 34071 | 39351 | 10 | 23496
[16:43:08] 1.350 | 35172 | 39924 | 10 | 23483
[16:43:08] 1.400 | 33790 | 32630 | 7 | 23450
[16:43:09] 1.450 | 31444 | 38726 | 6 | 23486
[16:43:09] 1.500 | 35266 | 37370 | 9 | 23478
[16:43:09] 1.550 | 35312 | 37495 | 6 | 23471
[16:43:09] 1.600 | 34009 | 34321 | 7 | 23489
[16:43:09] 1.650 | 32806 | 35198 | 15 | 23513
[16:43:09] 1.700 | 37726 | 37216 | 10 | 23547
[16:43:09] 1.750 | 33815 | 35461 | 6 | 23570
[16:43:09] 1.800 | 35190 | 34085 | 13 | 23575
[16:43:09] 1.850 | 34288 | 37102 | 8 | 23559
[16:43:09] 1.900 | 34897 | 36826 | 9 | 23573
[16:43:09] 1.950 | 31690 | 31556 | 8 | 23585
[16:43:09] 2.000 | 34572 | 33654 | 11 | 23581
[16:43:09] 2.050 | 36620 | 35769 | 8 | 23592
[16:43:09] 2.100 | 40930 | 38929 | 9 | 23600
[16:43:09] 2.150 | 34058 | 35846 | 8 | 23585
[16:43:09] 2.200 | 37769 | 31928 | 11 | 23604
[16:43:09] 2.250 | 34596 | 37750 | 7 | 23636
[16:43:09] 2.300 | 39312 | 40171 | 9 | 23619
[16:43:09] 2.350 | 35586 | 34775 | 14 | 23646
[16:43:09] 2.400 | 32855 | 38416 | 10 | 23640
[16:43:10] 2.450 | 33959 | 38159 | 9 | 23640
[16:43:10] 2.500 | 34765 | 35137 | 10 | 23639
[16:43:10] ✅ Baseline complete. Starting main recording for 10 seconds...
[16:43:10] 2.550 | 33197 | 36666 | 14 | 23621
[16:43:10] 0.050 | 34327 | 40967 | 18 | 23642
[16:43:10] 0.100 | 33271 | 37873 | 9 | 23652
[16:43:10] 0.150 | 34180 | 38595 | 11 | 23647
[16:43:10] 0.200 | 36429 | 35174 | 9 | 23655
[16:43:10] 0.250 | 34153 | 36882 | 5 | 23677
[16:43:10] 0.300 | 38880 | 35135 | 11 | 23628
[16:43:10] 0.350 | 35608 | 32751 | 7 | 23638
[16:43:10] 0.400 | 35519 | 37771 | 8 | 23638
[16:43:10] 0.450 | 32829 | 34010 | 11 | 23632
[16:43:10] 0.500 | 33997 | 32502 | 11 | 23641
[16:43:10] 0.550 | 36076 | 37784 | 8 | 23652
[16:43:10] 0.600 | 35458 | 37055 | 9 | 23657
[16:43:10] 0.650 | 33385 | 38602 | 6 | 23642
[16:43:10] 0.700 | 32111 | 31740 | 4 | 23655
[16:43:10] 0.750 | 32848 | 31231 | 10 | 23642
[16:43:10] 0.800 | 34810 | 32631 | 13 | 23629
[16:43:10] 0.850 | 35712 | 37822 | 8 | 23659
[16:43:11] 0.900 | 29672 | 36310 | 12 | 23658
[16:43:11] 0.950 | 36477 | 39099 | 8 | 23665
[16:43:11] 1.000 | 33705 | 36433 | 11 | 23661
[16:43:11] 1.050 | 36054 | 38331 | 11 | 23654
[16:43:11] 1.100 | 37463 | 40514 | 8 | 23647
[16:43:11] 1.150 | 37963 | 30336 | 9 | 23664
[16:43:11] 1.200 | 32858 | 40584 | 7 | 23652
[16:43:11] 1.250 | 33821 | 34774 | 13 | 23650
[16:43:11] 1.300 | 30673 | 37314 | 11 | 23668
[16:43:11] 1.350 | 32605 | 41875 | 13 | 23662
[16:43:11] 1.400 | 36530 | 40723 | 13 | 23646
[16:43:11] 1.450 | 33601 | 40000 | 10 | 23636
[16:43:11] 1.500 | 38487 | 36844 | 4 | 23645
[16:43:11] 1.550 | 33653 | 30413 | 12 | 23614
[16:43:11] 1.600 | 32502 | 37154 | 12 | 23652
[16:43:11] 1.650 | 37049 | 33751 | 11 | 23656
[16:43:11] 1.700 | 33915 | 35549 | 10 | 23642
[16:43:11] 1.750 | 34369 | 36429 | 14 | 23660
[16:43:11] 1.800 | 36313 | 40375 | 12 | 23644
[16:43:11] 1.850 | 32403 | 34726 | 8 | 23641
[16:43:12] 1.900 | 32577 | 33946 | 8 | 23675
[16:43:12] 1.950 | 30967 | 32287 | 9 | 23669
[16:43:12] 2.000 | 34324 | 35583 | 8 | 23655
[16:43:12] 2.050 | 35803 | 39009 | 12 | 23673
[16:43:12] 2.100 | 33206 | 34591 | 9 | 23675
[16:43:12] 2.150 | 35690 | 36222 | 11 | 23655
[16:43:12] 2.200 | 33681 | 34486 | 8 | 23671
[16:43:12] 2.250 | 38103 | 39782 | 9 | 23682
[16:43:12] 2.300 | 35241 | 32596 | 10 | 23674
[16:43:12] 2.350 | 32331 | 38337 | 11 | 23673
[16:43:12] 2.400 | 34963 | 40277 | 10 | 23655
[16:43:12] 2.450 | 34816 | 34174 | 9 | 23662
[16:43:12] 2.500 | 33275 | 33104 | 9 | 23703
