timestamped_line
[16:06:55] ▶ Starting baseline phase for 2.5 seconds...
[16:06:55] t (s) | A | B | C | D
[16:06:55] 0.050 | 39308 | 39744 | 10 | 32784
[16:06:55] 0.100 | 32257 | 37637 | 7 | 32714
[16:06:55] 0.150 | 33973 | 34843 | 7 | 32705
[16:06:55] 0.200 | 35643 | 37061 | 10 | 32735
[16:06:55] 0.250 | 34625 | 40339 | 9 | 32729
[16:06:55] 0.300 | 38819 | 39782 | 8 | 32776
[16:06:55] 0.350 | 33365 | 38659 | 12 | 32805
[16:06:55] 0.400 | 33967 | 35060 | 11 | 32816
[16:06:55] 0.450 | 37199 | 35857 | 15 | 32827
[16:06:55] 0.500 | 37957 | 35112 | 7 | 32823
[16:06:55] 0.550 | 33286 | 41290 | 13 | 32795
[16:06:55] 0.600 | 40327 | 36906 | 12 | 32847
[16:06:55] 0.650 | 32774 | 38311 | 15 | 32771
[16:06:56] 0.700 | 32725 | 38591 | 9 | 32783
[16:06:56] 0.750 | 37629 | 34995 | 12 | 32737
[16:06:56] 0.800 | 36571 | 32230 | 17 | 32778
[16:06:56] 0.850 | 36492 | 34855 | 6 | 32738
[16:06:56] 0.900 | 38245 | 35459 | 8 | 32697
[16:06:56] 0.950 | 37918 | 39938 | 10 | 32660
[16:06:56] 1.000 | 34218 | 34157 | 11 | 32621
[16:06:56] 1.050 | 33269 | 34248 | 12 | 32683
[16:06:56] 1.100 | 35725 | 34335 | 13 | 32714
[16:06:56] 1.150 | 34637 | 35662 | 10 | 32700
[16:06:56] 1.200 | 36616 | 34561 | 12 | 32714
[16:06:56] 1.250 | 33382 | 35039 | 11 | 32700
[16:06:56] 1.300 | 35828 | 36969 | 11 | 32676
[16:06:56] 1.350 | 36193 | 35794 | 10 | 32638
[16:06:56] 1.400 | 36540 | 31805 | 8 | 32635
[16:06:56] 1.450 | 30838 | 34986 | 13 | 32581
[16:06:56] 1.500 | 34129 | 34539 | 8 | 32584
[16:06:56] 1.550 | 36894 | 39692 | 12 | 32531
[16:06:56] 1.600 | 31642 | 33257 | 6 | 32559
[16:06:56] 1.650 | 31220 | 32745 | 12 | 32571
[16:06:57] 1.700 | 35190 | 37043 | 10 | 32549
[16:06:57] 1.750 | 33077 | 32021 | 10 | 32588
[16:06:57] 1.800 | 33338 | 35305 | 14 | 32550
[16:06:57] 1.850 | 37971 | 36307 | 10 | 32547
[16:06:57] 1.900 | 38769 | 35614 | 14 | 32563
[16:06:57] 1.950 | 34189 | 38389 | 12 | 32559
[16:06:57] 2.000 | 34905 | 36791 | 8 | 32543
[16:06:57] 2.050 | 33022 | 35167 | 12 | 32541
[16:06:57] 2.100 | 37842 | 35363 | 10 | 32615
[16:06:57] 2.150 | 34763 | 36812 | 9 | 32627
[16:06:57] 2.200 | 35155 | 37295 | 10 | 32621
[16:06:57] 2.250 | 38168 | 31504 | 8 | 32605
[16:06:57] 2.300 | 33507 | 36489 | 7 | 32619
[16:06:57] 2.350 | 33607 | 35927 | 9 | 32610
[16:06:57] 2.400 | 33148 | 34181 | 12 | 32621
[16:06:57] 2.450 | 34406 | 37138 | 10 | 32609
[16:06:57] 2.500 | 37093 | 34829 | 11 | 32659
[16:06:57] ✅ Baseline complete. Starting main recording for 10 seconds...
[16:06:57] 2.550 | 36429 | 30219 | 8 | 32670
[16:06:57] 0.050 | 33957 | 32696 | 12 | 32685
[16:06:57] 0.100 | 37220 | 34165 | 11 | 32697
[16:06:58] 0.150 | 37110 | 35057 | 7 | 32721
[16:06:58] 0.200 | 33336 | 37966 | 8 | 32697
[16:06:58] 0.250 | 35431 | 36971 | 10 | 32830
[16:06:58] 0.300 | 35957 | 39181 | 8 | 32714
[16:06:58] 0.350 | 40415 | 33519 | 12 | 32737
[16:06:58] 0.400 | 36055 | 33451 | 14 | 32741
[16:06:58] 0.450 | 30162 | 35703 | 12 | 32761
[16:06:58] 0.500 | 35490 | 36863 | 7 | 32760
[16:06:58] 0.550 | 41552 | 36426 | 12 | 32770
[16:06:58] 0.600 | 36433 | 37538 | 11 | 32800
[16:06:58] 0.650 | 39001 | 37015 | 10 | 32816
[16:06:58] 0.700 | 36277 | 36532 | 9 | 32879
[16:06:58] 0.750 | 39487 | 34296 | 7 | 32910
[16:06:58] 0.800 | 32125 | 35289 | 8 | 32914
[16:06:58] 0.850 | 31641 | 35796 | 6 | 32952
[16:06:58] 0.900 | 35754 | 35630 | 8 | 33009
[16:06:58] 0.950 | 36795 | 39532 | 14 | 32998
[16:06:58] 1.000 | 39551 | 35460 | 11 | 33000
[16:06:58] 1.050 | 35380 | 33685 | 11 | 32939
[16:06:58] 1.100 | 35906 | 37736 | 11 | 32788
[16:06:59] 1.150 | 35638 | 38289 | 5 | 32756
[16:06:59] 1.200 | 34185 | 33784 | 9 | 32728
[16:06:59] 1.250 | 36739 | 34109 | 10 | 32763
[16:06:59] 1.300 | 37855 | 34401 | 8 | 32730
[16:06:59] 1.350 | 35217 | 35541 | 9 | 32728
[16:06:59] 1.400 | 34016 | 38168 | 9 | 32734
[16:06:59] 1.450 | 37148 | 32998 | 9 | 32735
[16:06:59] 1.500 | 37447 | 36301 | 9 | 32729
[16:06:59] 1.550 | 37442 | 41144 | 13 | 32741
[16:06:59] 1.600 | 37040 | 34546 | 9 | 32764
[16:06:59] 1.650 | 35624 | 37674 | 11 | 32743
[16:06:59] 1.700 | 38345 | 36457 | 11 | 32721
[16:06:59] 1.750 | 38393 | 31862 | 14 | 32715
[16:06:59] 1.800 | 33944 | 36302 | 12 | 32664
[16:06:59] 1.850 | 36216 | 34974 | 6 | 32681
[16:06:59] 1.900 | 36791 | 35942 | 7 | 32593
[16:06:59] 1.950 | 37879 | 31512 | 12 | 32586
[16:06:59] 2.000 | 37198 | 39132 | 11 | 32607
[16:06:59] 2.050 | 34447 | 36831 | 11 | 32633
[16:06:59] 2.100 | 37411 | 37277 | 11 | 32659
[16:07:00] 2.150 | 37815 | 40081 | 12 | 32701
[16:07:00] 2.200 | 34551 | 34741 | 9 | 32743
[16:07:00] 2.250 | 30456 | 34534 | 10 | 32740
[16:07:00] 2.300 | 34791 | 36256 | 12 | 32726
[16:07:00] 2.350 | 39113 | 30824 | 13 | 32760
[16:07:00] 2.400 | 34736 | 34781 | 6 | 32745
[16:07:00] 2.450 | 35663 | 35955 | 6 | 32606
[16:07:00] 2.500 | 36945 | 38302 | 13 | 32619
[16:07:00] 2.550 | 30711 | 39653 | 11 | 32615
[16:07:00] 2.600 | 32307 | 39598 | 9 | 32632
[16:07:00] 2.650 | 38073 | 34899 | 10 | 32578
[16:07:00] 2.700 | 35337 | 37377 | 10 | 32621
[16:07:00] 2.750 | 35671 | 34307 | 10 | 32607
[16:07:00] 2.800 | 33444 | 37874 | 11 | 32617
[16:07:00] 2.850 | 35569 | 42123 | 13 | 32544
[16:07:00] 2.900 | 37758 | 39797 | 7 | 32521
[16:07:00] 2.950 | 34520 | 35490 | 10 | 32546
[16:07:00] 3.000 | 32581 | 38253 | 12 | 32597
[16:07:00] 3.050 | 35060 | 39368 | 12 | 32590
[16:07:00] 3.100 | 38579 | 34751 | 8 | 32553
[16:07:01] 3.150 | 36108 | 37292 | 12 | 32539
[16:07:01] 3.200 | 36140 | 38587 | 10 | 32495
[16:07:01] 3.250 | 32178 | 38716 | 8 | 32681
[16:07:01] 3.300 | 31765 | 36401 | 10 | 32711
[16:07:01] 3.350 | 33182 | 38418 | 11 | 32661
[16:07:01] 3.400 | 35612 | 40088 | 12 | 32657
[16:07:01] 3.450 | 35736 | 35607 | 10 | 32594
[16:07:01] 3.500 | 33315 | 32552 | 14 | 32544
[16:07:01] 3.550 | 33506 | 42849 | 5 | 32552
[16:07:01] 3.600 | 32290 | 31156 | 8 | 32529
[16:07:01] 3.650 | 35521 | 36229 | 10 | 32508
[16:07:01] 3.700 | 35690 | 35874 | 6 | 32539
[16:07:01] 3.750 | 36519 | 36266 | 5 | 32559
[16:07:01] 3.800 | 35607 | 34329 | 11 | 32511
[16:07:01] 3.850 | 34460 | 34788 | 11 | 32489
[16:07:01] 3.900 | 35579 | 34075 | 10 | 32507
[16:07:01] 3.950 | 33993 | 35806 | 11 | 32518
[16:07:01] 4.000 | 34579 | 36664 | 12 | 32548
[16:07:01] 4.050 | 36198 | 39210 | 9 | 32523
[16:07:01] 4.100 | 34552 | 40669 | 9 | 32462
[16:07:02] 4.150 | 38090 | 37935 | 15 | 32386
[16:07:02] 4.200 | 38337 | 33697 | 10 | 32339
[16:07:02] 4.250 | 36451 | 35387 | 15 | 32343
