timestamped_line
[17:55:39] ▶ Starting baseline phase for 2.5 seconds...
[17:55:39] t (s) | A | B | C | D
[17:55:39] 0.050 | 33725 | 40140 | 8 | 32545
[17:55:39] 0.100 | 36721 | 35232 | 8 | 32559
[17:55:40] 0.150 | 34273 | 35826 | 5 | 32562
[17:55:40] 0.200 | 36759 | 35761 | 10 | 32557
[17:55:40] 0.250 | 34235 | 33739 | 7 | 32575
[17:55:40] 0.300 | 35068 | 32380 | 13 | 32603
[17:55:40] 0.350 | 35975 | 36218 | 10 | 32603
[17:55:40] 0.400 | 37745 | 34741 | 6 | 32595
[17:55:40] 0.450 | 33485 | 37651 | 7 | 32620
[17:55:40] 0.500 | 35756 | 35056 | 8 | 32635
[17:55:40] 0.550 | 31681 | 36310 | 7 | 32597
[17:55:40] 0.600 | 36635 | 40048 | 4 | 32590
[17:55:40] 0.650 | 38962 | 33947 | 7 | 32520
[17:55:40] 0.700 | 36810 | 36986 | 10 | 32523
[17:55:40] 0.750 | 33135 | 37915 | 10 | 32479
[17:55:40] 0.800 | 31754 | 33519 | 9 | 32480
[17:55:40] 0.850 | 32654 | 39235 | 5 | 32535
[17:55:40] 0.900 | 34701 | 34586 | 11 | 32555
[17:55:40] 0.950 | 36899 | 35791 | 7 | 32552
[17:55:40] 1.000 | 37128 | 38019 | 9 | 32618
[17:55:40] 1.050 | 32434 | 35739 | 13 | 32618
[17:55:40] 1.100 | 35881 | 38819 | 10 | 32616
[17:55:41] 1.150 | 35412 | 34854 | 9 | 32630
[17:55:41] 1.200 | 36626 | 35434 | 7 | 32574
[17:55:41] 1.250 | 33001 | 34289 | 12 | 32656
[17:55:41] 1.300 | 35039 | 36365 | 7 | 32670
[17:55:41] 1.350 | 33524 | 37369 | 9 | 32625
[17:55:41] 1.400 | 32951 | 31045 | 8 | 32639
[17:55:41] 1.450 | 34487 | 37908 | 11 | 32654
[17:55:41] 1.500 | 34359 | 34867 | 10 | 32734
[17:55:41] 1.550 | 33552 | 31793 | 11 | 32723
[17:55:41] 1.600 | 32686 | 39496 | 8 | 32745
[17:55:41] 1.650 | 36232 | 38854 | 11 | 32705
[17:55:41] 1.700 | 39822 | 34622 | 7 | 32708
[17:55:41] 1.750 | 40025 | 37348 | 11 | 32716
[17:55:41] 1.800 | 36797 | 37681 | 4 | 32656
[17:55:41] 1.850 | 36274 | 38421 | 5 | 32591
[17:55:41] 1.900 | 34861 | 34397 | 12 | 32547
[17:55:41] 1.950 | 35713 | 33233 | 13 | 32579
[17:55:41] 2.000 | 34930 | 34153 | 10 | 32548
[17:55:41] 2.050 | 34771 | 34961 | 5 | 32539
[17:55:41] 2.100 | 33833 | 33522 | 4 | 32541
[17:55:42] 2.150 | 34878 | 35437 | 6 | 32544
[17:55:42] 2.200 | 35382 | 38113 | 9 | 32514
[17:55:42] 2.250 | 34291 | 33510 | 8 | 32549
[17:55:42] 2.300 | 31933 | 36011 | 7 | 32566
[17:55:42] 2.350 | 36724 | 42084 | 9 | 32579
[17:55:42] 2.400 | 38847 | 38499 | 9 | 32608
[17:55:42] 2.450 | 34207 | 34774 | 6 | 32572
[17:55:42] 2.500 | 34501 | 37586 | 10 | 32554
[17:55:42] ✅ Baseline complete. Starting main recording for 10 seconds...
[17:55:42] 2.550 | 34485 | 31952 | 8 | 32536
[17:55:42] 0.050 | 36193 | 39541 | 9 | 32548
[17:55:42] 0.100 | 34560 | 37172 | 10 | 32543
[17:55:42] 0.150 | 38472 | 37075 | 8 | 32605
[17:55:42] 0.200 | 33174 | 36538 | 12 | 32580
[17:55:42] 0.250 | 38364 | 38869 | 12 | 32543
[17:55:42] 0.300 | 35047 | 38418 | 9 | 32527
[17:55:42] 0.350 | 36741 | 36278 | 5 | 32512
[17:55:42] 0.400 | 39791 | 37598 | 8 | 32497
[17:55:42] 0.450 | 36837 | 36570 | 11 | 32478
[17:55:42] 0.500 | 35334 | 33963 | 8 | 32484
[17:55:42] 0.550 | 38715 | 33704 | 7 | 32535
[17:55:43] 0.600 | 37270 | 43417 | 11 | 32576
[17:55:43] 0.650 | 34862 | 34494 | 12 | 32583
[17:55:43] 0.700 | 37245 | 36674 | 11 | 32660
[17:55:43] 0.750 | 38523 | 37170 | 12 | 32690
[17:55:43] 0.800 | 35198 | 39018 | 10 | 32660
[17:55:43] 0.850 | 36368 | 37958 | 7 | 32698
[17:55:43] 0.900 | 42647 | 35481 | 9 | 32742
[17:55:43] 0.950 | 38472 | 35502 | 9 | 32714
[17:55:43] 1.000 | 37249 | 35075 | 11 | 32726
[17:55:43] 1.050 | 31665 | 31778 | 10 | 32783
[17:55:43] 1.100 | 40485 | 33051 | 11 | 32825
[17:55:43] 1.150 | 33826 | 36444 | 11 | 32824
[17:55:43] 1.200 | 36158 | 34428 | 12 | 32859
[17:55:43] 1.250 | 37438 | 42568 | 10 | 32872
[17:55:43] 1.300 | 35948 | 36704 | 13 | 32882
[17:55:43] 1.350 | 33524 | 35682 | 8 | 32888
[17:55:43] 1.400 | 39043 | 38284 | 11 | 32883
[17:55:43] 1.450 | 35430 | 37003 | 13 | 32867
[17:55:43] 1.500 | 35085 | 37416 | 11 | 32889
[17:55:43] 1.550 | 32729 | 37783 | 10 | 32919
[17:55:44] 1.600 | 39661 | 38459 | 10 | 32918
[17:55:44] 1.650 | 38511 | 37606 | 5 | 32913
[17:55:44] 1.700 | 36395 | 38246 | 6 | 32919
[17:55:44] 1.750 | 36337 | 38471 | 10 | 32913
[17:55:44] 1.800 | 37325 | 35945 | 8 | 32925
[17:55:44] 1.850 | 34775 | 35602 | 9 | 32938
[17:55:44] 1.900 | 36594 | 36049 | 9 | 32972
[17:55:44] 1.950 | 39978 | 38319 | 8 | 33023
[17:55:44] 2.000 | 35498 | 35388 | 6 | 33034
[17:55:44] 2.050 | 35330 | 39864 | 12 | 33055
[17:55:44] 2.100 | 34701 | 40770 | 12 | 33028
[17:55:44] 2.150 | 42177 | 32076 | 7 | 33033
[17:55:44] 2.200 | 36566 | 38247 | 12 | 33023
[17:55:44] 2.250 | 34787 | 38286 | 12 | 33041
[17:55:44] 2.300 | 38197 | 33211 | 6 | 33025
[17:55:44] 2.350 | 38324 | 35156 | 4 | 33023
[17:55:44] 2.400 | 33138 | 35160 | 12 | 33003
[17:55:44] 2.450 | 35047 | 37743 | 9 | 33043
[17:55:44] 2.500 | 39475 | 38140 | 6 | 33022
[17:55:44] 2.550 | 35915 | 41626 | 7 | 33015
[17:55:45] 2.600 | 41951 | 38765 | 8 | 32989
[17:55:45] 2.650 | 36164 | 34866 | 11 | 33029
[17:55:45] 2.700 | 40581 | 36041 | 11 | 33016
[17:55:45] 2.750 | 32506 | 36695 | 11 | 33002
[17:55:45] 2.800 | 34142 | 34998 | 6 | 32983
[17:55:45] 2.850 | 34504 | 42230 | 10 | 32950
[17:55:45] 2.900 | 40757 | 39468 | 7 | 32943
[17:55:45] 2.950 | 33060 | 38255 | 7 | 32989
[17:55:45] 3.000 | 39593 | 42421 | 10 | 32966
[17:55:45] 3.050 | 31958 | 34091 | 12 | 32963
[17:55:45] 3.100 | 32761 | 40064 | 8 | 32955
[17:55:45] 3.150 | 38565 | 39109 | 6 | 32968
[17:55:45] 3.200 | 35841 | 38852 | 16 | 32960
[17:55:45] 3.250 | 33108 | 38409 | 9 | 32967
[17:55:45] 3.300 | 34326 | 37688 | 9 | 32951
[17:55:45] 3.350 | 32783 | 34612 | 11 | 32977
[17:55:45] 3.400 | 34256 | 36336 | 5 | 33021
[17:55:45] 3.450 | 34438 | 32191 | 8 | 32976
[17:55:45] 3.500 | 32805 | 33070 | 5 | 32975
[17:55:45] 3.550 | 33544 | 38673 | 5 | 32968
[17:55:46] 3.600 | 32382 | 37586 | 10 | 32946
[17:55:46] 3.650 | 39814 | 36843 | 8 | 32993
[17:55:46] 3.700 | 37055 | 36803 | 10 | 33075
[17:55:46] 3.750 | 34695 | 42643 | 12 | 33078
[17:55:46] 3.800 | 36100 | 32697 | 9 | 33115
[17:55:46] 3.850 | 37694 | 36656 | 9 | 33163
[17:55:46] 3.900 | 37936 | 38658 | 5 | 33113
[17:55:46] 3.950 | 37052 | 35747 | 9 | 33122
[17:55:46] 4.000 | 36388 | 32461 | 6 | 33150
[17:55:46] 4.050 | 33330 | 38999 | 13 | 33106
[17:55:46] 4.100 | 35324 | 35803 | 9 | 33023
[17:55:46] 4.150 | 35128 | 33829 | 11 | 33018
[17:55:46] 4.200 | 33976 | 33514 | 9 | 33081
[17:55:46] 4.250 | 35301 | 30772 | 7 | 32949
[17:55:46] 4.300 | 35002 | 36837 | 10 | 32949
[17:55:46] 4.350 | 34913 | 37693 | 6 | 32986
[17:55:46] 4.400 | 33243 | 38528 | 10 | 32949
[17:55:46] 4.450 | 37096 | 40967 | 8 | 32966
[17:55:46] 4.500 | 34106 | 37680 | 12 | 32946
[17:55:46] 4.550 | 31423 | 38878 | 12 | 32906
[17:55:47] 4.600 | 33565 | 35125 | 9 | 32955
[17:55:47] 4.650 | 35057 | 36843 | 11 | 32960
[17:55:47] 4.700 | 32487 | 33199 | 8 | 33110
[17:55:47] 4.750 | 35074 | 35753 | 8 | 33092
[17:55:47] 4.800 | 34791 | 32417 | 6 | 33109
[17:55:47] 4.850 | 33030 | 38051 | 8 | 33135
[17:55:47] 4.900 | 37210 | 33532 | 6 | 33091
[17:55:47] 4.950 | 36017 | 35291 | 11 | 33093
[17:55:47] 5.000 | 36642 | 38151 | 14 | 33110
[17:55:47] 5.050 | 36773 | 33626 | 14 | 33121
[17:55:47] 5.100 | 39379 | 35035 | 5 | 33106
[17:55:47] 5.150 | 37157 | 33566 | 8 | 33104
[17:55:47] 5.200 | 34757 | 33817 | 9 | 33072
[17:55:47] 5.250 | 34256 | 40637 | 15 | 33125
[17:55:47] 5.300 | 33518 | 37579 | 9 | 33141
[17:55:47] 5.350 | 37302 | 39638 | 11 | 33157
[17:55:47] 5.400 | 34811 | 33820 | 9 | 33165
[17:55:47] 5.450 | 43128 | 37696 | 10 | 33053
[17:55:47] 5.500 | 33605 | 33188 | 10 | 33090
[17:55:47] 5.550 | 35189 | 36067 | 7 | 33150
[17:55:48] 5.600 | 36521 | 36703 | 10 | 33180
[17:55:48] 5.650 | 36693 | 38006 | 10 | 33150
[17:55:48] 5.700 | 34103 | 39936 | 13 | 33146
[17:55:48] 5.750 | 35343 | 34178 | 10 | 33144
[17:55:48] 5.800 | 34219 | 31777 | 12 | 33142
[17:55:48] 5.850 | 33628 | 38523 | 12 | 33149
[17:55:48] 5.900 | 40218 | 40120 | 11 | 33184
[17:55:48] 5.950 | 33884 | 39133 | 14 | 33204
[17:55:48] 6.000 | 31412 | 35606 | 7 | 33185
[17:55:48] 6.050 | 31480 | 32425 | 8 | 33204
[17:55:48] 6.100 | 34314 | 41286 | 10 | 33200
[17:55:48] 6.150 | 37820 | 37404 | 8 | 33175
[17:55:48] 6.200 | 40810 | 39765 | 10 | 33232
[17:55:48] 6.250 | 33355 | 34304 | 9 | 33112
[17:55:48] 6.300 | 38916 | 37185 | 10 | 33192
[17:55:48] 6.350 | 35316 | 35692 | 14 | 33179
[17:55:48] 6.400 | 34835 | 37325 | 9 | 33205
[17:55:48] 6.450 | 36847 | 40772 | 11 | 33106
[17:55:48] 6.500 | 36495 | 32890 | 6 | 33097
[17:55:48] 6.550 | 34747 | 32059 | 6 | 33200
[17:55:49] 6.600 | 35169 | 36132 | 11 | 33055
[17:55:49] 6.650 | 32331 | 35904 | 8 | 33085
[17:55:49] 6.700 | 32658 | 40565 | 8 | 33079
[17:55:49] 6.750 | 36681 | 35284 | 10 | 33070
[17:55:49] 6.800 | 41674 | 37056 | 6 | 33023
[17:55:49] 6.850 | 38746 | 36029 | 9 | 33062
[17:55:49] 6.900 | 34592 | 35694 | 8 | 33020
[17:55:49] 6.950 | 37747 | 36076 | 6 | 32955
[17:55:49] 7.000 | 38303 | 32584 | 12 | 33018
[17:55:49] 7.050 | 37551 | 36037 | 10 | 32988
[17:55:49] 7.100 | 38003 | 34228 | 11 | 32980
[17:55:49] 7.150 | 34234 | 33888 | 16 | 32980
[17:55:49] 7.200 | 36574 | 39369 | 11 | 32999
[17:55:49] 7.250 | 41818 | 38065 | 7 | 33023
[17:55:49] 7.300 | 36272 | 34166 | 6 | 33036
[17:55:49] 7.350 | 36544 | 33414 | 11 | 33064
[17:55:49] 7.400 | 40671 | 39702 | 8 | 33059
