timestamped_line
[17:51:37] ▶ Starting baseline phase for 2.5 seconds...
[17:51:37] t (s) | A | B | C | D
[17:51:37] 0.050 | 36208 | 43261 | 9 | 28547
[17:51:37] 0.100 | 36975 | 37097 | 13 | 28556
[17:51:37] 0.150 | 36740 | 38090 | 8 | 28555
[17:51:37] 0.200 | 34375 | 35981 | 5 | 28569
[17:51:37] 0.250 | 36885 | 36033 | 10 | 28571
[17:51:37] 0.300 | 34758 | 34816 | 7 | 28558
[17:51:37] 0.350 | 34666 | 36906 | 11 | 28600
[17:51:37] 0.400 | 37423 | 37457 | 11 | 28607
[17:51:37] 0.450 | 34305 | 36258 | 10 | 28636
[17:51:37] 0.500 | 36469 | 36382 | 12 | 28603
[17:51:37] 0.550 | 38704 | 36854 | 13 | 28616
[17:51:37] 0.600 | 36993 | 35427 | 9 | 28608
[17:51:37] 0.650 | 36642 | 35744 | 6 | 28621
[17:51:37] 0.700 | 34739 | 35498 | 10 | 28612
[17:51:37] 0.750 | 33961 | 35332 | 10 | 28621
[17:51:37] 0.800 | 35949 | 35891 | 8 | 28609
[17:51:37] 0.850 | 35475 | 39000 | 13 | 28599
[17:51:38] 0.900 | 35689 | 35167 | 11 | 28602
[17:51:38] 0.950 | 36142 | 36489 | 9 | 28591
[17:51:38] 1.000 | 33488 | 35072 | 8 | 28593
[17:51:38] 1.050 | 33451 | 33985 | 8 | 28598
[17:51:38] 1.100 | 33159 | 34871 | 9 | 28608
[17:51:38] 1.150 | 34783 | 40191 | 13 | 28629
[17:51:38] 1.200 | 37857 | 41849 | 8 | 28636
[17:51:38] 1.250 | 35698 | 33199 | 12 | 28633
[17:51:38] 1.300 | 36127 | 35006 | 13 | 28641
[17:51:38] 1.350 | 32420 | 33236 | 8 | 28613
[17:51:38] 1.400 | 33475 | 36946 | 7 | 28637
[17:51:38] 1.450 | 35384 | 33770 | 7 | 28645
[17:51:38] 1.500 | 36662 | 35832 | 9 | 28641
[17:51:38] 1.550 | 32156 | 37533 | 7 | 28655
[17:51:38] 1.600 | 34202 | 35641 | 12 | 28663
[17:51:38] 1.650 | 38714 | 30477 | 7 | 28639
[17:51:38] 1.700 | 34948 | 40771 | 12 | 28656
[17:51:38] 1.750 | 34117 | 32877 | 9 | 28653
