timestamped_line
[11:57:18] ▶ Starting baseline phase for 2.5 seconds...
[11:57:18] t (s) | A | B | C | D
[11:57:18] 0.050 | 32635 | 36409 | 93 | 35752
[11:57:18] 0.100 | 26198 | 32804 | 67 | 35727
[11:57:18] 0.150 | 36075 | 33462 | 75 | 35706
[11:57:18] 0.200 | 35302 | 34861 | 76 | 35733
[11:57:18] 0.250 | 30640 | 31379 | 88 | 35736
[11:57:18] 0.300 | 35339 | 30108 | 76 | 35721
[11:57:18] 0.350 | 36771 | 31801 | 76 | 35781
[11:57:19] 0.400 | 32666 | 31784 | 84 | 35856
[11:57:19] 0.450 | 28647 | 31328 | 84 | 35855
[11:57:19] 0.500 | 34963 | 34773 | 80 | 35817
[11:57:19] 0.550 | 30265 | 31408 | 65 | 35749
[11:57:19] 0.600 | 33511 | 34439 | 84 | 35739
[11:57:19] 0.650 | 33047 | 31472 | 85 | 35737
[11:57:19] 0.700 | 29855 | 34090 | 95 | 35704
[11:57:19] 0.750 | 34505 | 37637 | 77 | 35640
[11:57:19] 0.800 | 36170 | 31475 | 71 | 35670
[11:57:19] 0.850 | 30593 | 32131 | 73 | 35589
[11:57:19] 0.900 | 34986 | 33143 | 79 | 35517
[11:57:19] 0.950 | 36468 | 32886 | 87 | 35370
[11:57:19] 1.000 | 32718 | 37395 | 75 | 35399
[11:57:19] 1.050 | 27425 | 34565 | 89 | 35451
[11:57:19] 1.100 | 32048 | 32885 | 96 | 35362
[11:57:19] 1.150 | 29677 | 35245 | 90 | 35376
[11:57:19] 1.200 | 35305 | 32555 | 79 | 35347
[11:57:19] 1.250 | 30366 | 28027 | 81 | 35313
[11:57:19] 1.300 | 35123 | 31770 | 82 | 35281
[11:57:19] 1.350 | 30779 | 31061 | 63 | 35243
[11:57:20] 1.400 | 35155 | 31384 | 82 | 35312
[11:57:20] 1.450 | 32989 | 30501 | 81 | 35456
[11:57:20] 1.500 | 25577 | 33591 | 73 | 35431
[11:57:20] 1.550 | 32703 | 35091 | 98 | 35449
[11:57:20] 1.600 | 32408 | 34535 | 81 | 35450
[11:57:20] 1.650 | 34985 | 34505 | 70 | 35451
[11:57:20] 1.700 | 32725 | 32161 | 69 | 35383
[11:57:20] 1.750 | 31748 | 31368 | 61 | 35407
[11:57:20] 1.800 | 32744 | 32426 | 71 | 35407
[11:57:20] 1.850 | 31001 | 33484 | 59 | 35436
[11:57:20] 1.900 | 28665 | 29610 | 78 | 35417
[11:57:20] 1.950 | 32037 | 26775 | 69 | 35414
[11:57:20] 2.000 | 35235 | 32728 | 58 | 35128
[11:57:20] 2.050 | 30183 | 30719 | 78 | 35129
[11:57:20] 2.100 | 33261 | 29664 | 95 | 35145
[11:57:20] 2.150 | 34524 | 37368 | 77 | 35195
[11:57:20] 2.200 | 34283 | 32180 | 67 | 35144
[11:57:20] 2.250 | 30593 | 29119 | 61 | 35209
[11:57:20] 2.300 | 33852 | 33016 | 118 | 35275
[11:57:20] 2.350 | 31705 | 34985 | 84 | 35276
[11:57:21] 2.400 | 35239 | 33980 | 58 | 35262
[11:57:21] 2.450 | 29927 | 32711 | 63 | 35277
[11:57:21] 2.500 | 30613 | 33549 | 71 | 35234
[11:57:21] ✅ Baseline complete. Starting main recording for 10 seconds...
[11:57:21] 2.550 | 32505 | 31435 | 102 | 35223
[11:57:21] 0.050 | 31699 | 33539 | 85 | 35210
[11:57:21] 0.100 | 31075 | 31826 | 91 | 35249
[11:57:21] 0.150 | 27789 | 36428 | 90 | 35269
[11:57:21] 0.200 | 37946 | 33436 | 66 | 35201
[11:57:21] 0.250 | 36523 | 31606 | 84 | 35223
[11:57:21] 0.300 | 30155 | 32250 | 89 | 35245
[11:57:21] 0.350 | 31476 | 32372 | 94 | 35244
[11:57:21] 0.400 | 30872 | 30892 | 67 | 35194
[11:57:21] 0.450 | 32380 | 29258 | 86 | 35219
[11:57:21] 0.500 | 34688 | 35402 | 91 | 35232
[11:57:21] 0.550 | 28433 | 34244 | 76 | 35261
[11:57:21] 0.600 | 35915 | 31524 | 88 | 35337
[11:57:21] 0.650 | 31234 | 33614 | 91 | 35361
[11:57:21] 0.700 | 35411 | 28854 | 70 | 35419
[11:57:21] 0.750 | 32970 | 33513 | 79 | 35395
[11:57:21] 0.800 | 31439 | 31832 | 72 | 35417
[11:57:22] 0.850 | 34216 | 30928 | 72 | 35380
[11:57:22] 0.900 | 29028 | 31696 | 68 | 35454
[11:57:22] 0.950 | 32660 | 32616 | 82 | 35443
[11:57:22] 1.000 | 30432 | 36442 | 57 | 35603
[11:57:22] 1.050 | 31569 | 33511 | 81 | 35641
[11:57:22] 1.100 | 33125 | 32576 | 64 | 35627
[11:57:22] 1.150 | 33273 | 31610 | 56 | 35610
[11:57:22] 1.200 | 32521 | 29317 | 68 | 35583
[11:57:22] 1.250 | 38461 | 29087 | 86 | 35591
[11:57:22] 1.300 | 33212 | 35358 | 84 | 35609
[11:57:22] 1.350 | 32936 | 34467 | 98 | 35573
[11:57:22] 1.400 | 32264 | 32798 | 74 | 35536
[11:57:22] 1.450 | 30954 | 26488 | 98 | 35520
[11:57:22] 1.500 | 29013 | 34758 | 108 | 35562
[11:57:22] 1.550 | 30762 | 31633 | 92 | 35549
[11:57:22] 1.600 | 30309 | 31469 | 66 | 35525
[11:57:22] 1.650 | 27189 | 31529 | 81 | 35548
[11:57:22] 1.700 | 35250 | 33787 | 94 | 35588
[11:57:22] 1.750 | 35489 | 35262 | 78 | 35582
[11:57:22] 1.800 | 29091 | 33088 | 65 | 35466
[11:57:23] 1.850 | 29586 | 34200 | 73 | 35417
[11:57:23] 1.900 | 32312 | 32107 | 73 | 35435
[11:57:23] 1.950 | 30683 | 38669 | 86 | 35435
[11:57:23] 2.000 | 35339 | 32479 | 94 | 35480
[11:57:23] 2.050 | 29956 | 30545 | 70 | 35447
[11:57:23] 2.100 | 33038 | 29540 | 81 | 35448
[11:57:23] 2.150 | 35891 | 28618 | 70 | 35433
[11:57:23] 2.200 | 29932 | 34059 | 65 | 35437
[11:57:23] 2.250 | 33132 | 32466 | 79 | 35418
[11:57:23] 2.300 | 29691 | 30654 | 93 | 35450
[11:57:23] 2.350 | 31301 | 31199 | 76 | 35596
[11:57:23] 2.400 | 37008 | 34267 | 98 | 35611
[11:57:23] 2.450 | 35229 | 37123 | 91 | 35568
[11:57:23] 2.500 | 31853 | 34933 | 61 | 35599
[11:57:23] 2.550 | 34524 | 33170 | 72 | 35619
[11:57:23] 2.600 | 31785 | 29884 | 81 | 35671
[11:57:23] 2.650 | 33895 | 34232 | 83 | 35698
[11:57:23] 2.700 | 33539 | 29178 | 64 | 35652
[11:57:23] 2.750 | 32892 | 32806 | 96 | 35626
[11:57:23] 2.800 | 33054 | 30663 | 84 | 35654
[11:57:24] 2.850 | 32899 | 32879 | 88 | 35452
[11:57:24] 2.900 | 32044 | 36564 | 90 | 35419
[11:57:24] 2.950 | 32158 | 34218 | 61 | 35391
[11:57:24] 3.000 | 34579 | 33436 | 72 | 35635
[11:57:24] 3.050 | 30744 | 28978 | 73 | 35581
[11:57:24] 3.100 | 32647 | 32820 | 80 | 35569
[11:57:24] 3.150 | 35911 | 32362 | 85 | 35522
[11:57:24] 3.200 | 37199 | 25574 | 66 | 35545
[11:57:24] 3.250 | 34785 | 34764 | 93 | 35543
[11:57:24] 3.300 | 31911 | 35946 | 74 | 35586
[11:57:24] 3.350 | 29508 | 33176 | 65 | 35628
[11:57:24] 3.400 | 31106 | 34911 | 79 | 35578
[11:57:24] 3.450 | 37639 | 30964 | 75 | 35630
[11:57:24] 3.500 | 31154 | 32144 | 82 | 35648
[11:57:24] 3.550 | 32081 | 29465 | 97 | 35658
[11:57:24] 3.600 | 25981 | 30717 | 91 | 35661
[11:57:24] 3.650 | 29757 | 31543 | 76 | 35672
[11:57:24] 3.700 | 30174 | 37410 | 93 | 35645
[11:57:24] 3.750 | 35697 | 39017 | 105 | 35691
[11:57:24] 3.800 | 31513 | 29726 | 70 | 35708
[11:57:25] 3.850 | 32746 | 32467 | 87 | 35694
