timestamped_line
[11:50:06] ▶ Starting baseline phase for 2.5 seconds...
[11:50:06] t (s) | A | B | C | D
[11:50:06] 0.051 | 33179 | 30683 | 90 | 30586
[11:50:06] 0.101 | 33806 | 29098 | 90 | 30574
[11:50:06] 0.151 | 31816 | 32780 | 99 | 30569
[11:50:06] 0.201 | 30997 | 26592 | 56 | 30586
[11:50:06] 0.251 | 32308 | 29401 | 78 | 30581
[11:50:06] 0.301 | 30116 | 30708 | 82 | 30579
[11:50:06] 0.351 | 34216 | 31851 | 87 | 30581
[11:50:06] 0.401 | 33055 | 28918 | 63 | 30589
[11:50:06] 0.451 | 32934 | 33997 | 76 | 30566
[11:50:06] 0.501 | 30767 | 32510 | 89 | 30587
[11:50:06] 0.551 | 30143 | 31561 | 86 | 30576
[11:50:06] 0.601 | 31036 | 32142 | 86 | 30572
[11:50:06] 0.651 | 34756 | 36582 | 86 | 30566
[11:50:06] 0.701 | 29592 | 34781 | 84 | 30563
[11:50:06] 0.751 | 29200 | 28271 | 85 | 30563
[11:50:06] 0.801 | 33797 | 36011 | 76 | 30566
[11:50:07] 0.851 | 34775 | 32251 | 82 | 30575
[11:50:07] 0.901 | 33496 | 31067 | 65 | 30572
[11:50:07] 0.951 | 37768 | 37244 | 80 | 30551
[11:50:07] 1.001 | 28443 | 32867 | 64 | 30566
[11:50:07] 1.051 | 28690 | 30510 | 87 | 30572
[11:50:07] 1.101 | 33925 | 32061 | 71 | 30554
[11:50:07] 1.151 | 34752 | 26905 | 68 | 30538
[11:50:07] 1.201 | 31243 | 30365 | 94 | 30554
[11:50:07] 1.251 | 30177 | 33909 | 77 | 30560
[11:50:07] 1.301 | 36269 | 36411 | 89 | 30559
[11:50:07] 1.351 | 33011 | 33766 | 77 | 30563
[11:50:07] 1.401 | 31277 | 29287 | 77 | 30559
[11:50:07] 1.451 | 36477 | 31191 | 92 | 30558
[11:50:07] 1.501 | 38987 | 37543 | 82 | 30553
[11:50:07] 1.551 | 33322 | 33139 | 72 | 30558
[11:50:07] 1.601 | 32189 | 33806 | 71 | 30566
[11:50:07] 1.651 | 28851 | 31234 | 89 | 30566
[11:50:07] 1.701 | 28923 | 28882 | 86 | 30575
[11:50:07] 1.751 | 31420 | 31691 | 92 | 30555
[11:50:07] 1.801 | 33856 | 32323 | 76 | 30545
[11:50:08] 1.851 | 32329 | 33152 | 66 | 30557
[11:50:08] 1.901 | 32671 | 30910 | 87 | 30560
[11:50:08] 1.951 | 30937 | 33243 | 69 | 30558
[11:50:08] 2.001 | 32191 | 33310 | 72 | 30560
[11:50:08] 2.051 | 33084 | 32937 | 100 | 30559
[11:50:08] 2.101 | 33101 | 34046 | 58 | 30576
[11:50:08] 2.151 | 32196 | 30128 | 71 | 30566
[11:50:08] 2.201 | 33764 | 32579 | 88 | 30568
[11:50:08] 2.251 | 33796 | 29885 | 71 | 30572
[11:50:08] 2.301 | 30150 | 32708 | 77 | 30566
[11:50:08] 2.351 | 33794 | 28676 | 77 | 30562
[11:50:08] 2.401 | 28580 | 31696 | 94 | 30571
[11:50:08] 2.451 | 30737 | 30597 | 69 | 30551
[11:50:08] ✅ Baseline complete. Starting main recording for 10 seconds...
[11:50:08] 2.501 | 35703 | 31810 | 72 | 30552
[11:50:08] 0.050 | 32983 | 34753 | 76 | 30553
[11:50:08] 0.100 | 39478 | 37907 | 78 | 30554
[11:50:08] 0.150 | 34790 | 33947 | 92 | 30556
[11:50:08] 0.200 | 26298 | 36096 | 66 | 30576
[11:50:08] 0.250 | 34760 | 39566 | 73 | 30572
[11:50:08] 0.300 | 36895 | 37379 | 103 | 30579
[11:50:09] 0.350 | 35310 | 34227 | 80 | 30578
[11:50:09] 0.400 | 33698 | 27526 | 84 | 30559
[11:50:09] 0.450 | 34677 | 29416 | 66 | 30561
[11:50:09] 0.500 | 31957 | 31172 | 75 | 30552
