timestamped_line
[12:06:38] ▶ Starting baseline phase for 2.5 seconds...
[12:06:38] t (s) | A | B | C | D
[12:06:38] 0.051 | 31644 | 35345 | 72 | 29703
[12:06:38] 0.101 | 34788 | 31429 | 65 | 29702
[12:06:38] 0.151 | 29830 | 28721 | 83 | 29674
[12:06:38] 0.201 | 29434 | 33794 | 56 | 29663
[12:06:38] 0.251 | 33225 | 33571 | 78 | 29672
[12:06:38] 0.301 | 36539 | 30788 | 69 | 29639
[12:06:38] 0.351 | 32451 | 29572 | 74 | 29647
[12:06:39] 0.401 | 29361 | 31288 | 81 | 29643
[12:06:39] 0.451 | 36859 | 28230 | 81 | 29647
[12:06:39] 0.501 | 30197 | 34150 | 76 | 29651
[12:06:39] 0.551 | 32985 | 31702 | 66 | 29631
[12:06:39] 0.601 | 33519 | 32735 | 85 | 29643
[12:06:39] 0.651 | 34254 | 33131 | 74 | 29658
[12:06:39] 0.701 | 32039 | 36268 | 86 | 29645
[12:06:39] 0.751 | 31994 | 31026 | 61 | 29655
[12:06:39] 0.801 | 30136 | 29355 | 72 | 29689
[12:06:39] 0.851 | 34038 | 31256 | 58 | 29711
[12:06:39] 0.901 | 36186 | 32912 | 70 | 29725
[12:06:39] 0.951 | 34374 | 37766 | 59 | 29733
[12:06:39] 1.001 | 35931 | 32578 | 59 | 29746
[12:06:39] 1.051 | 32205 | 31583 | 73 | 29734
[12:06:39] 1.101 | 30698 | 32558 | 69 | 29723
[12:06:39] 1.151 | 31302 | 31825 | 84 | 29720
[12:06:39] 1.201 | 32157 | 38419 | 65 | 29731
[12:06:39] 1.251 | 31268 | 30934 | 79 | 29710
[12:06:39] 1.301 | 31218 | 31119 | 81 | 29732
[12:06:39] 1.351 | 33844 | 33251 | 80 | 29753
[12:06:40] 1.401 | 34738 | 31683 | 96 | 29751
[12:06:40] 1.451 | 31536 | 30354 | 66 | 29718
[12:06:40] 1.501 | 32830 | 32379 | 91 | 29712
[12:06:40] 1.551 | 36073 | 31582 | 86 | 29693
[12:06:40] 1.601 | 34144 | 30158 | 79 | 29700
[12:06:40] 1.651 | 34568 | 30691 | 70 | 29682
[12:06:40] 1.701 | 32867 | 34809 | 73 | 29683
[12:06:40] 1.751 | 33107 | 32988 | 64 | 29676
[12:06:40] 1.801 | 30324 | 28295 | 59 | 29660
[12:06:40] 1.851 | 29399 | 29958 | 61 | 29675
[12:06:40] 1.901 | 30334 | 31030 | 64 | 29713
[12:06:40] 1.951 | 33626 | 38777 | 72 | 29707
[12:06:40] 2.001 | 31629 | 27235 | 75 | 29675
[12:06:40] 2.051 | 33001 | 33411 | 87 | 29697
[12:06:40] 2.101 | 29834 | 31488 | 84 | 29726
[12:06:40] 2.151 | 33621 | 31169 | 76 | 29692
[12:06:40] 2.201 | 32725 | 29338 | 66 | 29667
[12:06:40] 2.251 | 32312 | 31232 | 68 | 29673
[12:06:40] 2.301 | 29902 | 25847 | 71 | 29671
[12:06:40] 2.351 | 31669 | 33958 | 80 | 29676
[12:06:41] 2.401 | 32918 | 33471 | 71 | 29695
[12:06:41] 2.451 | 33265 | 33881 | 79 | 29674
[12:06:41] ✅ Baseline complete. Starting main recording for 10 seconds...
[12:06:41] 2.501 | 33354 | 38375 | 61 | 29672
[12:06:41] 0.050 | 28864 | 29031 | 71 | 29661
[12:06:41] 0.100 | 30918 | 27673 | 73 | 29671
[12:06:41] 0.150 | 27766 | 33008 | 86 | 29638
[12:06:41] 0.200 | 30038 | 33141 | 89 | 29642
[12:06:41] 0.250 | 35073 | 31008 | 77 | 29641
[12:06:41] 0.300 | 33536 | 30730 | 86 | 29674
[12:06:41] 0.350 | 33696 | 34279 | 70 | 29668
[12:06:41] 0.400 | 32097 | 33853 | 78 | 29670
[12:06:41] 0.450 | 30618 | 31092 | 83 | 29654
[12:06:41] 0.500 | 33068 | 35567 | 78 | 29646
[12:06:41] 0.550 | 33252 | 34696 | 69 | 29639
[12:06:41] 0.600 | 35936 | 31683 | 64 | 29633
[12:06:41] 0.650 | 31912 | 29138 | 73 | 29652
[12:06:41] 0.700 | 32583 | 33365 | 71 | 29627
[12:06:41] 0.750 | 28879 | 29109 | 68 | 29606
[12:06:41] 0.800 | 32368 | 31251 | 83 | 29626
[12:06:41] 0.850 | 31777 | 34824 | 70 | 29610
[12:06:42] 0.900 | 32665 | 33095 | 84 | 29621
[12:06:42] 0.950 | 35601 | 32242 | 84 | 29617
[12:06:42] 1.000 | 29685 | 32595 | 71 | 29631
[12:06:42] 1.050 | 32030 | 30932 | 60 | 29635
[12:06:42] 1.100 | 27896 | 31907 | 80 | 29640
[12:06:42] 1.150 | 33111 | 31723 | 70 | 29653
[12:06:42] 1.200 | 31084 | 30224 | 97 | 29647
[12:06:42] 1.250 | 32481 | 31413 | 66 | 29655
