timestamped_line
[11:04:58] ▶ Starting baseline phase for 2.5 seconds...
[11:04:58] t (s) | A | B | C | D
[11:04:58] 0.050 | 29711 | 32652 | 96 | 23091
[11:04:58] 0.100 | 32034 | 36225 | 84 | 23077
[11:04:58] 0.150 | 31237 | 31900 | 93 | 23112
[11:04:58] 0.200 | 28913 | 30909 | 84 | 23119
[11:04:58] 0.250 | 30065 | 34467 | 72 | 23090
[11:04:58] 0.300 | 30464 | 31366 | 80 | 23074
[11:04:58] 0.350 | 32495 | 38441 | 68 | 23113
[11:04:58] 0.400 | 33683 | 37169 | 59 | 23105
[11:04:58] 0.450 | 31440 | 33418 | 63 | 23102
[11:04:58] 0.500 | 29171 | 33146 | 74 | 23100
[11:04:59] 0.550 | 33883 | 33746 | 68 | 23104
[11:04:59] 0.600 | 35844 | 28795 | 82 | 23117
[11:04:59] 0.650 | 31953 | 32586 | 83 | 23122
[11:04:59] 0.700 | 29918 | 31783 | 75 | 23118
[11:04:59] 0.750 | 31657 | 27421 | 84 | 23113
[11:04:59] 0.800 | 29790 | 30743 | 87 | 23104
[11:04:59] 0.850 | 31216 | 30342 | 75 | 23099
[11:04:59] 0.900 | 30767 | 27645 | 76 | 23089
[11:04:59] 0.950 | 31348 | 32896 | 91 | 23087
[11:04:59] 1.000 | 28195 | 37251 | 86 | 23099
[11:04:59] 1.050 | 31588 | 34772 | 63 | 23084
[11:04:59] 1.100 | 31951 | 37745 | 94 | 23029
[11:04:59] 1.150 | 33908 | 36293 | 72 | 23062
[11:04:59] 1.200 | 32535 | 35255 | 85 | 23056
[11:04:59] 1.250 | 33891 | 30582 | 81 | 23035
[11:04:59] 1.300 | 28581 | 28853 | 76 | 23033
[11:04:59] 1.350 | 28317 | 31248 | 75 | 23006
[11:04:59] 1.400 | 27985 | 33998 | 79 | 23016
[11:04:59] 1.450 | 29325 | 37351 | 87 | 23079
[11:04:59] 1.500 | 31742 | 30945 | 79 | 23064
[11:05:00] 1.550 | 30557 | 36474 | 70 | 23083
[11:05:00] 1.600 | 31348 | 31135 | 76 | 23072
[11:05:00] 1.650 | 33581 | 32490 | 84 | 23056
[11:05:00] 1.700 | 32063 | 32827 | 87 | 23049
[11:05:00] 1.750 | 33506 | 32544 | 78 | 23049
[11:05:00] 1.800 | 31572 | 27771 | 76 | 23048
[11:05:00] 1.850 | 35785 | 30071 | 87 | 23028
[11:05:00] 1.900 | 31921 | 31989 | 82 | 23053
[11:05:00] 1.950 | 31888 | 33232 | 77 | 23030
[11:05:00] 2.000 | 27113 | 37116 | 67 | 23039
[11:05:00] 2.050 | 31363 | 31745 | 87 | 23017
[11:05:00] 2.100 | 28289 | 30814 | 74 | 23002
[11:05:00] 2.150 | 31060 | 32717 | 67 | 23020
[11:05:00] 2.200 | 29663 | 35041 | 91 | 23040
[11:05:00] 2.250 | 31952 | 36845 | 78 | 23016
[11:05:00] 2.300 | 34120 | 35700 | 62 | 23024
[11:05:00] 2.350 | 32812 | 28857 | 80 | 23039
[11:05:00] 2.400 | 35949 | 30187 | 69 | 23013
[11:05:00] 2.450 | 31848 | 30719 | 66 | 23016
[11:05:00] 2.500 | 29177 | 31171 | 65 | 23012
[11:05:01] ✅ Baseline complete. Starting main recording for 10 seconds...
[11:05:01] 2.550 | 30042 | 28034 | 83 | 22988
[11:05:01] 0.050 | 32552 | 32865 | 70 | 22980
[11:05:01] 0.100 | 34244 | 29310 | 65 | 22976
[11:05:01] 0.150 | 31781 | 34666 | 80 | 22965
[11:05:01] 0.200 | 30242 | 34780 | 84 | 22957
[11:05:01] 0.250 | 35173 | 31572 | 110 | 22903
[11:05:01] 0.300 | 31629 | 32041 | 88 | 22932
[11:05:01] 0.350 | 33335 | 33625 | 66 | 22936
[11:05:01] 0.400 | 27584 | 32579 | 81 | 22926
[11:05:01] 0.450 | 34457 | 38618 | 86 | 22947
[11:05:01] 0.500 | 30738 | 34930 | 77 | 22970
[11:05:01] 0.550 | 29816 | 34886 | 64 | 22989
[11:05:01] 0.600 | 32080 | 32639 | 75 | 22981
[11:05:01] 0.650 | 31057 | 27292 | 58 | 22998
[11:05:01] 0.700 | 30497 | 31711 | 50 | 23033
[11:05:01] 0.750 | 30309 | 32181 | 84 | 23045
[11:05:01] 0.800 | 30503 | 30675 | 88 | 23027
[11:05:01] 0.850 | 32105 | 35128 | 65 | 23033
[11:05:01] 0.900 | 33263 | 30200 | 88 | 23044
[11:05:01] 0.950 | 32203 | 35628 | 56 | 23034
[11:05:02] 1.000 | 30761 | 32243 | 82 | 23037
[11:05:02] 1.050 | 32419 | 29934 | 89 | 23011
[11:05:02] 1.100 | 29364 | 30084 | 74 | 22954
[11:05:02] 1.150 | 32105 | 28025 | 80 | 22957
[11:05:02] 1.200 | 31858 | 33599 | 76 | 22988
[11:05:02] 1.250 | 30967 | 32893 | 80 | 22977
[11:05:02] 1.300 | 32309 | 32842 | 79 | 22953
[11:05:02] 1.350 | 31237 | 31615 | 93 | 22998
[11:05:02] 1.400 | 34070 | 32023 | 70 | 22990
[11:05:02] 1.450 | 38392 | 28502 | 68 | 22979
[11:05:02] 1.500 | 30892 | 33398 | 84 | 22958
[11:05:02] 1.550 | 28770 | 32107 | 61 | 22999
[11:05:02] 1.600 | 25260 | 31130 | 91 | 22969
[11:05:02] 1.650 | 27592 | 31460 | 87 | 22986
[11:05:02] 1.700 | 30692 | 30685 | 76 | 22991
[11:05:02] 1.750 | 30218 | 37871 | 72 | 22945
[11:05:02] 1.800 | 31640 | 29826 | 76 | 22947
[11:05:02] 1.850 | 29188 | 27353 | 79 | 22962
[11:05:02] 1.900 | 26849 | 29798 | 75 | 22933
[11:05:02] 1.950 | 27426 | 27737 | 85 | 22938
[11:05:03] 2.000 | 29944 | 35061 | 80 | 22917
[11:05:03] 2.050 | 33323 | 31622 | 81 | 22914
