timestamped_line
[11:23:59] ▶ Starting baseline phase for 2.5 seconds...
[11:23:59] t (s) | A | B | C | D
[11:23:59] 0.051 | 34200 | 32325 | 59 | 33685
[11:23:59] 0.101 | 39285 | 23415 | 70 | 33718
[11:23:59] 0.151 | 33318 | 31145 | 78 | 33735
[11:23:59] 0.201 | 34435 | 35258 | 76 | 33727
[11:23:59] 0.251 | 30483 | 32310 | 87 | 33760
[11:23:59] 0.301 | 32915 | 32378 | 88 | 33708
[11:23:59] 0.351 | 35275 | 34893 | 75 | 33677
[11:23:59] 0.401 | 34814 | 32605 | 79 | 33647
[11:23:59] 0.451 | 30960 | 33004 | 80 | 33642
[11:23:59] 0.501 | 32544 | 30846 | 74 | 33611
[11:23:59] 0.551 | 33058 | 30911 | 77 | 33595
[11:23:59] 0.601 | 34961 | 29961 | 70 | 33603
[11:23:59] 0.651 | 34725 | 35316 | 64 | 33614
[11:23:59] 0.701 | 33159 | 35460 | 66 | 33635
[11:23:59] 0.751 | 30102 | 33613 | 100 | 33650
[11:23:59] 0.801 | 34019 | 30238 | 63 | 33726
[11:23:59] 0.851 | 30058 | 32917 | 88 | 33704
[11:24:00] 0.901 | 32660 | 29522 | 74 | 33666
[11:24:00] 0.951 | 29942 | 34310 | 68 | 33700
[11:24:00] 1.001 | 37809 | 30820 | 96 | 33701
[11:24:00] 1.051 | 32411 | 34869 | 76 | 33708
[11:24:00] 1.101 | 35061 | 31239 | 75 | 33758
[11:24:00] 1.151 | 32879 | 32432 | 83 | 33790
[11:24:00] 1.201 | 31187 | 32870 | 76 | 33702
[11:24:00] 1.251 | 29376 | 27721 | 73 | 33795
[11:24:00] 1.301 | 30995 | 31502 | 64 | 33767
[11:24:00] 1.351 | 28471 | 38748 | 86 | 33774
[11:24:00] 1.401 | 30892 | 30199 | 77 | 33736
[11:24:00] 1.451 | 31645 | 30550 | 68 | 33747
[11:24:00] 1.501 | 33111 | 33318 | 81 | 33764
[11:24:00] 1.551 | 32712 | 32156 | 82 | 33788
[11:24:00] 1.601 | 29384 | 31374 | 93 | 33722
[11:24:00] 1.651 | 31936 | 32929 | 78 | 33684
[11:24:00] 1.701 | 34318 | 35982 | 83 | 33653
[11:24:00] 1.751 | 35663 | 33426 | 78 | 33652
[11:24:00] 1.801 | 30984 | 27065 | 69 | 33676
[11:24:00] 1.851 | 33368 | 33796 | 84 | 33701
[11:24:01] 1.901 | 35736 | 34438 | 85 | 33620
[11:24:01] 1.951 | 36830 | 35988 | 79 | 33653
[11:24:01] 2.001 | 30520 | 34586 | 71 | 33682
[11:24:01] 2.051 | 26840 | 34365 | 83 | 33568
[11:24:01] 2.101 | 33524 | 34738 | 74 | 33596
[11:24:01] 2.151 | 32109 | 33424 | 70 | 33583
[11:24:01] 2.201 | 32426 | 32589 | 76 | 33620
[11:24:01] 2.251 | 29725 | 30459 | 78 | 33631
[11:24:01] 2.301 | 29830 | 33517 | 70 | 33620
[11:24:01] 2.351 | 29900 | 34573 | 80 | 33589
[11:24:01] 2.401 | 29557 | 30875 | 89 | 33534
[11:24:01] 2.451 | 31015 | 30292 | 94 | 33575
[11:24:01] ✅ Baseline complete. Starting main recording for 10 seconds...
[11:24:01] 2.501 | 32340 | 34227 | 92 | 33556
[11:24:01] 0.050 | 34048 | 32405 | 81 | 33511
[11:24:01] 0.100 | 33526 | 34017 | 96 | 33420
[11:24:01] 0.150 | 31027 | 29656 | 78 | 33392
[11:24:01] 0.200 | 34329 | 33762 | 96 | 33372
[11:24:01] 0.250 | 31890 | 35321 | 65 | 33389
[11:24:01] 0.300 | 32514 | 38823 | 91 | 33357
[11:24:01] 0.350 | 34992 | 35822 | 81 | 33335
[11:24:02] 0.400 | 30343 | 33393 | 72 | 33315
[11:24:02] 0.450 | 31315 | 32819 | 88 | 33286
[11:24:02] 0.500 | 30773 | 32672 | 75 | 33319
[11:24:02] 0.550 | 32065 | 31361 | 84 | 33373
[11:24:02] 0.600 | 31782 | 30280 | 99 | 33351
[11:24:02] 0.650 | 31040 | 36703 | 60 | 33379
[11:24:02] 0.700 | 31954 | 30406 | 82 | 33325
[11:24:02] 0.750 | 29001 | 31795 | 71 | 33381
[11:24:02] 0.800 | 34753 | 33807 | 58 | 33324
[11:24:02] 0.850 | 31786 | 33913 | 87 | 33296
[11:24:02] 0.900 | 36461 | 36457 | 76 | 33328
[11:24:02] 0.950 | 33814 | 32774 | 72 | 33348
[11:24:02] 1.000 | 34268 | 33137 | 70 | 33324
[11:24:02] 1.050 | 28002 | 32424 | 80 | 33364
[11:24:02] 1.100 | 36825 | 27021 | 77 | 33454
[11:24:02] 1.150 | 32811 | 34613 | 52 | 33458
[11:24:02] 1.200 | 31843 | 30787 | 87 | 33470
[11:24:02] 1.250 | 29373 | 29520 | 77 | 33467
[11:24:02] 1.300 | 31130 | 30684 | 75 | 33441
[11:24:02] 1.350 | 28775 | 34680 | 68 | 33432
[11:24:03] 1.400 | 34786 | 31518 | 99 | 33407
[11:24:03] 1.450 | 33400 | 33409 | 74 | 33446
[11:24:03] 1.500 | 36233 | 31352 | 73 | 33474
[11:24:03] 1.550 | 33991 | 35355 | 65 | 33516
[11:24:03] 1.600 | 38230 | 33675 | 72 | 33520
[11:24:03] 1.650 | 30766 | 30668 | 77 | 33538
[11:24:03] 1.700 | 36103 | 35374 | 90 | 33563
[11:24:03] 1.750 | 29565 | 34579 | 74 | 33543
[11:24:03] 1.800 | 31231 | 31689 | 67 | 33571
[11:24:03] 1.850 | 35431 | 30078 | 81 | 33569
[11:24:03] 1.900 | 31775 | 37375 | 85 | 33560
[11:24:03] 1.950 | 35629 | 36069 | 96 | 33549
[11:24:03] 2.000 | 32693 | 35632 | 76 | 33557
