timestamped_line
[14:48:56] ▶ Starting baseline phase for 5 seconds...
[14:48:56] [BASE] t = 0.050 s | ADC: 3208 | V: 2.5852
[14:48:56] [BASE] t = 0.100 s | ADC: 3207 | V: 2.5844
[14:48:56] [BASE] t = 0.150 s | ADC: 3208 | V: 2.5852
[14:48:56] [BASE] t = 0.200 s | ADC: 3209 | V: 2.5860
[14:48:56] [BASE] t = 0.250 s | ADC: 3207 | V: 2.5844
[14:48:56] [BASE] t = 0.300 s | ADC: 3210 | V: 2.5868
[14:48:56] [BASE] t = 0.350 s | ADC: 3208 | V: 2.5852
[14:48:56] [BASE] t = 0.400 s | ADC: 3208 | V: 2.5852
[14:48:56] [BASE] t = 0.450 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 0.500 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 0.550 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 0.600 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 0.650 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 0.700 s | ADC: 3208 | V: 2.5852
[14:48:57] [BASE] t = 0.750 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 0.800 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 0.850 s | ADC: 3208 | V: 2.5852
[14:48:57] [BASE] t = 0.900 s | ADC: 3208 | V: 2.5852
[14:48:57] [BASE] t = 0.950 s | ADC: 3208 | V: 2.5852
[14:48:57] [BASE] t = 1.000 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 1.050 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 1.100 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 1.150 s | ADC: 3208 | V: 2.5852
[14:48:57] [BASE] t = 1.200 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 1.250 s | ADC: 3209 | V: 2.5860
[14:48:57] [BASE] t = 1.300 s | ADC: 3208 | V: 2.5852
[14:48:57] [BASE] t = 1.350 s | ADC: 3208 | V: 2.5852
[14:48:57] [BASE] t = 1.400 s | ADC: 3208 | V: 2.5852
[14:48:57] [BASE] t = 1.450 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 1.500 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 1.550 s | ADC: 3209 | V: 2.5860
[14:48:58] [BASE] t = 1.600 s | ADC: 3209 | V: 2.5860
[14:48:58] [BASE] t = 1.650 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 1.700 s | ADC: 3209 | V: 2.5860
[14:48:58] [BASE] t = 1.750 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 1.800 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 1.850 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 1.900 s | ADC: 3209 | V: 2.5860
[14:48:58] [BASE] t = 1.950 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 2.000 s | ADC: 3209 | V: 2.5860
[14:48:58] [BASE] t = 2.050 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 2.100 s | ADC: 3209 | V: 2.5860
[14:48:58] [BASE] t = 2.150 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 2.200 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 2.250 s | ADC: 3208 | V: 2.5852
[14:48:58] [BASE] t = 2.300 s | ADC: 3209 | V: 2.5860
[14:48:58] [BASE] t = 2.350 s | ADC: 3209 | V: 2.5860
[14:48:58] [BASE] t = 2.400 s | ADC: 3207 | V: 2.5844
[14:48:58] [BASE] t = 2.450 s | ADC: 3208 | V: 2.5852
[14:48:59] [BASE] t = 2.500 s | ADC: 3208 | V: 2.5852
[14:48:59] [BASE] t = 2.550 s | ADC: 3209 | V: 2.5860
[14:48:59] [BASE] t = 2.600 s | ADC: 3207 | V: 2.5844
[14:48:59] [BASE] t = 2.650 s | ADC: 3208 | V: 2.5852
[14:48:59] [BASE] t = 2.700 s | ADC: 3209 | V: 2.5860
[14:48:59] [BASE] t = 2.750 s | ADC: 3207 | V: 2.5844
[14:48:59] [BASE] t = 2.800 s | ADC: 3208 | V: 2.5852
[14:48:59] [BASE] t = 2.850 s | ADC: 3208 | V: 2.5852
[14:48:59] [BASE] t = 2.900 s | ADC: 3209 | V: 2.5860
[14:48:59] [BASE] t = 2.950 s | ADC: 3208 | V: 2.5852
[14:48:59] [BASE] t = 3.000 s | ADC: 3208 | V: 2.5852
[14:48:59] ✅ Baseline complete. Starting main recording for 20 seconds...
[14:48:59] [MAIN] t = 0.000 s | ADC: 3208 | V: 2.5852
[14:48:59] [MAIN] t = 0.050 s | ADC: 3207 | V: 2.5844
[14:48:59] [MAIN] t = 0.100 s | ADC: 3208 | V: 2.5852
[14:48:59] [MAIN] t = 0.150 s | ADC: 3207 | V: 2.5844
[14:48:59] [MAIN] t = 0.200 s | ADC: 3208 | V: 2.5852
[14:48:59] [MAIN] t = 0.250 s | ADC: 3207 | V: 2.5844
[14:48:59] [MAIN] t = 0.300 s | ADC: 3209 | V: 2.5860
[14:48:59] [MAIN] t = 0.350 s | ADC: 3209 | V: 2.5860
[14:48:59] [MAIN] t = 0.400 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 0.450 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 0.500 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 0.550 s | ADC: 3209 | V: 2.5860
[14:49:00] [MAIN] t = 0.600 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 0.650 s | ADC: 3207 | V: 2.5844
[14:49:00] [MAIN] t = 0.700 s | ADC: 3209 | V: 2.5860
[14:49:00] [MAIN] t = 0.750 s | ADC: 3207 | V: 2.5844
[14:49:00] [MAIN] t = 0.800 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 0.850 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 0.900 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 0.950 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 1.000 s | ADC: 3207 | V: 2.5844
[14:49:00] [MAIN] t = 1.050 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 1.100 s | ADC: 3209 | V: 2.5860
[14:49:00] [MAIN] t = 1.150 s | ADC: 3207 | V: 2.5844
[14:49:00] [MAIN] t = 1.200 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 1.250 s | ADC: 3208 | V: 2.5852
[14:49:00] [MAIN] t = 1.300 s | ADC: 3209 | V: 2.5860
[14:49:00] [MAIN] t = 1.350 s | ADC: 3207 | V: 2.5844
[14:49:00] [MAIN] t = 1.400 s | ADC: 3209 | V: 2.5860
[14:49:01] [MAIN] t = 1.450 s | ADC: 3208 | V: 2.5852
[14:49:01] [MAIN] t = 1.500 s | ADC: 3208 | V: 2.5852
[14:49:01] [MAIN] t = 1.550 s | ADC: 3209 | V: 2.5860
[14:49:01] [MAIN] t = 1.600 s | ADC: 3208 | V: 2.5852
[14:49:01] [MAIN] t = 1.650 s | ADC: 3208 | V: 2.5852
[14:49:01] [MAIN] t = 1.700 s | ADC: 3209 | V: 2.5860
[14:49:01] [MAIN] t = 1.750 s | ADC: 3208 | V: 2.5852
[14:49:01] [MAIN] t = 1.800 s | ADC: 3208 | V: 2.5852
[14:49:01] [MAIN] t = 1.850 s | ADC: 3208 | V: 2.5852
[14:49:01] [MAIN] t = 1.900 s | ADC: 3209 | V: 2.5860
[14:49:01] [MAIN] t = 1.950 s | ADC: 3207 | V: 2.5844
[14:49:01] [MAIN] t = 2.000 s | ADC: 3208 | V: 2.5852
[14:49:01] [MAIN] t = 2.050 s | ADC: 3206 | V: 2.5836
[14:49:01] [MAIN] t = 2.100 s | ADC: 3209 | V: 2.5860
[14:49:01] [MAIN] t = 2.150 s | ADC: 3208 | V: 2.5852
[14:49:01] [MAIN] t = 2.200 s | ADC: 3207 | V: 2.5844
[14:49:01] [MAIN] t = 2.250 s | ADC: 3209 | V: 2.5860
[14:49:01] [MAIN] t = 2.300 s | ADC: 3207 | V: 2.5844
[14:49:01] [MAIN] t = 2.350 s | ADC: 3209 | V: 2.5860
[14:49:01] [MAIN] t = 2.400 s | ADC: 3209 | V: 2.5860
[14:49:02] [MAIN] t = 2.450 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 2.500 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 2.550 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 2.600 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 2.650 s | ADC: 3207 | V: 2.5844
[14:49:02] [MAIN] t = 2.700 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 2.750 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 2.800 s | ADC: 3209 | V: 2.5860
[14:49:02] [MAIN] t = 2.850 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 2.900 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 2.950 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 3.000 s | ADC: 3207 | V: 2.5844
[14:49:02] [MAIN] t = 3.050 s | ADC: 3209 | V: 2.5860
[14:49:02] [MAIN] t = 3.100 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 3.150 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 3.200 s | ADC: 3207 | V: 2.5844
[14:49:02] [MAIN] t = 3.250 s | ADC: 3208 | V: 2.5852
[14:49:02] [MAIN] t = 3.300 s | ADC: 3209 | V: 2.5860
[14:49:02] [MAIN] t = 3.350 s | ADC: 3209 | V: 2.5860
[14:49:02] [MAIN] t = 3.400 s | ADC: 3207 | V: 2.5844
[14:49:03] [MAIN] t = 3.450 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 3.500 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 3.550 s | ADC: 3207 | V: 2.5844
[14:49:03] [MAIN] t = 3.600 s | ADC: 3209 | V: 2.5860
[14:49:03] [MAIN] t = 3.650 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 3.700 s | ADC: 3209 | V: 2.5860
[14:49:03] [MAIN] t = 3.750 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 3.800 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 3.850 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 3.900 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 3.950 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 4.000 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 4.050 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 4.100 s | ADC: 3209 | V: 2.5860
[14:49:03] [MAIN] t = 4.150 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 4.200 s | ADC: 3207 | V: 2.5844
[14:49:03] [MAIN] t = 4.250 s | ADC: 3208 | V: 2.5852
[14:49:03] [MAIN] t = 4.300 s | ADC: 3207 | V: 2.5844
[14:49:03] [MAIN] t = 4.350 s | ADC: 3209 | V: 2.5860
[14:49:03] [MAIN] t = 4.400 s | ADC: 3207 | V: 2.5844
[14:49:04] [MAIN] t = 4.450 s | ADC: 3207 | V: 2.5844
[14:49:04] [MAIN] t = 4.500 s | ADC: 3207 | V: 2.5844
[14:49:04] [MAIN] t = 4.550 s | ADC: 3207 | V: 2.5844
[14:49:04] [MAIN] t = 4.600 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 4.650 s | ADC: 3207 | V: 2.5844
[14:49:04] [MAIN] t = 4.700 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 4.750 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 4.800 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 4.850 s | ADC: 3207 | V: 2.5844
[14:49:04] [MAIN] t = 4.900 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 4.950 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 5.000 s | ADC: 3206 | V: 2.5836
[14:49:04] [MAIN] t = 5.050 s | ADC: 3207 | V: 2.5844
