timestamped_line
[14:25:47] ▶ Starting baseline phase for 5 seconds...
[14:25:47] [BASE] t = 0.051 s | ADC: 2816 | V: 2.2693
[14:25:47] [BASE] t = 0.101 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.151 s | ADC: 2815 | V: 2.2685
[14:25:47] [BASE] t = 0.201 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.251 s | ADC: 2818 | V: 2.2709
[14:25:47] [BASE] t = 0.301 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.351 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.401 s | ADC: 2816 | V: 2.2693
[14:25:47] [BASE] t = 0.451 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.501 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.551 s | ADC: 2818 | V: 2.2709
[14:25:47] [BASE] t = 0.601 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.651 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.701 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.751 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.801 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.851 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.901 s | ADC: 2817 | V: 2.2701
[14:25:47] [BASE] t = 0.951 s | ADC: 2817 | V: 2.2701
[14:25:48] [BASE] t = 1.001 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.051 s | ADC: 2817 | V: 2.2701
[14:25:48] [BASE] t = 1.101 s | ADC: 2817 | V: 2.2701
[14:25:48] [BASE] t = 1.151 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.201 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.251 s | ADC: 2817 | V: 2.2701
[14:25:48] [BASE] t = 1.301 s | ADC: 2817 | V: 2.2701
[14:25:48] [BASE] t = 1.351 s | ADC: 2817 | V: 2.2701
[14:25:48] [BASE] t = 1.401 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.451 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.501 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.551 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.601 s | ADC: 2817 | V: 2.2701
[14:25:48] [BASE] t = 1.651 s | ADC: 2817 | V: 2.2701
[14:25:48] [BASE] t = 1.701 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.751 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.801 s | ADC: 2817 | V: 2.2701
[14:25:48] [BASE] t = 1.851 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.901 s | ADC: 2818 | V: 2.2709
[14:25:48] [BASE] t = 1.951 s | ADC: 2817 | V: 2.2701
[14:25:49] [BASE] t = 2.001 s | ADC: 2818 | V: 2.2709
[14:25:49] [BASE] t = 2.051 s | ADC: 2817 | V: 2.2701
[14:25:49] [BASE] t = 2.101 s | ADC: 2818 | V: 2.2709
[14:25:49] [BASE] t = 2.151 s | ADC: 2818 | V: 2.2709
[14:25:49] [BASE] t = 2.201 s | ADC: 2818 | V: 2.2709
[14:25:49] [BASE] t = 2.251 s | ADC: 2818 | V: 2.2709
