timestamped_line
[14:52:41] ▶ Starting baseline phase for 2.5 seconds...
[14:52:41] t (s) | A | B | C | D
[14:52:41] 0.050 | 38284 | 42231 | 44 | 18468
[14:52:41] 0.100 | 42496 | 40751 | 38 | 18463
[14:52:41] 0.150 | 35538 | 35646 | 31 | 18473
[14:52:41] 0.200 | 39472 | 37608 | 39 | 18455
[14:52:41] 0.250 | 33707 | 34566 | 35 | 18433
[14:52:41] 0.300 | 32321 | 32140 | 33 | 18398
[14:52:41] 0.350 | 33636 | 40869 | 34 | 18398
[14:52:41] 0.400 | 38271 | 35503 | 42 | 18403
[14:52:42] 0.450 | 35713 | 37078 | 43 | 18398
[14:52:42] 0.500 | 35439 | 40204 | 29 | 18384
[14:52:42] 0.550 | 38118 | 35223 | 36 | 18400
[14:52:42] 0.600 | 36922 | 39264 | 43 | 18387
[14:52:42] 0.650 | 34788 | 32856 | 33 | 18367
[14:52:42] 0.700 | 35717 | 41529 | 35 | 18398
[14:52:42] 0.750 | 34108 | 36899 | 46 | 18404
[14:52:42] 0.800 | 38513 | 39875 | 49 | 18409
[14:52:42] 0.850 | 38146 | 36830 | 34 | 18407
[14:52:42] 0.900 | 32635 | 36273 | 40 | 18401
[14:52:42] 0.950 | 38754 | 35627 | 40 | 18392
[14:52:42] 1.000 | 36621 | 34106 | 42 | 18339
[14:52:42] 1.050 | 37235 | 39546 | 27 | 18359
[14:52:42] 1.100 | 33963 | 33355 | 35 | 18360
[14:52:42] 1.150 | 36932 | 39676 | 36 | 18359
[14:52:42] 1.200 | 38649 | 42620 | 42 | 18358
[14:52:42] 1.250 | 31947 | 35937 | 41 | 18358
[14:52:42] 1.300 | 37143 | 36549 | 34 | 18364
[14:52:42] 1.350 | 36117 | 37003 | 40 | 18354
[14:52:42] 1.400 | 31291 | 41562 | 35 | 18342
[14:52:43] 1.450 | 40245 | 38689 | 40 | 18328
[14:52:43] 1.500 | 38110 | 39365 | 46 | 18340
[14:52:43] 1.550 | 39161 | 36189 | 44 | 18305
[14:52:43] 1.600 | 33093 | 39251 | 41 | 18280
[14:52:43] 1.650 | 33187 | 39212 | 42 | 18305
[14:52:43] 1.700 | 35743 | 39336 | 38 | 18321
[14:52:43] 1.750 | 34054 | 38812 | 33 | 18353
[14:52:43] 1.800 | 31423 | 37775 | 33 | 18350
[14:52:43] 1.850 | 32240 | 35708 | 37 | 18315
[14:52:43] 1.900 | 32730 | 40644 | 40 | 18319
[14:52:43] 1.950 | 38747 | 37988 | 38 | 18321
[14:52:43] 2.000 | 37053 | 40613 | 39 | 18316
[14:52:43] 2.050 | 35621 | 33572 | 46 | 18287
[14:52:43] 2.100 | 33305 | 36683 | 38 | 18300
[14:52:43] 2.150 | 34432 | 34447 | 39 | 18288
[14:52:43] 2.200 | 35155 | 40590 | 41 | 18290
[14:52:43] 2.250 | 37944 | 39433 | 36 | 18290
[14:52:43] 2.300 | 33330 | 34010 | 28 | 18283
[14:52:43] 2.350 | 34013 | 37851 | 32 | 18207
[14:52:43] 2.400 | 33200 | 34224 | 35 | 18194
[14:52:44] 2.450 | 34751 | 34577 | 32 | 18238
[14:52:44] 2.500 | 32223 | 38228 | 34 | 18272
[14:52:44] ✅ Baseline complete. Starting main recording for 10 seconds...
[14:52:44] 2.550 | 34906 | 33750 | 39 | 18262
[14:52:44] 0.050 | 34327 | 35718 | 40 | 18246
[14:52:44] 0.100 | 35546 | 33049 | 44 | 18221
[14:52:44] 0.150 | 34749 | 43038 | 40 | 18182
[14:52:44] 0.200 | 34721 | 37678 | 28 | 18178
[14:52:44] 0.250 | 34646 | 33140 | 44 | 18210
[14:52:44] 0.300 | 35673 | 38897 | 32 | 18192
[14:52:44] 0.350 | 37171 | 41149 | 39 | 18170
[14:52:44] 0.400 | 36437 | 34632 | 41 | 18159
[14:52:44] 0.450 | 38185 | 40811 | 39 | 18173
[14:52:44] 0.500 | 40869 | 37592 | 40 | 18138
[14:52:44] 0.550 | 36793 | 38596 | 43 | 18163
[14:52:44] 0.600 | 34779 | 34263 | 37 | 18165
[14:52:44] 0.650 | 36430 | 34634 | 36 | 18137
[14:52:44] 0.700 | 37845 | 37825 | 33 | 18104
[14:52:44] 0.750 | 36918 | 42500 | 36 | 18172
[14:52:44] 0.800 | 31528 | 36005 | 37 | 18180
[14:52:44] 0.850 | 34815 | 35893 | 43 | 18187
[14:52:45] 0.900 | 38739 | 43140 | 38 | 18132
[14:52:45] 0.950 | 36539 | 41514 | 40 | 18133
[14:52:45] 1.000 | 33365 | 37007 | 39 | 18145
[14:52:45] 1.050 | 39920 | 39561 | 38 | 18124
[14:52:45] 1.100 | 33672 | 40026 | 30 | 18156
[14:52:45] 1.150 | 35286 | 37609 | 36 | 18151
[14:52:45] 1.200 | 37274 | 43771 | 40 | 18161
[14:52:45] 1.250 | 32648 | 39447 | 42 | 18146
[14:52:45] 1.300 | 38084 | 38249 | 34 | 18142
[14:52:45] 1.350 | 34763 | 35605 | 26 | 18139
[14:52:45] 1.400 | 35388 | 33074 | 40 | 18121
[14:52:45] 1.450 | 35239 | 36785 | 41 | 18104
[14:52:45] 1.500 | 40031 | 41338 | 39 | 18103
[14:52:45] 1.550 | 44181 | 38506 | 32 | 18106
[14:52:45] 1.600 | 34014 | 38730 | 39 | 18080
[14:52:45] 1.650 | 35097 | 38487 | 48 | 18097
[14:52:45] 1.700 | 34909 | 35837 | 50 | 18079
[14:52:45] 1.750 | 38221 | 38046 | 43 | 18061
[14:52:45] 1.800 | 38796 | 38401 | 47 | 18027
[14:52:45] 1.850 | 35646 | 37238 | 38 | 18024
[14:52:46] 1.900 | 35387 | 36689 | 32 | 18013
[14:52:46] 1.950 | 37072 | 39191 | 40 | 18001
[14:52:46] 2.000 | 37400 | 38840 | 32 | 17942
[14:52:46] 2.050 | 37869 | 32707 | 43 | 18036
[14:52:46] 2.100 | 37338 | 39636 | 42 | 18019
[14:52:46] 2.150 | 35295 | 40663 | 40 | 18020
[14:52:46] 2.200 | 34637 | 38810 | 40 | 17984
[14:52:46] 2.250 | 36068 | 32458 | 40 | 17963
[14:52:46] 2.300 | 32944 | 39182 | 35 | 17942
[14:52:46] 2.350 | 32732 | 38167 | 43 | 17963
[14:52:46] 2.400 | 32982 | 36832 | 34 | 17966
[14:52:46] 2.450 | 32311 | 33336 | 38 | 17974
[14:52:46] 2.500 | 32365 | 42309 | 36 | 17988
[14:52:46] 2.550 | 41486 | 38215 | 40 | 17958
[14:52:46] 2.600 | 37341 | 41336 | 44 | 17978
[14:52:46] 2.650 | 38668 | 37765 | 50 | 17957
[14:52:46] 2.700 | 32650 | 39440 | 42 | 17953
[14:52:46] 2.750 | 37872 | 41050 | 41 | 17928
[14:52:46] 2.800 | 33064 | 45883 | 35 | 17956
[14:52:46] 2.850 | 31349 | 36678 | 35 | 17933
[14:52:47] 2.900 | 35682 | 37119 | 29 | 17964
[14:52:47] 2.950 | 35909 | 35438 | 43 | 17936
[14:52:47] 3.000 | 35635 | 37181 | 36 | 17927
[14:52:47] 3.050 | 35574 | 38393 | 39 | 17913
[14:52:47] 3.100 | 34175 | 36663 | 40 | 17922
[14:52:47] 3.150 | 32649 | 34412 | 32 | 17930
[14:52:47] 3.200 | 34655 | 36628 | 40 | 17881
[14:52:47] 3.250 | 36861 | 37324 | 24 | 17901
[14:52:47] 3.300 | 35882 | 31679 | 35 | 17890
[14:52:47] 3.350 | 35920 | 38902 | 39 | 17897
[14:52:47] 3.400 | 40064 | 39324 | 36 | 17985
[14:52:47] 3.450 | 34148 | 32291 | 31 | 17980
[14:52:47] 3.500 | 33838 | 41073 | 32 | 17947
[14:52:47] 3.550 | 32504 | 38266 | 38 | 17953
[14:52:47] 3.600 | 34680 | 35177 | 42 | 17883
[14:52:47] 3.650 | 34881 | 38937 | 36 | 17901
[14:52:47] 3.700 | 33246 | 37656 | 35 | 17887
[14:52:47] 3.750 | 30824 | 37061 | 33 | 17864
[14:52:47] 3.800 | 31230 | 34851 | 38 | 17888
[14:52:47] 3.850 | 36004 | 39114 | 39 | 17878
[14:52:48] 3.900 | 36783 | 41604 | 39 | 17901
[14:52:48] 3.950 | 36433 | 33470 | 35 | 17890
[14:52:48] 4.000 | 36393 | 39620 | 40 | 17871
[14:52:48] 4.050 | 32292 | 34135 | 38 | 17866
[14:52:48] 4.100 | 34081 | 39632 | 35 | 17903
[14:52:48] 4.150 | 39758 | 37845 | 33 | 17899
[14:52:48] 4.200 | 33816 | 33911 | 34 | 17884
[14:52:48] 4.250 | 34966 | 42833 | 39 | 17886
[14:52:48] 4.300 | 40806 | 42299 | 37 | 17894
