timestamped_line
[15:21:16] ▶ Starting baseline phase for 2.5 seconds...
[15:21:16] t (s) | A | B | C | D
[15:21:16] 0.050 | 36199 | 43567 | 46 | 20473
[15:21:16] 0.100 | 41095 | 37422 | 35 | 20470
[15:21:16] 0.150 | 36510 | 38825 | 47 | 20458
[15:21:16] 0.200 | 39119 | 35900 | 48 | 20456
[15:21:16] 0.250 | 36762 | 40653 | 45 | 20407
[15:21:16] 0.300 | 39588 | 43423 | 45 | 20399
[15:21:16] 0.350 | 37288 | 43334 | 48 | 20466
[15:21:16] 0.400 | 32701 | 35438 | 48 | 20502
[15:21:16] 0.450 | 38155 | 38931 | 38 | 20469
[15:21:16] 0.500 | 34905 | 38885 | 43 | 20437
[15:21:16] 0.550 | 34799 | 35837 | 41 | 20457
[15:21:16] 0.600 | 32287 | 37065 | 42 | 20502
[15:21:16] 0.650 | 32289 | 37038 | 42 | 20483
[15:21:16] 0.700 | 38835 | 37035 | 47 | 20418
[15:21:16] 0.750 | 34317 | 39896 | 36 | 20448
[15:21:17] 0.800 | 35793 | 37277 | 44 | 20507
[15:21:17] 0.850 | 40309 | 39825 | 37 | 20468
[15:21:17] 0.900 | 33991 | 37925 | 44 | 20449
[15:21:17] 0.950 | 36662 | 39024 | 41 | 20474
[15:21:17] 1.000 | 33009 | 38883 | 45 | 20499
[15:21:17] 1.050 | 35347 | 37419 | 41 | 20453
[15:21:17] 1.100 | 30873 | 33499 | 44 | 20412
[15:21:17] 1.150 | 34155 | 36861 | 35 | 20474
[15:21:17] 1.200 | 37071 | 35330 | 50 | 20474
[15:21:17] 1.250 | 38709 | 37962 | 43 | 20439
[15:21:17] 1.300 | 34884 | 36223 | 43 | 20424
[15:21:17] 1.350 | 37519 | 38419 | 38 | 20462
[15:21:17] 1.400 | 33754 | 36256 | 50 | 20437
[15:21:17] 1.450 | 39680 | 40402 | 43 | 20445
[15:21:17] 1.500 | 31743 | 39687 | 39 | 20504
[15:21:17] 1.550 | 31166 | 34732 | 41 | 20483
[15:21:17] 1.600 | 33132 | 37316 | 46 | 20447
[15:21:17] 1.650 | 33834 | 39538 | 44 | 20402
[15:21:17] 1.700 | 34218 | 39041 | 47 | 20499
[15:21:17] 1.750 | 39400 | 39546 | 37 | 20484
[15:21:18] 1.800 | 40289 | 34501 | 46 | 20420
[15:21:18] 1.850 | 32321 | 38508 | 46 | 20462
[15:21:18] 1.900 | 36203 | 35670 | 38 | 20515
[15:21:18] 1.950 | 35815 | 40792 | 45 | 20481
[15:21:18] 2.000 | 35670 | 35115 | 41 | 20462
[15:21:18] 2.050 | 33513 | 39830 | 41 | 20497
[15:21:18] 2.100 | 33808 | 35399 | 40 | 20492
[15:21:18] 2.150 | 34811 | 35852 | 35 | 20474
[15:21:18] 2.200 | 35247 | 33023 | 40 | 20442
[15:21:18] 2.250 | 41664 | 39796 | 40 | 20513
[15:21:18] 2.300 | 35873 | 38214 | 43 | 20494
[15:21:18] 2.350 | 36082 | 41154 | 46 | 20431
[15:21:18] 2.400 | 34128 | 34387 | 45 | 20491
[15:21:18] 2.450 | 34902 | 38242 | 47 | 20510
[15:21:18] 2.500 | 38387 | 40339 | 40 | 20477
[15:21:18] ✅ Baseline complete. Starting main recording for 10 seconds...
[15:21:18] 2.550 | 41184 | 38839 | 38 | 20435
[15:21:18] 0.050 | 35462 | 33256 | 41 | 20503
[15:21:18] 0.100 | 35194 | 40561 | 45 | 20478
[15:21:18] 0.150 | 39499 | 37266 | 43 | 20471
[15:21:18] 0.200 | 35555 | 40624 | 44 | 20465
[15:21:19] 0.250 | 35767 | 41450 | 48 | 20520
[15:21:19] 0.300 | 34454 | 39404 | 53 | 20523
[15:21:19] 0.350 | 42395 | 40131 | 44 | 20468
[15:21:19] 0.400 | 35170 | 38917 | 44 | 20553
[15:21:19] 0.450 | 38466 | 43659 | 43 | 20533
[15:21:19] 0.500 | 32484 | 40633 | 38 | 20496
[15:21:19] 0.550 | 38086 | 45260 | 43 | 20485
[15:21:19] 0.600 | 40037 | 39446 | 38 | 20539
[15:21:19] 0.650 | 36341 | 40426 | 46 | 20499
[15:21:19] 0.700 | 42340 | 39445 | 45 | 20438
[15:21:19] 0.750 | 39660 | 38227 | 40 | 20510
[15:21:19] 0.800 | 36534 | 33911 | 43 | 20520
[15:21:19] 0.850 | 35472 | 38595 | 47 | 20480
[15:21:19] 0.900 | 36964 | 38467 | 41 | 20463
[15:21:19] 0.950 | 39016 | 37362 | 51 | 20533
[15:21:19] 1.000 | 36555 | 35503 | 40 | 20504
[15:21:19] 1.050 | 42380 | 36910 | 43 | 20451
[15:21:19] 1.100 | 38022 | 38836 | 37 | 20473
[15:21:19] 1.150 | 36700 | 38152 | 36 | 20522
