timestamped_line
[17:22:23] ▶ Starting baseline phase for 5 seconds...
[17:22:23] [BASE] t = 0.050 s | ADC: 1252 | V: 1.0089
[17:22:23] [BASE] t = 0.100 s | ADC: 1256 | V: 1.0122
[17:22:23] [BASE] t = 0.150 s | ADC: 1254 | V: 1.0105
[17:22:23] [BASE] t = 0.200 s | ADC: 1255 | V: 1.0114
[17:22:23] [BASE] t = 0.250 s | ADC: 1257 | V: 1.0130
[17:22:23] [BASE] t = 0.300 s | ADC: 1258 | V: 1.0138
[17:22:23] [BASE] t = 0.350 s | ADC: 1256 | V: 1.0122
[17:22:23] [BASE] t = 0.400 s | ADC: 1256 | V: 1.0122
[17:22:23] [BASE] t = 0.450 s | ADC: 1258 | V: 1.0138
[17:22:23] [BASE] t = 0.500 s | ADC: 1255 | V: 1.0114
[17:22:23] [BASE] t = 0.550 s | ADC: 1259 | V: 1.0146
[17:22:23] [BASE] t = 0.600 s | ADC: 1256 | V: 1.0122
[17:22:23] [BASE] t = 0.650 s | ADC: 1259 | V: 1.0146
[17:22:23] [BASE] t = 0.700 s | ADC: 1257 | V: 1.0130
[17:22:23] [BASE] t = 0.750 s | ADC: 1258 | V: 1.0138
[17:22:23] [BASE] t = 0.800 s | ADC: 1255 | V: 1.0114
[17:22:23] [BASE] t = 0.850 s | ADC: 1255 | V: 1.0114
[17:22:23] [BASE] t = 0.900 s | ADC: 1254 | V: 1.0105
[17:22:24] [BASE] t = 0.950 s | ADC: 1257 | V: 1.0130
[17:22:24] [BASE] t = 1.000 s | ADC: 1254 | V: 1.0105
[17:22:24] [BASE] t = 1.050 s | ADC: 1260 | V: 1.0154
[17:22:24] [BASE] t = 1.100 s | ADC: 1259 | V: 1.0146
[17:22:24] [BASE] t = 1.150 s | ADC: 1254 | V: 1.0105
[17:22:24] [BASE] t = 1.200 s | ADC: 1258 | V: 1.0138
[17:22:24] [BASE] t = 1.250 s | ADC: 1254 | V: 1.0105
[17:22:24] [BASE] t = 1.300 s | ADC: 1255 | V: 1.0114
[17:22:24] [BASE] t = 1.350 s | ADC: 1255 | V: 1.0114
[17:22:24] [BASE] t = 1.400 s | ADC: 1255 | V: 1.0114
[17:22:24] [BASE] t = 1.450 s | ADC: 1252 | V: 1.0089
[17:22:24] [BASE] t = 1.500 s | ADC: 1256 | V: 1.0122
[17:22:24] [BASE] t = 1.550 s | ADC: 1256 | V: 1.0122
[17:22:24] [BASE] t = 1.600 s | ADC: 1260 | V: 1.0154
[17:22:24] [BASE] t = 1.650 s | ADC: 1253 | V: 1.0097
[17:22:24] [BASE] t = 1.700 s | ADC: 1262 | V: 1.0170
[17:22:24] [BASE] t = 1.750 s | ADC: 1253 | V: 1.0097
[17:22:24] [BASE] t = 1.800 s | ADC: 1256 | V: 1.0122
[17:22:24] [BASE] t = 1.850 s | ADC: 1254 | V: 1.0105
[17:22:24] [BASE] t = 1.900 s | ADC: 1256 | V: 1.0122
[17:22:25] [BASE] t = 1.950 s | ADC: 1253 | V: 1.0097
[17:22:25] [BASE] t = 2.000 s | ADC: 1255 | V: 1.0114
[17:22:25] [BASE] t = 2.050 s | ADC: 1256 | V: 1.0122
[17:22:25] [BASE] t = 2.100 s | ADC: 1257 | V: 1.0130
[17:22:25] [BASE] t = 2.150 s | ADC: 1256 | V: 1.0122
[17:22:25] [BASE] t = 2.200 s | ADC: 1259 | V: 1.0146
[17:22:25] [BASE] t = 2.250 s | ADC: 1255 | V: 1.0114
[17:22:25] [BASE] t = 2.300 s | ADC: 1253 | V: 1.0097
[17:22:25] [BASE] t = 2.350 s | ADC: 1255 | V: 1.0114
[17:22:25] [BASE] t = 2.400 s | ADC: 1255 | V: 1.0114
[17:22:25] [BASE] t = 2.450 s | ADC: 1255 | V: 1.0114
[17:22:25] [BASE] t = 2.500 s | ADC: 1259 | V: 1.0146
[17:22:25] [BASE] t = 2.550 s | ADC: 1257 | V: 1.0130
[17:22:25] [BASE] t = 2.600 s | ADC: 1256 | V: 1.0122
[17:22:25] [BASE] t = 2.650 s | ADC: 1260 | V: 1.0154
[17:22:25] [BASE] t = 2.700 s | ADC: 1256 | V: 1.0122
[17:22:25] [BASE] t = 2.750 s | ADC: 1264 | V: 1.0186
[17:22:25] [BASE] t = 2.800 s | ADC: 1261 | V: 1.0162
[17:22:25] [BASE] t = 2.850 s | ADC: 1263 | V: 1.0178
[17:22:25] [BASE] t = 2.900 s | ADC: 1257 | V: 1.0130
[17:22:26] [BASE] t = 2.950 s | ADC: 1259 | V: 1.0146
