timestamped_line
[17:02:54] ▶ Starting baseline phase for 5 seconds...
[17:02:54] [BASE] t = 0.050 s | ADC: 2526 | V: 2.0356
[17:02:54] [BASE] t = 0.100 s | ADC: 2527 | V: 2.0364
[17:02:54] [BASE] t = 0.150 s | ADC: 2529 | V: 2.0380
[17:02:54] [BASE] t = 0.200 s | ADC: 2539 | V: 2.0461
[17:02:54] [BASE] t = 0.250 s | ADC: 2534 | V: 2.0421
[17:02:54] [BASE] t = 0.300 s | ADC: 2527 | V: 2.0364
[17:02:54] [BASE] t = 0.350 s | ADC: 2530 | V: 2.0388
[17:02:54] [BASE] t = 0.400 s | ADC: 2532 | V: 2.0404
[17:02:55] [BASE] t = 0.450 s | ADC: 2538 | V: 2.0453
[17:02:55] [BASE] t = 0.500 s | ADC: 2528 | V: 2.0372
[17:02:55] [BASE] t = 0.550 s | ADC: 2529 | V: 2.0380
[17:02:55] [BASE] t = 0.600 s | ADC: 2532 | V: 2.0404
[17:02:55] [BASE] t = 0.650 s | ADC: 2538 | V: 2.0453
[17:02:55] [BASE] t = 0.700 s | ADC: 2535 | V: 2.0429
[17:02:55] [BASE] t = 0.750 s | ADC: 2530 | V: 2.0388
[17:02:55] [BASE] t = 0.800 s | ADC: 2530 | V: 2.0388
[17:02:55] [BASE] t = 0.850 s | ADC: 2536 | V: 2.0437
[17:02:55] [BASE] t = 0.900 s | ADC: 2538 | V: 2.0453
[17:02:55] [BASE] t = 0.950 s | ADC: 2529 | V: 2.0380
[17:02:55] [BASE] t = 1.000 s | ADC: 2531 | V: 2.0396
[17:02:55] [BASE] t = 1.050 s | ADC: 2534 | V: 2.0421
[17:02:55] [BASE] t = 1.100 s | ADC: 2544 | V: 2.0501
[17:02:55] [BASE] t = 1.150 s | ADC: 2541 | V: 2.0477
[17:02:55] [BASE] t = 1.200 s | ADC: 2529 | V: 2.0380
[17:02:55] [BASE] t = 1.250 s | ADC: 2531 | V: 2.0396
[17:02:55] [BASE] t = 1.300 s | ADC: 2540 | V: 2.0469
[17:02:55] [BASE] t = 1.350 s | ADC: 2541 | V: 2.0477
[17:02:55] [BASE] t = 1.400 s | ADC: 2531 | V: 2.0396
[17:02:56] [BASE] t = 1.450 s | ADC: 2531 | V: 2.0396
[17:02:56] [BASE] t = 1.500 s | ADC: 2545 | V: 2.0509
[17:02:56] [BASE] t = 1.550 s | ADC: 2553 | V: 2.0574
[17:02:56] [BASE] t = 1.600 s | ADC: 2544 | V: 2.0501
[17:02:56] [BASE] t = 1.650 s | ADC: 2532 | V: 2.0404
[17:02:56] [BASE] t = 1.700 s | ADC: 2540 | V: 2.0469
[17:02:56] [BASE] t = 1.750 s | ADC: 2550 | V: 2.0549
[17:02:56] [BASE] t = 1.800 s | ADC: 2545 | V: 2.0509
[17:02:56] [BASE] t = 1.850 s | ADC: 2535 | V: 2.0429
[17:02:56] [BASE] t = 1.900 s | ADC: 2537 | V: 2.0445
[17:02:56] [BASE] t = 1.950 s | ADC: 2549 | V: 2.0541
[17:02:56] [BASE] t = 2.000 s | ADC: 2551 | V: 2.0558
[17:02:56] [BASE] t = 2.050 s | ADC: 2540 | V: 2.0469
[17:02:56] [BASE] t = 2.100 s | ADC: 2533 | V: 2.0412
[17:02:56] [BASE] t = 2.150 s | ADC: 2543 | V: 2.0493
[17:02:56] [BASE] t = 2.200 s | ADC: 2554 | V: 2.0582
[17:02:56] [BASE] t = 2.250 s | ADC: 2552 | V: 2.0566
[17:02:56] [BASE] t = 2.300 s | ADC: 2541 | V: 2.0477
[17:02:56] [BASE] t = 2.350 s | ADC: 2547 | V: 2.0525
[17:02:56] [BASE] t = 2.400 s | ADC: 2557 | V: 2.0606
[17:02:57] [BASE] t = 2.450 s | ADC: 2554 | V: 2.0582
[17:02:57] [BASE] t = 2.500 s | ADC: 2547 | V: 2.0525
[17:02:57] [BASE] t = 2.550 s | ADC: 2544 | V: 2.0501
[17:02:57] [BASE] t = 2.600 s | ADC: 2556 | V: 2.0598
[17:02:57] [BASE] t = 2.650 s | ADC: 2559 | V: 2.0622
[17:02:57] [BASE] t = 2.700 s | ADC: 2555 | V: 2.0590
[17:02:57] [BASE] t = 2.750 s | ADC: 2548 | V: 2.0533
[17:02:57] [BASE] t = 2.800 s | ADC: 2555 | V: 2.0590
[17:02:57] [BASE] t = 2.850 s | ADC: 2558 | V: 2.0614
[17:02:57] [BASE] t = 2.900 s | ADC: 2557 | V: 2.0606
[17:02:57] [BASE] t = 2.950 s | ADC: 2555 | V: 2.0590
[17:02:57] [BASE] t = 3.000 s | ADC: 2555 | V: 2.0590
[17:02:57] ✅ Baseline complete. Starting main recording for 20 seconds...
[17:02:57] [MAIN] t = 0.000 s | ADC: 2559 | V: 2.0622
[17:02:57] [MAIN] t = 0.050 s | ADC: 2560 | V: 2.0630
[17:02:57] [MAIN] t = 0.100 s | ADC: 2555 | V: 2.0590
[17:02:57] [MAIN] t = 0.150 s | ADC: 2550 | V: 2.0549
[17:02:57] [MAIN] t = 0.200 s | ADC: 2555 | V: 2.0590
[17:02:57] [MAIN] t = 0.250 s | ADC: 2557 | V: 2.0606
[17:02:57] [MAIN] t = 0.300 s | ADC: 2559 | V: 2.0622
[17:02:57] [MAIN] t = 0.350 s | ADC: 2556 | V: 2.0598
[17:02:58] [MAIN] t = 0.400 s | ADC: 2555 | V: 2.0590
[17:02:58] [MAIN] t = 0.450 s | ADC: 2556 | V: 2.0598
[17:02:58] [MAIN] t = 0.500 s | ADC: 2562 | V: 2.0646
[17:02:58] [MAIN] t = 0.550 s | ADC: 2560 | V: 2.0630
[17:02:58] [MAIN] t = 0.600 s | ADC: 2557 | V: 2.0606
[17:02:58] [MAIN] t = 0.650 s | ADC: 2554 | V: 2.0582
[17:02:58] [MAIN] t = 0.700 s | ADC: 2557 | V: 2.0606
[17:02:58] [MAIN] t = 0.750 s | ADC: 2560 | V: 2.0630
[17:02:58] [MAIN] t = 0.800 s | ADC: 2559 | V: 2.0622
[17:02:58] [MAIN] t = 0.850 s | ADC: 2556 | V: 2.0598
[17:02:58] [MAIN] t = 0.900 s | ADC: 2555 | V: 2.0590
[17:02:58] [MAIN] t = 0.950 s | ADC: 2558 | V: 2.0614
[17:02:58] [MAIN] t = 1.000 s | ADC: 2559 | V: 2.0622
[17:02:58] [MAIN] t = 1.050 s | ADC: 2555 | V: 2.0590
[17:02:58] [MAIN] t = 1.100 s | ADC: 2554 | V: 2.0582
[17:02:58] [MAIN] t = 1.150 s | ADC: 2556 | V: 2.0598
[17:02:58] [MAIN] t = 1.200 s | ADC: 2557 | V: 2.0606
[17:02:58] [MAIN] t = 1.250 s | ADC: 2559 | V: 2.0622
[17:02:58] [MAIN] t = 1.300 s | ADC: 2557 | V: 2.0606
[17:02:58] [MAIN] t = 1.350 s | ADC: 2556 | V: 2.0598
[17:02:59] [MAIN] t = 1.400 s | ADC: 2561 | V: 2.0638
[17:02:59] [MAIN] t = 1.450 s | ADC: 2562 | V: 2.0646
[17:02:59] [MAIN] t = 1.500 s | ADC: 2555 | V: 2.0590
[17:02:59] [MAIN] t = 1.550 s | ADC: 2557 | V: 2.0606
[17:02:59] [MAIN] t = 1.600 s | ADC: 2562 | V: 2.0646
[17:02:59] [MAIN] t = 1.650 s | ADC: 2565 | V: 2.0670
[17:02:59] [MAIN] t = 1.700 s | ADC: 2560 | V: 2.0630
[17:02:59] [MAIN] t = 1.750 s | ADC: 2558 | V: 2.0614
[17:02:59] [MAIN] t = 1.800 s | ADC: 2558 | V: 2.0614
[17:02:59] [MAIN] t = 1.850 s | ADC: 2564 | V: 2.0662
[17:02:59] [MAIN] t = 1.900 s | ADC: 2563 | V: 2.0654
[17:02:59] [MAIN] t = 1.950 s | ADC: 2559 | V: 2.0622
[17:02:59] [MAIN] t = 2.000 s | ADC: 2557 | V: 2.0606
[17:02:59] [MAIN] t = 2.050 s | ADC: 2563 | V: 2.0654
[17:02:59] [MAIN] t = 2.100 s | ADC: 2567 | V: 2.0686
[17:02:59] [MAIN] t = 2.150 s | ADC: 2561 | V: 2.0638
[17:02:59] [MAIN] t = 2.200 s | ADC: 2558 | V: 2.0614
[17:02:59] [MAIN] t = 2.250 s | ADC: 2557 | V: 2.0606
[17:02:59] [MAIN] t = 2.300 s | ADC: 2566 | V: 2.0678
[17:02:59] [MAIN] t = 2.350 s | ADC: 2569 | V: 2.0703
[17:03:00] [MAIN] t = 2.400 s | ADC: 2558 | V: 2.0614
[17:03:00] [MAIN] t = 2.450 s | ADC: 2555 | V: 2.0590
[17:03:00] [MAIN] t = 2.500 s | ADC: 2561 | V: 2.0638
[17:03:00] [MAIN] t = 2.550 s | ADC: 2571 | V: 2.0719
[17:03:00] [MAIN] t = 2.600 s | ADC: 2566 | V: 2.0678
[17:03:00] [MAIN] t = 2.650 s | ADC: 2557 | V: 2.0606
[17:03:00] [MAIN] t = 2.700 s | ADC: 2559 | V: 2.0622
[17:03:00] [MAIN] t = 2.750 s | ADC: 2571 | V: 2.0719
[17:03:00] [MAIN] t = 2.800 s | ADC: 2573 | V: 2.0735
[17:03:00] [MAIN] t = 2.850 s | ADC: 2558 | V: 2.0614
[17:03:00] [MAIN] t = 2.900 s | ADC: 2557 | V: 2.0606
[17:03:00] [MAIN] t = 2.950 s | ADC: 2567 | V: 2.0686
[17:03:00] [MAIN] t = 3.000 s | ADC: 2574 | V: 2.0743
[17:03:00] [MAIN] t = 3.050 s | ADC: 2565 | V: 2.0670
[17:03:00] [MAIN] t = 3.100 s | ADC: 2558 | V: 2.0614
[17:03:00] [MAIN] t = 3.150 s | ADC: 2568 | V: 2.0695
[17:03:00] [MAIN] t = 3.200 s | ADC: 2575 | V: 2.0751
[17:03:00] [MAIN] t = 3.250 s | ADC: 2573 | V: 2.0735
[17:03:00] [MAIN] t = 3.300 s | ADC: 2559 | V: 2.0622
[17:03:00] [MAIN] t = 3.350 s | ADC: 2562 | V: 2.0646
[17:03:01] [MAIN] t = 3.400 s | ADC: 2573 | V: 2.0735
[17:03:01] [MAIN] t = 3.450 s | ADC: 2575 | V: 2.0751
[17:03:01] [MAIN] t = 3.500 s | ADC: 2566 | V: 2.0678
[17:03:01] [MAIN] t = 3.550 s | ADC: 2559 | V: 2.0622
[17:03:01] [MAIN] t = 3.600 s | ADC: 2567 | V: 2.0686
[17:03:01] [MAIN] t = 3.650 s | ADC: 2573 | V: 2.0735
[17:03:01] [MAIN] t = 3.700 s | ADC: 2567 | V: 2.0686
[17:03:01] [MAIN] t = 3.750 s | ADC: 2556 | V: 2.0598
[17:03:01] [MAIN] t = 3.800 s | ADC: 2560 | V: 2.0630
[17:03:01] [MAIN] t = 3.850 s | ADC: 2573 | V: 2.0735
[17:03:01] [MAIN] t = 3.900 s | ADC: 2573 | V: 2.0735
[17:03:01] [MAIN] t = 3.950 s | ADC: 2568 | V: 2.0695
[17:03:01] [MAIN] t = 4.000 s | ADC: 2562 | V: 2.0646
[17:03:01] [MAIN] t = 4.050 s | ADC: 2566 | V: 2.0678
[17:03:01] [MAIN] t = 4.100 s | ADC: 2570 | V: 2.0711
[17:03:01] [MAIN] t = 4.150 s | ADC: 2568 | V: 2.0695
[17:03:01] [MAIN] t = 4.200 s | ADC: 2560 | V: 2.0630
[17:03:01] [MAIN] t = 4.250 s | ADC: 2565 | V: 2.0670
[17:03:01] [MAIN] t = 4.300 s | ADC: 2572 | V: 2.0727
[17:03:01] [MAIN] t = 4.350 s | ADC: 2574 | V: 2.0743
[17:03:02] [MAIN] t = 4.400 s | ADC: 2571 | V: 2.0719
[17:03:02] [MAIN] t = 4.450 s | ADC: 2566 | V: 2.0678
[17:03:02] [MAIN] t = 4.500 s | ADC: 2569 | V: 2.0703
[17:03:02] [MAIN] t = 4.550 s | ADC: 2573 | V: 2.0735
[17:03:02] [MAIN] t = 4.600 s | ADC: 2571 | V: 2.0719
[17:03:02] [MAIN] t = 4.650 s | ADC: 2563 | V: 2.0654
[17:03:02] [MAIN] t = 4.700 s | ADC: 2566 | V: 2.0678
[17:03:02] [MAIN] t = 4.750 s | ADC: 2570 | V: 2.0711
[17:03:02] [MAIN] t = 4.800 s | ADC: 2571 | V: 2.0719
[17:03:02] [MAIN] t = 4.850 s | ADC: 2567 | V: 2.0686
[17:03:02] [MAIN] t = 4.900 s | ADC: 2569 | V: 2.0703
[17:03:02] [MAIN] t = 4.950 s | ADC: 2571 | V: 2.0719
[17:03:02] [MAIN] t = 5.000 s | ADC: 2573 | V: 2.0735
[17:03:02] [MAIN] t = 5.050 s | ADC: 2567 | V: 2.0686
[17:03:02] [MAIN] t = 5.100 s | ADC: 2567 | V: 2.0686
[17:03:02] [MAIN] t = 5.150 s | ADC: 2573 | V: 2.0735
[17:03:02] [MAIN] t = 5.200 s | ADC: 2574 | V: 2.0743
[17:03:02] [MAIN] t = 5.250 s | ADC: 2573 | V: 2.0735
[17:03:02] [MAIN] t = 5.300 s | ADC: 2573 | V: 2.0735
[17:03:02] [MAIN] t = 5.350 s | ADC: 2572 | V: 2.0727
[17:03:03] [MAIN] t = 5.400 s | ADC: 2574 | V: 2.0743
[17:03:03] [MAIN] t = 5.450 s | ADC: 2573 | V: 2.0735
[17:03:03] [MAIN] t = 5.500 s | ADC: 2570 | V: 2.0711
[17:03:03] [MAIN] t = 5.550 s | ADC: 2570 | V: 2.0711
[17:03:03] [MAIN] t = 5.600 s | ADC: 2573 | V: 2.0735
[17:03:03] [MAIN] t = 5.650 s | ADC: 2575 | V: 2.0751
[17:03:03] [MAIN] t = 5.700 s | ADC: 2573 | V: 2.0735
[17:03:03] [MAIN] t = 5.750 s | ADC: 2569 | V: 2.0703
[17:03:03] [MAIN] t = 5.800 s | ADC: 2571 | V: 2.0719
[17:03:03] [MAIN] t = 5.850 s | ADC: 2574 | V: 2.0743
[17:03:03] [MAIN] t = 5.900 s | ADC: 2571 | V: 2.0719
[17:03:03] [MAIN] t = 5.950 s | ADC: 2569 | V: 2.0703
[17:03:03] [MAIN] t = 6.000 s | ADC: 2572 | V: 2.0727
[17:03:03] [MAIN] t = 6.050 s | ADC: 2576 | V: 2.0759
[17:03:03] [MAIN] t = 6.100 s | ADC: 2576 | V: 2.0759
[17:03:03] [MAIN] t = 6.150 s | ADC: 2574 | V: 2.0743
[17:03:03] [MAIN] t = 6.200 s | ADC: 2573 | V: 2.0735
[17:03:03] [MAIN] t = 6.250 s | ADC: 2574 | V: 2.0743
[17:03:03] [MAIN] t = 6.300 s | ADC: 2577 | V: 2.0767
[17:03:03] [MAIN] t = 6.350 s | ADC: 2574 | V: 2.0743
[17:03:04] [MAIN] t = 6.400 s | ADC: 2571 | V: 2.0719
[17:03:04] [MAIN] t = 6.450 s | ADC: 2572 | V: 2.0727
[17:03:04] [MAIN] t = 6.500 s | ADC: 2578 | V: 2.0775
[17:03:04] [MAIN] t = 6.550 s | ADC: 2579 | V: 2.0783
[17:03:04] [MAIN] t = 6.600 s | ADC: 2573 | V: 2.0735
[17:03:04] [MAIN] t = 6.650 s | ADC: 2572 | V: 2.0727
[17:03:04] [MAIN] t = 6.700 s | ADC: 2574 | V: 2.0743
[17:03:04] [MAIN] t = 6.750 s | ADC: 2574 | V: 2.0743
[17:03:04] [MAIN] t = 6.800 s | ADC: 2572 | V: 2.0727
[17:03:04] [MAIN] t = 6.850 s | ADC: 2571 | V: 2.0719
[17:03:04] [MAIN] t = 6.900 s | ADC: 2574 | V: 2.0743
