timestamped_line
[15:23:09] ▶ Starting baseline phase for 2.5 seconds...
[15:23:09] t (s) | A | B | C | D
[15:23:09] 0.050 | 33029 | 45109 | 46 | 26546
[15:23:09] 0.100 | 36856 | 40542 | 42 | 26573
[15:23:09] 0.150 | 37006 | 38853 | 43 | 26610
[15:23:09] 0.200 | 38359 | 35737 | 26 | 26611
[15:23:09] 0.250 | 36292 | 41398 | 36 | 26610
[15:23:09] 0.300 | 34545 | 40488 | 36 | 26587
[15:23:09] 0.350 | 39442 | 40239 | 45 | 26546
[15:23:09] 0.400 | 36778 | 38368 | 43 | 26517
[15:23:09] 0.450 | 41482 | 41112 | 36 | 26523
[15:23:09] 0.500 | 34911 | 40254 | 47 | 26596
[15:23:09] 0.550 | 39050 | 42370 | 48 | 26509
[15:23:10] 0.600 | 37342 | 43368 | 41 | 26581
[15:23:10] 0.650 | 35378 | 44801 | 45 | 26606
[15:23:10] 0.700 | 37492 | 42912 | 46 | 26585
[15:23:10] 0.750 | 37015 | 44027 | 48 | 26592
[15:23:10] 0.800 | 36281 | 39198 | 43 | 26614
[15:23:10] 0.850 | 39454 | 43451 | 45 | 26625
[15:23:10] 0.900 | 35191 | 38329 | 41 | 26482
[15:23:10] 0.950 | 34773 | 36668 | 36 | 26490
[15:23:10] 1.000 | 36516 | 36265 | 39 | 26513
[15:23:10] 1.050 | 36684 | 36746 | 41 | 26422
[15:23:10] 1.100 | 36044 | 34352 | 37 | 26435
[15:23:10] 1.150 | 35946 | 36830 | 48 | 26550
[15:23:10] 1.200 | 33095 | 36462 | 40 | 26567
[15:23:10] 1.250 | 37120 | 38655 | 40 | 26581
[15:23:10] 1.300 | 35305 | 36667 | 48 | 26554
[15:23:10] 1.350 | 36851 | 39178 | 49 | 26604
[15:23:10] 1.400 | 38029 | 39091 | 43 | 26555
[15:23:10] 1.450 | 36256 | 39640 | 45 | 26594
[15:23:10] 1.500 | 35603 | 39880 | 36 | 26527
[15:23:10] 1.550 | 38979 | 40660 | 38 | 26589
[15:23:11] 1.600 | 35862 | 38624 | 42 | 26713
[15:23:11] 1.650 | 36452 | 38780 | 42 | 26971
[15:23:11] 1.700 | 33445 | 38392 | 42 | 28121
[15:23:11] 1.750 | 33859 | 35386 | 43 | 30697
[15:23:11] 1.800 | 37630 | 39010 | 33 | 33094
[15:23:11] 1.850 | 37648 | 39886 | 48 | 34475
[15:23:11] 1.900 | 36677 | 40238 | 44 | 35421
[15:23:11] 1.950 | 39736 | 37624 | 43 | 34669
[15:23:11] 2.000 | 37723 | 41167 | 51 | 29986
[15:23:11] 2.050 | 34872 | 35756 | 43 | 25747
[15:23:11] 2.100 | 36614 | 38853 | 40 | 25721
[15:23:11] 2.150 | 38677 | 32066 | 46 | 25695
[15:23:11] 2.200 | 34147 | 37762 | 47 | 25722
[15:23:11] 2.250 | 37078 | 38847 | 37 | 25711
[15:23:11] 2.300 | 35939 | 33081 | 39 | 25734
[15:23:11] 2.350 | 33357 | 36137 | 37 | 25813
[15:23:11] 2.400 | 34612 | 39952 | 34 | 25871
[15:23:11] 2.450 | 32983 | 36503 | 46 | 25839
[15:23:11] 2.500 | 35534 | 40711 | 39 | 25784
[15:23:11] ✅ Baseline complete. Starting main recording for 10 seconds...
[15:23:11] 2.550 | 34815 | 35403 | 42 | 25798
[15:23:12] 0.050 | 34319 | 42203 | 48 | 25856
[15:23:12] 0.100 | 35137 | 42894 | 44 | 25958
[15:23:12] 0.150 | 38833 | 40665 | 46 | 25959
[15:23:12] 0.200 | 40431 | 39572 | 40 | 25956
[15:23:12] 0.250 | 33520 | 39566 | 47 | 25914
[15:23:12] 0.300 | 36065 | 38886 | 43 | 25932
[15:23:12] 0.350 | 36816 | 40326 | 34 | 25915
[15:23:12] 0.400 | 39970 | 38758 | 38 | 25836
[15:23:12] 0.450 | 35046 | 34273 | 39 | 25790
[15:23:12] 0.500 | 40534 | 39220 | 41 | 25802
[15:23:12] 0.550 | 37193 | 34994 | 35 | 25849
[15:23:12] 0.600 | 36863 | 39936 | 40 | 25843
[15:23:12] 0.650 | 38458 | 37317 | 45 | 25867
[15:23:12] 0.700 | 39112 | 39857 | 39 | 25869
[15:23:12] 0.750 | 41331 | 37666 | 37 | 25867
[15:23:12] 0.800 | 40323 | 36053 | 39 | 25903
[15:23:12] 0.850 | 38138 | 33991 | 41 | 25891
[15:23:12] 0.900 | 35191 | 34680 | 40 | 25838
[15:23:12] 0.950 | 36519 | 36397 | 49 | 25850
[15:23:12] 1.000 | 35542 | 36552 | 33 | 25832
[15:23:13] 1.050 | 33917 | 35938 | 42 | 25844
