timestamped_line
[16:13:30] ▶ Starting baseline phase for 2.5 seconds...
[16:13:30] t (s) | A | B | C | D
[16:13:30] 0.051 | 36395 | 42713 | 43 | 24097
[16:13:30] 0.101 | 38618 | 34320 | 44 | 24097
[16:13:30] 0.151 | 37325 | 35919 | 45 | 24090
[16:13:30] 0.201 | 36468 | 43572 | 51 | 24099
[16:13:30] 0.251 | 36655 | 34807 | 49 | 24094
[16:13:30] 0.301 | 38256 | 36491 | 43 | 24097
[16:13:30] 0.351 | 33779 | 39952 | 46 | 24082
[16:13:30] 0.401 | 31663 | 36863 | 35 | 24084
[16:13:31] 0.451 | 36625 | 37892 | 44 | 24081
[16:13:31] 0.501 | 34949 | 36824 | 39 | 24073
[16:13:31] 0.551 | 34415 | 45388 | 54 | 24079
[16:13:31] 0.601 | 36377 | 37876 | 59 | 24065
[16:13:31] 0.651 | 44201 | 41034 | 38 | 24090
[16:13:31] 0.701 | 37390 | 37480 | 33 | 24103
[16:13:31] 0.751 | 35788 | 36600 | 34 | 24086
[16:13:31] 0.801 | 34011 | 38916 | 48 | 24088
[16:13:31] 0.851 | 40526 | 45413 | 42 | 24129
[16:13:31] 0.901 | 35015 | 38308 | 33 | 24125
[16:13:31] 0.951 | 32937 | 43633 | 42 | 24104
[16:13:31] 1.001 | 34557 | 38977 | 39 | 24105
[16:13:31] 1.051 | 37222 | 41183 | 43 | 24104
[16:13:31] 1.101 | 38960 | 42283 | 39 | 24108
[16:13:31] 1.151 | 32667 | 36161 | 44 | 24099
[16:13:31] 1.201 | 33238 | 36953 | 44 | 24107
[16:13:31] 1.251 | 34846 | 36198 | 46 | 24110
[16:13:31] 1.301 | 39234 | 37681 | 47 | 24125
[16:13:31] 1.351 | 38055 | 36192 | 48 | 24132
[16:13:31] 1.401 | 35943 | 40413 | 41 | 24111
[16:13:32] 1.451 | 34962 | 40533 | 41 | 24116
[16:13:32] 1.501 | 38296 | 37400 | 34 | 24122
[16:13:32] 1.551 | 36632 | 31792 | 31 | 24116
[16:13:32] 1.601 | 35260 | 36554 | 36 | 24119
