timestamped_line
[16:17:51] ▶ Starting baseline phase for 2.5 seconds...
[16:17:51] t (s) | A | B | C | D
[16:17:51] 0.051 | 36679 | 43776 | 39 | 28523
[16:17:52] 0.101 | 34574 | 38445 | 49 | 28467
[16:17:52] 0.151 | 37171 | 38448 | 41 | 28641
[16:17:52] 0.201 | 35636 | 37336 | 51 | 28627
[16:17:52] 0.251 | 37061 | 39013 | 42 | 28677
[16:17:52] 0.301 | 41740 | 40004 | 44 | 28742
[16:17:52] 0.351 | 40417 | 36017 | 42 | 28758
[16:17:52] 0.401 | 38174 | 36872 | 40 | 28780
[16:17:52] 0.451 | 38283 | 39014 | 44 | 28786
[16:17:52] 0.501 | 37670 | 42596 | 36 | 28803
[16:17:52] 0.551 | 41813 | 35853 | 47 | 28830
[16:17:52] 0.601 | 40212 | 43833 | 45 | 28830
[16:17:52] 0.651 | 38781 | 40172 | 41 | 28799
[16:17:52] 0.701 | 35230 | 43910 | 42 | 28801
[16:17:52] 0.751 | 35186 | 40016 | 47 | 28830
[16:17:52] 0.801 | 39729 | 40815 | 42 | 28859
[16:17:52] 0.851 | 37832 | 37625 | 44 | 28863
[16:17:52] 0.901 | 35710 | 36553 | 37 | 28853
[16:17:52] 0.951 | 35787 | 39590 | 41 | 28890
[16:17:52] 1.001 | 37222 | 43328 | 44 | 28911
[16:17:52] 1.051 | 36197 | 37622 | 39 | 28893
[16:17:53] 1.101 | 32304 | 40342 | 43 | 28903
[16:17:53] 1.151 | 36544 | 40663 | 42 | 28842
[16:17:53] 1.201 | 36409 | 39788 | 44 | 28957
[16:17:53] 1.251 | 39708 | 38703 | 40 | 28925
[16:17:53] 1.301 | 38261 | 42154 | 44 | 28940
[16:17:53] 1.351 | 34816 | 43192 | 46 | 28929
[16:17:53] 1.401 | 36909 | 36711 | 40 | 28996
[16:17:53] 1.451 | 29989 | 36146 | 37 | 29021
[16:17:53] 1.501 | 36462 | 34462 | 42 | 28961
[16:17:53] 1.551 | 34970 | 36176 | 45 | 28884
[16:17:53] 1.601 | 37969 | 41430 | 39 | 28866
[16:17:53] 1.651 | 34067 | 36871 | 42 | 28872
[16:17:53] 1.701 | 36650 | 38733 | 42 | 28899
[16:17:53] 1.751 | 39725 | 36541 | 42 | 28855
[16:17:53] 1.801 | 38914 | 39452 | 46 | 28856
[16:17:53] 1.851 | 37005 | 41094 | 38 | 28835
[16:17:53] 1.901 | 33598 | 33570 | 40 | 28883
[16:17:53] 1.951 | 32318 | 35545 | 41 | 28822
[16:17:53] 2.001 | 36982 | 37867 | 45 | 28865
