timestamped_line
[16:20:18] ▶ Starting baseline phase for 2.5 seconds...
[16:20:18] t (s) | A | B | C | D
[16:20:18] 0.050 | 35819 | 42819 | 36 | 34761
[16:20:18] 0.100 | 42144 | 37732 | 40 | 34771
[16:20:18] 0.150 | 42960 | 42401 | 45 | 34757
[16:20:18] 0.200 | 37440 | 38174 | 46 | 34753
[16:20:18] 0.250 | 37538 | 36477 | 44 | 34760
[16:20:18] 0.300 | 40273 | 37459 | 46 | 34753
[16:20:18] 0.350 | 37557 | 36204 | 44 | 34749
[16:20:18] 0.400 | 39971 | 42465 | 45 | 34738
[16:20:18] 0.450 | 39576 | 38798 | 45 | 34744
[16:20:18] 0.500 | 40975 | 41240 | 53 | 34746
[16:20:18] 0.550 | 34874 | 39539 | 39 | 34736
[16:20:18] 0.600 | 42375 | 39191 | 46 | 34733
[16:20:18] 0.650 | 39589 | 37713 | 44 | 34746
[16:20:18] 0.700 | 38744 | 43409 | 34 | 34745
[16:20:18] 0.750 | 36018 | 38204 | 45 | 34740
[16:20:19] 0.800 | 38371 | 42667 | 44 | 34725
[16:20:19] 0.850 | 40055 | 38962 | 46 | 34735
[16:20:19] 0.900 | 41689 | 34136 | 38 | 34745
[16:20:19] 0.950 | 37370 | 43258 | 38 | 34737
[16:20:19] 1.000 | 38144 | 37002 | 40 | 34733
[16:20:19] 1.050 | 39805 | 33739 | 42 | 34725
[16:20:19] 1.100 | 39403 | 38236 | 48 | 34718
[16:20:19] 1.150 | 35069 | 38172 | 36 | 34719
[16:20:19] 1.200 | 32939 | 34459 | 46 | 34715
[16:20:19] 1.250 | 35696 | 39662 | 41 | 34703
[16:20:19] 1.300 | 35642 | 39877 | 46 | 34730
[16:20:19] 1.350 | 36188 | 40250 | 43 | 34725
[16:20:19] 1.400 | 35563 | 36879 | 39 | 34716
[16:20:19] 1.450 | 40000 | 39192 | 45 | 34720
[16:20:19] 1.500 | 36964 | 36596 | 39 | 34725
[16:20:19] 1.550 | 42684 | 36392 | 47 | 34707
[16:20:19] 1.600 | 41083 | 41920 | 46 | 34711
[16:20:19] 1.650 | 34249 | 39288 | 39 | 34713
[16:20:19] 1.700 | 35530 | 40881 | 38 | 34700
[16:20:19] 1.750 | 39992 | 42184 | 47 | 34718
[16:20:20] 1.800 | 34720 | 39971 | 42 | 34716
[16:20:20] 1.850 | 35069 | 36828 | 41 | 34710
[16:20:20] 1.900 | 35427 | 40723 | 38 | 34715
[16:20:20] 1.950 | 38721 | 36181 | 35 | 34718
[16:20:20] 2.000 | 40232 | 36219 | 46 | 34720
[16:20:20] 2.050 | 40119 | 37560 | 42 | 34718
[16:20:20] 2.100 | 38392 | 40463 | 37 | 34703
[16:20:20] 2.150 | 34356 | 37864 | 44 | 34703
[16:20:20] 2.200 | 41142 | 39968 | 44 | 34699
[16:20:20] 2.250 | 39156 | 38095 | 39 | 34694
[16:20:20] 2.300 | 39927 | 34816 | 37 | 34700
[16:20:20] 2.350 | 37551 | 41568 | 49 | 34697
[16:20:20] 2.400 | 39849 | 37997 | 48 | 34705
[16:20:20] 2.450 | 38843 | 38789 | 42 | 34706
[16:20:20] 2.500 | 36419 | 37430 | 44 | 34691
[16:20:20] ✅ Baseline complete. Starting main recording for 10 seconds...
[16:20:20] 2.550 | 39029 | 43004 | 44 | 34683
[16:20:20] 0.050 | 39135 | 36562 | 46 | 34695
[16:20:20] 0.100 | 41338 | 38920 | 49 | 34693
[16:20:20] 0.150 | 35317 | 37511 | 46 | 34687
[16:20:20] 0.200 | 41302 | 34010 | 39 | 34700
[16:20:21] 0.250 | 38291 | 40867 | 44 | 34695
[16:20:21] 0.300 | 39773 | 40889 | 44 | 34682
[16:20:21] 0.350 | 45583 | 38749 | 46 | 34687
[16:20:21] 0.400 | 42154 | 36666 | 43 | 34678
[16:20:21] 0.450 | 38941 | 38356 | 36 | 34667
[16:20:21] 0.500 | 39562 | 41925 | 39 | 34681
[16:20:21] 0.550 | 39674 | 39640 | 38 | 34673
[16:20:21] 0.600 | 38873 | 36677 | 36 | 34682
[16:20:21] 0.650 | 35172 | 36742 | 40 | 34666
[16:20:21] 0.700 | 34281 | 35976 | 40 | 34661
[16:20:21] 0.750 | 34710 | 34773 | 34 | 34670
[16:20:21] 0.800 | 39784 | 43495 | 43 | 34669
[16:20:21] 0.850 | 40352 | 40106 | 43 | 34657
[16:20:21] 0.900 | 36680 | 35301 | 40 | 34658
[16:20:21] 0.950 | 33675 | 39014 | 43 | 34663
[16:20:21] 1.000 | 38870 | 37892 | 48 | 34661
[16:20:21] 1.050 | 39191 | 40420 | 36 | 34652
[16:20:21] 1.100 | 37793 | 37916 | 36 | 34661
[16:20:21] 1.150 | 37707 | 39704 | 43 | 34655
[16:20:21] 1.200 | 38522 | 40228 | 44 | 34662
[16:20:22] 1.250 | 36288 | 36627 | 39 | 34651
[16:20:22] 1.300 | 38693 | 40034 | 42 | 34646
[16:20:22] 1.350 | 40242 | 39505 | 39 | 34647
[16:20:22] 1.400 | 38717 | 31843 | 34 | 34648
[16:20:22] 1.450 | 35741 | 36523 | 37 | 34627
[16:20:22] 1.500 | 39930 | 35277 | 40 | 34649
[16:20:22] 1.550 | 37837 | 40911 | 44 | 34632
[16:20:22] 1.600 | 35844 | 36215 | 39 | 34636
[16:20:22] 1.650 | 40270 | 36134 | 42 | 34643
[16:20:22] 1.700 | 44009 | 41049 | 41 | 34639
[16:20:22] 1.750 | 39336 | 38046 | 43 | 34644
[16:20:22] 1.800 | 39812 | 36092 | 32 | 34660
[16:20:22] 1.850 | 36234 | 40976 | 45 | 34642
[16:20:22] 1.900 | 40936 | 38189 | 38 | 34641
[16:20:22] 1.950 | 36526 | 41159 | 44 | 34643
[16:20:22] 2.000 | 41425 | 38601 | 38 | 34631
[16:20:22] 2.050 | 37219 | 41161 | 36 | 34651
[16:20:22] 2.100 | 37519 | 39104 | 51 | 34640
