timestamped_line
[16:20:57] ▶ Starting baseline phase for 2.5 seconds...
[16:20:57] t (s) | A | B | C | D
[16:20:57] 0.051 | 38492 | 39433 | 47 | 47453
[16:20:57] 0.101 | 40755 | 42245 | 50 | 47465
[16:20:57] 0.151 | 37689 | 43783 | 46 | 47431
[16:20:57] 0.201 | 39221 | 39272 | 47 | 47453
[16:20:57] 0.251 | 38554 | 38042 | 48 | 47444
[16:20:57] 0.301 | 39554 | 42494 | 37 | 47453
[16:20:57] 0.351 | 39065 | 41446 | 41 | 47464
[16:20:57] 0.401 | 39618 | 41518 | 40 | 47498
[16:20:57] 0.451 | 44145 | 33581 | 42 | 47543
[16:20:57] 0.501 | 39316 | 40502 | 46 | 47527
[16:20:57] 0.551 | 41790 | 44269 | 46 | 47483
[16:20:57] 0.601 | 44637 | 39234 | 41 | 47528
[16:20:57] 0.651 | 41053 | 41634 | 56 | 47525
[16:20:57] 0.701 | 47237 | 42244 | 41 | 47526
[16:20:57] 0.751 | 38817 | 39072 | 42 | 47503
[16:20:57] 0.801 | 41661 | 38535 | 40 | 47510
[16:20:57] 0.851 | 40305 | 47144 | 46 | 47500
[16:20:58] 0.901 | 37168 | 39580 | 46 | 47516
[16:20:58] 0.951 | 41478 | 37497 | 47 | 47537
[16:20:58] 1.001 | 35540 | 38596 | 47 | 47543
[16:20:58] 1.051 | 39083 | 40051 | 45 | 47555
[16:20:58] 1.101 | 36855 | 37496 | 49 | 47543
[16:20:58] 1.151 | 44149 | 39710 | 38 | 47556
[16:20:58] 1.201 | 38655 | 42320 | 48 | 47541
[16:20:58] 1.251 | 41529 | 38820 | 41 | 47520
[16:20:58] 1.301 | 35747 | 43591 | 49 | 47536
[16:20:58] 1.351 | 38977 | 40547 | 48 | 47527
[16:20:58] 1.401 | 40878 | 38855 | 51 | 47557
[16:20:58] 1.451 | 45145 | 43065 | 50 | 47598
[16:20:58] 1.501 | 35465 | 36027 | 52 | 47602
[16:20:58] 1.551 | 37995 | 35786 | 50 | 47617
[16:20:58] 1.601 | 40405 | 38040 | 44 | 47588
[16:20:58] 1.651 | 37854 | 41727 | 48 | 47658
[16:20:58] 1.701 | 37272 | 35411 | 46 | 47658
[16:20:58] 1.751 | 42344 | 39326 | 45 | 47670
[16:20:58] 1.801 | 43225 | 37626 | 42 | 47676
[16:20:58] 1.851 | 37513 | 38914 | 48 | 47651
[16:20:59] 1.901 | 36973 | 41354 | 39 | 47670
[16:20:59] 1.951 | 43904 | 41544 | 46 | 47679
[16:20:59] 2.001 | 47201 | 41232 | 54 | 47675
[16:20:59] 2.051 | 41901 | 40948 | 46 | 47707
[16:20:59] 2.101 | 39534 | 41588 | 48 | 47720
[16:20:59] 2.151 | 39789 | 34033 | 42 | 47702
[16:20:59] 2.201 | 42241 | 39470 | 53 | 47713
[16:20:59] 2.251 | 41512 | 38516 | 49 | 47706
[16:20:59] 2.301 | 41489 | 43995 | 41 | 47740
[16:20:59] 2.351 | 40698 | 40103 | 41 | 47756
[16:20:59] 2.401 | 40715 | 37607 | 38 | 47760
[16:20:59] 2.451 | 42532 | 38573 | 52 | 47729
[16:20:59] ✅ Baseline complete. Starting main recording for 10 seconds...
[16:20:59] 2.501 | 38370 | 35580 | 50 | 47772
[16:20:59] 0.050 | 34686 | 44818 | 46 | 47803
[16:20:59] 0.100 | 41542 | 41118 | 42 | 47800
[16:20:59] 0.150 | 37559 | 32631 | 40 | 47799
[16:20:59] 0.200 | 40363 | 40241 | 49 | 47814
[16:20:59] 0.250 | 41908 | 38770 | 41 | 47807
[16:20:59] 0.300 | 45025 | 45175 | 47 | 47823
[16:20:59] 0.350 | 41804 | 37341 | 44 | 47791
[16:21:00] 0.400 | 41731 | 41126 | 50 | 47810
[16:21:00] 0.450 | 40799 | 45990 | 47 | 47830
[16:21:00] 0.500 | 39143 | 35856 | 49 | 47833
[16:21:00] 0.550 | 41885 | 44390 | 44 | 47842
[16:21:00] 0.600 | 41923 | 38191 | 52 | 47828
[16:21:00] 0.650 | 38415 | 36421 | 52 | 47847
[16:21:00] 0.700 | 38586 | 34800 | 37 | 47874
[16:21:00] 0.750 | 40513 | 35054 | 42 | 47876
[16:21:00] 0.800 | 42790 | 36478 | 51 | 47888
[16:21:00] 0.850 | 38052 | 36446 | 43 | 47882
[16:21:00] 0.900 | 43677 | 41324 | 46 | 47865
[16:21:00] 0.950 | 39487 | 37130 | 54 | 47860
[16:21:00] 1.000 | 39192 | 35659 | 50 | 47884
[16:21:00] 1.050 | 41183 | 44328 | 47 | 47877
[16:21:00] 1.100 | 43619 | 40327 | 41 | 47886
[16:21:00] 1.150 | 40611 | 37770 | 50 | 47899
[16:21:00] 1.200 | 39614 | 40092 | 42 | 47902
[16:21:00] 1.250 | 41239 | 37868 | 46 | 47896
[16:21:00] 1.300 | 38319 | 42308 | 45 | 47893
[16:21:00] 1.350 | 38536 | 36137 | 41 | 47890
[16:21:01] 1.400 | 41175 | 42091 | 52 | 47911
[16:21:01] 1.450 | 40054 | 40815 | 56 | 47911
[16:21:01] 1.500 | 35799 | 42875 | 39 | 47900
[16:21:01] 1.550 | 37303 | 39088 | 49 | 47882
[16:21:01] 1.600 | 39715 | 39490 | 44 | 47898
[16:21:01] 1.650 | 44583 | 34787 | 37 | 47893
[16:21:01] 1.700 | 47551 | 36553 | 42 | 47872
[16:21:01] 1.750 | 37636 | 39967 | 42 | 47916
[16:21:01] 1.800 | 40290 | 41031 | 44 | 47919
[16:21:01] 1.850 | 42212 | 36065 | 40 | 47957
[16:21:01] 1.900 | 41976 | 43744 | 50 | 48010
[16:21:01] 1.950 | 40192 | 40786 | 39 | 47985
[16:21:01] 2.000 | 44594 | 43698 | 50 | 47997
[16:21:01] 2.050 | 40762 | 42042 | 53 | 48036
[16:21:01] 2.100 | 44890 | 40442 | 51 | 48027
[16:21:01] 2.150 | 40516 | 40692 | 40 | 48033
[16:21:01] 2.200 | 40741 | 37790 | 51 | 48030
[16:21:01] 2.250 | 41562 | 42134 | 53 | 48028
[16:21:01] 2.300 | 41264 | 37172 | 48 | 48020
[16:21:01] 2.350 | 39717 | 40106 | 43 | 48019
[16:21:02] 2.400 | 42787 | 42396 | 43 | 48012
[16:21:02] 2.450 | 38923 | 38300 | 42 | 48021
[16:21:02] 2.500 | 42089 | 44756 | 39 | 48027
[16:21:02] 2.550 | 42148 | 42898 | 52 | 48061
[16:21:02] 2.600 | 43543 | 35709 | 39 | 48092
[16:21:02] 2.650 | 38037 | 35542 | 47 | 48095
[16:21:02] 2.700 | 40572 | 36110 | 47 | 48086
[16:21:02] 2.750 | 39980 | 33590 | 44 | 48100
[16:21:02] 2.800 | 42048 | 39785 | 42 | 48115
[16:21:02] 2.850 | 42566 | 34896 | 41 | 48100
[16:21:02] 2.900 | 41322 | 40521 | 33 | 48112
[16:21:02] 2.950 | 35317 | 36398 | 42 | 48084
[16:21:02] 3.000 | 39368 | 38681 | 45 | 48062
[16:21:02] 3.050 | 40619 | 36405 | 43 | 47911
[16:21:02] 3.100 | 44678 | 43932 | 43 | 47810
[16:21:02] 3.150 | 36655 | 40800 | 49 | 47840
[16:21:02] 3.200 | 40938 | 39670 | 49 | 47842
[16:21:02] 3.250 | 39079 | 41223 | 40 | 47829
[16:21:02] 3.300 | 42516 | 37651 | 42 | 47798
[16:21:02] 3.350 | 39483 | 43131 | 49 | 47809
[16:21:03] 3.400 | 41257 | 41784 | 41 | 47818
[16:21:03] 3.450 | 44774 | 40869 | 38 | 47788
[16:21:03] 3.500 | 42122 | 35175 | 44 | 47768
[16:21:03] 3.550 | 43057 | 42048 | 45 | 47750
[16:21:03] 3.600 | 42038 | 40840 | 50 | 47747
[16:21:03] 3.650 | 44349 | 42120 | 41 | 47752
[16:21:03] 3.700 | 40074 | 35792 | 48 | 47707
[16:21:03] 3.750 | 38071 | 39691 | 54 | 47728
[16:21:03] 3.800 | 37359 | 39970 | 50 | 47726
[16:21:03] 3.850 | 39312 | 44353 | 43 | 47711
[16:21:03] 3.900 | 40813 | 41425 | 54 | 47712
[16:21:03] 3.950 | 39306 | 39627 | 45 | 47731
[16:21:03] 4.000 | 39874 | 38268 | 51 | 47733
[16:21:03] 4.050 | 42414 | 38110 | 47 | 47726
[16:21:03] 4.100 | 40534 | 36334 | 47 | 47726
[16:21:03] 4.150 | 38995 | 40031 | 43 | 47741
[16:21:03] 4.200 | 41458 | 38144 | 43 | 47740
[16:21:03] 4.250 | 44970 | 36767 | 42 | 47731
[16:21:03] 4.300 | 42597 | 40534 | 48 | 47749
[16:21:03] 4.350 | 40373 | 41802 | 47 | 47755
[16:21:04] 4.400 | 39706 | 37947 | 40 | 47748
[16:21:04] 4.450 | 43791 | 41591 | 43 | 47752
[16:21:04] 4.500 | 38397 | 45273 | 53 | 47771
[16:21:04] 4.550 | 36842 | 34545 | 61 | 47783
[16:21:04] 4.600 | 36192 | 40812 | 40 | 47799
[16:21:04] 4.650 | 36065 | 37891 | 40 | 47794
[16:21:04] 4.700 | 38546 | 43066 | 47 | 47804
[16:21:04] 4.750 | 42297 | 46196 | 58 | 47815
[16:21:04] 4.800 | 38978 | 43770 | 52 | 47841
[16:21:04] 4.850 | 41198 | 41251 | 45 | 47861
[16:21:04] 4.900 | 39284 | 39446 | 46 | 47848
[16:21:04] 4.950 | 42091 | 37400 | 45 | 47854
[16:21:04] 5.000 | 37749 | 42637 | 45 | 47844
[16:21:04] 5.050 | 42632 | 40403 | 48 | 47827
[16:21:04] 5.100 | 37454 | 37540 | 44 | 47827
[16:21:04] 5.150 | 35762 | 41738 | 41 | 47833
[16:21:04] 5.200 | 42624 | 37022 | 45 | 47834
[16:21:04] 5.250 | 33984 | 33087 | 51 | 47825
[16:21:04] 5.300 | 34275 | 38844 | 44 | 47828
[16:21:04] 5.350 | 41218 | 35833 | 43 | 47827
[16:21:05] 5.400 | 42467 | 37712 | 51 | 47811
[16:21:05] 5.450 | 40221 | 39927 | 56 | 47808
[16:21:05] 5.500 | 38364 | 43801 | 38 | 47816
[16:21:05] 5.550 | 37501 | 42247 | 49 | 47829
[16:21:05] 5.600 | 41010 | 42195 | 42 | 47823
[16:21:05] 5.650 | 42309 | 41134 | 44 | 47830
[16:21:05] 5.700 | 45517 | 44473 | 52 | 47843
[16:21:05] 5.750 | 40827 | 41595 | 49 | 47836
[16:21:05] 5.800 | 38396 | 40702 | 39 | 47839
[16:21:05] 5.850 | 40848 | 43618 | 54 | 47844
[16:21:05] 5.900 | 38094 | 44179 | 44 | 47844
[16:21:05] 5.950 | 39386 | 38949 | 41 | 47853
[16:21:05] 6.000 | 41894 | 42636 | 43 | 47841
[16:21:05] 6.050 | 44277 | 39961 | 43 | 47844
[16:21:05] 6.100 | 39560 | 43874 | 41 | 47858
[16:21:05] 6.150 | 38736 | 37623 | 44 | 47839
[16:21:05] 6.200 | 37896 | 40634 | 49 | 47834
[16:21:05] 6.250 | 39278 | 46188 | 51 | 47830
[16:21:05] 6.300 | 43231 | 39746 | 44 | 47852
[16:21:05] 6.350 | 38249 | 38498 | 51 | 47836
[16:21:06] 6.400 | 36896 | 38062 | 42 | 47845
[16:21:06] 6.450 | 35674 | 39524 | 39 | 47855
[16:21:06] 6.500 | 34777 | 37814 | 40 | 47849
[16:21:06] 6.550 | 40325 | 36847 | 45 | 47846
[16:21:06] 6.600 | 38231 | 34817 | 46 | 47851
[16:21:06] 6.650 | 44706 | 38336 | 39 | 47854
[16:21:06] 6.700 | 39540 | 38407 | 54 | 47867
[16:21:06] 6.750 | 36344 | 38002 | 50 | 47896
[16:21:06] 6.800 | 39780 | 37433 | 48 | 47874
[16:21:06] 6.850 | 38312 | 40032 | 42 | 47873
[16:21:06] 6.900 | 39837 | 35921 | 52 | 47898
[16:21:06] 6.950 | 41572 | 37281 | 49 | 47895
[16:21:06] 7.000 | 39746 | 38458 | 57 | 47891
[16:21:06] 7.050 | 41737 | 41765 | 49 | 47915
[16:21:06] 7.100 | 42372 | 38553 | 57 | 47913
[16:21:06] 7.150 | 41975 | 40775 | 44 | 47911
[16:21:06] 7.200 | 44800 | 41807 | 41 | 47917
[16:21:06] 7.250 | 43593 | 40398 | 44 | 47937
[16:21:06] 7.300 | 35608 | 42439 | 45 | 47923
[16:21:06] 7.350 | 41227 | 39460 | 42 | 47911
[16:21:07] 7.400 | 40683 | 40103 | 41 | 47912
[16:21:07] 7.450 | 38931 | 40448 | 50 | 47921
