timestamped_line
[15:28:44] ▶ Starting baseline phase for 2.5 seconds...
[15:28:44] t (s) | A | B | C | D
[15:28:44] 0.051 | 40094 | 42314 | 41 | 19381
[15:28:44] 0.101 | 36338 | 38695 | 38 | 19388
[15:28:44] 0.151 | 34704 | 38617 | 37 | 19374
[15:28:44] 0.201 | 34909 | 36273 | 48 | 19450
[15:28:44] 0.251 | 34524 | 40175 | 39 | 19368
[15:28:44] 0.301 | 33439 | 33916 | 43 | 19377
[15:28:45] 0.351 | 33445 | 39245 | 50 | 19341
[15:28:45] 0.401 | 35978 | 39662 | 43 | 19432
[15:28:45] 0.451 | 35333 | 40000 | 41 | 19394
[15:28:45] 0.501 | 33386 | 40792 | 42 | 19410
[15:28:45] 0.551 | 34459 | 40047 | 36 | 19375
[15:28:45] 0.601 | 32274 | 38631 | 34 | 19399
[15:28:45] 0.651 | 34775 | 37447 | 43 | 19441
[15:28:45] 0.701 | 37165 | 35477 | 32 | 19455
[15:28:45] 0.751 | 34298 | 35829 | 39 | 19443
[15:28:45] 0.801 | 33894 | 35722 | 41 | 19411
[15:28:45] 0.851 | 39193 | 45279 | 44 | 19415
[15:28:45] 0.901 | 35643 | 33780 | 36 | 19396
[15:28:45] 0.951 | 31718 | 38696 | 42 | 19429
[15:28:45] 1.001 | 34427 | 35631 | 41 | 19416
[15:28:45] 1.051 | 38051 | 37458 | 45 | 19386
[15:28:45] 1.101 | 36991 | 41155 | 43 | 19441
[15:28:45] 1.151 | 34302 | 35462 | 39 | 19421
[15:28:45] 1.201 | 36216 | 37714 | 40 | 19462
[15:28:45] 1.251 | 33695 | 38254 | 46 | 19492
[15:28:45] 1.301 | 35575 | 38029 | 41 | 19411
[15:28:46] 1.351 | 33671 | 37417 | 34 | 19395
[15:28:46] 1.401 | 34326 | 38455 | 38 | 19455
[15:28:46] 1.451 | 38023 | 35949 | 38 | 19391
[15:28:46] 1.501 | 38202 | 38916 | 40 | 19423
[15:28:46] 1.551 | 32788 | 39809 | 40 | 19439
[15:28:46] 1.601 | 38816 | 35712 | 37 | 19400
[15:28:46] 1.651 | 34525 | 38556 | 39 | 19401
[15:28:46] 1.701 | 31824 | 37025 | 38 | 19470
[15:28:46] 1.751 | 35116 | 39525 | 43 | 19416
[15:28:46] 1.801 | 35922 | 33435 | 38 | 19443
[15:28:46] 1.851 | 31323 | 34857 | 39 | 19469
[15:28:46] 1.901 | 33552 | 35860 | 38 | 19407
[15:28:46] 1.951 | 35606 | 40410 | 36 | 19449
[15:28:46] 2.001 | 34888 | 34256 | 42 | 19476
[15:28:46] 2.051 | 34441 | 41878 | 41 | 19405
[15:28:46] 2.101 | 33889 | 37742 | 33 | 19441
[15:28:46] 2.151 | 32890 | 39731 | 41 | 19470
[15:28:46] 2.201 | 36108 | 38331 | 38 | 19509
[15:28:46] 2.251 | 35685 | 36662 | 37 | 19490
[15:28:46] 2.301 | 38007 | 39049 | 39 | 19546
[15:28:47] 2.351 | 39609 | 38585 | 40 | 19515
[15:28:47] 2.401 | 40318 | 38450 | 33 | 19504
[15:28:47] 2.451 | 34898 | 40858 | 46 | 19523
[15:28:47] ✅ Baseline complete. Starting main recording for 10 seconds...
[15:28:47] 2.501 | 39413 | 35286 | 41 | 19493
[15:28:47] 0.050 | 38203 | 37392 | 41 | 19484
[15:28:47] 0.100 | 34528 | 35347 | 37 | 19497
[15:28:47] 0.150 | 33259 | 33137 | 33 | 19524
[15:28:47] 0.200 | 29558 | 37712 | 36 | 19485
[15:28:47] 0.250 | 32164 | 40237 | 41 | 19486
[15:28:47] 0.300 | 33570 | 40625 | 44 | 19478
[15:28:47] 0.350 | 34577 | 37484 | 42 | 19456
[15:28:47] 0.400 | 33960 | 36541 | 43 | 19540
[15:28:47] 0.450 | 39668 | 35764 | 40 | 19449
[15:28:47] 0.500 | 33997 | 34086 | 39 | 19463
[15:28:47] 0.550 | 36147 | 39999 | 45 | 19544
[15:28:47] 0.600 | 37832 | 42265 | 34 | 19507
[15:28:47] 0.650 | 35380 | 34921 | 42 | 19549
[15:28:47] 0.700 | 34405 | 37001 | 40 | 19453
[15:28:47] 0.750 | 40259 | 37768 | 44 | 19429
[15:28:47] 0.800 | 37895 | 40919 | 37 | 19489
[15:28:48] 0.850 | 33474 | 38609 | 41 | 19527
[15:28:48] 0.900 | 37471 | 38191 | 39 | 19486
[15:28:48] 0.950 | 36876 | 34768 | 42 | 19496
[15:28:48] 1.000 | 35234 | 38837 | 42 | 19528
[15:28:48] 1.050 | 34029 | 37960 | 42 | 19433
[15:28:48] 1.100 | 35509 | 39844 | 44 | 19483
[15:28:48] 1.150 | 39665 | 42626 | 35 | 19483
[15:28:48] 1.200 | 34660 | 34631 | 41 | 19517
[15:28:48] 1.250 | 38104 | 40809 | 47 | 19564
[15:28:48] 1.300 | 34099 | 38370 | 42 | 19493
[15:28:48] 1.350 | 38152 | 39569 | 37 | 19487
[15:28:48] 1.400 | 34673 | 37597 | 40 | 19520
[15:28:48] 1.450 | 36024 | 36148 | 39 | 19509
[15:28:48] 1.500 | 35989 | 34849 | 41 | 19544
[15:28:48] 1.550 | 38854 | 42169 | 39 | 19548
[15:28:48] 1.600 | 33308 | 42215 | 36 | 19513
[15:28:48] 1.650 | 33784 | 39477 | 42 | 19517
[15:28:48] 1.700 | 40226 | 42113 | 40 | 19524
[15:28:48] 1.750 | 37480 | 33065 | 37 | 19515
[15:28:48] 1.800 | 34144 | 36255 | 43 | 19528
[15:28:49] 1.850 | 35804 | 39835 | 45 | 19544
[15:28:49] 1.900 | 40373 | 39928 | 36 | 19639
[15:28:49] 1.950 | 34161 | 39061 | 42 | 19557
[15:28:49] 2.000 | 37942 | 41403 | 39 | 19540
[15:28:49] 2.050 | 34375 | 39646 | 36 | 19587
[15:28:49] 2.100 | 37214 | 39740 | 44 | 19606
[15:28:49] 2.150 | 40752 | 40944 | 40 | 19583
[15:28:49] 2.200 | 38725 | 36542 | 39 | 19561
[15:28:49] 2.250 | 34357 | 39330 | 43 | 19529
[15:28:49] 2.300 | 36077 | 39172 | 36 | 19557
[15:28:49] 2.350 | 38924 | 35774 | 39 | 19547
[15:28:49] 2.400 | 35711 | 39832 | 44 | 19622
[15:28:49] 2.450 | 30575 | 39872 | 36 | 19530
[15:28:49] 2.500 | 34744 | 35209 | 34 | 19553
[15:28:49] 2.550 | 35518 | 39031 | 42 | 19560
[15:28:49] 2.600 | 35378 | 35263 | 40 | 19561
[15:28:49] 2.650 | 35765 | 40214 | 39 | 19567
[15:28:49] 2.700 | 40884 | 38475 | 41 | 19596
[15:28:49] 2.750 | 36868 | 37130 | 38 | 19581
[15:28:49] 2.800 | 34859 | 36104 | 39 | 19536
[15:28:50] 2.850 | 39890 | 38966 | 45 | 19603
[15:28:50] 2.900 | 35161 | 39605 | 37 | 19592
[15:28:50] 2.950 | 31701 | 43557 | 44 | 19592
[15:28:50] 3.000 | 38023 | 40473 | 45 | 19625
[15:28:50] 3.050 | 34559 | 36164 | 39 | 19611
[15:28:50] 3.100 | 35390 | 34260 | 39 | 19634
[15:28:50] 3.150 | 36827 | 34412 | 43 | 19636
[15:28:50] 3.200 | 32654 | 36974 | 43 | 19575
[15:28:50] 3.250 | 34691 | 37196 | 40 | 19686
[15:28:50] 3.300 | 32356 | 35953 | 46 | 19645
[15:28:50] 3.350 | 36511 | 36181 | 40 | 19718
[15:28:50] 3.400 | 39404 | 41246 | 45 | 19700
[15:28:50] 3.450 | 38299 | 40831 | 41 | 19772
[15:28:50] 3.500 | 37478 | 42383 | 41 | 19725
