timestamped_line
[15:34:06] ▶ Starting baseline phase for 2.5 seconds...
[15:34:06] t (s) | A | B | C | D
[15:34:06] 0.050 | 41454 | 44062 | 37 | 19015
[15:34:06] 0.100 | 33796 | 38299 | 40 | 19016
[15:34:06] 0.150 | 34607 | 35796 | 41 | 19090
[15:34:06] 0.200 | 34614 | 37431 | 40 | 19124
[15:34:06] 0.250 | 35327 | 36200 | 41 | 19082
[15:34:06] 0.300 | 33751 | 41061 | 40 | 19026
[15:34:06] 0.350 | 40486 | 37850 | 39 | 19021
[15:34:07] 0.400 | 35210 | 38855 | 36 | 19003
[15:34:07] 0.450 | 32665 | 39114 | 35 | 19075
[15:34:07] 0.500 | 37621 | 41221 | 41 | 19113
[15:34:07] 0.550 | 34037 | 39760 | 36 | 19137
[15:34:07] 0.600 | 37617 | 37372 | 35 | 19095
[15:34:07] 0.650 | 36090 | 43015 | 41 | 19068
[15:34:07] 0.700 | 31697 | 37620 | 46 | 19027
[15:34:07] 0.750 | 38410 | 35006 | 41 | 19007
[15:34:07] 0.800 | 34054 | 35084 | 35 | 19132
[15:34:07] 0.850 | 32818 | 34661 | 37 | 19070
[15:34:07] 0.900 | 32200 | 40352 | 42 | 19034
[15:34:07] 0.950 | 33953 | 34260 | 39 | 18998
[15:34:07] 1.000 | 35080 | 39354 | 41 | 19001
[15:34:07] 1.050 | 33011 | 34055 | 40 | 19030
[15:34:07] 1.100 | 35638 | 33541 | 43 | 19103
[15:34:07] 1.150 | 30582 | 34465 | 45 | 19098
[15:34:07] 1.200 | 38935 | 39913 | 46 | 19064
[15:34:07] 1.250 | 36275 | 37931 | 39 | 19033
[15:34:07] 1.300 | 35147 | 36348 | 39 | 19002
[15:34:07] 1.350 | 40157 | 38108 | 39 | 18998
[15:34:08] 1.400 | 34660 | 40209 | 42 | 19081
[15:34:08] 1.450 | 32350 | 35921 | 37 | 19096
[15:34:08] 1.500 | 43341 | 41697 | 45 | 19114
[15:34:08] 1.550 | 34811 | 37502 | 43 | 19029
[15:34:08] 1.600 | 33327 | 37323 | 37 | 19002
[15:34:08] 1.650 | 35454 | 37877 | 40 | 19030
[15:34:08] 1.700 | 38628 | 45088 | 49 | 19015
[15:34:08] 1.750 | 34013 | 38303 | 37 | 19150
[15:34:08] 1.800 | 35956 | 40062 | 44 | 19064
[15:34:08] 1.850 | 36470 | 39441 | 45 | 19053
[15:34:08] 1.900 | 34687 | 41185 | 38 | 19039
[15:34:08] 1.950 | 39424 | 38307 | 40 | 19016
[15:34:08] 2.000 | 35970 | 34599 | 32 | 19085
[15:34:08] 2.050 | 33989 | 38593 | 41 | 19149
[15:34:08] 2.100 | 34726 | 35023 | 34 | 19106
[15:34:08] 2.150 | 32090 | 34006 | 34 | 19079
[15:34:08] 2.200 | 37007 | 38916 | 41 | 19053
[15:34:08] 2.250 | 35210 | 42264 | 41 | 19071
[15:34:08] 2.300 | 38200 | 38979 | 38 | 19087
[15:34:08] 2.350 | 38395 | 40858 | 37 | 19074
[15:34:09] 2.400 | 33272 | 35845 | 39 | 19123
[15:34:09] 2.450 | 34353 | 35759 | 38 | 19143
[15:34:09] 2.500 | 32837 | 41419 | 43 | 19087
[15:34:09] ✅ Baseline complete. Starting main recording for 10 seconds...
[15:34:09] 2.550 | 33906 | 42740 | 41 | 19078
[15:34:09] 0.050 | 41578 | 43329 | 47 | 19081
[15:34:09] 0.100 | 35391 | 40837 | 40 | 19085
[15:34:09] 0.150 | 36582 | 40104 | 42 | 19135
[15:34:09] 0.200 | 36204 | 36803 | 42 | 19109
[15:34:09] 0.250 | 36540 | 39144 | 43 | 19099
[15:34:09] 0.300 | 35678 | 35490 | 35 | 19089
[15:34:09] 0.350 | 33681 | 35270 | 40 | 19049
