timestamped_line
[15:34:40] ▶ Starting baseline phase for 2.5 seconds...
[15:34:40] t (s) | A | B | C | D
[15:34:40] 0.051 | 39231 | 43299 | 37 | 22860
[15:34:41] 0.101 | 36109 | 37608 | 31 | 23535
[15:34:41] 0.151 | 34193 | 34853 | 39 | 22296
[15:34:41] 0.201 | 36861 | 38885 | 42 | 22474
[15:34:41] 0.251 | 42204 | 37509 | 42 | 22598
[15:34:41] 0.301 | 32012 | 36534 | 42 | 22580
[15:34:41] 0.351 | 38316 | 41641 | 42 | 22003
[15:34:41] 0.401 | 32714 | 42843 | 40 | 22071
[15:34:41] 0.451 | 37005 | 33068 | 35 | 22127
[15:34:41] 0.501 | 38329 | 41406 | 39 | 22150
[15:34:41] 0.551 | 33988 | 37922 | 40 | 22202
[15:34:41] 0.601 | 34587 | 36051 | 35 | 21916
[15:34:41] 0.651 | 43385 | 36396 | 39 | 22080
[15:34:41] 0.701 | 36227 | 37997 | 39 | 22181
[15:34:41] 0.751 | 36941 | 37522 | 48 | 22275
[15:34:41] 0.801 | 38771 | 35054 | 41 | 22168
[15:34:41] 0.851 | 39721 | 40604 | 35 | 22176
[15:34:41] 0.901 | 34509 | 35522 | 37 | 22240
[15:34:41] 0.951 | 32770 | 36460 | 42 | 22227
[15:34:41] 1.001 | 35565 | 45415 | 39 | 22217
[15:34:41] 1.051 | 36101 | 38832 | 36 | 22286
[15:34:42] 1.101 | 30953 | 37534 | 42 | 22338
[15:34:42] 1.151 | 33794 | 38684 | 42 | 22345
[15:34:42] 1.201 | 37182 | 34876 | 39 | 22480
[15:34:42] 1.251 | 34759 | 34894 | 44 | 22635
[15:34:42] 1.301 | 35638 | 37428 | 39 | 22973
[15:34:42] 1.351 | 34553 | 38511 | 51 | 22955
[15:34:42] 1.401 | 34306 | 40858 | 39 | 23126
[15:34:42] 1.451 | 40691 | 36598 | 39 | 23339
[15:34:42] 1.501 | 37418 | 37107 | 35 | 23484
[15:34:42] 1.551 | 38927 | 32411 | 40 | 23580
[15:34:42] 1.601 | 33725 | 35079 | 36 | 23583
[15:34:42] 1.651 | 37727 | 39193 | 38 | 23391
[15:34:42] 1.701 | 35528 | 37069 | 44 | 23318
[15:34:42] 1.751 | 39418 | 40115 | 39 | 23386
[15:34:42] 1.801 | 41132 | 43334 | 42 | 23363
[15:34:42] 1.851 | 39296 | 37885 | 35 | 23392
[15:34:42] 1.901 | 34948 | 38664 | 41 | 23270
[15:34:42] 1.951 | 35480 | 34021 | 35 | 23199
[15:34:42] 2.001 | 35598 | 35038 | 39 | 23170
[15:34:42] 2.051 | 35016 | 40284 | 39 | 23105
[15:34:43] 2.101 | 40192 | 33617 | 39 | 23051
[15:34:43] 2.151 | 33023 | 36733 | 43 | 22999
[15:34:43] 2.201 | 37502 | 40014 | 37 | 22971
[15:34:43] 2.251 | 39119 | 37561 | 43 | 23081
[15:34:43] 2.301 | 33415 | 37187 | 40 | 23087
[15:34:43] 2.351 | 35372 | 40924 | 38 | 22997
[15:34:43] 2.401 | 33369 | 37113 | 41 | 23124
[15:34:43] 2.451 | 35804 | 36004 | 44 | 23239
[15:34:43] ✅ Baseline complete. Starting main recording for 10 seconds...
[15:34:43] 2.501 | 40206 | 36625 | 34 | 23603
[15:34:43] 0.050 | 36910 | 36152 | 39 | 23727
[15:34:43] 0.100 | 33208 | 38169 | 43 | 23931
[15:34:43] 0.150 | 36007 | 38903 | 42 | 24026
[15:34:43] 0.200 | 35048 | 36275 | 43 | 24001
[15:34:43] 0.250 | 33757 | 40563 | 41 | 23951
[15:34:43] 0.300 | 35470 | 36237 | 38 | 24091
[15:34:43] 0.350 | 36078 | 33748 | 38 | 23909
[15:34:43] 0.400 | 37318 | 39649 | 44 | 23980
[15:34:43] 0.450 | 40768 | 42667 | 39 | 23992
[15:34:43] 0.500 | 33806 | 41783 | 42 | 23913
[15:34:43] 0.550 | 34549 | 41919 | 38 | 23979
[15:34:44] 0.600 | 37885 | 40877 | 36 | 23962
[15:34:44] 0.650 | 37177 | 37225 | 38 | 23998
[15:34:44] 0.700 | 36743 | 39139 | 38 | 24124
[15:34:44] 0.750 | 36550 | 38568 | 42 | 24150
[15:34:44] 0.800 | 32574 | 34824 | 35 | 24196
[15:34:44] 0.850 | 37131 | 36464 | 41 | 24354
[15:34:44] 0.900 | 39285 | 35945 | 44 | 24644
[15:34:44] 0.950 | 34577 | 39226 | 41 | 24619
[15:34:44] 1.000 | 35579 | 37078 | 38 | 24391
[15:34:44] 1.050 | 37840 | 36409 | 44 | 24455
[15:34:44] 1.100 | 34886 | 40965 | 41 | 24469
[15:34:44] 1.150 | 39804 | 38011 | 36 | 24550
[15:34:44] 1.200 | 34162 | 34502 | 40 | 24548
[15:34:44] 1.250 | 38903 | 41303 | 37 | 24546
[15:34:44] 1.300 | 39980 | 35054 | 42 | 24510
[15:34:44] 1.350 | 35587 | 32538 | 41 | 24457
[15:34:44] 1.400 | 33537 | 32050 | 42 | 24550
[15:34:44] 1.450 | 34855 | 40052 | 41 | 24521
[15:34:44] 1.500 | 40539 | 39788 | 48 | 24573
[15:34:44] 1.550 | 39060 | 39764 | 41 | 24564
[15:34:45] 1.600 | 34860 | 37622 | 38 | 24490
[15:34:45] 1.650 | 33863 | 37625 | 41 | 24445
[15:34:45] 1.700 | 36379 | 39361 | 34 | 24575
[15:34:45] 1.750 | 33353 | 34627 | 40 | 24554
[15:34:45] 1.800 | 36051 | 43065 | 36 | 24468
[15:34:45] 1.850 | 35966 | 41939 | 33 | 24463
[15:34:45] 1.900 | 37206 | 37057 | 40 | 24395
[15:34:45] 1.950 | 34909 | 43387 | 40 | 24262
[15:34:45] 2.000 | 34223 | 32431 | 38 | 24341
[15:34:45] 2.050 | 37214 | 32400 | 39 | 24304
[15:34:45] 2.100 | 40259 | 42426 | 41 | 24484
[15:34:45] 2.150 | 37716 | 36238 | 35 | 24474
[15:34:45] 2.200 | 34701 | 34610 | 34 | 24485
[15:34:45] 2.250 | 36089 | 35618 | 36 | 24484
[15:34:45] 2.300 | 34581 | 44534 | 40 | 24244
[15:34:45] 2.350 | 36323 | 36950 | 39 | 24201
[15:34:45] 2.400 | 36250 | 36295 | 41 | 24183
[15:34:45] 2.450 | 35483 | 40325 | 41 | 24280
[15:34:45] 2.500 | 35189 | 39134 | 37 | 24275
[15:34:45] 2.550 | 33461 | 40240 | 41 | 24422
[15:34:46] 2.600 | 34385 | 41942 | 46 | 24372
[15:34:46] 2.650 | 36160 | 35536 | 47 | 24353
[15:34:46] 2.700 | 37330 | 38951 | 44 | 24431
[15:34:46] 2.750 | 37838 | 36065 | 38 | 24398
[15:34:46] 2.800 | 35289 | 40866 | 40 | 24337
[15:34:46] 2.850 | 33589 | 35677 | 46 | 24063
[15:34:46] 2.900 | 33493 | 40574 | 39 | 24191
[15:34:46] 2.950 | 38159 | 35465 | 44 | 24203
[15:34:46] 3.000 | 39096 | 37091 | 32 | 23989
[15:34:46] 3.050 | 33642 | 37894 | 38 | 24169
[15:34:46] 3.100 | 36068 | 37860 | 34 | 24316
[15:34:46] 3.150 | 39312 | 38425 | 32 | 24330
[15:34:46] 3.200 | 34201 | 34806 | 43 | 24396
[15:34:46] 3.250 | 32061 | 39824 | 40 | 24367
[15:34:46] 3.300 | 33206 | 38803 | 39 | 24428
[15:34:46] 3.350 | 34963 | 39910 | 37 | 24369
[15:34:46] 3.400 | 34839 | 36953 | 36 | 24335
[15:34:46] 3.450 | 31517 | 35074 | 39 | 24334
[15:34:46] 3.500 | 35098 | 39943 | 37 | 24345
[15:34:46] 3.550 | 35754 | 40831 | 41 | 24334
[15:34:47] 3.600 | 38629 | 38946 | 39 | 24273
[15:34:47] 3.650 | 33243 | 35632 | 37 | 24283
[15:34:47] 3.700 | 38286 | 39080 | 36 | 24132
[15:34:47] 3.750 | 41861 | 37425 | 36 | 24238
[15:34:47] 3.800 | 34004 | 37919 | 33 | 24271
[15:34:47] 3.850 | 38347 | 41819 | 40 | 24249
[15:34:47] 3.900 | 40435 | 39436 | 37 | 24380
[15:34:47] 3.950 | 33867 | 33027 | 32 | 24467
[15:34:47] 4.000 | 33652 | 36653 | 40 | 24523
[15:34:47] 4.050 | 37630 | 37041 | 40 | 24592
[15:34:47] 4.100 | 38475 | 36942 | 37 | 24509
[15:34:47] 4.150 | 35413 | 39639 | 39 | 24330
[15:34:47] 4.200 | 42106 | 36797 | 38 | 24327
[15:34:47] 4.250 | 39216 | 40061 | 39 | 24304
[15:34:47] 4.300 | 34491 | 40306 | 33 | 24217
[15:34:47] 4.350 | 33510 | 38316 | 38 | 24280
[15:34:47] 4.400 | 36367 | 33507 | 38 | 24246
[15:34:47] 4.450 | 33182 | 30245 | 40 | 24215
[15:34:47] 4.500 | 33271 | 37232 | 39 | 24308
[15:34:47] 4.550 | 35566 | 39695 | 40 | 24503
[15:34:48] 4.600 | 36453 | 35598 | 38 | 24508
[15:34:48] 4.650 | 36323 | 35987 | 40 | 24667
[15:34:48] 4.700 | 36976 | 39083 | 41 | 24648
[15:34:48] 4.750 | 38642 | 39126 | 39 | 24653
[15:34:48] 4.800 | 35095 | 37148 | 38 | 24612
[15:34:48] 4.850 | 34868 | 35312 | 40 | 24770
[15:34:48] 4.900 | 34902 | 43650 | 35 | 24746
[15:34:48] 4.950 | 36115 | 39294 | 46 | 24799
[15:34:48] 5.000 | 35920 | 34866 | 39 | 24767
[15:34:48] 5.050 | 33670 | 35183 | 38 | 24763
[15:34:48] 5.100 | 41278 | 39778 | 38 | 24682
[15:34:48] 5.150 | 41347 | 43527 | 43 | 24630
[15:34:48] 5.200 | 38773 | 35394 | 39 | 24655
[15:34:48] 5.250 | 39052 | 39184 | 37 | 24685
[15:34:48] 5.300 | 38335 | 39768 | 40 | 24650
[15:34:48] 5.350 | 38988 | 36910 | 36 | 24708
[15:34:48] 5.400 | 37869 | 34525 | 36 | 24718
