timestamped_line
[15:32:18] ▶ Starting baseline phase for 2.5 seconds...
[15:32:18] t (s) | A | B | C | D
[15:32:18] 0.051 | 35167 | 43419 | 46 | 23236
[15:32:18] 0.101 | 39245 | 43571 | 49 | 23192
[15:32:18] 0.151 | 33788 | 35757 | 39 | 23241
[15:32:18] 0.201 | 33313 | 35432 | 42 | 23241
[15:32:18] 0.251 | 34628 | 37035 | 35 | 23217
[15:32:18] 0.301 | 35679 | 36501 | 41 | 23205
[15:32:18] 0.351 | 35753 | 36713 | 39 | 23234
[15:32:18] 0.401 | 37194 | 36443 | 36 | 23227
[15:32:18] 0.451 | 32410 | 36818 | 42 | 23235
[15:32:18] 0.501 | 34946 | 36131 | 44 | 23216
[15:32:19] 0.551 | 37888 | 38816 | 42 | 23227
[15:32:19] 0.601 | 33896 | 38003 | 40 | 23220
[15:32:19] 0.651 | 37334 | 39127 | 37 | 23219
[15:32:19] 0.701 | 34156 | 36213 | 47 | 23202
[15:32:19] 0.751 | 31386 | 45218 | 43 | 23217
[15:32:19] 0.801 | 33442 | 37458 | 39 | 23212
[15:32:19] 0.851 | 37178 | 41583 | 36 | 23197
[15:32:19] 0.901 | 37564 | 38769 | 43 | 23182
[15:32:19] 0.951 | 37312 | 39664 | 46 | 23196
[15:32:19] 1.001 | 42385 | 36663 | 46 | 23176
[15:32:19] 1.051 | 34838 | 43959 | 48 | 23168
[15:32:19] 1.101 | 38393 | 34565 | 35 | 23234
[15:32:19] 1.151 | 34449 | 37780 | 42 | 23204
[15:32:19] 1.201 | 36175 | 38174 | 36 | 23174
[15:32:19] 1.251 | 40917 | 42790 | 35 | 23196
[15:32:19] 1.301 | 39967 | 36992 | 36 | 23182
[15:32:19] 1.351 | 40814 | 32442 | 43 | 23166
[15:32:19] 1.401 | 40268 | 33629 | 45 | 23181
[15:32:19] 1.451 | 39389 | 38623 | 37 | 23132
[15:32:19] 1.501 | 41983 | 41027 | 44 | 23201
[15:32:20] 1.551 | 34098 | 33072 | 31 | 23177
[15:32:20] 1.601 | 34629 | 34342 | 42 | 23176
[15:32:20] 1.651 | 33027 | 39979 | 43 | 23168
[15:32:20] 1.701 | 36769 | 40235 | 35 | 23169
[15:32:20] 1.751 | 37045 | 41420 | 39 | 23161
[15:32:20] 1.801 | 37264 | 39537 | 48 | 23112
[15:32:20] 1.851 | 35159 | 39997 | 44 | 23116
[15:32:20] 1.901 | 35869 | 38463 | 41 | 23183
[15:32:20] 1.951 | 39470 | 40837 | 39 | 23174
[15:32:20] 2.001 | 46568 | 38341 | 44 | 23162
[15:32:20] 2.051 | 36285 | 40615 | 41 | 23167
[15:32:20] 2.101 | 34982 | 41602 | 37 | 23174
[15:32:20] 2.151 | 34165 | 39605 | 38 | 23148
[15:32:20] 2.201 | 38674 | 41235 | 42 | 23085
[15:32:20] 2.251 | 39274 | 36967 | 37 | 23104
[15:32:20] 2.301 | 38198 | 36849 | 36 | 23161
[15:32:20] 2.351 | 36381 | 42552 | 41 | 23144
[15:32:20] 2.401 | 35504 | 36035 | 36 | 23146
[15:32:20] 2.451 | 35371 | 34659 | 38 | 23152
[15:32:20] ✅ Baseline complete. Starting main recording for 10 seconds...
[15:32:20] 2.501 | 39514 | 36826 | 37 | 23139
[15:32:21] 0.050 | 38892 | 41675 | 31 | 23112
[15:32:21] 0.100 | 40688 | 41447 | 39 | 23113
[15:32:21] 0.150 | 36653 | 42855 | 48 | 23024
[15:32:21] 0.200 | 38946 | 39475 | 40 | 22984
[15:32:21] 0.250 | 33923 | 42021 | 43 | 23126
[15:32:21] 0.300 | 38364 | 37802 | 46 | 23122
[15:32:21] 0.350 | 38958 | 39039 | 42 | 23106
[15:32:21] 0.400 | 35251 | 35603 | 43 | 23131
[15:32:21] 0.450 | 34653 | 41956 | 42 | 23123
[15:32:21] 0.500 | 40803 | 36904 | 40 | 23150
[15:32:21] 0.550 | 41583 | 36253 | 34 | 23112
[15:32:21] 0.600 | 41082 | 36692 | 39 | 23041
[15:32:21] 0.650 | 36170 | 41801 | 47 | 23006
[15:32:21] 0.700 | 37641 | 41612 | 40 | 23112
[15:32:21] 0.750 | 40788 | 33882 | 46 | 23096
[15:32:21] 0.800 | 38527 | 37018 | 41 | 23072
[15:32:21] 0.850 | 37921 | 36607 | 31 | 23073
[15:32:21] 0.900 | 37915 | 38806 | 45 | 23069
[15:32:21] 0.950 | 37612 | 40939 | 42 | 23109
[15:32:21] 1.000 | 37365 | 36760 | 49 | 23060
[15:32:22] 1.050 | 36133 | 41194 | 44 | 22946
[15:32:22] 1.100 | 35068 | 42892 | 44 | 22927
[15:32:22] 1.150 | 30535 | 37759 | 39 | 22998
[15:32:22] 1.200 | 38393 | 39550 | 39 | 22986
[15:32:22] 1.250 | 35984 | 40957 | 43 | 22986
[15:32:22] 1.300 | 34236 | 38039 | 35 | 22997
[15:32:22] 1.350 | 38313 | 37577 | 34 | 23002
[15:32:22] 1.400 | 37566 | 39915 | 37 | 22984
[15:32:22] 1.450 | 35953 | 37019 | 42 | 22975
[15:32:22] 1.500 | 34848 | 35688 | 38 | 23014
[15:32:22] 1.550 | 33676 | 34979 | 36 | 22993
[15:32:22] 1.600 | 34119 | 34060 | 39 | 22999
[15:32:22] 1.650 | 34888 | 38410 | 39 | 22991
[15:32:22] 1.700 | 38181 | 37666 | 33 | 22999
[15:32:22] 1.750 | 37263 | 38222 | 39 | 22979
[15:32:22] 1.800 | 35556 | 35853 | 34 | 22976
[15:32:22] 1.850 | 36941 | 33415 | 38 | 22987
[15:32:22] 1.900 | 35033 | 34559 | 41 | 22981
[15:32:22] 1.950 | 32925 | 31469 | 44 | 22984
[15:32:22] 2.000 | 36167 | 37845 | 38 | 22971
[15:32:23] 2.050 | 31883 | 38539 | 40 | 22964
[15:32:23] 2.100 | 34680 | 42418 | 41 | 22963
[15:32:23] 2.150 | 34077 | 36113 | 40 | 22969
[15:32:23] 2.200 | 39602 | 38745 | 39 | 22990
[15:32:23] 2.250 | 36268 | 34522 | 40 | 22998
[15:32:23] 2.300 | 36076 | 38487 | 37 | 22986
[15:32:23] 2.350 | 35716 | 40815 | 43 | 22993
[15:32:23] 2.400 | 32445 | 38074 | 41 | 23001
[15:32:23] 2.450 | 34610 | 33624 | 40 | 22982
[15:32:23] 2.500 | 37394 | 38249 | 37 | 22979
[15:32:23] 2.550 | 31937 | 34819 | 36 | 23000
[15:32:23] 2.600 | 42593 | 37659 | 39 | 22985
[15:32:23] 2.650 | 36243 | 38106 | 40 | 22988
[15:32:23] 2.700 | 35886 | 41836 | 39 | 22989
[15:32:23] 2.750 | 36055 | 42129 | 36 | 22971
[15:32:23] 2.800 | 37825 | 36057 | 42 | 22982
[15:32:23] 2.850 | 39234 | 35780 | 37 | 22989
[15:32:23] 2.900 | 36407 | 37621 | 38 | 22988
[15:32:23] 2.950 | 35497 | 42240 | 39 | 22987
[15:32:23] 3.000 | 34861 | 35976 | 39 | 22987
[15:32:24] 3.050 | 37599 | 36167 | 38 | 22994
[15:32:24] 3.100 | 39493 | 38514 | 41 | 22984
[15:32:24] 3.150 | 36995 | 37347 | 42 | 22979
[15:32:24] 3.200 | 33545 | 36972 | 40 | 23004
[15:32:24] 3.250 | 33009 | 36196 | 41 | 22970
[15:32:24] 3.300 | 31959 | 37543 | 44 | 22997
[15:32:24] 3.350 | 32629 | 40871 | 37 | 23000
