timestamped_line
[15:32:46] ▶ Starting baseline phase for 2.5 seconds...
[15:32:46] t (s) | A | B | C | D
[15:32:46] 0.050 | 39527 | 42745 | 42 | 42232
[15:32:46] 0.100 | 39008 | 42065 | 40 | 42252
[15:32:46] 0.150 | 33940 | 35033 | 40 | 42224
[15:32:46] 0.200 | 41229 | 34655 | 44 | 42234
[15:32:47] 0.250 | 41977 | 38691 | 48 | 42236
[15:32:47] 0.300 | 42656 | 40252 | 43 | 42234
[15:32:47] 0.350 | 37977 | 36322 | 42 | 42209
[15:32:47] 0.400 | 35791 | 39240 | 42 | 42188
[15:32:47] 0.450 | 39315 | 42083 | 47 | 42192
[15:32:47] 0.500 | 42307 | 39690 | 35 | 42175
[15:32:47] 0.550 | 38554 | 40307 | 50 | 42196
[15:32:47] 0.600 | 40526 | 36576 | 43 | 42199
[15:32:47] 0.650 | 39193 | 35912 | 53 | 42208
[15:32:47] 0.700 | 37344 | 45774 | 46 | 42213
[15:32:47] 0.750 | 43660 | 35179 | 45 | 42213
[15:32:47] 0.800 | 38279 | 41609 | 47 | 42234
[15:32:47] 0.850 | 38346 | 38004 | 45 | 42251
[15:32:47] 0.900 | 41785 | 40320 | 37 | 42261
[15:32:47] 0.950 | 37325 | 41408 | 48 | 42261
[15:32:47] 1.000 | 40806 | 38017 | 40 | 42257
[15:32:47] 1.050 | 37649 | 43223 | 38 | 42263
[15:32:47] 1.100 | 40992 | 36516 | 41 | 42271
[15:32:47] 1.150 | 37540 | 41385 | 40 | 42260
[15:32:47] 1.200 | 40366 | 43727 | 43 | 42240
[15:32:48] 1.250 | 42645 | 37753 | 47 | 42283
[15:32:48] 1.300 | 34581 | 39077 | 48 | 42296
[15:32:48] 1.350 | 40682 | 36933 | 35 | 42279
[15:32:48] 1.400 | 37363 | 39004 | 39 | 42310
[15:32:48] 1.450 | 43360 | 41376 | 36 | 42305
[15:32:48] 1.500 | 38315 | 40106 | 48 | 42262
[15:32:48] 1.550 | 38752 | 37438 | 41 | 42286
[15:32:48] 1.600 | 40781 | 35587 | 48 | 42278
[15:32:48] 1.650 | 42129 | 39115 | 44 | 42291
[15:32:48] 1.700 | 37831 | 44388 | 45 | 42316
[15:32:48] 1.750 | 42512 | 37900 | 45 | 42328
[15:32:48] 1.800 | 40872 | 40559 | 45 | 42356
[15:32:48] 1.850 | 37973 | 36151 | 38 | 42354
[15:32:48] 1.900 | 37670 | 34664 | 39 | 42318
[15:32:48] 1.950 | 38348 | 39545 | 49 | 42344
[15:32:48] 2.000 | 40597 | 34133 | 45 | 42334
[15:32:48] 2.050 | 36053 | 40881 | 53 | 42327
[15:32:48] 2.100 | 39879 | 37396 | 43 | 42345
[15:32:48] 2.150 | 43556 | 43758 | 38 | 42338
[15:32:48] 2.200 | 34769 | 37600 | 39 | 42357
[15:32:49] 2.250 | 37105 | 39165 | 43 | 42345
[15:32:49] 2.300 | 37254 | 39927 | 37 | 42359
[15:32:49] 2.350 | 40526 | 38932 | 46 | 42365
[15:32:49] 2.400 | 44932 | 38500 | 44 | 42384
[15:32:49] 2.450 | 41477 | 42189 | 39 | 42391
[15:32:49] 2.500 | 35020 | 39579 | 52 | 42383
[15:32:49] ✅ Baseline complete. Starting main recording for 10 seconds...
[15:32:49] 2.550 | 38963 | 38951 | 44 | 42406
[15:32:49] 0.050 | 37424 | 39997 | 39 | 42424
[15:32:49] 0.100 | 34498 | 39058 | 40 | 42407
[15:32:49] 0.150 | 35522 | 38360 | 42 | 42398
[15:32:49] 0.200 | 39680 | 30964 | 51 | 42415
[15:32:49] 0.250 | 43696 | 36858 | 42 | 42397
[15:32:49] 0.300 | 37911 | 40311 | 45 | 42427
[15:32:49] 0.350 | 43188 | 42303 | 42 | 42410
[15:32:49] 0.400 | 37594 | 41409 | 40 | 42410
[15:32:49] 0.450 | 36013 | 38807 | 44 | 42385
[15:32:49] 0.500 | 37375 | 40435 | 43 | 42390
[15:32:49] 0.550 | 36629 | 43462 | 42 | 42400
[15:32:49] 0.600 | 41391 | 39314 | 44 | 42392
[15:32:49] 0.650 | 35403 | 36757 | 42 | 42395
