timestamped_line
[14:55:44] ▶ Starting baseline phase for 2.5 seconds...
[14:55:44] t (s) | A | B | C | D
[14:55:44] 0.050 | 40315 | 41425 | 43 | 26332
[14:55:44] 0.100 | 38571 | 33121 | 36 | 26467
[14:55:44] 0.150 | 36523 | 35991 | 38 | 26456
[14:55:44] 0.200 | 41672 | 40556 | 47 | 26489
[14:55:44] 0.250 | 37543 | 42387 | 40 | 26536
[14:55:44] 0.300 | 38601 | 42722 | 45 | 26531
[14:55:44] 0.350 | 38743 | 46860 | 36 | 26481
[14:55:45] 0.400 | 39202 | 38513 | 43 | 26486
[14:55:45] 0.450 | 33315 | 34652 | 39 | 26471
[14:55:45] 0.500 | 35030 | 37169 | 36 | 26424
[14:55:45] 0.550 | 36791 | 38386 | 36 | 26409
[14:55:45] 0.600 | 34812 | 34908 | 45 | 26384
[14:55:45] 0.650 | 38943 | 34185 | 35 | 26472
[14:55:45] 0.700 | 37915 | 37945 | 38 | 26534
[14:55:45] 0.750 | 36370 | 37692 | 39 | 26438
[14:55:45] 0.800 | 39590 | 37169 | 37 | 26471
[14:55:45] 0.850 | 35275 | 37839 | 40 | 26489
[14:55:45] 0.900 | 41953 | 40471 | 39 | 26554
[14:55:45] 0.950 | 39317 | 34768 | 39 | 26527
[14:55:45] 1.000 | 38283 | 38155 | 45 | 26473
[14:55:45] 1.050 | 36293 | 37982 | 36 | 26484
[14:55:45] 1.100 | 39209 | 37351 | 37 | 26556
[14:55:45] 1.150 | 38842 | 35716 | 35 | 26553
[14:55:45] 1.200 | 36346 | 40944 | 40 | 26470
[14:55:45] 1.250 | 38949 | 39763 | 41 | 26515
[14:55:45] 1.300 | 35266 | 38929 | 41 | 26513
[14:55:45] 1.350 | 35828 | 39076 | 43 | 26447
[14:55:46] 1.400 | 40436 | 37263 | 40 | 26440
[14:55:46] 1.450 | 34224 | 38638 | 40 | 26534
[14:55:46] 1.500 | 36796 | 42024 | 45 | 26485
[14:55:46] 1.550 | 39206 | 37988 | 37 | 26467
[14:55:46] 1.600 | 34752 | 39254 | 39 | 26335
[14:55:46] 1.650 | 35769 | 38550 | 37 | 26339
[14:55:46] 1.700 | 34950 | 36005 | 40 | 26314
[14:55:46] 1.750 | 35003 | 35237 | 39 | 26303
[14:55:46] 1.800 | 39473 | 36853 | 46 | 26309
[14:55:46] 1.850 | 33207 | 36394 | 40 | 26220
[14:55:46] 1.900 | 38576 | 35166 | 38 | 26196
[14:55:46] 1.950 | 35499 | 34834 | 43 | 26200
[14:55:46] 2.000 | 35517 | 38894 | 38 | 26210
[14:55:46] 2.050 | 39610 | 40464 | 43 | 26211
[14:55:46] 2.100 | 36813 | 38363 | 44 | 26193
[14:55:46] 2.150 | 32627 | 36449 | 33 | 26280
[14:55:46] 2.200 | 40533 | 36311 | 44 | 26259
[14:55:46] 2.250 | 38936 | 34375 | 38 | 26234
[14:55:46] 2.300 | 36418 | 36063 | 38 | 26274
[14:55:46] 2.350 | 40584 | 41636 | 43 | 26284
[14:55:47] 2.400 | 35531 | 40977 | 44 | 26303
[14:55:47] 2.450 | 34286 | 34353 | 34 | 26315
[14:55:47] 2.500 | 39692 | 35348 | 46 | 26299
[14:55:47] ✅ Baseline complete. Starting main recording for 10 seconds...
[14:55:47] 2.550 | 37381 | 37739 | 43 | 26299
[14:55:47] 0.050 | 36352 | 41170 | 36 | 26305
[14:55:47] 0.100 | 39278 | 37386 | 45 | 26405
[14:55:47] 0.150 | 33847 | 41904 | 39 | 26402
[14:55:47] 0.200 | 33590 | 34305 | 41 | 26365
[14:55:47] 0.250 | 36459 | 41223 | 43 | 26393
[14:55:47] 0.300 | 37648 | 37824 | 46 | 26366
[14:55:47] 0.350 | 36155 | 38327 | 44 | 26400
[14:55:47] 0.400 | 35508 | 40896 | 47 | 26353
[14:55:47] 0.450 | 35954 | 42727 | 45 | 26396
[14:55:47] 0.500 | 41610 | 43569 | 46 | 26409
[14:55:47] 0.550 | 41600 | 34268 | 37 | 26489
[14:55:47] 0.600 | 42760 | 41348 | 43 | 26500
[14:55:47] 0.650 | 37119 | 40470 | 34 | 26513
[14:55:47] 0.700 | 37125 | 33584 | 26 | 26417
[14:55:47] 0.750 | 32866 | 35648 | 45 | 26528
[14:55:47] 0.800 | 38489 | 38615 | 40 | 26592
[14:55:48] 0.850 | 33968 | 37849 | 36 | 26597
[14:55:48] 0.900 | 32231 | 39694 | 42 | 26583
[14:55:48] 0.950 | 37227 | 36714 | 43 | 26560
[14:55:48] 1.000 | 36389 | 42219 | 40 | 26532
[14:55:48] 1.050 | 37955 | 41912 | 42 | 26558
[14:55:48] 1.100 | 38261 | 38016 | 42 | 26578
[14:55:48] 1.150 | 37361 | 35239 | 42 | 26569
[14:55:48] 1.200 | 36527 | 38304 | 41 | 26546
[14:55:48] 1.250 | 33583 | 38306 | 42 | 26534
[14:55:48] 1.300 | 35802 | 38788 | 45 | 26580
[14:55:48] 1.350 | 40052 | 36102 | 39 | 26587
[14:55:48] 1.400 | 32951 | 38663 | 36 | 26584
[14:55:48] 1.450 | 39090 | 36494 | 37 | 26582
[14:55:48] 1.500 | 40770 | 38108 | 41 | 26524
[14:55:48] 1.550 | 33111 | 38071 | 42 | 26539
[14:55:48] 1.600 | 35266 | 37277 | 39 | 26513
[14:55:48] 1.650 | 36949 | 39708 | 38 | 26573
[14:55:48] 1.700 | 39824 | 40657 | 44 | 26551
[14:55:48] 1.750 | 39999 | 40039 | 40 | 26554
[14:55:48] 1.800 | 40962 | 39532 | 49 | 26556
[14:55:49] 1.850 | 43220 | 40606 | 45 | 26503
[14:55:49] 1.900 | 37997 | 40085 | 43 | 26478
[14:55:49] 1.950 | 34187 | 37115 | 36 | 26516
[14:55:49] 2.000 | 35128 | 35703 | 40 | 26530
[14:55:49] 2.050 | 38710 | 41155 | 37 | 26560
[14:55:49] 2.100 | 37031 | 43394 | 43 | 26567
[14:55:49] 2.150 | 37516 | 38248 | 41 | 26510
[14:55:49] 2.200 | 32223 | 33500 | 41 | 26507
[14:55:49] 2.250 | 39856 | 36079 | 38 | 26530
[14:55:49] 2.300 | 37231 | 36164 | 39 | 26533
[14:55:49] 2.350 | 34014 | 38611 | 35 | 26547
[14:55:49] 2.400 | 34148 | 38355 | 41 | 26525
[14:55:49] 2.450 | 39532 | 41673 | 40 | 26554
[14:55:49] 2.500 | 43274 | 35641 | 43 | 26569
[14:55:49] 2.550 | 33159 | 35345 | 31 | 26555
[14:55:49] 2.600 | 33632 | 39410 | 41 | 26536
