timestamped_line
[16:40:14] ▶ Starting baseline phase for 2.5 seconds...
[16:40:14] t (s) | A | B | C | D
[16:40:14] 0.050 | 29 | 73 | 38823 | 5682
[16:40:14] 0.100 | 29 | 65 | 38826 | 5697
[16:40:14] 0.150 | 23 | 74 | 38832 | 5726
[16:40:14] 0.200 | 51 | 70 | 38830 | 5709
[16:40:14] 0.250 | 28 | 73 | 38826 | 5662
[16:40:14] 0.300 | 36 | 70 | 38831 | 5651
[16:40:14] 0.350 | 38 | 76 | 38852 | 5688
[16:40:14] 0.400 | 25 | 66 | 38856 | 5664
[16:40:14] 0.450 | 34 | 66 | 38835 | 5692
[16:40:14] 0.500 | 25 | 68 | 38853 | 5707
[16:40:14] 0.550 | 20 | 64 | 38850 | 5689
[16:40:14] 0.600 | 47 | 68 | 38851 | 5683
[16:40:14] 0.650 | 20 | 68 | 38854 | 5710
[16:40:14] 0.700 | 38 | 74 | 38856 | 5686
[16:40:14] 0.750 | 29 | 71 | 38876 | 5717
[16:40:14] 0.800 | 24 | 67 | 38870 | 5744
[16:40:14] 0.850 | 36 | 78 | 38872 | 5765
[16:40:15] 0.900 | 40 | 59 | 38870 | 5790
[16:40:15] 0.950 | 36 | 66 | 38879 | 5861
[16:40:15] 1.000 | 38 | 62 | 38875 | 5829
[16:40:15] 1.050 | 35 | 61 | 38878 | 5896
[16:40:15] 1.100 | 31 | 59 | 38874 | 5866
[16:40:15] 1.150 | 43 | 61 | 38885 | 5866
[16:40:15] 1.200 | 26 | 63 | 38882 | 5914
[16:40:15] 1.250 | 24 | 61 | 38886 | 5899
[16:40:15] 1.300 | 35 | 54 | 38892 | 5888
[16:40:15] 1.350 | 26 | 63 | 38879 | 5895
[16:40:15] 1.400 | 28 | 67 | 38879 | 5922
[16:40:15] 1.450 | 28 | 67 | 38878 | 5950
[16:40:15] 1.500 | 26 | 73 | 38893 | 5925
[16:40:15] 1.550 | 30 | 70 | 38907 | 5986
[16:40:15] 1.600 | 37 | 77 | 38898 | 5963
[16:40:15] 1.650 | 43 | 56 | 38903 | 5960
[16:40:15] 1.700 | 27 | 57 | 38912 | 5928
