timestamped_line
[16:36:14] ▶ Starting baseline phase for 2.5 seconds...
[16:36:14] t (s) | A | B | C | D
[16:36:14] 0.051 | 10 | 48 | 53 | 34
[16:36:14] 0.101 | 19 | 51 | 54 | 46
[16:36:14] 0.151 | 6 | 63 | 37 | 49
[16:36:15] 0.201 | 10 | 48 | 40 | 52
[16:36:15] 0.251 | 8 | 43 | 47 | 35
[16:36:15] 0.301 | 8 | 46 | 50 | 26
[16:36:15] 0.351 | 16 | 45 | 52 | 44
[16:36:15] 0.401 | 6 | 57 | 47 | 43
[16:36:15] 0.451 | 6 | 55 | 44 | 34
[16:36:15] 0.501 | 8 | 39 | 65 | 56
[16:36:15] 0.551 | 6 | 56 | 47 | 42
[16:36:15] 0.601 | 4 | 48 | 44 | 40
[16:36:15] 0.651 | 7 | 54 | 41 | 42
[16:36:15] 0.701 | 6 | 49 | 40 | 59
[16:36:15] 0.751 | 14 | 47 | 39 | 29
[16:36:15] 0.801 | 7 | 40 | 51 | 30
[16:36:15] 0.851 | 4 | 55 | 68 | 42
[16:36:15] 0.901 | 6 | 51 | 41 | 30
[16:36:15] 0.951 | 7 | 33 | 46 | 31
[16:36:15] 1.001 | 5 | 48 | 43 | 46
[16:36:15] 1.051 | 7 | 38 | 44 | 48
[16:36:15] 1.101 | 5 | 46 | 47 | 45
[16:36:15] 1.151 | 7 | 39 | 40 | 30
[16:36:16] 1.201 | 10 | 39 | 43 | 43
[16:36:16] 1.251 | 11 | 49 | 44 | 31
[16:36:16] 1.301 | 6 | 46 | 59 | 36
[16:36:16] 1.351 | 10 | 46 | 63 | 44
[16:36:16] 1.401 | 6 | 62 | 52 | 37
[16:36:16] 1.451 | 8 | 52 | 41 | 49
[16:36:16] 1.501 | 6 | 54 | 45 | 38
[16:36:16] 1.551 | 5 | 44 | 46 | 44
[16:36:16] 1.601 | 7 | 41 | 47 | 42
[16:36:16] 1.651 | 13 | 52 | 58 | 43
[16:36:16] 1.701 | 6 | 37 | 43 | 30
[16:36:16] 1.751 | 8 | 44 | 52 | 52
[16:36:16] 1.801 | 6 | 53 | 46 | 44
[16:36:16] 1.851 | 4 | 53 | 59 | 47
[16:36:16] 1.901 | 10 | 47 | 49 | 41
[16:36:16] 1.951 | 8 | 54 | 47 | 46
[16:36:16] 2.001 | 7 | 42 | 42 | 39
[16:36:16] 2.051 | 15 | 53 | 52 | 54
[16:36:16] 2.101 | 6 | 53 | 42 | 30
[16:36:16] 2.151 | 6 | 53 | 41 | 35
[16:36:17] 2.201 | 6 | 50 | 52 | 37
[16:36:17] 2.251 | 11 | 61 | 44 | 43
[16:36:17] 2.301 | 6 | 52 | 43 | 26
[16:36:17] 2.351 | 7 | 41 | 51 | 44
[16:36:17] 2.401 | 7 | 41 | 46 | 45
[16:36:17] 2.451 | 7 | 34 | 34 | 34
[16:36:17] ✅ Baseline complete. Starting main recording for 10 seconds...
[16:36:17] 2.501 | 8 | 42 | 52 | 40
[16:36:17] 0.050 | 7 | 49 | 34 | 44
[16:36:17] 0.100 | 16 | 45 | 47 | 37
[16:36:17] 0.150 | 6 | 57 | 52 | 24
[16:36:17] 0.200 | 4 | 37 | 33 | 20
[16:36:17] 0.250 | 5 | 43 | 33 | 16
[16:36:17] 0.300 | 4 | 36 | 17 | 8
[16:36:17] 0.350 | 12 | 40 | 24 | 25
[16:36:17] 0.400 | 6 | 31 | 27 | 10
[16:36:17] 0.450 | 13 | 49 | 29 | 19
[16:36:17] 0.500 | 11 | 32 | 19 | 7
[16:36:17] 0.550 | 12 | 42 | 16 | 23
[16:36:17] 0.600 | 4 | 41 | 17 | 9
[16:36:17] 0.650 | 11 | 33 | 17 | 10
[16:36:18] 0.700 | 14 | 29 | 20 | 5
[16:36:18] 0.750 | 5 | 38 | 30 | 8
[16:36:18] 0.800 | 5 | 32 | 22 | 9
[16:36:18] 0.850 | 7 | 24 | 19 | 11
[16:36:18] 0.900 | 9 | 44 | 25 | 5
[16:36:18] 0.950 | 5 | 27 | 18 | 11
[16:36:18] 1.000 | 4 | 40 | 27 | 5
[16:36:18] 1.050 | 12 | 35 | 17 | 17
[16:36:18] 1.100 | 4 | 22 | 11 | 13
[16:36:18] 1.150 | 6 | 13 | 12 | 7
[16:36:18] 1.200 | 6 | 14 | 10 | 5
[16:36:18] 1.250 | 6 | 17 | 16 | 13
[16:36:18] 1.300 | 6 | 36 | 9 | 18
[16:36:18] 1.350 | 8 | 33 | 28 | 27
[16:36:18] 1.400 | 7 | 30 | 14 | 8
[16:36:18] 1.450 | 17 | 28 | 46 | 6
[16:36:18] 1.500 | 5 | 19 | 10 | 19
[16:36:18] 1.550 | 5 | 32 | 14 | 28
[16:36:18] 1.600 | 5 | 41 | 24 | 11
[16:36:18] 1.650 | 6 | 10 | 18 | 10
[16:36:19] 1.700 | 7 | 20 | 36 | 12
[16:36:19] 1.750 | 9 | 32 | 8 | 21
[16:36:19] 1.800 | 4 | 24 | 36 | 27
[16:36:19] 1.850 | 7 | 18 | 9 | 19
[16:36:19] 1.900 | 6 | 35 | 22 | 15
[16:36:19] 1.950 | 4 | 28 | 34 | 17
[16:36:19] 2.000 | 5 | 33 | 27 | 28
[16:36:19] 2.050 | 6 | 31 | 42 | 19
[16:36:19] 2.100 | 6 | 46 | 17 | 31
[16:36:19] 2.150 | 5 | 34 | 35 | 36
[16:36:19] 2.200 | 4 | 42 | 30 | 42
[16:36:19] 2.250 | 4 | 41 | 35 | 30
[16:36:19] 2.300 | 5 | 46 | 27 | 25
[16:36:19] 2.350 | 6 | 37 | 28 | 28
[16:36:19] 2.400 | 8 | 46 | 39 | 18
[16:36:19] 2.450 | 10 | 36 | 43 | 34
[16:36:19] 2.500 | 7 | 45 | 46 | 24
[16:36:19] 2.550 | 5 | 41 | 32 | 34
[16:36:19] 2.600 | 4 | 36 | 42 | 21
[16:36:19] 2.650 | 8 | 36 | 36 | 29
[16:36:20] 2.700 | 4 | 32 | 38 | 14
[16:36:20] 2.750 | 6 | 33 | 9 | 26
[16:36:20] 2.800 | 4 | 48 | 38 | 10
[16:36:20] 2.850 | 5 | 39 | 30 | 29
[16:36:20] 2.900 | 10 | 41 | 40 | 17
[16:36:20] 2.950 | 4 | 36 | 29 | 30
[16:36:20] 3.000 | 7 | 37 | 41 | 31
[16:36:20] 3.050 | 4 | 46 | 32 | 17
[16:36:20] 3.100 | 6 | 34 | 40 | 19
[16:36:20] 3.150 | 7 | 33 | 19 | 25
[16:36:20] 3.200 | 6 | 32 | 26 | 36
[16:36:20] 3.250 | 8 | 36 | 38 | 26
[16:36:20] 3.300 | 7 | 37 | 48 | 25
[16:36:20] 3.350 | 6 | 40 | 58 | 30
[16:36:20] 3.400 | 4 | 39 | 43 | 29
[16:36:20] 3.450 | 6 | 48 | 32 | 27
[16:36:20] 3.500 | 8 | 34 | 46 | 32
[16:36:20] 3.550 | 5 | 38 | 21 | 46
[16:36:20] 3.600 | 5 | 47 | 30 | 36
[16:36:20] 3.650 | 5 | 51 | 25 | 25
[16:36:21] 3.700 | 7 | 39 | 25 | 32
[16:36:21] 3.750 | 8 | 42 | 41 | 15
[16:36:21] 3.800 | 5 | 23 | 26 | 27
[16:36:21] 3.850 | 4 | 30 | 20 | 35
[16:36:21] 3.900 | 6 | 37 | 34 | 29
[16:36:21] 3.950 | 4 | 53 | 33 | 30
[16:36:21] 4.000 | 7 | 50 | 36 | 25
[16:36:21] 4.050 | 4 | 56 | 31 | 29
[16:36:21] 4.100 | 8 | 44 | 49 | 43
[16:36:21] 4.150 | 6 | 44 | 48 | 11
[16:36:21] 4.200 | 9 | 46 | 47 | 30
[16:36:21] 4.250 | 5 | 27 | 33 | 41
[16:36:21] 4.300 | 5 | 49 | 38 | 46
[16:36:21] 4.350 | 4 | 40 | 37 | 46
[16:36:21] 4.400 | 4 | 40 | 42 | 36
[16:36:21] 4.450 | 5 | 39 | 36 | 50
[16:36:21] 4.500 | 4 | 42 | 57 | 42
[16:36:21] 4.550 | 4 | 39 | 25 | 27
[16:36:21] 4.600 | 5 | 38 | 38 | 25
[16:36:21] 4.650 | 9 | 27 | 38 | 26
[16:36:22] 4.700 | 4 | 35 | 52 | 39
[16:36:22] 4.750 | 11 | 39 | 60 | 32
[16:36:22] 4.800 | 5 | 41 | 40 | 48
[16:36:22] 4.850 | 6 | 41 | 43 | 39
[16:36:22] 4.900 | 7 | 38 | 36 | 39
[16:36:22] 4.950 | 8 | 37 | 29 | 33
[16:36:22] 5.000 | 11 | 45 | 19 | 25
[16:36:22] 5.050 | 4 | 44 | 44 | 28
[16:36:22] 5.100 | 9 | 47 | 41 | 23
[16:36:22] 5.150 | 6 | 41 | 34 | 48
[16:36:22] 5.200 | 5 | 41 | 61 | 35
[16:36:22] 5.250 | 8 | 41 | 44 | 35
[16:36:22] 5.300 | 4 | 59 | 39 | 33
[16:36:22] 5.350 | 4 | 48 | 38 | 43
[16:36:22] 5.400 | 9 | 66 | 49 | 31
[16:36:22] 5.450 | 14 | 45 | 51 | 43
[16:36:22] 5.500 | 4 | 46 | 58 | 40
[16:36:22] 5.550 | 10 | 42 | 31 | 32
[16:36:22] 5.600 | 5 | 51 | 41 | 43
[16:36:22] 5.650 | 7 | 50 | 49 | 38
[16:36:23] 5.700 | 4 | 49 | 42 | 39
[16:36:23] 5.750 | 5 | 47 | 29 | 49
[16:36:23] 5.800 | 6 | 48 | 37 | 39
[16:36:23] 5.850 | 6 | 48 | 26 | 37
[16:36:23] 5.900 | 6 | 43 | 44 | 47
[16:36:23] 5.950 | 7 | 45 | 46 | 45
[16:36:23] 6.000 | 8 | 47 | 42 | 54
[16:36:23] 6.050 | 6 | 55 | 44 | 47
[16:36:23] 6.100 | 9 | 48 | 59 | 51
[16:36:23] 6.150 | 4 | 48 | 45 | 56
[16:36:23] 6.200 | 10 | 46 | 49 | 65
[16:36:23] 6.250 | 8 | 40 | 32 | 70
[16:36:23] 6.300 | 5 | 47 | 50 | 71
[16:36:23] 6.350 | 7 | 41 | 51 | 64
[16:36:23] 6.400 | 7 | 54 | 31 | 66
[16:36:23] 6.450 | 6 | 42 | 47 | 56
[16:36:23] 6.500 | 7 | 50 | 53 | 67
[16:36:23] 6.550 | 9 | 48 | 57 | 75
[16:36:23] 6.600 | 7 | 46 | 48 | 66
[16:36:23] 6.650 | 12 | 45 | 62 | 57
[16:36:24] 6.700 | 4 | 70 | 68 | 68
[16:36:24] 6.750 | 25 | 49 | 52 | 72
[16:36:24] 6.800 | 15 | 63 | 61 | 57
[16:36:24] 6.850 | 17 | 47 | 52 | 64
[16:36:24] 6.900 | 20 | 45 | 45 | 60
[16:36:24] 6.950 | 13 | 66 | 55 | 58
[16:36:24] 7.000 | 23 | 54 | 50 | 50
[16:36:24] 7.050 | 23 | 42 | 57 | 60
[16:36:24] 7.100 | 23 | 56 | 60 | 71
[16:36:24] 7.150 | 17 | 46 | 59 | 67
[16:36:24] 7.200 | 17 | 51 | 56 | 61
[16:36:24] 7.250 | 29 | 50 | 43 | 68
[16:36:24] 7.300 | 21 | 52 | 56 | 58
[16:36:24] 7.350 | 27 | 54 | 57 | 50
[16:36:24] 7.400 | 24 | 53 | 46 | 54
[16:36:24] 7.450 | 27 | 54 | 57 | 70
