timestamped_line
[16:38:49] ▶ Starting baseline phase for 2.5 seconds...
[16:38:49] t (s) | A | B | C | D
[16:38:49] 0.050 | 79 | 32044 | 48515 | 38325
[16:38:49] 0.100 | 86 | 32040 | 48510 | 38280
[16:38:49] 0.150 | 93 | 32062 | 48509 | 38279
[16:38:50] 0.200 | 85 | 32045 | 48506 | 38274
[16:38:50] 0.250 | 84 | 32052 | 48513 | 38285
[16:38:50] 0.300 | 79 | 32053 | 48502 | 38297
[16:38:50] 0.350 | 86 | 32054 | 48507 | 38321
[16:38:50] 0.400 | 73 | 32055 | 48502 | 38292
[16:38:50] 0.450 | 78 | 32050 | 48512 | 38328
[16:38:50] 0.500 | 89 | 32051 | 48510 | 38315
[16:38:50] 0.550 | 80 | 32043 | 48504 | 38314
[16:38:50] 0.600 | 83 | 32050 | 48505 | 38314
[16:38:50] 0.650 | 80 | 32049 | 48499 | 38312
[16:38:50] 0.700 | 79 | 32054 | 48507 | 38336
[16:38:50] 0.750 | 74 | 32056 | 48510 | 38297
[16:38:50] 0.800 | 70 | 32053 | 48496 | 38288
[16:38:50] 0.850 | 66 | 32055 | 48502 | 38331
[16:38:50] 0.900 | 83 | 32056 | 48503 | 38288
[16:38:50] 0.950 | 89 | 32053 | 48499 | 38301
[16:38:50] 1.000 | 65 | 32047 | 48501 | 38288
[16:38:50] 1.050 | 72 | 32063 | 48503 | 38278
[16:38:50] 1.100 | 76 | 32069 | 48496 | 38271
[16:38:50] 1.150 | 77 | 32054 | 48506 | 38262
[16:38:51] 1.200 | 80 | 32052 | 48503 | 38266
[16:38:51] 1.250 | 70 | 32049 | 48502 | 38270
[16:38:51] 1.300 | 73 | 32048 | 48506 | 38246
[16:38:51] 1.350 | 78 | 32054 | 48510 | 38259
[16:38:51] 1.400 | 77 | 32049 | 48505 | 38276
[16:38:51] 1.450 | 80 | 32049 | 48508 | 38254
[16:38:51] 1.500 | 79 | 32049 | 48511 | 38249
[16:38:51] 1.550 | 77 | 32033 | 48510 | 38251
[16:38:51] 1.600 | 74 | 32051 | 48517 | 38261
[16:38:51] 1.650 | 71 | 32037 | 48512 | 38263
[16:38:51] 1.700 | 78 | 32040 | 48511 | 38262
[16:38:51] 1.750 | 74 | 32055 | 48502 | 38258
[16:38:51] 1.800 | 70 | 32064 | 48497 | 38271
[16:38:51] 1.850 | 75 | 32057 | 48501 | 38259
[16:38:51] 1.900 | 76 | 32062 | 48511 | 38258
[16:38:51] 1.950 | 74 | 32070 | 48504 | 38265
[16:38:51] 2.000 | 73 | 32055 | 48504 | 38252
[16:38:51] 2.050 | 61 | 32059 | 48510 | 38255
[16:38:51] 2.100 | 74 | 32056 | 48503 | 38256
[16:38:51] 2.150 | 74 | 32075 | 48509 | 38262
[16:38:52] 2.200 | 74 | 32063 | 48503 | 38277
[16:38:52] 2.250 | 85 | 32070 | 48498 | 38277
