timestamped_line
[18:49:36] ▶ Starting baseline phase for 2.5 seconds...
[18:49:36] t (s) | A | B | C | D
[18:49:36] 0.050 | 31 | 35023 | 77 | 71
[18:49:36] 0.100 | 47 | 35025 | 84 | 63
[18:49:36] 0.150 | 38 | 35011 | 95 | 73
[18:49:36] 0.200 | 32 | 35023 | 93 | 73
[18:49:36] 0.250 | 40 | 35028 | 93 | 75
[18:49:36] 0.300 | 35 | 35033 | 88 | 58
[18:49:36] 0.350 | 30 | 35031 | 63 | 63
[18:49:36] 0.400 | 25 | 35046 | 88 | 60
[18:49:36] 0.450 | 35 | 35036 | 85 | 68
[18:49:36] 0.500 | 34 | 35044 | 84 | 62
[18:49:36] 0.550 | 44 | 35021 | 77 | 70
[18:49:37] 0.600 | 39 | 35022 | 81 | 75
[18:49:37] 0.650 | 46 | 35035 | 69 | 67
[18:49:37] 0.700 | 35 | 35047 | 72 | 69
[18:49:37] 0.750 | 37 | 35046 | 80 | 71
[18:49:37] 0.800 | 45 | 35032 | 84 | 51
[18:49:37] 0.850 | 57 | 35028 | 78 | 59
[18:49:37] 0.900 | 52 | 35045 | 78 | 60
[18:49:37] 0.950 | 45 | 35049 | 80 | 65
[18:49:37] 1.000 | 38 | 35041 | 93 | 57
[18:49:37] 1.050 | 39 | 35029 | 96 | 71
[18:49:37] 1.100 | 42 | 35051 | 80 | 66
[18:49:37] 1.150 | 39 | 35044 | 85 | 80
[18:49:37] 1.200 | 37 | 35025 | 90 | 69
[18:49:37] 1.250 | 38 | 35045 | 94 | 76
[18:49:37] 1.300 | 39 | 35039 | 91 | 69
[18:49:37] 1.350 | 38 | 35044 | 78 | 69
[18:49:37] 1.400 | 44 | 35046 | 94 | 75
[18:49:37] 1.450 | 39 | 35045 | 75 | 83
[18:49:37] 1.500 | 49 | 35034 | 84 | 71
[18:49:38] 1.550 | 37 | 35053 | 99 | 59
[18:49:38] 1.600 | 44 | 35048 | 74 | 66
[18:49:38] 1.650 | 51 | 35045 | 78 | 77
[18:49:38] 1.700 | 43 | 35055 | 82 | 69
[18:49:38] 1.750 | 37 | 35038 | 73 | 68
[18:49:38] 1.800 | 32 | 35051 | 80 | 79
[18:49:38] 1.850 | 48 | 35043 | 85 | 68
[18:49:38] 1.900 | 48 | 35053 | 85 | 77
[18:49:38] 1.950 | 42 | 35055 | 91 | 61
[18:49:38] 2.000 | 40 | 35044 | 89 | 67
[18:49:38] 2.050 | 47 | 35064 | 81 | 71
[18:49:38] 2.100 | 44 | 35059 | 85 | 56
[18:49:38] 2.150 | 43 | 35049 | 87 | 68
[18:49:38] 2.200 | 35 | 35052 | 69 | 70
[18:49:38] 2.250 | 40 | 35054 | 83 | 66
[18:49:38] 2.300 | 37 | 35045 | 76 | 71
[18:49:38] 2.350 | 44 | 35054 | 86 | 73
[18:49:38] 2.400 | 40 | 35037 | 88 | 80
[18:49:38] 2.450 | 37 | 35049 | 86 | 71
[18:49:38] 2.500 | 46 | 35045 | 79 | 74
[18:49:38] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:49:38] 2.550 | 40 | 35053 | 85 | 69
[18:49:39] 0.050 | 47 | 35060 | 81 | 67
[18:49:39] 0.100 | 39 | 35043 | 81 | 76
[18:49:39] 0.150 | 40 | 35045 | 81 | 66
[18:49:39] 0.200 | 52 | 35055 | 83 | 67
[18:49:39] 0.250 | 41 | 35039 | 87 | 69
[18:49:39] 0.300 | 45 | 35037 | 83 | 75
[18:49:39] 0.350 | 31 | 35051 | 82 | 54
[18:49:39] 0.400 | 33 | 35027 | 71 | 58
[18:49:39] 0.450 | 27 | 35041 | 75 | 65
[18:49:39] 0.500 | 44 | 35039 | 96 | 58
[18:49:39] 0.550 | 52 | 35038 | 69 | 57
[18:49:39] 0.600 | 48 | 35055 | 66 | 52
[18:49:39] 0.650 | 28 | 35055 | 58 | 73
[18:49:39] 0.700 | 29 | 35047 | 73 | 60
[18:49:39] 0.750 | 49 | 35065 | 62 | 63
[18:49:39] 0.800 | 41 | 35063 | 70 | 67
[18:49:39] 0.850 | 39 | 35067 | 90 | 64
[18:49:39] 0.900 | 40 | 35068 | 70 | 63
[18:49:39] 0.950 | 37 | 35048 | 68 | 68
[18:49:39] 1.000 | 29 | 35055 | 77 | 59
[18:49:40] 1.050 | 28 | 35059 | 69 | 56
[18:49:40] 1.100 | 40 | 35066 | 84 | 50
[18:49:40] 1.150 | 37 | 35055 | 63 | 47
[18:49:40] 1.200 | 37 | 35055 | 68 | 50
[18:49:40] 1.250 | 43 | 35057 | 77 | 48
[18:49:40] 1.300 | 34 | 35080 | 81 | 57
[18:49:40] 1.350 | 34 | 35068 | 79 | 58
[18:49:40] 1.400 | 32 | 35068 | 64 | 58
[18:49:40] 1.450 | 25 | 35064 | 73 | 59
[18:49:40] 1.500 | 35 | 35074 | 81 | 48
[18:49:40] 1.550 | 24 | 35070 | 58 | 57
[18:49:40] 1.600 | 42 | 35069 | 72 | 60
[18:49:40] 1.650 | 29 | 35075 | 55 | 47
[18:49:40] 1.700 | 38 | 35069 | 71 | 60
[18:49:40] 1.750 | 43 | 35078 | 64 | 48
[18:49:40] 1.800 | 36 | 35080 | 62 | 57
[18:49:40] 1.850 | 34 | 35084 | 58 | 56
[18:49:40] 1.900 | 29 | 35071 | 68 | 69
[18:49:40] 1.950 | 25 | 35086 | 65 | 42
[18:49:41] 2.000 | 31 | 35084 | 76 | 47
[18:49:41] 2.050 | 35 | 35090 | 60 | 60
[18:49:41] 2.100 | 38 | 35086 | 53 | 52
[18:49:41] 2.150 | 27 | 35099 | 68 | 53
[18:49:41] 2.200 | 34 | 35068 | 69 | 59
[18:49:41] 2.250 | 37 | 35083 | 78 | 53
[18:49:41] 2.300 | 39 | 35082 | 81 | 60
[18:49:41] 2.350 | 39 | 35092 | 72 | 58
[18:49:41] 2.400 | 27 | 35097 | 68 | 51
[18:49:41] 2.450 | 35 | 35074 | 76 | 52
[18:49:41] 2.500 | 27 | 35076 | 73 | 57
[18:49:41] 2.550 | 28 | 35103 | 60 | 63
[18:49:41] 2.600 | 35 | 35079 | 74 | 60
[18:49:41] 2.650 | 34 | 35074 | 68 | 62
[18:49:41] 2.700 | 34 | 35079 | 80 | 51
[18:49:41] 2.750 | 24 | 35067 | 73 | 53
[18:49:41] 2.800 | 42 | 35064 | 59 | 46
[18:49:41] 2.850 | 24 | 35068 | 48 | 58
[18:49:41] 2.900 | 38 | 35071 | 82 | 48
[18:49:41] 2.950 | 35 | 35077 | 65 | 44
[18:49:42] 3.000 | 34 | 35075 | 62 | 66
[18:49:42] 3.050 | 37 | 35074 | 63 | 62
[18:49:42] 3.100 | 30 | 35059 | 69 | 51
[18:49:42] 3.150 | 46 | 35092 | 83 | 64
[18:49:42] 3.200 | 26 | 35085 | 87 | 61
[18:49:42] 3.250 | 32 | 35085 | 73 | 48
[18:49:42] 3.300 | 24 | 35075 | 67 | 48
[18:49:42] 3.350 | 27 | 35076 | 81 | 44
[18:49:42] 3.400 | 33 | 35084 | 82 | 52
[18:49:42] 3.450 | 22 | 35075 | 52 | 52
[18:49:42] 3.500 | 32 | 35091 | 73 | 47
[18:49:42] 3.550 | 43 | 35096 | 73 | 41
[18:49:42] 3.600 | 34 | 35089 | 53 | 59
[18:49:42] 3.650 | 44 | 35096 | 65 | 55
[18:49:42] 3.700 | 35 | 35100 | 67 | 57
[18:49:42] 3.750 | 41 | 35100 | 67 | 58
[18:49:42] 3.800 | 37 | 35097 | 71 | 57
[18:49:42] 3.850 | 38 | 35101 | 70 | 56
[18:49:42] 3.900 | 43 | 35099 | 85 | 57
[18:49:42] 3.950 | 51 | 35106 | 76 | 55
[18:49:43] 4.000 | 45 | 35099 | 69 | 58
[18:49:43] 4.050 | 55 | 35108 | 75 | 60
[18:49:43] 4.100 | 55 | 35115 | 74 | 67
[18:49:43] 4.150 | 37 | 35112 | 66 | 66
[18:49:43] 4.200 | 33 | 35121 | 68 | 65
[18:49:43] 4.250 | 36 | 35127 | 98 | 67
[18:49:43] 4.300 | 40 | 35117 | 74 | 69
[18:49:43] 4.350 | 43 | 35111 | 85 | 65
[18:49:43] 4.400 | 43 | 35116 | 85 | 73
[18:49:43] 4.450 | 41 | 35102 | 88 | 69
[18:49:43] 4.500 | 38 | 35130 | 85 | 74
[18:49:43] 4.550 | 39 | 35112 | 86 | 64
[18:49:43] 4.600 | 40 | 35129 | 86 | 72
[18:49:43] 4.650 | 37 | 35124 | 82 | 67
[18:49:43] 4.700 | 32 | 35136 | 92 | 65
[18:49:43] 4.750 | 40 | 35137 | 81 | 57
[18:49:43] 4.800 | 43 | 35125 | 89 | 70
[18:49:43] 4.850 | 33 | 35129 | 87 | 67
[18:49:43] 4.900 | 41 | 35126 | 87 | 66
[18:49:43] 4.950 | 38 | 35119 | 75 | 69
[18:49:44] 5.000 | 45 | 35127 | 79 | 65
[18:49:44] 5.050 | 43 | 35161 | 71 | 65
[18:49:44] 5.100 | 43 | 35149 | 79 | 70
[18:49:44] 5.150 | 36 | 35145 | 75 | 59
[18:49:44] 5.200 | 37 | 35138 | 80 | 66
[18:49:44] 5.250 | 49 | 35147 | 78 | 69
[18:49:44] 5.300 | 43 | 35146 | 73 | 66
[18:49:44] 5.350 | 41 | 35154 | 88 | 72
[18:49:44] 5.400 | 37 | 35145 | 87 | 75
[18:49:44] 5.450 | 45 | 35149 | 77 | 75
[18:49:44] 5.500 | 49 | 35153 | 94 | 69
[18:49:44] 5.550 | 37 | 35141 | 74 | 72
[18:49:44] 5.600 | 35 | 35148 | 82 | 64
[18:49:44] 5.650 | 50 | 35165 | 83 | 62
[18:49:44] 5.700 | 38 | 35155 | 85 | 70
[18:49:44] 5.750 | 58 | 35157 | 74 | 53
[18:49:44] 5.800 | 45 | 35156 | 77 | 62
[18:49:44] 5.850 | 45 | 35158 | 86 | 63
[18:49:44] 5.900 | 46 | 35160 | 85 | 62
[18:49:44] 5.950 | 43 | 35167 | 67 | 57
[18:49:45] 6.000 | 42 | 35152 | 75 | 63
[18:49:45] 6.050 | 36 | 35146 | 57 | 60
[18:49:45] 6.100 | 37 | 35150 | 80 | 72
[18:49:45] 6.150 | 42 | 35142 | 90 | 71
[18:49:45] 6.200 | 37 | 35170 | 85 | 66
[18:49:45] 6.250 | 37 | 35140 | 70 | 65
[18:49:45] 6.300 | 57 | 35147 | 87 | 65
[18:49:45] 6.350 | 40 | 35147 | 79 | 80
[18:49:45] 6.400 | 43 | 35152 | 72 | 64
[18:49:45] 6.450 | 45 | 35155 | 79 | 77
[18:49:45] 6.500 | 48 | 35158 | 91 | 66
[18:49:45] 6.550 | 39 | 35158 | 79 | 68
[18:49:45] 6.600 | 33 | 35153 | 76 | 53
[18:49:45] 6.650 | 36 | 35164 | 72 | 52
[18:49:45] 6.700 | 27 | 35169 | 44 | 49
[18:49:45] 6.750 | 28 | 35165 | 64 | 47
[18:49:45] 6.800 | 40 | 35160 | 73 | 52
[18:49:45] 6.850 | 29 | 35161 | 72 | 56
[18:49:45] 6.900 | 40 | 35160 | 77 | 54
[18:49:45] 6.950 | 45 | 35161 | 81 | 71
[18:49:46] 7.000 | 35 | 35167 | 83 | 61
[18:49:46] 7.050 | 44 | 35175 | 73 | 69
[18:49:46] 7.100 | 46 | 35174 | 77 | 76
[18:49:46] 7.150 | 52 | 35170 | 81 | 65
[18:49:46] 7.200 | 45 | 35175 | 79 | 70
[18:49:46] 7.250 | 45 | 35169 | 82 | 63
[18:49:46] 7.300 | 44 | 35182 | 80 | 76
[18:49:46] 7.350 | 50 | 35180 | 81 | 76
[18:49:46] 7.400 | 42 | 35182 | 73 | 67
