timestamped_line
[17:18:23] ▶ Starting baseline phase for 2.5 seconds...
[17:18:23] t (s) | A | B | C | D
[17:18:24] 0.051 | 8 | 41277 | 30 | 28
[17:18:24] 0.101 | 11 | 41370 | 28 | 35
[17:18:24] 0.151 | 9 | 41338 | 27 | 45
[17:18:24] 0.201 | 12 | 41343 | 22 | 44
[17:18:24] 0.251 | 5 | 41235 | 28 | 41
[17:18:24] 0.301 | 4 | 41281 | 25 | 32
[17:18:24] 0.351 | 6 | 41370 | 34 | 35
[17:18:24] 0.401 | 7 | 41346 | 45 | 30
[17:18:24] 0.451 | 10 | 41363 | 26 | 41
[17:18:24] 0.501 | 6 | 41241 | 24 | 32
[17:18:24] 0.551 | 4 | 41331 | 35 | 35
[17:18:24] 0.601 | 9 | 41368 | 27 | 36
[17:18:24] 0.651 | 5 | 41390 | 31 | 39
[17:18:24] 0.701 | 5 | 41375 | 18 | 34
[17:18:24] 0.751 | 8 | 41385 | 29 | 37
[17:18:24] 0.801 | 6 | 41363 | 19 | 31
[17:18:24] 0.851 | 4 | 41379 | 32 | 40
[17:18:24] 0.901 | 6 | 41406 | 31 | 34
[17:18:24] 0.951 | 7 | 41385 | 24 | 45
[17:18:24] 1.001 | 8 | 41394 | 23 | 37
[17:18:25] 1.051 | 9 | 41390 | 25 | 27
[17:18:25] 1.101 | 6 | 41398 | 18 | 24
[17:18:25] 1.151 | 6 | 41400 | 21 | 24
[17:18:25] 1.201 | 5 | 41403 | 27 | 43
[17:18:25] 1.251 | 8 | 41399 | 31 | 35
[17:18:25] 1.301 | 5 | 41406 | 31 | 22
[17:18:25] 1.351 | 5 | 41398 | 26 | 39
[17:18:25] 1.401 | 10 | 41413 | 26 | 47
[17:18:25] 1.451 | 10 | 41402 | 24 | 36
[17:18:25] 1.501 | 6 | 41404 | 39 | 33
[17:18:25] 1.551 | 6 | 41400 | 33 | 44
[17:18:25] 1.601 | 16 | 41424 | 28 | 50
[17:18:25] 1.651 | 10 | 41417 | 23 | 31
[17:18:25] 1.701 | 14 | 41417 | 24 | 27
[17:18:25] 1.751 | 5 | 41423 | 24 | 38
[17:18:25] 1.801 | 8 | 41433 | 26 | 35
[17:18:25] 1.851 | 15 | 41434 | 28 | 36
[17:18:25] 1.901 | 6 | 41429 | 21 | 28
[17:18:25] 1.951 | 5 | 41428 | 32 | 31
[17:18:25] 2.001 | 9 | 41442 | 24 | 40
[17:18:26] 2.051 | 8 | 41420 | 29 | 32
[17:18:26] 2.101 | 9 | 41431 | 25 | 25
[17:18:26] 2.151 | 9 | 41446 | 22 | 38
[17:18:26] 2.201 | 20 | 41428 | 27 | 29
