timestamped_line
[18:01:33] ▶ Starting baseline phase for 2.5 seconds...
[18:01:33] t (s) | A | B | C | D
[18:01:33] 0.050 | 41 | 16682 | 61 | 46
[18:01:33] 0.100 | 34 | 16696 | 62 | 61
[18:01:34] 0.150 | 39 | 16603 | 57 | 54
[18:01:34] 0.200 | 32 | 16689 | 63 | 62
[18:01:34] 0.250 | 39 | 16695 | 62 | 58
[18:01:34] 0.300 | 24 | 16711 | 56 | 51
[18:01:34] 0.350 | 31 | 16657 | 46 | 58
[18:01:34] 0.400 | 25 | 16750 | 54 | 50
[18:01:34] 0.450 | 43 | 16709 | 44 | 49
[18:01:34] 0.500 | 43 | 16711 | 64 | 58
[18:01:34] 0.550 | 33 | 16748 | 55 | 61
[18:01:34] 0.600 | 19 | 16758 | 56 | 61
[18:01:34] 0.650 | 43 | 16762 | 57 | 53
[18:01:34] 0.700 | 43 | 16758 | 62 | 55
[18:01:34] 0.750 | 21 | 16777 | 57 | 63
[18:01:34] 0.800 | 25 | 16752 | 55 | 59
[18:01:34] 0.850 | 33 | 16767 | 49 | 53
[18:01:34] 0.900 | 30 | 16770 | 59 | 64
[18:01:34] 0.950 | 33 | 16776 | 68 | 59
[18:01:34] 1.000 | 37 | 16786 | 55 | 66
[18:01:34] 1.050 | 24 | 16821 | 50 | 52
[18:01:34] 1.100 | 34 | 16801 | 66 | 57
[18:01:35] 1.150 | 30 | 16795 | 50 | 62
[18:01:35] 1.200 | 29 | 16758 | 54 | 53
[18:01:35] 1.250 | 22 | 16761 | 51 | 52
[18:01:35] 1.300 | 33 | 16739 | 60 | 48
[18:01:35] 1.350 | 38 | 16713 | 61 | 65
[18:01:35] 1.400 | 27 | 16758 | 43 | 48
[18:01:35] 1.450 | 33 | 16704 | 51 | 70
[18:01:35] 1.500 | 26 | 16548 | 72 | 54
[18:01:35] 1.550 | 32 | 16512 | 50 | 44
[18:01:35] 1.600 | 27 | 16565 | 48 | 44
[18:01:35] 1.650 | 41 | 16559 | 58 | 54
[18:01:35] 1.700 | 36 | 16252 | 57 | 44
[18:01:35] 1.750 | 17 | 16505 | 54 | 70
[18:01:35] 1.800 | 37 | 16677 | 55 | 57
[18:01:35] 1.850 | 40 | 16468 | 57 | 51
[18:01:35] 1.900 | 24 | 16274 | 57 | 43
[18:01:35] 1.950 | 19 | 16578 | 55 | 58
[18:01:35] 2.000 | 23 | 16231 | 58 | 48
[18:01:35] 2.050 | 23 | 16435 | 61 | 42
[18:01:35] 2.100 | 36 | 16580 | 64 | 46
[18:01:36] 2.150 | 43 | 16435 | 59 | 53
[18:01:36] 2.200 | 32 | 16387 | 53 | 55
[18:01:36] 2.250 | 38 | 16324 | 39 | 51
[18:01:36] 2.300 | 37 | 16496 | 57 | 50
[18:01:36] 2.350 | 24 | 16380 | 59 | 57
[18:01:36] 2.400 | 34 | 16395 | 59 | 57
[18:01:36] 2.450 | 37 | 16248 | 60 | 45
[18:01:36] 2.500 | 28 | 16329 | 44 | 63
[18:01:36] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:01:36] 2.550 | 30 | 16231 | 53 | 53
[18:01:36] 0.050 | 31 | 16287 | 62 | 41
[18:01:36] 0.100 | 32 | 16322 | 66 | 53
[18:01:36] 0.150 | 32 | 16435 | 55 | 65
[18:01:36] 0.200 | 33 | 16316 | 60 | 54
[18:01:36] 0.250 | 31 | 16196 | 48 | 55
[18:01:36] 0.300 | 31 | 16266 | 48 | 58
[18:01:36] 0.350 | 34 | 16050 | 69 | 45
[18:01:36] 0.400 | 34 | 16252 | 50 | 48
[18:01:36] 0.450 | 42 | 16241 | 60 | 65
[18:01:36] 0.500 | 42 | 16094 | 58 | 44
[18:01:36] 0.550 | 31 | 16297 | 56 | 58
[18:01:37] 0.600 | 46 | 16207 | 56 | 44
[18:01:37] 0.650 | 26 | 16072 | 60 | 52
[18:01:37] 0.700 | 27 | 16069 | 60 | 44
[18:01:37] 0.750 | 51 | 16026 | 65 | 51
[18:01:37] 0.800 | 35 | 16264 | 58 | 44
[18:01:37] 0.850 | 22 | 16150 | 68 | 60
[18:01:37] 0.900 | 32 | 16166 | 48 | 61
[18:01:37] 0.950 | 34 | 16065 | 48 | 51
[18:01:37] 1.000 | 47 | 16272 | 54 | 52
[18:01:37] 1.050 | 43 | 16246 | 61 | 68
[18:01:37] 1.100 | 38 | 16188 | 56 | 63
[18:01:37] 1.150 | 30 | 16217 | 51 | 52
[18:01:37] 1.200 | 32 | 16187 | 54 | 43
[18:01:37] 1.250 | 43 | 16235 | 57 | 56
[18:01:37] 1.300 | 32 | 16218 | 53 | 57
[18:01:37] 1.350 | 30 | 16191 | 63 | 52
[18:01:37] 1.400 | 28 | 16209 | 50 | 53
[18:01:37] 1.450 | 18 | 16266 | 59 | 53
[18:01:37] 1.500 | 22 | 16340 | 61 | 47
[18:01:37] 1.550 | 39 | 16247 | 51 | 66
[18:01:38] 1.600 | 22 | 16276 | 64 | 60
[18:01:38] 1.650 | 29 | 16289 | 50 | 47
[18:01:38] 1.700 | 36 | 16389 | 65 | 50
[18:01:38] 1.750 | 42 | 16290 | 61 | 52
[18:01:38] 1.800 | 33 | 16395 | 59 | 47
[18:01:38] 1.850 | 27 | 16395 | 57 | 53
[18:01:38] 1.900 | 31 | 16388 | 58 | 43
[18:01:38] 1.950 | 36 | 16400 | 56 | 59
[18:01:38] 2.000 | 36 | 16427 | 50 | 45
[18:01:38] 2.050 | 25 | 16487 | 50 | 59
[18:01:38] 2.100 | 27 | 16186 | 53 | 52
[18:01:38] 2.150 | 30 | 16298 | 57 | 57
[18:01:38] 2.200 | 34 | 16520 | 65 | 43
[18:01:38] 2.250 | 30 | 16540 | 51 | 58
[18:01:38] 2.300 | 32 | 16476 | 63 | 60
[18:01:38] 2.350 | 32 | 16344 | 54 | 64
[18:01:38] 2.400 | 20 | 16463 | 57 | 48
[18:01:38] 2.450 | 26 | 16484 | 54 | 51
[18:01:38] 2.500 | 24 | 16593 | 55 | 52
[18:01:38] 2.550 | 26 | 16502 | 59 | 44
[18:01:39] 2.600 | 35 | 16506 | 61 | 49
[18:01:39] 2.650 | 28 | 16524 | 60 | 54
[18:01:39] 2.700 | 27 | 16391 | 46 | 52
[18:01:39] 2.750 | 34 | 16411 | 48 | 57
[18:01:39] 2.800 | 26 | 16573 | 68 | 57
[18:01:39] 2.850 | 40 | 16449 | 59 | 58
[18:01:39] 2.900 | 27 | 16465 | 55 | 72
[18:01:39] 2.950 | 32 | 16621 | 61 | 57
[18:01:39] 3.000 | 30 | 16522 | 54 | 54
[18:01:39] 3.050 | 31 | 16489 | 60 | 57
[18:01:39] 3.100 | 30 | 16476 | 61 | 57
[18:01:39] 3.150 | 37 | 16424 | 44 | 47
[18:01:39] 3.200 | 34 | 16432 | 49 | 70
[18:01:39] 3.250 | 36 | 16500 | 57 | 51
[18:01:39] 3.300 | 26 | 16543 | 61 | 64
[18:01:39] 3.350 | 30 | 16606 | 61 | 53
[18:01:39] 3.400 | 24 | 16565 | 56 | 37
[18:01:39] 3.450 | 34 | 16568 | 65 | 48
[18:01:39] 3.500 | 34 | 16550 | 67 | 60
[18:01:39] 3.550 | 29 | 16634 | 54 | 41
[18:01:40] 3.600 | 33 | 16618 | 56 | 59
[18:01:40] 3.650 | 38 | 16637 | 55 | 53
[18:01:40] 3.700 | 45 | 16644 | 51 | 56
[18:01:40] 3.750 | 31 | 16490 | 60 | 52
[18:01:40] 3.800 | 29 | 16744 | 63 | 55
[18:01:40] 3.850 | 37 | 16604 | 60 | 59
[18:01:40] 3.900 | 35 | 16504 | 62 | 52
[18:01:40] 3.950 | 28 | 16377 | 52 | 45
[18:01:40] 4.000 | 29 | 16682 | 58 | 43
[18:01:40] 4.050 | 34 | 16505 | 57 | 58
[18:01:40] 4.100 | 33 | 16712 | 58 | 41
[18:01:40] 4.150 | 37 | 16733 | 63 | 59
[18:01:40] 4.200 | 37 | 16669 | 53 | 65
[18:01:40] 4.250 | 33 | 16631 | 55 | 49
[18:01:40] 4.300 | 42 | 16677 | 57 | 50
[18:01:40] 4.350 | 35 | 16702 | 70 | 37
[18:01:40] 4.400 | 38 | 16663 | 60 | 47
[18:01:40] 4.450 | 32 | 16729 | 66 | 57
[18:01:40] 4.500 | 47 | 16736 | 61 | 53
[18:01:40] 4.550 | 34 | 16762 | 61 | 54
[18:01:41] 4.600 | 26 | 16755 | 65 | 55
[18:01:41] 4.650 | 38 | 16750 | 63 | 48
[18:01:41] 4.700 | 38 | 16751 | 58 | 48
[18:01:41] 4.750 | 28 | 16792 | 74 | 44
[18:01:41] 4.800 | 45 | 16737 | 55 | 64
