timestamped_line
[17:32:49] ▶ Starting baseline phase for 2.5 seconds...
[17:32:49] t (s) | A | B | C | D
[17:32:49] 0.050 | 32 | 55 | 45650 | 93
[17:32:49] 0.100 | 36 | 66 | 45644 | 76
[17:32:49] 0.150 | 40 | 56 | 45643 | 78
[17:32:49] 0.200 | 37 | 79 | 45658 | 86
[17:32:49] 0.250 | 45 | 65 | 45660 | 79
[17:32:49] 0.300 | 43 | 54 | 45666 | 90
[17:32:49] 0.350 | 43 | 58 | 45657 | 91
[17:32:49] 0.400 | 39 | 62 | 45651 | 75
[17:32:49] 0.450 | 32 | 66 | 45646 | 79
[17:32:49] 0.500 | 43 | 51 | 45693 | 78
[17:32:49] 0.550 | 36 | 63 | 45663 | 65
[17:32:49] 0.600 | 25 | 72 | 45657 | 79
[17:32:50] 0.650 | 40 | 65 | 45671 | 77
[17:32:50] 0.700 | 29 | 60 | 45649 | 89
[17:32:50] 0.750 | 49 | 66 | 45653 | 75
[17:32:50] 0.800 | 44 | 52 | 45653 | 78
[17:32:50] 0.850 | 22 | 72 | 45662 | 86
[17:32:50] 0.900 | 46 | 57 | 45659 | 82
[17:32:50] 0.950 | 32 | 57 | 45655 | 75
[17:32:50] 1.000 | 36 | 41 | 45657 | 95
[17:32:50] 1.050 | 32 | 56 | 45688 | 87
[17:32:50] 1.100 | 32 | 60 | 45707 | 77
[17:32:50] 1.150 | 43 | 65 | 45654 | 86
[17:32:50] 1.200 | 34 | 55 | 45662 | 77
[17:32:50] 1.250 | 24 | 58 | 45657 | 77
[17:32:50] 1.300 | 20 | 76 | 45703 | 74
[17:32:50] 1.350 | 48 | 55 | 45704 | 80
[17:32:50] 1.400 | 33 | 68 | 45717 | 98
[17:32:50] 1.450 | 28 | 75 | 45677 | 87
[17:32:50] 1.500 | 35 | 62 | 45672 | 82
[17:32:50] 1.550 | 38 | 76 | 45666 | 95
[17:32:50] 1.600 | 33 | 60 | 45708 | 91
[17:32:51] 1.650 | 38 | 82 | 45698 | 78
[17:32:51] 1.700 | 34 | 65 | 45685 | 79
[17:32:51] 1.750 | 40 | 54 | 45676 | 89
[17:32:51] 1.800 | 36 | 59 | 45677 | 89
[17:32:51] 1.850 | 35 | 62 | 45677 | 80
[17:32:51] 1.900 | 32 | 70 | 45720 | 81
[17:32:51] 1.950 | 37 | 59 | 45718 | 82
[17:32:51] 2.000 | 41 | 64 | 45693 | 84
[17:32:51] 2.050 | 32 | 67 | 45710 | 91
[17:32:51] 2.100 | 25 | 65 | 45728 | 88
[17:32:51] 2.150 | 42 | 66 | 45719 | 81
[17:32:51] 2.200 | 28 | 68 | 45711 | 86
[17:32:51] 2.250 | 36 | 63 | 45725 | 91
[17:32:51] 2.300 | 39 | 66 | 45734 | 85
[17:32:51] 2.350 | 35 | 53 | 45734 | 87
[17:32:51] 2.400 | 38 | 58 | 45723 | 85
[17:32:51] 2.450 | 37 | 64 | 45726 | 82
[17:32:51] 2.500 | 44 | 65 | 45728 | 75
[17:32:51] ✅ Baseline complete. Starting main recording for 10 seconds...
[17:32:51] 2.550 | 39 | 62 | 45731 | 87
[17:32:51] 0.050 | 27 | 64 | 45731 | 77
[17:32:52] 0.100 | 42 | 61 | 45703 | 80
[17:32:52] 0.150 | 49 | 64 | 45729 | 87
[17:32:52] 0.200 | 37 | 65 | 45723 | 87
[17:32:52] 0.250 | 46 | 65 | 45725 | 85
[17:32:52] 0.300 | 30 | 67 | 45721 | 91
