timestamped_line
[17:25:15] ▶ Starting baseline phase for 2.5 seconds...
[17:25:15] t (s) | A | B | C | D
[17:25:15] 0.050 | 5 | 44 | 7 | 32798
[17:25:15] 0.100 | 11 | 12 | 4 | 32791
[17:25:15] 0.150 | 11 | 10 | 5 | 32789
[17:25:15] 0.200 | 12 | 29 | 13 | 32785
[17:25:15] 0.250 | 9 | 35 | 10 | 32804
[17:25:15] 0.300 | 14 | 34 | 6 | 32816
[17:25:15] 0.350 | 5 | 32 | 4 | 32837
[17:25:15] 0.400 | 14 | 33 | 5 | 32822
[17:25:15] 0.450 | 12 | 28 | 7 | 32804
[17:25:15] 0.500 | 6 | 25 | 9 | 32794
[17:25:15] 0.550 | 9 | 16 | 22 | 32772
[17:25:15] 0.600 | 10 | 25 | 29 | 32785
[17:25:15] 0.650 | 18 | 12 | 31 | 32770
[17:25:15] 0.700 | 8 | 18 | 38 | 32723
[17:25:15] 0.750 | 10 | 25 | 32 | 32731
[17:25:15] 0.800 | 4 | 43 | 34 | 32723
[17:25:15] 0.850 | 17 | 59 | 27 | 32735
[17:25:16] 0.900 | 12 | 50 | 42 | 32721
[17:25:16] 0.950 | 8 | 43 | 34 | 32691
[17:25:16] 1.000 | 13 | 45 | 27 | 32691
[17:25:16] 1.050 | 14 | 39 | 25 | 32657
[17:25:16] 1.100 | 20 | 56 | 26 | 32692
[17:25:16] 1.150 | 25 | 44 | 39 | 32665
[17:25:16] 1.200 | 28 | 38 | 29 | 32678
[17:25:16] 1.250 | 30 | 36 | 37 | 32663
[17:25:16] 1.300 | 28 | 47 | 34 | 32705
[17:25:16] 1.350 | 27 | 58 | 29 | 32678
[17:25:16] 1.400 | 29 | 55 | 34 | 32702
[17:25:16] 1.450 | 47 | 50 | 36 | 32682
[17:25:16] 1.500 | 34 | 39 | 38 | 32677
[17:25:16] 1.550 | 23 | 43 | 43 | 32686
[17:25:16] 1.600 | 36 | 40 | 35 | 32670
[17:25:16] 1.650 | 36 | 44 | 36 | 32653
[17:25:16] 1.700 | 28 | 50 | 43 | 32667
[17:25:16] 1.750 | 35 | 56 | 49 | 32665
[17:25:16] 1.800 | 41 | 54 | 36 | 32665
[17:25:16] 1.850 | 46 | 48 | 34 | 32676
[17:25:17] 1.900 | 26 | 60 | 38 | 32657
[17:25:17] 1.950 | 35 | 43 | 36 | 32639
