timestamped_line
[19:24:16] ▶ Starting baseline phase for 2.5 seconds...
[19:24:16] t (s) | A | B | C | D
[19:24:16] 0.050 | 65 | 33936 | 101 | 80
[19:24:16] 0.100 | 66 | 33929 | 112 | 91
[19:24:16] 0.150 | 53 | 33938 | 107 | 94
[19:24:16] 0.200 | 78 | 33937 | 111 | 89
[19:24:16] 0.250 | 57 | 33926 | 105 | 103
[19:24:16] 0.300 | 63 | 33934 | 93 | 90
[19:24:16] 0.350 | 51 | 33971 | 103 | 87
[19:24:16] 0.400 | 62 | 33984 | 102 | 93
[19:24:16] 0.450 | 58 | 34007 | 102 | 89
[19:24:16] 0.500 | 63 | 33992 | 109 | 99
[19:24:17] 0.550 | 58 | 33986 | 100 | 91
[19:24:17] 0.600 | 73 | 33981 | 102 | 76
[19:24:17] 0.650 | 63 | 33979 | 92 | 93
[19:24:17] 0.700 | 61 | 33992 | 94 | 86
[19:24:17] 0.750 | 60 | 33984 | 116 | 89
[19:24:17] 0.800 | 77 | 33986 | 110 | 88
[19:24:17] 0.850 | 61 | 33974 | 116 | 92
[19:24:17] 0.900 | 55 | 33978 | 99 | 70
[19:24:17] 0.950 | 68 | 33990 | 104 | 92
[19:24:17] 1.000 | 65 | 33981 | 113 | 88
[19:24:17] 1.050 | 61 | 33991 | 124 | 85
[19:24:17] 1.100 | 65 | 33971 | 109 | 90
[19:24:17] 1.150 | 66 | 33980 | 110 | 89
[19:24:17] 1.200 | 60 | 33981 | 103 | 82
[19:24:17] 1.250 | 56 | 33978 | 116 | 100
[19:24:17] 1.300 | 66 | 33982 | 113 | 80
[19:24:17] 1.350 | 56 | 33986 | 105 | 93
[19:24:17] 1.400 | 61 | 33972 | 108 | 98
[19:24:17] 1.450 | 62 | 33978 | 99 | 90
[19:24:17] 1.500 | 60 | 33968 | 100 | 92
[19:24:18] 1.550 | 55 | 33982 | 103 | 83
[19:24:18] 1.600 | 64 | 33986 | 101 | 89
[19:24:18] 1.650 | 60 | 33988 | 104 | 106
[19:24:18] 1.700 | 54 | 33980 | 117 | 100
[19:24:18] 1.750 | 72 | 33978 | 113 | 96
[19:24:18] 1.800 | 72 | 33989 | 95 | 92
[19:24:18] 1.850 | 71 | 33971 | 98 | 80
[19:24:18] 1.900 | 70 | 33947 | 100 | 87
[19:24:18] 1.950 | 58 | 33981 | 102 | 90
[19:24:18] 2.000 | 58 | 33977 | 109 | 82
[19:24:18] 2.050 | 70 | 33974 | 87 | 89
[19:24:18] 2.100 | 68 | 33977 | 112 | 88
[19:24:18] 2.150 | 61 | 33987 | 98 | 93
[19:24:18] 2.200 | 70 | 33981 | 117 | 77
[19:24:18] 2.250 | 65 | 33979 | 109 | 81
[19:24:18] 2.300 | 61 | 33969 | 98 | 80
[19:24:18] 2.350 | 62 | 33972 | 112 | 85
[19:24:18] 2.400 | 65 | 33985 | 105 | 85
[19:24:18] 2.450 | 57 | 33988 | 110 | 85
[19:24:18] 2.500 | 72 | 33990 | 98 | 91
[19:24:19] ✅ Baseline complete. Starting main recording for 10 seconds...
[19:24:19] 2.550 | 64 | 33986 | 116 | 82
[19:24:19] 0.050 | 56 | 33985 | 97 | 78
[19:24:19] 0.100 | 63 | 34002 | 98 | 84
[19:24:19] 0.150 | 63 | 33971 | 108 | 88
[19:24:19] 0.200 | 59 | 33984 | 99 | 84
[19:24:19] 0.250 | 55 | 33980 | 100 | 90
[19:24:19] 0.300 | 50 | 33983 | 108 | 94
[19:24:19] 0.350 | 66 | 33981 | 101 | 87
[19:24:19] 0.400 | 62 | 33989 | 96 | 84
[19:24:19] 0.450 | 74 | 33989 | 103 | 88
[19:24:19] 0.500 | 61 | 33988 | 94 | 85
[19:24:19] 0.550 | 64 | 33985 | 98 | 84
[19:24:19] 0.600 | 59 | 33979 | 115 | 79
[19:24:19] 0.650 | 56 | 33972 | 107 | 88
[19:24:19] 0.700 | 70 | 33983 | 103 | 82
[19:24:19] 0.750 | 57 | 33974 | 109 | 91
[19:24:19] 0.800 | 58 | 33971 | 92 | 89
[19:24:19] 0.850 | 67 | 33970 | 104 | 83
[19:24:19] 0.900 | 62 | 33975 | 92 | 84
[19:24:19] 0.950 | 58 | 33970 | 92 | 79
[19:24:20] 1.000 | 57 | 33977 | 102 | 99
[19:24:20] 1.050 | 51 | 33979 | 109 | 88
[19:24:20] 1.100 | 70 | 33971 | 94 | 92
[19:24:20] 1.150 | 77 | 33970 | 99 | 90
[19:24:20] 1.200 | 56 | 33965 | 90 | 86
[19:24:20] 1.250 | 59 | 33975 | 101 | 88
[19:24:20] 1.300 | 57 | 33979 | 96 | 88
[19:24:20] 1.350 | 66 | 33961 | 96 | 76
[19:24:20] 1.400 | 60 | 33978 | 99 | 85
[19:24:20] 1.450 | 69 | 33971 | 100 | 92
[19:24:20] 1.500 | 69 | 33968 | 102 | 84
[19:24:20] 1.550 | 68 | 33994 | 101 | 93
[19:24:20] 1.600 | 74 | 33985 | 98 | 80
[19:24:20] 1.650 | 61 | 33988 | 85 | 87
[19:24:20] 1.700 | 61 | 33983 | 105 | 94
[19:24:20] 1.750 | 59 | 33992 | 93 | 91
[19:24:20] 1.800 | 52 | 33993 | 97 | 79
[19:24:20] 1.850 | 61 | 33989 | 111 | 100
[19:24:20] 1.900 | 61 | 33994 | 99 | 97
[19:24:20] 1.950 | 70 | 33991 | 102 | 93
[19:24:21] 2.000 | 57 | 33993 | 105 | 84
[19:24:21] 2.050 | 60 | 33995 | 94 | 87
[19:24:21] 2.100 | 60 | 33990 | 106 | 84
[19:24:21] 2.150 | 51 | 33992 | 106 | 87
[19:24:21] 2.200 | 70 | 33977 | 97 | 81
[19:24:21] 2.250 | 60 | 33987 | 95 | 90
[19:24:21] 2.300 | 53 | 33995 | 94 | 86
[19:24:21] 2.350 | 50 | 33994 | 107 | 78
[19:24:21] 2.400 | 64 | 33995 | 94 | 69
[19:24:21] 2.450 | 66 | 33993 | 92 | 87
[19:24:21] 2.500 | 63 | 33994 | 91 | 92
[19:24:21] 2.550 | 60 | 33998 | 99 | 75
[19:24:21] 2.600 | 64 | 33988 | 88 | 84
[19:24:21] 2.650 | 66 | 34000 | 126 | 93
[19:24:21] 2.700 | 54 | 33998 | 102 | 80
[19:24:21] 2.750 | 57 | 33996 | 98 | 87
[19:24:21] 2.800 | 63 | 33987 | 91 | 95
[19:24:21] 2.850 | 58 | 33982 | 93 | 93
[19:24:21] 2.900 | 56 | 33986 | 95 | 82
[19:24:21] 2.950 | 55 | 33988 | 102 | 90
[19:24:22] 3.000 | 64 | 33990 | 101 | 84
[19:24:22] 3.050 | 57 | 33998 | 116 | 90
[19:24:22] 3.100 | 63 | 33985 | 98 | 80
[19:24:22] 3.150 | 49 | 33988 | 95 | 82
[19:24:22] 3.200 | 63 | 33983 | 96 | 87
[19:24:22] 3.250 | 64 | 33985 | 97 | 92
[19:24:22] 3.300 | 61 | 33979 | 90 | 84
[19:24:22] 3.350 | 60 | 33983 | 99 | 83
[19:24:22] 3.400 | 59 | 33981 | 88 | 93
[19:24:22] 3.450 | 65 | 33974 | 94 | 89
[19:24:22] 3.500 | 66 | 33975 | 94 | 84
[19:24:22] 3.550 | 55 | 33973 | 105 | 81
[19:24:22] 3.600 | 57 | 33976 | 89 | 85
[19:24:22] 3.650 | 61 | 33966 | 90 | 85
[19:24:22] 3.700 | 58 | 33969 | 93 | 98
[19:24:22] 3.750 | 51 | 33978 | 102 | 95
