timestamped_line
[21:45:36] ▶ Starting baseline phase for 2.5 seconds...
[21:45:36] t (s) | A | B | C | D
[21:45:36] 0.050 | 34486 | 39872 | 4950 | 31228
[21:45:37] 0.100 | 39021 | 36834 | 4925 | 31226
[21:45:37] 0.150 | 37990 | 41484 | 4940 | 31221
[21:45:37] 0.200 | 37289 | 33452 | 4931 | 31222
[21:45:37] 0.250 | 36767 | 34719 | 4943 | 31220
[21:45:37] 0.300 | 37076 | 31478 | 4936 | 31247
[21:45:37] 0.350 | 33635 | 37125 | 4945 | 31236
[21:45:37] 0.400 | 32970 | 36998 | 4955 | 31239
[21:45:37] 0.450 | 36027 | 36586 | 4954 | 31247
[21:45:37] 0.500 | 35174 | 37647 | 4955 | 31263
[21:45:37] 0.550 | 34093 | 32100 | 4960 | 31253
[21:45:37] 0.600 | 38404 | 33829 | 4957 | 31274
[21:45:37] 0.650 | 36830 | 35285 | 4951 | 31278
[21:45:37] 0.700 | 38204 | 38391 | 4961 | 31263
[21:45:37] 0.750 | 36548 | 39619 | 4966 | 31281
[21:45:37] 0.800 | 36527 | 39600 | 4967 | 31291
[21:45:37] 0.850 | 41298 | 34901 | 4959 | 31290
[21:45:37] 0.900 | 37908 | 39934 | 4961 | 31271
[21:45:37] 0.950 | 39126 | 38712 | 4961 | 31267
[21:45:37] 1.000 | 42322 | 36029 | 4978 | 31280
[21:45:37] 1.050 | 35112 | 36128 | 4964 | 31285
[21:45:38] 1.100 | 35252 | 36151 | 4970 | 31297
[21:45:38] 1.150 | 36794 | 38099 | 4970 | 31278
[21:45:38] 1.200 | 37268 | 37251 | 4961 | 31285
[21:45:38] 1.250 | 34054 | 39435 | 4973 | 31271
[21:45:38] 1.300 | 39291 | 38735 | 4982 | 31274
[21:45:38] 1.350 | 35971 | 40454 | 4974 | 31246
[21:45:38] 1.400 | 38483 | 35084 | 4976 | 31278
[21:45:38] 1.450 | 34065 | 36520 | 4978 | 31263
[21:45:38] 1.500 | 34832 | 37164 | 4959 | 31285
[21:45:38] 1.550 | 39611 | 34868 | 4963 | 31287
[21:45:38] 1.600 | 34182 | 35188 | 4994 | 31282
[21:45:38] 1.650 | 35703 | 36961 | 4988 | 31269
[21:45:38] 1.700 | 37442 | 37165 | 4958 | 31273
[21:45:38] 1.750 | 37306 | 41312 | 4991 | 31280
[21:45:38] 1.800 | 35127 | 35664 | 4968 | 31249
[21:45:38] 1.850 | 37791 | 37312 | 4981 | 31251
[21:45:38] 1.900 | 39242 | 37077 | 4969 | 31255
[21:45:38] 1.950 | 42901 | 38992 | 5119 | 31200
[21:45:38] 2.000 | 34738 | 33234 | 5143 | 31212
[21:45:38] 2.050 | 30702 | 36547 | 5149 | 31159
[21:45:39] 2.100 | 36039 | 36751 | 5177 | 31133
[21:45:39] 2.150 | 34192 | 33866 | 5170 | 31136
[21:45:39] 2.200 | 33638 | 38839 | 5162 | 31127
[21:45:39] 2.250 | 34535 | 37110 | 5158 | 31033
[21:45:39] 2.300 | 35354 | 40087 | 5173 | 31035
[21:45:39] 2.350 | 36515 | 36482 | 5172 | 31025
[21:45:39] 2.400 | 39860 | 37921 | 5149 | 31028
[21:45:39] 2.450 | 36229 | 35412 | 5174 | 31018
[21:45:39] 2.500 | 36323 | 36602 | 5161 | 31018
[21:45:39] ✅ Baseline complete. Starting main recording for 10 seconds...
[21:45:39] 2.550 | 30724 | 34278 | 5155 | 31036
[21:45:39] 0.050 | 37852 | 38670 | 5171 | 31023
[21:45:39] 0.100 | 35045 | 38589 | 5169 | 31021
[21:45:39] 0.150 | 35010 | 33175 | 5167 | 30994
[21:45:39] 0.200 | 38814 | 34545 | 5185 | 30992
[21:45:39] 0.250 | 38784 | 38955 | 5173 | 30987
[21:45:39] 0.300 | 32708 | 36689 | 5173 | 30991
[21:45:39] 0.350 | 33234 | 33075 | 5178 | 30998
[21:45:39] 0.400 | 33463 | 34217 | 5166 | 30984
[21:45:39] 0.450 | 36276 | 37623 | 5168 | 30960
[21:45:39] 0.500 | 35814 | 34746 | 5166 | 30987
[21:45:40] 0.550 | 31983 | 34828 | 5173 | 30989
[21:45:40] 0.600 | 34517 | 36827 | 5187 | 30995
[21:45:40] 0.650 | 36156 | 34875 | 5186 | 31006
[21:45:40] 0.700 | 38354 | 40348 | 5174 | 30989
[21:45:40] 0.750 | 35419 | 35467 | 5215 | 30971
[21:45:40] 0.800 | 36502 | 31354 | 5234 | 30980
[21:45:40] 0.850 | 35781 | 34151 | 5251 | 30960
[21:45:40] 0.900 | 37680 | 37846 | 5264 | 30958
[21:45:40] 0.950 | 38684 | 36665 | 5269 | 30941
[21:45:40] 1.000 | 39283 | 33785 | 5266 | 30938
[21:45:40] 1.050 | 35337 | 37604 | 5256 | 30914
[21:45:40] 1.100 | 33806 | 36314 | 5263 | 30938
[21:45:40] 1.150 | 30876 | 33380 | 5273 | 30958
[21:45:40] 1.200 | 36153 | 34784 | 5273 | 30935
[21:45:40] 1.250 | 36692 | 37153 | 5280 | 30942
[21:45:40] 1.300 | 38612 | 37275 | 5261 | 30971
[21:45:40] 1.350 | 35441 | 38681 | 5255 | 30929
[21:45:40] 1.400 | 37608 | 32596 | 5296 | 30918
[21:45:40] 1.450 | 33994 | 39919 | 5270 | 30917
[21:45:40] 1.500 | 37853 | 35949 | 5278 | 30865
[21:45:41] 1.550 | 32142 | 38939 | 5267 | 30886
[21:45:41] 1.600 | 39731 | 35517 | 5273 | 30883
[21:45:41] 1.650 | 38407 | 38425 | 5284 | 30883
[21:45:41] 1.700 | 37381 | 34633 | 5270 | 30868
[21:45:41] 1.750 | 31992 | 35263 | 5271 | 30880
[21:45:41] 1.800 | 38847 | 39277 | 5303 | 31156
[21:45:41] 1.850 | 41721 | 35326 | 5214 | 30132
[21:45:41] 1.900 | 31972 | 31894 | 5270 | 30502
[21:45:41] 1.950 | 36328 | 33381 | 5252 | 29992
[21:45:41] 2.000 | 37166 | 35426 | 5384 | 30732
[21:45:41] 2.050 | 34977 | 35471 | 5387 | 30268
[21:45:41] 2.100 | 34256 | 31894 | 5414 | 30778
[21:45:41] 2.150 | 35526 | 37952 | 5383 | 30769
[21:45:41] 2.200 | 37071 | 35313 | 5411 | 30718
[21:45:41] 2.250 | 36511 | 35729 | 5382 | 30763
[21:45:41] 2.300 | 31559 | 40311 | 5387 | 31151
[21:45:41] 2.350 | 36407 | 35450 | 5385 | 31274
[21:45:41] 2.400 | 32026 | 34428 | 5383 | 31437
[21:45:41] 2.450 | 33127 | 36272 | 5393 | 31481
[21:45:41] 2.500 | 35578 | 36315 | 5410 | 31537
[21:45:42] 2.550 | 36540 | 35978 | 5385 | 31550
[21:45:42] 2.600 | 35653 | 36015 | 5381 | 31573
[21:45:42] 2.650 | 38317 | 37819 | 5400 | 31579
[21:45:42] 2.700 | 35732 | 32529 | 5391 | 31573
[21:45:42] 2.750 | 34494 | 39146 | 5379 | 31576
[21:45:42] 2.800 | 34398 | 36791 | 5398 | 31606
[21:45:42] 2.850 | 34634 | 32151 | 5405 | 31609
[21:45:42] 2.900 | 34548 | 37850 | 5404 | 31628
[21:45:42] 2.950 | 36383 | 38185 | 5394 | 31665
[21:45:42] 3.000 | 35848 | 40185 | 5419 | 31664
[21:45:42] 3.050 | 33876 | 40140 | 5393 | 31658
[21:45:42] 3.100 | 33554 | 33715 | 5410 | 31656
[21:45:42] 3.150 | 36291 | 34765 | 5400 | 31679
[21:45:42] 3.200 | 43557 | 37964 | 5401 | 31685
[21:45:42] 3.250 | 36246 | 36906 | 5410 | 31716
[21:45:42] 3.300 | 37943 | 39708 | 5428 | 31725
[21:45:42] 3.350 | 41620 | 35228 | 5416 | 31730
[21:45:42] 3.400 | 41347 | 34638 | 5406 | 31716
[21:45:42] 3.450 | 35686 | 37609 | 5406 | 31746
[21:45:42] 3.500 | 36556 | 37869 | 5420 | 31757
[21:45:43] 3.550 | 39694 | 35258 | 5413 | 31766
[21:45:43] 3.600 | 33496 | 39059 | 5411 | 31776
[21:45:43] 3.650 | 36086 | 39598 | 5416 | 31782
[21:45:43] 3.700 | 33690 | 40287 | 5409 | 31805
[21:45:43] 3.750 | 32106 | 34979 | 5419 | 31804
[21:45:43] 3.800 | 33544 | 35610 | 5420 | 31793
[21:45:43] 3.850 | 38493 | 36476 | 5412 | 31816
[21:45:43] 3.900 | 36333 | 38921 | 5419 | 31833
[21:45:43] 3.950 | 38517 | 35444 | 5407 | 31808
[21:45:43] 4.000 | 38968 | 35817 | 5411 | 31815
[21:45:43] 4.050 | 35482 | 33894 | 5413 | 31805
[21:45:43] 4.100 | 30599 | 34705 | 5412 | 31824
[21:45:43] 4.150 | 31570 | 34856 | 5426 | 31815
[21:45:43] 4.200 | 34570 | 37836 | 5403 | 31836
[21:45:43] 4.250 | 35053 | 37465 | 5422 | 31850
[21:45:43] 4.300 | 41934 | 36342 | 5425 | 31858
[21:45:43] 4.350 | 34215 | 36819 | 5420 | 31853
[21:45:43] 4.400 | 34906 | 35492 | 5419 | 31880
[21:45:43] 4.450 | 36196 | 39981 | 5418 | 31871
[21:45:43] 4.500 | 41971 | 36583 | 5419 | 31881
[21:45:44] 4.550 | 34590 | 35405 | 5405 | 31876
