timestamped_line
[21:43:08] ▶ Starting baseline phase for 2.5 seconds...
[21:43:08] t (s) | A | B | C | D
[21:43:08] 0.050 | 34200 | 40884 | 24056 | 36242
[21:43:08] 0.100 | 36777 | 38931 | 24020 | 36257
[21:43:08] 0.150 | 38854 | 34207 | 24041 | 36262
[21:43:09] 0.200 | 39058 | 33992 | 24064 | 36274
[21:43:09] 0.250 | 38601 | 36687 | 24048 | 36277
[21:43:09] 0.300 | 35030 | 36842 | 24031 | 36260
[21:43:09] 0.350 | 38339 | 34511 | 24021 | 36254
[21:43:09] 0.400 | 33474 | 36697 | 24033 | 36260
[21:43:09] 0.450 | 32325 | 36776 | 24030 | 36256
[21:43:09] 0.500 | 35265 | 37034 | 24043 | 36261
[21:43:09] 0.550 | 34889 | 33247 | 24064 | 36268
[21:43:09] 0.600 | 40310 | 39034 | 24050 | 36277
[21:43:09] 0.650 | 33471 | 36872 | 24077 | 36251
[21:43:09] 0.700 | 37610 | 35538 | 24059 | 36250
[21:43:09] 0.750 | 39784 | 33744 | 24056 | 36271
[21:43:09] 0.800 | 38502 | 36598 | 24073 | 36256
[21:43:09] 0.850 | 35676 | 36193 | 24061 | 36262
[21:43:09] 0.900 | 37537 | 34170 | 24059 | 36271
[21:43:09] 0.950 | 33042 | 37294 | 24074 | 36257
[21:43:09] 1.000 | 36253 | 35955 | 24069 | 36259
[21:43:09] 1.050 | 36388 | 36911 | 24061 | 36248
[21:43:09] 1.100 | 35568 | 32783 | 24060 | 36264
[21:43:09] 1.150 | 37640 | 36353 | 24062 | 36273
[21:43:10] 1.200 | 38943 | 37816 | 24058 | 36268
[21:43:10] 1.250 | 34847 | 40612 | 24052 | 36257
[21:43:10] 1.300 | 41896 | 36658 | 24041 | 36243
[21:43:10] 1.350 | 36693 | 34348 | 24039 | 36262
[21:43:10] 1.400 | 36194 | 38141 | 24051 | 36253
[21:43:10] 1.450 | 34996 | 34952 | 24028 | 36256
[21:43:10] 1.500 | 33342 | 37281 | 24050 | 36259
[21:43:10] 1.550 | 39088 | 37535 | 24073 | 36268
[21:43:10] 1.600 | 36015 | 40509 | 24053 | 36254
[21:43:10] 1.650 | 36338 | 35297 | 24072 | 36272
[21:43:10] 1.700 | 38771 | 39436 | 24074 | 36281
[21:43:10] 1.750 | 34394 | 34830 | 24073 | 36274
[21:43:10] 1.800 | 41879 | 35317 | 24078 | 36272
[21:43:10] 1.850 | 38019 | 35691 | 24055 | 36284
[21:43:10] 1.900 | 38055 | 32183 | 24045 | 36278
[21:43:10] 1.950 | 34152 | 37844 | 24055 | 36280
[21:43:10] 2.000 | 31873 | 37110 | 24028 | 36283
[21:43:10] 2.050 | 34468 | 35689 | 24029 | 36287
[21:43:10] 2.100 | 36536 | 37630 | 24044 | 36277
[21:43:10] 2.150 | 35480 | 35768 | 24030 | 36276
[21:43:11] 2.200 | 32511 | 33576 | 24007 | 36278
[21:43:11] 2.250 | 32569 | 33153 | 24017 | 36262
[21:43:11] 2.300 | 34976 | 39826 | 24004 | 36275
[21:43:11] 2.350 | 37763 | 38003 | 24015 | 36270
[21:43:11] 2.400 | 40143 | 36458 | 24052 | 36266
[21:43:11] 2.450 | 35685 | 37707 | 24059 | 36259
[21:43:11] 2.500 | 35344 | 35079 | 24031 | 36275
[21:43:11] ✅ Baseline complete. Starting main recording for 10 seconds...
[21:43:11] 2.550 | 34873 | 37519 | 24045 | 36278
[21:43:11] 0.050 | 33229 | 32012 | 24052 | 36279
[21:43:11] 0.100 | 35176 | 34714 | 24024 | 36278
[21:43:11] 0.150 | 36048 | 37436 | 24009 | 36289
[21:43:11] 0.200 | 38473 | 34622 | 24035 | 36267
[21:43:11] 0.250 | 40778 | 36065 | 24037 | 36289
[21:43:11] 0.300 | 37002 | 38370 | 24025 | 36290
[21:43:11] 0.350 | 31417 | 37204 | 24031 | 36281
[21:43:11] 0.400 | 32929 | 37110 | 24023 | 36288
[21:43:11] 0.450 | 34375 | 38544 | 24036 | 36288
[21:43:11] 0.500 | 35896 | 34395 | 24027 | 36302
[21:43:11] 0.550 | 37543 | 34276 | 24075 | 36298
[21:43:11] 0.600 | 36849 | 32021 | 24065 | 36297
[21:43:12] 0.650 | 34613 | 34616 | 24039 | 36300
[21:43:12] 0.700 | 36525 | 37456 | 24046 | 36297
[21:43:12] 0.750 | 37952 | 35519 | 24045 | 36297
