timestamped_line
[19:31:20] ▶ Starting baseline phase for 2.5 seconds...
[19:31:20] t (s) | A | B | C | D
[19:31:20] 0.050 | 36 | 147 | 87 | 73
[19:31:20] 0.100 | 36 | 126 | 77 | 74
[19:31:20] 0.150 | 40 | 139 | 75 | 79
[19:31:20] 0.200 | 47 | 135 | 72 | 61
[19:31:20] 0.250 | 51 | 127 | 71 | 85
[19:31:20] 0.300 | 44 | 152 | 91 | 55
[19:31:20] 0.350 | 46 | 121 | 75 | 78
[19:31:20] 0.400 | 46 | 145 | 71 | 60
[19:31:20] 0.450 | 62 | 143 | 69 | 81
[19:31:20] 0.500 | 57 | 131 | 80 | 75
[19:31:20] 0.550 | 44 | 118 | 76 | 80
[19:31:20] 0.600 | 46 | 138 | 76 | 77
[19:31:20] 0.650 | 41 | 139 | 76 | 73
[19:31:20] 0.700 | 58 | 149 | 88 | 78
[19:31:20] 0.750 | 50 | 145 | 79 | 68
[19:31:20] 0.800 | 52 | 141 | 80 | 76
[19:31:20] 0.850 | 54 | 143 | 81 | 75
[19:31:21] 0.900 | 57 | 146 | 86 | 99
[19:31:21] 0.950 | 64 | 148 | 74 | 74
[19:31:21] 1.000 | 56 | 137 | 85 | 85
[19:31:21] 1.050 | 54 | 144 | 66 | 77
[19:31:21] 1.100 | 48 | 134 | 79 | 88
[19:31:21] 1.150 | 53 | 149 | 67 | 82
[19:31:21] 1.200 | 39 | 143 | 94 | 83
[19:31:21] 1.250 | 57 | 142 | 74 | 82
[19:31:21] 1.300 | 53 | 135 | 77 | 75
[19:31:21] 1.350 | 53 | 136 | 78 | 80
[19:31:21] 1.400 | 44 | 154 | 82 | 74
[19:31:21] 1.450 | 44 | 149 | 75 | 75
[19:31:21] 1.500 | 53 | 156 | 91 | 85
[19:31:21] 1.550 | 56 | 129 | 69 | 84
[19:31:21] 1.600 | 66 | 156 | 79 | 84
[19:31:21] 1.650 | 53 | 154 | 83 | 75
[19:31:21] 1.700 | 52 | 137 | 86 | 86
[19:31:21] 1.750 | 46 | 139 | 83 | 72
[19:31:21] 1.800 | 53 | 144 | 77 | 94
[19:31:21] 1.850 | 62 | 167 | 78 | 89
[19:31:22] 1.900 | 58 | 148 | 79 | 89
[19:31:22] 1.950 | 62 | 162 | 80 | 66
[19:31:22] 2.000 | 55 | 138 | 74 | 84
[19:31:22] 2.050 | 66 | 161 | 77 | 80
[19:31:22] 2.100 | 54 | 146 | 94 | 77
[19:31:22] 2.150 | 62 | 146 | 88 | 79
[19:31:22] 2.200 | 63 | 150 | 94 | 90
[19:31:22] 2.250 | 52 | 154 | 81 | 76
[19:31:22] 2.300 | 47 | 151 | 78 | 69
[19:31:22] 2.350 | 53 | 147 | 91 | 77
[19:31:22] 2.400 | 58 | 154 | 103 | 86
[19:31:22] 2.450 | 56 | 152 | 94 | 78
[19:31:22] 2.500 | 57 | 169 | 94 | 92
[19:31:22] ✅ Baseline complete. Starting main recording for 10 seconds...
[19:31:22] 2.550 | 53 | 142 | 82 | 71
[19:31:22] 0.050 | 59 | 154 | 95 | 76
[19:31:22] 0.100 | 64 | 146 | 76 | 76
[19:31:22] 0.150 | 51 | 143 | 86 | 91
[19:31:22] 0.200 | 53 | 142 | 95 | 86
[19:31:22] 0.250 | 66 | 171 | 84 | 93
[19:31:22] 0.300 | 61 | 137 | 91 | 67
[19:31:23] 0.350 | 54 | 170 | 87 | 71
[19:31:23] 0.400 | 55 | 145 | 81 | 96
[19:31:23] 0.450 | 64 | 153 | 82 | 76
[19:31:23] 0.500 | 53 | 149 | 86 | 72
[19:31:23] 0.550 | 63 | 143 | 82 | 94
[19:31:23] 0.600 | 65 | 154 | 80 | 75
[19:31:23] 0.650 | 55 | 153 | 75 | 91
[19:31:23] 0.700 | 68 | 146 | 81 | 78
[19:31:23] 0.750 | 50 | 160 | 81 | 91
[19:31:23] 0.800 | 55 | 155 | 80 | 92
[19:31:23] 0.850 | 55 | 157 | 100 | 85
[19:31:23] 0.900 | 64 | 159 | 82 | 79
[19:31:23] 0.950 | 57 | 142 | 91 | 88
[19:31:23] 1.000 | 49 | 151 | 84 | 93
[19:31:23] 1.050 | 62 | 154 | 88 | 78
[19:31:23] 1.100 | 67 | 153 | 86 | 82
[19:31:23] 1.150 | 59 | 161 | 86 | 85
[19:31:23] 1.200 | 61 | 153 | 92 | 81
[19:31:23] 1.250 | 53 | 148 | 94 | 79
[19:31:23] 1.300 | 59 | 153 | 76 | 95
[19:31:24] 1.350 | 53 | 137 | 82 | 73
[19:31:24] 1.400 | 54 | 164 | 84 | 82
[19:31:24] 1.450 | 49 | 138 | 94 | 71
[19:31:24] 1.500 | 57 | 149 | 87 | 84
[19:31:24] 1.550 | 60 | 130 | 91 | 100
[19:31:24] 1.600 | 59 | 155 | 84 | 81
[19:31:24] 1.650 | 53 | 141 | 82 | 90
[19:31:24] 1.700 | 61 | 155 | 92 | 72
[19:31:24] 1.750 | 67 | 139 | 97 | 68
[19:31:24] 1.800 | 61 | 139 | 85 | 82
[19:31:24] 1.850 | 61 | 143 | 80 | 89
[19:31:24] 1.900 | 65 | 156 | 90 | 79
[19:31:24] 1.950 | 60 | 143 | 88 | 88
[19:31:24] 2.000 | 57 | 143 | 74 | 89
[19:31:24] 2.050 | 59 | 161 | 73 | 87
[19:31:24] 2.100 | 54 | 134 | 91 | 91
[19:31:24] 2.150 | 50 | 153 | 81 | 94
[19:31:24] 2.200 | 68 | 158 | 98 | 79
[19:31:24] 2.250 | 54 | 134 | 91 | 88
[19:31:24] 2.300 | 70 | 129 | 82 | 73
[19:31:25] 2.350 | 66 | 149 | 86 | 77
[19:31:25] 2.400 | 75 | 155 | 85 | 75
[19:31:25] 2.450 | 53 | 150 | 92 | 85
[19:31:25] 2.500 | 60 | 162 | 86 | 79
[19:31:25] 2.550 | 62 | 142 | 83 | 95
[19:31:25] 2.600 | 75 | 157 | 92 | 76
[19:31:25] 2.650 | 57 | 165 | 93 | 89
[19:31:25] 2.700 | 58 | 159 | 90 | 79
[19:31:25] 2.750 | 68 | 146 | 91 | 87
[19:31:25] 2.800 | 64 | 150 | 82 | 90
[19:31:25] 2.850 | 63 | 161 | 84 | 93
[19:31:25] 2.900 | 55 | 134 | 86 | 78
[19:31:25] 2.950 | 61 | 152 | 83 | 77
[19:31:25] 3.000 | 47 | 135 | 97 | 92
[19:31:25] 3.050 | 59 | 143 | 98 | 79
[19:31:25] 3.100 | 51 | 157 | 87 | 97
[19:31:25] 3.150 | 59 | 153 | 79 | 87
[19:31:25] 3.200 | 56 | 148 | 100 | 72
[19:31:25] 3.250 | 60 | 144 | 76 | 99
[19:31:25] 3.300 | 51 | 153 | 77 | 91
[19:31:26] 3.350 | 59 | 151 | 75 | 74
[19:31:26] 3.400 | 55 | 151 | 92 | 91
[19:31:26] 3.450 | 58 | 144 | 91 | 86
[19:31:26] 3.500 | 52 | 155 | 87 | 83
[19:31:26] 3.550 | 47 | 156 | 84 | 85
[19:31:26] 3.600 | 62 | 145 | 93 | 86
[19:31:26] 3.650 | 67 | 148 | 100 | 79
