timestamped_line
[18:54:22] ▶ Starting baseline phase for 2.5 seconds...
[18:54:22] t (s) | A | B | C | D
[18:54:22] 0.050 | 42 | 50115 | 45422 | 43711
[18:54:22] 0.100 | 58 | 50112 | 45455 | 43714
[18:54:22] 0.150 | 49 | 50150 | 45418 | 43676
[18:54:22] 0.200 | 63 | 50100 | 45276 | 43652
[18:54:22] 0.250 | 49 | 50011 | 45333 | 43693
[18:54:22] 0.300 | 33 | 50023 | 45350 | 43669
[18:54:22] 0.350 | 48 | 49980 | 45124 | 43662
[18:54:22] 0.400 | 45 | 49996 | 45096 | 43742
[18:54:22] 0.450 | 52 | 49990 | 44877 | 43703
[18:54:22] 0.500 | 54 | 49969 | 44519 | 43687
[18:54:23] 0.550 | 46 | 49961 | 44539 | 43681
[18:54:23] 0.600 | 49 | 49968 | 44451 | 43678
[18:54:23] 0.650 | 42 | 49989 | 44524 | 43663
[18:54:23] 0.700 | 37 | 49979 | 44744 | 43582
[18:54:23] 0.750 | 35 | 49788 | 44779 | 43463
[18:54:23] 0.800 | 64 | 49737 | 44658 | 43543
[18:54:23] 0.850 | 47 | 49840 | 44782 | 43568
[18:54:23] 0.900 | 66 | 49825 | 44550 | 43563
[18:54:23] 0.950 | 49 | 49774 | 44726 | 43562
[18:54:23] 1.000 | 49 | 49743 | 44487 | 43510
[18:54:23] 1.050 | 50 | 49760 | 44215 | 43624
[18:54:23] 1.100 | 38 | 49794 | 44147 | 43628
[18:54:23] 1.150 | 65 | 49798 | 44226 | 43654
[18:54:23] 1.200 | 46 | 49808 | 44321 | 43665
[18:54:23] 1.250 | 38 | 49912 | 44309 | 43512
[18:54:23] 1.300 | 46 | 49927 | 44128 | 43186
[18:54:23] 1.350 | 56 | 49931 | 44029 | 43208
[18:54:23] 1.400 | 60 | 49964 | 44152 | 43114
[18:54:23] 1.450 | 46 | 50007 | 44234 | 42937
[18:54:23] 1.500 | 46 | 50130 | 44263 | 43021
[18:54:24] 1.550 | 49 | 50166 | 44180 | 42977
[18:54:24] 1.600 | 48 | 50233 | 44223 | 43306
[18:54:24] 1.650 | 45 | 50280 | 44345 | 43491
[18:54:24] 1.700 | 55 | 50318 | 44352 | 43487
[18:54:24] 1.750 | 44 | 50322 | 44391 | 43396
[18:54:24] 1.800 | 65 | 50350 | 44424 | 43526
[18:54:24] 1.850 | 46 | 50340 | 44332 | 43515
[18:54:24] 1.900 | 51 | 50355 | 44352 | 43514
[18:54:24] 1.950 | 42 | 50372 | 44348 | 43405
[18:54:24] 2.000 | 57 | 50349 | 44265 | 43226
[18:54:24] 2.050 | 50 | 50311 | 44252 | 43115
[18:54:24] 2.100 | 61 | 50312 | 44225 | 43201
[18:54:24] 2.150 | 49 | 50343 | 44254 | 43389
[18:54:24] 2.200 | 46 | 50335 | 44272 | 43393
[18:54:24] 2.250 | 44 | 50307 | 44279 | 43424
[18:54:24] 2.300 | 65 | 50305 | 44309 | 43566
[18:54:24] 2.350 | 57 | 50049 | 44313 | 43471
[18:54:24] 2.400 | 47 | 50056 | 44398 | 43516
[18:54:24] 2.450 | 53 | 50263 | 44326 | 43552
[18:54:24] 2.500 | 48 | 50113 | 44340 | 43545
[18:54:25] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:54:25] 2.550 | 60 | 50280 | 44333 | 43585
[18:54:25] 0.050 | 58 | 50358 | 44374 | 43611
[18:54:25] 0.100 | 65 | 50320 | 44335 | 43548
[18:54:25] 0.150 | 56 | 50323 | 44349 | 43535
[18:54:25] 0.200 | 62 | 50329 | 44445 | 43586
[18:54:25] 0.250 | 50 | 50066 | 44470 | 43538
[18:54:25] 0.300 | 36 | 50075 | 44497 | 43604
[18:54:25] 0.350 | 50 | 50097 | 44484 | 43585
[18:54:25] 0.400 | 48 | 50108 | 44481 | 43553
[18:54:25] 0.450 | 60 | 50269 | 44447 | 43551
[18:54:25] 0.500 | 56 | 50258 | 44476 | 43574
[18:54:25] 0.550 | 63 | 50127 | 44465 | 43526
[18:54:25] 0.600 | 54 | 50078 | 44433 | 43499
