timestamped_line
[18:48:49] ▶ Starting baseline phase for 2.5 seconds...
[18:48:49] t (s) | A | B | C | D
[18:48:49] 0.050 | 38 | 29251 | 29340 | 23067
[18:48:49] 0.100 | 61 | 29246 | 29308 | 23100
[18:48:49] 0.150 | 42 | 29255 | 29306 | 23154
[18:48:49] 0.200 | 63 | 29266 | 29301 | 23166
[18:48:49] 0.250 | 54 | 29280 | 29278 | 23179
[18:48:49] 0.300 | 41 | 29249 | 29290 | 23160
[18:48:49] 0.350 | 47 | 29260 | 29255 | 23177
[18:48:49] 0.400 | 44 | 29245 | 29231 | 23129
[18:48:49] 0.450 | 42 | 29255 | 29261 | 23166
[18:48:50] 0.500 | 53 | 29257 | 29276 | 23264
[18:48:50] 0.550 | 36 | 29243 | 29271 | 23228
[18:48:50] 0.600 | 40 | 29259 | 29257 | 23199
[18:48:50] 0.650 | 44 | 29264 | 29258 | 23265
[18:48:50] 0.700 | 43 | 29272 | 29297 | 23157
[18:48:50] 0.750 | 56 | 29271 | 29222 | 23197
[18:48:50] 0.800 | 45 | 29244 | 29153 | 23128
[18:48:50] 0.850 | 37 | 29261 | 29217 | 23160
[18:48:50] 0.900 | 38 | 29250 | 29172 | 23189
[18:48:50] 0.950 | 51 | 29241 | 29201 | 23263
[18:48:50] 1.000 | 52 | 29252 | 29188 | 23245
[18:48:50] 1.050 | 50 | 29267 | 29148 | 23144
[18:48:50] 1.100 | 65 | 29244 | 29110 | 23263
[18:48:50] 1.150 | 44 | 29254 | 29102 | 23151
[18:48:50] 1.200 | 46 | 29260 | 29132 | 23157
[18:48:50] 1.250 | 43 | 29257 | 29103 | 23237
[18:48:50] 1.300 | 53 | 29266 | 29124 | 23246
[18:48:50] 1.350 | 49 | 29263 | 29100 | 23219
[18:48:50] 1.400 | 57 | 29262 | 29082 | 23185
[18:48:50] 1.450 | 52 | 29261 | 29096 | 23221
[18:48:51] 1.500 | 48 | 29276 | 29075 | 23241
[18:48:51] 1.550 | 55 | 29267 | 29098 | 23207
[18:48:51] 1.600 | 43 | 29254 | 29144 | 23116
[18:48:51] 1.650 | 60 | 29258 | 29149 | 23219
[18:48:51] 1.700 | 53 | 29276 | 29157 | 23080
[18:48:51] 1.750 | 62 | 29268 | 29178 | 23178
[18:48:51] 1.800 | 47 | 29276 | 29188 | 23107
[18:48:51] 1.850 | 57 | 29288 | 29119 | 23313
[18:48:51] 1.900 | 57 | 29270 | 29097 | 23251
[18:48:51] 1.950 | 52 | 29273 | 29085 | 23213
[18:48:51] 2.000 | 41 | 29268 | 29064 | 23181
[18:48:51] 2.050 | 52 | 29253 | 29043 | 22928
[18:48:51] 2.100 | 30 | 29279 | 29042 | 22921
[18:48:51] 2.150 | 50 | 29279 | 29031 | 23124
[18:48:51] 2.200 | 58 | 29256 | 29030 | 22923
[18:48:51] 2.250 | 47 | 29274 | 29104 | 22906
[18:48:51] 2.300 | 50 | 29280 | 29081 | 23001
[18:48:51] 2.350 | 49 | 29289 | 29083 | 23323
[18:48:51] 2.400 | 60 | 29287 | 29080 | 23248
[18:48:51] 2.450 | 58 | 29280 | 29089 | 22916
[18:48:52] 2.500 | 60 | 29268 | 29082 | 22915
[18:48:52] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:48:52] 2.550 | 56 | 29257 | 29043 | 22987
[18:48:52] 0.050 | 54 | 29260 | 29042 | 23112
[18:48:52] 0.100 | 57 | 29267 | 29008 | 23088
[18:48:52] 0.150 | 47 | 29289 | 29014 | 23114
[18:48:52] 0.200 | 42 | 29287 | 29013 | 22948
[18:48:52] 0.250 | 59 | 29295 | 29007 | 23051
[18:48:52] 0.300 | 64 | 29296 | 28983 | 23294
[18:48:52] 0.350 | 62 | 29290 | 28983 | 23137
[18:48:52] 0.400 | 62 | 29282 | 29023 | 23298
[18:48:52] 0.450 | 63 | 29284 | 29022 | 23004
[18:48:52] 0.500 | 56 | 29288 | 29032 | 23100
[18:48:52] 0.550 | 57 | 29275 | 28969 | 23010
[18:48:52] 0.600 | 47 | 29271 | 28969 | 22952
[18:48:52] 0.650 | 51 | 29278 | 28985 | 23088
[18:48:52] 0.700 | 67 | 29283 | 29047 | 23264
[18:48:52] 0.750 | 62 | 29293 | 29115 | 23158
[18:48:52] 0.800 | 45 | 29288 | 29108 | 22896
[18:48:52] 0.850 | 62 | 29271 | 29107 | 22939
[18:48:52] 0.900 | 52 | 29284 | 29111 | 22889
[18:48:53] 0.950 | 45 | 29284 | 29117 | 22920
[18:48:53] 1.000 | 43 | 29278 | 29117 | 22916
[18:48:53] 1.050 | 53 | 29285 | 29128 | 23162
[18:48:53] 1.100 | 46 | 29280 | 29118 | 23163
[18:48:53] 1.150 | 44 | 29312 | 29142 | 23093
[18:48:53] 1.200 | 58 | 29311 | 29159 | 22871
[18:48:53] 1.250 | 63 | 29293 | 29148 | 23062
[18:48:53] 1.300 | 53 | 29298 | 29141 | 22885
[18:48:53] 1.350 | 70 | 29290 | 29104 | 22874
[18:48:53] 1.400 | 54 | 29287 | 29136 | 22999
[18:48:53] 1.450 | 71 | 29281 | 29140 | 22914
[18:48:53] 1.500 | 42 | 29264 | 29150 | 22937
[18:48:53] 1.550 | 48 | 29273 | 29164 | 22992
[18:48:53] 1.600 | 58 | 29290 | 29164 | 23120
[18:48:53] 1.650 | 45 | 29281 | 29132 | 23179
[18:48:53] 1.700 | 31 | 29287 | 29132 | 22971
[18:48:53] 1.750 | 43 | 29257 | 29140 | 23125
[18:48:53] 1.800 | 61 | 29283 | 29128 | 23270
[18:48:53] 1.850 | 37 | 29282 | 29154 | 23093
[18:48:53] 1.900 | 35 | 29301 | 29140 | 22972
[18:48:54] 1.950 | 51 | 29296 | 29151 | 22950
[18:48:54] 2.000 | 49 | 29283 | 29161 | 22923
[18:48:54] 2.050 | 33 | 29299 | 29128 | 22885
[18:48:54] 2.100 | 42 | 29279 | 29135 | 22906
[18:48:54] 2.150 | 36 | 29281 | 29175 | 22919
[18:48:54] 2.200 | 38 | 29277 | 29175 | 22885
[18:48:54] 2.250 | 38 | 29282 | 29175 | 22944
[18:48:54] 2.300 | 42 | 29288 | 29173 | 22898
[18:48:54] 2.350 | 35 | 29288 | 29173 | 22913
[18:48:54] 2.400 | 37 | 29284 | 29186 | 22886
[18:48:54] 2.450 | 45 | 29282 | 29153 | 22914
[18:48:54] 2.500 | 23 | 29272 | 29182 | 22893
[18:48:54] 2.550 | 51 | 29289 | 29203 | 22888
[18:48:54] 2.600 | 42 | 29277 | 29181 | 22895
[18:48:54] 2.650 | 38 | 29288 | 29178 | 23129
[18:48:54] 2.700 | 53 | 29294 | 29196 | 23297
[18:48:54] 2.750 | 46 | 29277 | 29212 | 23228
[18:48:54] 2.800 | 52 | 29286 | 29193 | 23226
[18:48:54] 2.850 | 45 | 29298 | 29197 | 22967
[18:48:54] 2.900 | 57 | 29296 | 29205 | 23198
[18:48:55] 2.950 | 40 | 29309 | 29215 | 22905
[18:48:55] 3.000 | 52 | 29298 | 29236 | 22880
[18:48:55] 3.050 | 48 | 29301 | 29220 | 22951
[18:48:55] 3.100 | 33 | 29298 | 29243 | 23146
[18:48:55] 3.150 | 67 | 29298 | 29273 | 23086
[18:48:55] 3.200 | 43 | 29297 | 29250 | 23177
[18:48:55] 3.250 | 40 | 29303 | 29238 | 22882
[18:48:55] 3.300 | 55 | 29309 | 29237 | 22903
[18:48:55] 3.350 | 44 | 29290 | 29211 | 22890
[18:48:55] 3.400 | 52 | 29308 | 29190 | 22886
[18:48:55] 3.450 | 41 | 29296 | 29189 | 22885
[18:48:55] 3.500 | 41 | 29302 | 29196 | 22879
[18:48:55] 3.550 | 37 | 29313 | 29197 | 22886
[18:48:55] 3.600 | 45 | 29308 | 29247 | 22878
[18:48:55] 3.650 | 44 | 29318 | 29270 | 22875
[18:48:55] 3.700 | 50 | 29323 | 29261 | 22870
[18:48:55] 3.750 | 52 | 29309 | 29250 | 22869
[18:48:55] 3.800 | 57 | 29306 | 29243 | 22886
[18:48:55] 3.850 | 56 | 29298 | 29208 | 22865
[18:48:55] 3.900 | 49 | 29319 | 29218 | 22890
[18:48:56] 3.950 | 36 | 29317 | 29235 | 22882
[18:48:56] 4.000 | 60 | 29308 | 29235 | 22863
[18:48:56] 4.050 | 35 | 29342 | 29250 | 22856
[18:48:56] 4.100 | 39 | 29327 | 29243 | 22891
[18:48:56] 4.150 | 40 | 29326 | 29234 | 22866
[18:48:56] 4.200 | 55 | 29343 | 29247 | 22900
[18:48:56] 4.250 | 40 | 29343 | 29236 | 22894
[18:48:56] 4.300 | 36 | 29345 | 29250 | 22899
[18:48:56] 4.350 | 56 | 29346 | 29228 | 22896
[18:48:56] 4.400 | 34 | 29336 | 29192 | 22933
[18:48:56] 4.450 | 52 | 29343 | 29226 | 22925
[18:48:56] 4.500 | 60 | 29349 | 29196 | 22920
[18:48:56] 4.550 | 45 | 29330 | 29203 | 22917
[18:48:56] 4.600 | 54 | 29319 | 29185 | 22926
[18:48:56] 4.650 | 32 | 29318 | 29198 | 22929
[18:48:56] 4.700 | 64 | 29329 | 29194 | 22917
[18:48:56] 4.750 | 58 | 29340 | 29195 | 22910
[18:48:56] 4.800 | 39 | 29341 | 29165 | 22902
[18:48:56] 4.850 | 42 | 29335 | 29156 | 22928
[18:48:56] 4.900 | 43 | 29325 | 29169 | 22943
[18:48:57] 4.950 | 32 | 29340 | 29182 | 22934
[18:48:57] 5.000 | 39 | 29355 | 29180 | 22949
[18:48:57] 5.050 | 40 | 29360 | 29157 | 22943
[18:48:57] 5.100 | 51 | 29330 | 29158 | 22943
[18:48:57] 5.150 | 39 | 29340 | 29141 | 22943
[18:48:57] 5.200 | 33 | 29342 | 29158 | 22919
[18:48:57] 5.250 | 38 | 29331 | 29183 | 22917
[18:48:57] 5.300 | 46 | 29333 | 29151 | 22920
[18:48:57] 5.350 | 48 | 29355 | 29130 | 22947
[18:48:57] 5.400 | 45 | 29343 | 29131 | 22953
[18:48:57] 5.450 | 45 | 29359 | 29126 | 22946
[18:48:57] 5.500 | 47 | 29363 | 29135 | 22934
[18:48:57] 5.550 | 51 | 29353 | 29090 | 22946
[18:48:57] 5.600 | 44 | 29366 | 29113 | 22942
[18:48:57] 5.650 | 63 | 29359 | 29100 | 22951
[18:48:57] 5.700 | 50 | 29367 | 29109 | 22926
[18:48:57] 5.750 | 42 | 29357 | 29115 | 22918
[18:48:57] 5.800 | 36 | 29367 | 29110 | 22927
[18:48:57] 5.850 | 47 | 29367 | 29109 | 22926
[18:48:57] 5.900 | 61 | 29377 | 29096 | 22934
[18:48:58] 5.950 | 45 | 29372 | 29112 | 22934
[18:48:58] 6.000 | 57 | 29386 | 29124 | 22939
[18:48:58] 6.050 | 57 | 29388 | 29125 | 22928
[18:48:58] 6.100 | 49 | 29377 | 29117 | 22944
[18:48:58] 6.150 | 47 | 29362 | 29111 | 22929
[18:48:58] 6.200 | 47 | 29374 | 29141 | 22938
[18:48:58] 6.250 | 40 | 29377 | 29149 | 22931
[18:48:58] 6.300 | 33 | 29345 | 29155 | 22906
[18:48:58] 6.350 | 39 | 29358 | 29145 | 22929
[18:48:58] 6.400 | 57 | 29372 | 29137 | 22930
[18:48:58] 6.450 | 51 | 29361 | 29154 | 22919
[18:48:58] 6.500 | 39 | 29368 | 29134 | 22942
[18:48:58] 6.550 | 45 | 29364 | 29154 | 22930
[18:48:58] 6.600 | 43 | 29378 | 29160 | 22918
[18:48:58] 6.650 | 45 | 29365 | 29163 | 22925
[18:48:58] 6.700 | 37 | 29361 | 29163 | 22922
[18:48:58] 6.750 | 36 | 29360 | 29208 | 22953
[18:48:58] 6.800 | 42 | 29377 | 29230 | 22894
[18:48:58] 6.850 | 39 | 29368 | 29191 | 22931
[18:48:58] 6.900 | 42 | 29360 | 29159 | 22982
[18:48:59] 6.950 | 44 | 29366 | 29174 | 22975
[18:48:59] 7.000 | 53 | 29364 | 29194 | 22985
[18:48:59] 7.050 | 32 | 29356 | 29183 | 22972
[18:48:59] 7.100 | 41 | 29367 | 29166 | 22989
[18:48:59] 7.150 | 43 | 29367 | 29158 | 22997
[18:48:59] 7.200 | 51 | 29357 | 29189 | 22991
[18:48:59] 7.250 | 43 | 29359 | 29194 | 22988
[18:48:59] 7.300 | 53 | 29348 | 29202 | 22979
[18:48:59] 7.350 | 58 | 29366 | 29193 | 22968
[18:48:59] 7.400 | 62 | 29362 | 29191 | 22995
