timestamped_line
[18:50:54] ▶ Starting baseline phase for 2.5 seconds...
[18:50:54] t (s) | A | B | C | D
[18:50:54] 0.051 | 48 | 53134 | 46893 | 45464
[18:50:54] 0.101 | 66 | 53134 | 46891 | 45446
[18:50:54] 0.151 | 63 | 53144 | 46892 | 45447
[18:50:54] 0.201 | 47 | 53137 | 46905 | 45463
[18:50:54] 0.251 | 65 | 53131 | 46894 | 45454
[18:50:54] 0.301 | 59 | 53124 | 46894 | 45452
[18:50:54] 0.351 | 57 | 53137 | 46908 | 45456
[18:50:54] 0.401 | 69 | 53147 | 46905 | 45451
[18:50:54] 0.451 | 58 | 53142 | 46900 | 45460
[18:50:54] 0.501 | 55 | 53134 | 46903 | 45461
[18:50:54] 0.551 | 69 | 53136 | 46913 | 45458
[18:50:54] 0.601 | 52 | 53133 | 46896 | 45458
[18:50:54] 0.651 | 45 | 53130 | 46908 | 45453
[18:50:54] 0.701 | 55 | 53136 | 46898 | 45465
[18:50:54] 0.751 | 45 | 53136 | 46914 | 45457
[18:50:54] 0.801 | 53 | 53134 | 46895 | 45461
[18:50:54] 0.851 | 63 | 53138 | 46898 | 45451
[18:50:55] 0.901 | 45 | 53131 | 46905 | 45455
[18:50:55] 0.951 | 51 | 53147 | 46917 | 45452
[18:50:55] 1.001 | 56 | 53146 | 46910 | 45457
[18:50:55] 1.051 | 53 | 53135 | 46909 | 45465
[18:50:55] 1.101 | 57 | 53136 | 46911 | 45442
[18:50:55] 1.151 | 57 | 53138 | 46904 | 45463
[18:50:55] 1.201 | 48 | 53137 | 46905 | 45459
[18:50:55] 1.251 | 58 | 53127 | 46894 | 45455
[18:50:55] 1.301 | 48 | 53138 | 46898 | 45459
[18:50:55] 1.351 | 43 | 53126 | 46898 | 45461
[18:50:55] 1.401 | 66 | 53134 | 46895 | 45455
[18:50:55] 1.451 | 44 | 53132 | 46900 | 45460
[18:50:55] 1.501 | 50 | 53130 | 46900 | 45456
[18:50:55] 1.551 | 45 | 53134 | 46908 | 45455
[18:50:55] 1.601 | 52 | 53132 | 46902 | 45471
[18:50:55] 1.651 | 51 | 53131 | 46912 | 45474
[18:50:55] 1.701 | 51 | 53132 | 46912 | 45466
[18:50:55] 1.751 | 52 | 53136 | 46912 | 45465
[18:50:55] 1.801 | 40 | 53130 | 46935 | 45464
[18:50:55] 1.851 | 71 | 53135 | 46927 | 45460
[18:50:56] 1.901 | 41 | 53122 | 46902 | 45459
[18:50:56] 1.951 | 53 | 53137 | 46917 | 45469
[18:50:56] 2.001 | 52 | 53134 | 46923 | 45446
[18:50:56] 2.051 | 58 | 53138 | 46916 | 45463
[18:50:56] 2.101 | 51 | 53127 | 46929 | 45471
[18:50:56] 2.151 | 52 | 53130 | 46916 | 45456
[18:50:56] 2.201 | 64 | 53129 | 46922 | 45476
[18:50:56] 2.251 | 64 | 53133 | 46938 | 45465
[18:50:56] 2.301 | 72 | 53138 | 46934 | 45466
[18:50:56] 2.351 | 59 | 53140 | 46943 | 45466
[18:50:56] 2.401 | 49 | 53132 | 46942 | 45471
[18:50:56] 2.451 | 62 | 53141 | 46941 | 45472
[18:50:56] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:50:56] 2.501 | 63 | 53141 | 46938 | 45464
[18:50:56] 0.050 | 57 | 53144 | 46932 | 45466
[18:50:56] 0.100 | 59 | 53138 | 46916 | 45468
[18:50:56] 0.150 | 53 | 53136 | 46908 | 45464
[18:50:56] 0.200 | 69 | 53147 | 46904 | 45465
[18:50:56] 0.250 | 49 | 53139 | 46912 | 45466
[18:50:56] 0.300 | 64 | 53132 | 46916 | 45464
[18:50:56] 0.350 | 49 | 53125 | 46922 | 45471
[18:50:57] 0.400 | 62 | 53129 | 46924 | 45469
[18:50:57] 0.450 | 49 | 53135 | 46936 | 45465
[18:50:57] 0.500 | 48 | 53135 | 46927 | 45469
[18:50:57] 0.550 | 46 | 53132 | 46943 | 45458
[18:50:57] 0.600 | 50 | 53132 | 46936 | 45456
[18:50:57] 0.650 | 52 | 53130 | 46940 | 45460
[18:50:57] 0.700 | 57 | 53130 | 46941 | 45454
[18:50:57] 0.750 | 43 | 53125 | 46938 | 45455
[18:50:57] 0.800 | 43 | 53134 | 46945 | 45469
[18:50:57] 0.850 | 45 | 53143 | 46942 | 45459
[18:50:57] 0.900 | 57 | 53134 | 46955 | 45460
[18:50:57] 0.950 | 64 | 53140 | 46937 | 45459
[18:50:57] 1.000 | 51 | 53141 | 46944 | 45461
[18:50:57] 1.050 | 48 | 53135 | 46958 | 45460
[18:50:57] 1.100 | 48 | 53146 | 46953 | 45457
[18:50:57] 1.150 | 59 | 53141 | 46962 | 45458
[18:50:57] 1.200 | 59 | 53133 | 46959 | 45450
[18:50:57] 1.250 | 45 | 53133 | 46956 | 45464
[18:50:57] 1.300 | 51 | 53116 | 46957 | 45456
[18:50:57] 1.350 | 75 | 53128 | 46949 | 45459
[18:50:58] 1.400 | 53 | 53129 | 46942 | 45457
[18:50:58] 1.450 | 41 | 53134 | 46938 | 45461
[18:50:58] 1.500 | 58 | 53134 | 46943 | 45456
[18:50:58] 1.550 | 56 | 53129 | 46940 | 45453
[18:50:58] 1.600 | 49 | 53148 | 46962 | 45452
[18:50:58] 1.650 | 60 | 53138 | 46948 | 45440
[18:50:58] 1.700 | 57 | 53143 | 46957 | 45451
[18:50:58] 1.750 | 47 | 53139 | 46948 | 45453
[18:50:58] 1.800 | 59 | 53141 | 46944 | 45446
[18:50:58] 1.850 | 48 | 53124 | 46945 | 45450
[18:50:58] 1.900 | 62 | 53139 | 46958 | 45457
[18:50:58] 1.950 | 64 | 53135 | 46967 | 45445
[18:50:58] 2.000 | 49 | 53131 | 46952 | 45444
[18:50:58] 2.050 | 55 | 53138 | 46941 | 45444
[18:50:58] 2.100 | 68 | 53140 | 46946 | 45440
[18:50:58] 2.150 | 41 | 53139 | 46947 | 45452
[18:50:58] 2.200 | 60 | 53126 | 46944 | 45440
[18:50:58] 2.250 | 66 | 53126 | 46935 | 45449
[18:50:58] 2.300 | 56 | 53130 | 46932 | 45449
[18:50:58] 2.350 | 56 | 53137 | 46958 | 45449
[18:50:59] 2.400 | 67 | 53131 | 46961 | 45453
[18:50:59] 2.450 | 47 | 53126 | 46959 | 45448
[18:50:59] 2.500 | 59 | 53128 | 46961 | 45449
[18:50:59] 2.550 | 59 | 53130 | 46969 | 45447
[18:50:59] 2.600 | 56 | 53134 | 46971 | 45448
[18:50:59] 2.650 | 50 | 53129 | 46967 | 45452
[18:50:59] 2.700 | 50 | 53132 | 46961 | 45458
[18:50:59] 2.750 | 59 | 53127 | 46963 | 45453
[18:50:59] 2.800 | 57 | 53125 | 46969 | 45458
[18:50:59] 2.850 | 63 | 53133 | 46960 | 45452
[18:50:59] 2.900 | 65 | 53126 | 46948 | 45446
[18:50:59] 2.950 | 65 | 53133 | 46940 | 45440
[18:50:59] 3.000 | 58 | 53127 | 46951 | 45440
[18:50:59] 3.050 | 60 | 53123 | 46951 | 45453
[18:50:59] 3.100 | 60 | 53122 | 46957 | 45448
[18:50:59] 3.150 | 55 | 53108 | 46957 | 45454
[18:50:59] 3.200 | 57 | 53134 | 46966 | 45457
[18:50:59] 3.250 | 70 | 53122 | 46941 | 45457
[18:50:59] 3.300 | 50 | 53131 | 46969 | 45442
[18:50:59] 3.350 | 57 | 53110 | 46957 | 45454
[18:51:00] 3.400 | 51 | 53126 | 46952 | 45453
[18:51:00] 3.450 | 43 | 53132 | 46955 | 45444
[18:51:00] 3.500 | 74 | 53133 | 46956 | 45453
[18:51:00] 3.550 | 63 | 53134 | 46959 | 45452
[18:51:00] 3.600 | 60 | 53137 | 46959 | 45438
[18:51:00] 3.650 | 51 | 53133 | 46973 | 45443
[18:51:00] 3.700 | 64 | 53146 | 46974 | 45455
[18:51:00] 3.750 | 60 | 53132 | 46958 | 45434
[18:51:00] 3.800 | 55 | 53129 | 46970 | 45440
[18:51:00] 3.850 | 51 | 53133 | 46972 | 45458
[18:51:00] 3.900 | 43 | 53132 | 46965 | 45455
[18:51:00] 3.950 | 52 | 53131 | 46968 | 45436
[18:51:00] 4.000 | 61 | 53142 | 46957 | 45456
[18:51:00] 4.050 | 60 | 53132 | 46949 | 45443
[18:51:00] 4.100 | 51 | 53124 | 46952 | 45450
[18:51:00] 4.150 | 74 | 53124 | 46954 | 45454
[18:51:00] 4.200 | 53 | 53125 | 46944 | 45461
[18:51:00] 4.250 | 51 | 53134 | 46958 | 45461
[18:51:00] 4.300 | 44 | 53130 | 46947 | 45455
[18:51:00] 4.350 | 52 | 53127 | 46966 | 45460
[18:51:01] 4.400 | 58 | 53132 | 46955 | 45464
[18:51:01] 4.450 | 53 | 53124 | 46978 | 45452
[18:51:01] 4.500 | 70 | 53128 | 46983 | 45451
[18:51:01] 4.550 | 43 | 53130 | 46977 | 45461
[18:51:01] 4.600 | 50 | 53127 | 46978 | 45461
[18:51:01] 4.650 | 39 | 53123 | 46972 | 45449
[18:51:01] 4.700 | 55 | 53126 | 46960 | 45459
[18:51:01] 4.750 | 53 | 53127 | 46952 | 45456
[18:51:01] 4.800 | 66 | 53125 | 46959 | 45455
[18:51:01] 4.850 | 44 | 53125 | 46955 | 45465
[18:51:01] 4.900 | 52 | 53117 | 46963 | 45465
[18:51:01] 4.950 | 73 | 53129 | 46949 | 45449
[18:51:01] 5.000 | 51 | 53113 | 46972 | 45461
[18:51:01] 5.050 | 46 | 53133 | 46957 | 45455
[18:51:01] 5.100 | 52 | 53131 | 46965 | 45457
[18:51:01] 5.150 | 61 | 53117 | 46960 | 45463
[18:51:01] 5.200 | 49 | 53121 | 46963 | 45463
[18:51:01] 5.250 | 56 | 53131 | 46970 | 45461
[18:51:01] 5.300 | 59 | 53131 | 46962 | 45462
[18:51:01] 5.350 | 62 | 53131 | 46965 | 45453
[18:51:02] 5.400 | 62 | 53122 | 46967 | 45460
[18:51:02] 5.450 | 73 | 53123 | 46962 | 45467
[18:51:02] 5.500 | 45 | 53132 | 46968 | 45462
[18:51:02] 5.550 | 55 | 53131 | 46963 | 45456
[18:51:02] 5.600 | 52 | 53125 | 46953 | 45461
[18:51:02] 5.650 | 46 | 53125 | 46964 | 45451
[18:51:02] 5.700 | 50 | 53119 | 46973 | 45454
[18:51:02] 5.750 | 56 | 53120 | 46975 | 45457
[18:51:02] 5.800 | 43 | 53120 | 46962 | 45451
[18:51:02] 5.850 | 60 | 53120 | 46972 | 45457
[18:51:02] 5.900 | 40 | 53115 | 46966 | 45451
[18:51:02] 5.950 | 41 | 53112 | 46986 | 45450
[18:51:02] 6.000 | 51 | 53128 | 46972 | 45450
[18:51:02] 6.050 | 48 | 53114 | 46971 | 45457
[18:51:02] 6.100 | 54 | 53116 | 46971 | 45458
[18:51:02] 6.150 | 59 | 53123 | 46968 | 45462
[18:51:02] 6.200 | 61 | 53107 | 46967 | 45454
[18:51:02] 6.250 | 65 | 53122 | 46979 | 45453
[18:51:02] 6.300 | 44 | 53110 | 46975 | 45460
[18:51:02] 6.350 | 64 | 53111 | 46979 | 45464
[18:51:03] 6.400 | 58 | 53114 | 46979 | 45444
[18:51:03] 6.450 | 53 | 53114 | 46975 | 45454
[18:51:03] 6.500 | 64 | 53120 | 46983 | 45457
[18:51:03] 6.550 | 51 | 53127 | 46993 | 45455
[18:51:03] 6.600 | 62 | 53110 | 46995 | 45448
[18:51:03] 6.650 | 66 | 53122 | 46996 | 45452
[18:51:03] 6.700 | 51 | 53118 | 46967 | 45456
[18:51:03] 6.750 | 49 | 53120 | 46978 | 45461
[18:51:03] 6.800 | 62 | 53124 | 46965 | 45438
[18:51:03] 6.850 | 58 | 53109 | 46969 | 45454
[18:51:03] 6.900 | 52 | 53120 | 46971 | 45445
[18:51:03] 6.950 | 48 | 53116 | 46972 | 45447
[18:51:03] 7.000 | 43 | 53117 | 46976 | 45456
[18:51:03] 7.050 | 48 | 53126 | 46965 | 45455
[18:51:03] 7.100 | 58 | 53124 | 46972 | 45447
[18:51:03] 7.150 | 52 | 53106 | 46978 | 45454
[18:51:03] 7.200 | 60 | 53118 | 46973 | 45459
[18:51:03] 7.250 | 58 | 53119 | 46965 | 45453
[18:51:03] 7.300 | 47 | 53111 | 46959 | 45472
[18:51:03] 7.350 | 62 | 53108 | 46972 | 45455
[18:51:04] 7.400 | 50 | 53115 | 46956 | 45465
[18:51:04] 7.450 | 58 | 53099 | 46954 | 45459
