timestamped_line
[18:01:52] ▶ Starting baseline phase for 2.5 seconds...
[18:01:52] t (s) | A | B | C | D
[18:01:53] 0.050 | 50 | 21896 | 36019 | 29100
[18:01:53] 0.100 | 55 | 21889 | 36019 | 29127
[18:01:53] 0.150 | 48 | 21893 | 36040 | 29117
[18:01:53] 0.200 | 44 | 21901 | 36027 | 29127
[18:01:53] 0.250 | 53 | 21907 | 36038 | 29139
[18:01:53] 0.300 | 51 | 21892 | 36031 | 29138
[18:01:53] 0.350 | 47 | 21882 | 36040 | 29141
[18:01:53] 0.400 | 44 | 21894 | 36033 | 29153
[18:01:53] 0.450 | 51 | 21886 | 36030 | 29161
[18:01:53] 0.500 | 47 | 21921 | 36034 | 29166
[18:01:53] 0.550 | 44 | 21899 | 36035 | 29176
[18:01:53] 0.600 | 49 | 21905 | 36042 | 29196
[18:01:53] 0.650 | 49 | 21889 | 36041 | 29204
[18:01:53] 0.700 | 59 | 21899 | 36040 | 29209
[18:01:53] 0.750 | 45 | 21907 | 36047 | 29198
[18:01:53] 0.800 | 56 | 21912 | 36049 | 29206
[18:01:53] 0.850 | 47 | 21896 | 36074 | 29206
[18:01:53] 0.900 | 54 | 21902 | 36050 | 29244
[18:01:53] 0.950 | 43 | 21899 | 36042 | 29247
[18:01:53] 1.000 | 57 | 21882 | 36053 | 29227
[18:01:54] 1.050 | 44 | 21929 | 36036 | 29341
[18:01:54] 1.100 | 40 | 21914 | 36062 | 29340
[18:01:54] 1.150 | 40 | 21891 | 36048 | 29287
[18:01:54] 1.200 | 42 | 21920 | 36068 | 29358
[18:01:54] 1.250 | 56 | 21893 | 36063 | 29359
[18:01:54] 1.300 | 45 | 21899 | 36058 | 29370
[18:01:54] 1.350 | 45 | 21891 | 36069 | 29381
[18:01:54] 1.400 | 43 | 21914 | 36088 | 29385
[18:01:54] 1.450 | 46 | 21920 | 36077 | 29364
[18:01:54] 1.500 | 47 | 21921 | 36073 | 29366
[18:01:54] 1.550 | 52 | 21925 | 36064 | 29375
