timestamped_line
[18:03:07] ▶ Starting baseline phase for 2.5 seconds...
[18:03:07] t (s) | A | B | C | D
[18:03:07] 0.050 | 33 | 47605 | 48022 | 44483
[18:03:07] 0.100 | 68 | 47596 | 48014 | 44474
[18:03:07] 0.150 | 59 | 47587 | 48022 | 44480
[18:03:07] 0.200 | 46 | 47590 | 48020 | 44483
[18:03:07] 0.250 | 42 | 47597 | 48024 | 44484
[18:03:07] 0.300 | 60 | 47593 | 48019 | 44484
[18:03:07] 0.350 | 71 | 47597 | 48028 | 44502
[18:03:07] 0.400 | 67 | 47595 | 48018 | 44484
[18:03:07] 0.450 | 64 | 47611 | 48011 | 44493
[18:03:07] 0.500 | 61 | 47596 | 48024 | 44485
[18:03:07] 0.550 | 63 | 47599 | 48019 | 44492
[18:03:07] 0.600 | 61 | 47594 | 48032 | 44484
[18:03:07] 0.650 | 62 | 47594 | 48040 | 44487
[18:03:07] 0.700 | 55 | 47593 | 48034 | 44484
[18:03:07] 0.750 | 54 | 47590 | 48029 | 44497
[18:03:08] 0.800 | 56 | 47601 | 48036 | 44506
[18:03:08] 0.850 | 65 | 47602 | 48035 | 44495
[18:03:08] 0.900 | 52 | 47608 | 48039 | 44496
[18:03:08] 0.950 | 73 | 47596 | 48034 | 44487
[18:03:08] 1.000 | 49 | 47610 | 48034 | 44485
[18:03:08] 1.050 | 62 | 47601 | 48023 | 44499
[18:03:08] 1.100 | 64 | 47600 | 48028 | 44494
[18:03:08] 1.150 | 60 | 47598 | 48021 | 44500
[18:03:08] 1.200 | 59 | 47599 | 48022 | 44500
[18:03:08] 1.250 | 57 | 47601 | 48019 | 44500
[18:03:08] 1.300 | 58 | 47600 | 48024 | 44499
[18:03:08] 1.350 | 53 | 47602 | 48028 | 44504
[18:03:08] 1.400 | 67 | 47602 | 48027 | 44506
[18:03:08] 1.450 | 61 | 47596 | 48031 | 44492
[18:03:08] 1.500 | 53 | 47591 | 48031 | 44502
[18:03:08] 1.550 | 55 | 47580 | 48027 | 44501
[18:03:08] 1.600 | 63 | 47599 | 48024 | 44510
[18:03:08] 1.650 | 52 | 47599 | 48026 | 44510
[18:03:08] 1.700 | 44 | 47596 | 48024 | 44520
[18:03:08] 1.750 | 49 | 47598 | 48028 | 44510
[18:03:09] 1.800 | 53 | 47598 | 48031 | 44517
[18:03:09] 1.850 | 73 | 47589 | 48041 | 44510
[18:03:09] 1.900 | 46 | 47590 | 48028 | 44506
[18:03:09] 1.950 | 63 | 47596 | 48035 | 44502
[18:03:09] 2.000 | 53 | 47599 | 48030 | 44504
[18:03:09] 2.050 | 51 | 47602 | 48025 | 44510
[18:03:09] 2.100 | 50 | 47598 | 48038 | 44508
[18:03:09] 2.150 | 63 | 47599 | 48035 | 44505
[18:03:09] 2.200 | 63 | 47598 | 48030 | 44508
[18:03:09] 2.250 | 65 | 47603 | 48031 | 44517
[18:03:09] 2.300 | 58 | 47594 | 48033 | 44513
[18:03:09] 2.350 | 59 | 47608 | 48029 | 44509
[18:03:09] 2.400 | 67 | 47596 | 48037 | 44508
[18:03:09] 2.450 | 53 | 47598 | 48036 | 44518
[18:03:09] 2.500 | 66 | 47599 | 48035 | 44512
[18:03:09] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:03:09] 2.550 | 52 | 47600 | 48036 | 44520
[18:03:09] 0.050 | 71 | 47611 | 48027 | 44528
[18:03:09] 0.100 | 58 | 47592 | 48012 | 44522
[18:03:09] 0.150 | 52 | 47599 | 48044 | 44540
[18:03:09] 0.200 | 54 | 47604 | 48038 | 44527
[18:03:10] 0.250 | 65 | 47603 | 48041 | 44520
[18:03:10] 0.300 | 60 | 47603 | 48036 | 44544
[18:03:10] 0.350 | 66 | 47603 | 48030 | 44529
[18:03:10] 0.400 | 49 | 47606 | 48033 | 44529
[18:03:10] 0.450 | 59 | 47602 | 48036 | 44514
[18:03:10] 0.500 | 54 | 47607 | 48036 | 44538
[18:03:10] 0.550 | 58 | 47596 | 48049 | 44524
[18:03:10] 0.600 | 69 | 47601 | 48030 | 44523
[18:03:10] 0.650 | 60 | 47596 | 48040 | 44515
[18:03:10] 0.700 | 69 | 47599 | 48040 | 44517
[18:03:10] 0.750 | 53 | 47597 | 48034 | 44518
[18:03:10] 0.800 | 52 | 47598 | 48039 | 44521
[18:03:10] 0.850 | 62 | 47596 | 48043 | 44536
[18:03:10] 0.900 | 66 | 47599 | 48033 | 44525
[18:03:10] 0.950 | 59 | 47592 | 48039 | 44525
[18:03:10] 1.000 | 67 | 47593 | 48033 | 44516
[18:03:10] 1.050 | 55 | 47595 | 48047 | 44531
[18:03:10] 1.100 | 56 | 47592 | 48042 | 44532
[18:03:10] 1.150 | 63 | 47593 | 48046 | 44529
[18:03:10] 1.200 | 65 | 47589 | 48046 | 44530
[18:03:11] 1.250 | 59 | 47602 | 48030 | 44531
[18:03:11] 1.300 | 48 | 47600 | 48047 | 44529
[18:03:11] 1.350 | 60 | 47595 | 48038 | 44520
[18:03:11] 1.400 | 69 | 47585 | 48038 | 44535
[18:03:11] 1.450 | 69 | 47601 | 48032 | 44535
[18:03:11] 1.500 | 65 | 47599 | 48037 | 44535
[18:03:11] 1.550 | 57 | 47601 | 48037 | 44524
[18:03:11] 1.600 | 51 | 47583 | 48048 | 44526
[18:03:11] 1.650 | 62 | 47591 | 48044 | 44529
[18:03:11] 1.700 | 61 | 47592 | 48038 | 44528
[18:03:11] 1.750 | 66 | 47593 | 48040 | 44519
[18:03:11] 1.800 | 56 | 47595 | 48039 | 44524
[18:03:11] 1.850 | 55 | 47593 | 48039 | 44533
[18:03:11] 1.900 | 52 | 47599 | 48030 | 44531
[18:03:11] 1.950 | 63 | 47587 | 48042 | 44530
[18:03:11] 2.000 | 49 | 47599 | 48044 | 44528
[18:03:11] 2.050 | 59 | 47592 | 48037 | 44530
[18:03:11] 2.100 | 61 | 47597 | 48040 | 44525
[18:03:11] 2.150 | 71 | 47595 | 48038 | 44520
[18:03:11] 2.200 | 51 | 47594 | 48043 | 44522
[18:03:12] 2.250 | 54 | 47593 | 48042 | 44526
[18:03:12] 2.300 | 61 | 47595 | 48043 | 44534
[18:03:12] 2.350 | 65 | 47599 | 48046 | 44531
[18:03:12] 2.400 | 74 | 47601 | 48052 | 44531
[18:03:12] 2.450 | 49 | 47595 | 48050 | 44537
[18:03:12] 2.500 | 46 | 47597 | 48048 | 44536
[18:03:12] 2.550 | 49 | 47597 | 48045 | 44522
[18:03:12] 2.600 | 55 | 47595 | 48050 | 44528
[18:03:12] 2.650 | 50 | 47602 | 48043 | 44524
[18:03:12] 2.700 | 58 | 47598 | 48048 | 44521
[18:03:12] 2.750 | 75 | 47603 | 48038 | 44517
[18:03:12] 2.800 | 59 | 47592 | 48039 | 44520
[18:03:12] 2.850 | 58 | 47591 | 48035 | 44539
[18:03:12] 2.900 | 55 | 47604 | 48045 | 44530
[18:03:12] 2.950 | 63 | 47597 | 48041 | 44534
[18:03:12] 3.000 | 65 | 47598 | 48037 | 44531
[18:03:12] 3.050 | 63 | 47589 | 48037 | 44533
[18:03:12] 3.100 | 63 | 47599 | 48034 | 44531
[18:03:12] 3.150 | 60 | 47601 | 48039 | 44533
[18:03:12] 3.200 | 53 | 47597 | 48021 | 44524
[18:03:13] 3.250 | 52 | 47595 | 48037 | 44534
[18:03:13] 3.300 | 53 | 47599 | 48027 | 44531
[18:03:13] 3.350 | 61 | 47596 | 48037 | 44538
[18:03:13] 3.400 | 46 | 47595 | 48038 | 44525
[18:03:13] 3.450 | 68 | 47599 | 48037 | 44527
[18:03:13] 3.500 | 66 | 47603 | 48041 | 44523
[18:03:13] 3.550 | 45 | 47594 | 48041 | 44531
[18:03:13] 3.600 | 65 | 47600 | 48044 | 44531
[18:03:13] 3.650 | 71 | 47596 | 48033 | 44540
[18:03:13] 3.700 | 65 | 47597 | 48033 | 44528
[18:03:13] 3.750 | 60 | 47597 | 48047 | 44521
[18:03:13] 3.800 | 63 | 47602 | 48037 | 44513
[18:03:13] 3.850 | 65 | 47594 | 48043 | 44536
[18:03:13] 3.900 | 61 | 47597 | 48039 | 44532
[18:03:13] 3.950 | 56 | 47602 | 48041 | 44523
[18:03:13] 4.000 | 53 | 47597 | 48023 | 44527
[18:03:13] 4.050 | 54 | 47589 | 48034 | 44523
[18:03:13] 4.100 | 50 | 47597 | 48037 | 44525
[18:03:13] 4.150 | 56 | 47593 | 48033 | 44518
[18:03:13] 4.200 | 51 | 47595 | 48030 | 44519
[18:03:14] 4.250 | 57 | 47595 | 48039 | 44527
[18:03:14] 4.300 | 69 | 47594 | 48037 | 44522
[18:03:14] 4.350 | 72 | 47596 | 48039 | 44516
[18:03:14] 4.400 | 58 | 47598 | 48034 | 44523
[18:03:14] 4.450 | 62 | 47596 | 48029 | 44518
[18:03:14] 4.500 | 64 | 47591 | 48036 | 44510
[18:03:14] 4.550 | 59 | 47608 | 48025 | 44519
[18:03:14] 4.600 | 50 | 47592 | 48032 | 44515
[18:03:14] 4.650 | 59 | 47598 | 48035 | 44521
[18:03:14] 4.700 | 64 | 47588 | 48041 | 44519
[18:03:14] 4.750 | 58 | 47599 | 48035 | 44526
[18:03:14] 4.800 | 47 | 47598 | 48034 | 44526
[18:03:14] 4.850 | 54 | 47601 | 48028 | 44531
[18:03:14] 4.900 | 48 | 47591 | 48045 | 44528
[18:03:14] 4.950 | 54 | 47603 | 48037 | 44531
[18:03:14] 5.000 | 47 | 47605 | 48042 | 44537
[18:03:14] 5.050 | 54 | 47599 | 48048 | 44530
[18:03:14] 5.100 | 42 | 47608 | 48052 | 44526
[18:03:14] 5.150 | 58 | 47597 | 48044 | 44535
[18:03:14] 5.200 | 40 | 47602 | 48044 | 44530
[18:03:15] 5.250 | 51 | 47597 | 48043 | 44529
[18:03:15] 5.300 | 59 | 47597 | 48044 | 44537
[18:03:15] 5.350 | 54 | 47590 | 48051 | 44531
[18:03:15] 5.400 | 63 | 47600 | 48056 | 44537
[18:03:15] 5.450 | 49 | 47596 | 48056 | 44521
[18:03:15] 5.500 | 48 | 47603 | 48037 | 44531
[18:03:15] 5.550 | 57 | 47592 | 48043 | 44531
[18:03:15] 5.600 | 58 | 47592 | 48044 | 44528
