timestamped_line
[17:59:36] ▶ Starting baseline phase for 2.5 seconds...
[17:59:36] t (s) | A | B | C | D
[17:59:36] 0.051 | 46 | 27879 | 38771 | 28673
[17:59:36] 0.101 | 51 | 27885 | 38781 | 28627
[17:59:36] 0.151 | 52 | 27865 | 38780 | 28655
[17:59:36] 0.201 | 39 | 27882 | 38790 | 28627
[17:59:36] 0.251 | 64 | 27882 | 38794 | 28647
[17:59:36] 0.301 | 36 | 27877 | 38783 | 28645
[17:59:36] 0.351 | 41 | 27911 | 38789 | 28627
[17:59:36] 0.401 | 44 | 27894 | 38794 | 28643
[17:59:36] 0.451 | 45 | 27903 | 38794 | 28636
[17:59:36] 0.501 | 53 | 27901 | 38795 | 28629
[17:59:36] 0.551 | 47 | 27863 | 38775 | 28625
[17:59:37] 0.601 | 64 | 27905 | 38795 | 28612
[17:59:37] 0.651 | 59 | 27900 | 38784 | 28599
[17:59:37] 0.701 | 58 | 27895 | 38788 | 28580
[17:59:37] 0.751 | 59 | 27882 | 38790 | 28611
[17:59:37] 0.801 | 62 | 27885 | 38801 | 28591
[17:59:37] 0.851 | 62 | 27879 | 38792 | 28591
[17:59:37] 0.901 | 62 | 27880 | 38775 | 28634
[17:59:37] 0.951 | 55 | 27876 | 38778 | 28626
[17:59:37] 1.001 | 66 | 27887 | 38774 | 28632
[17:59:37] 1.051 | 55 | 27868 | 38782 | 28597
[17:59:37] 1.101 | 56 | 27882 | 38803 | 28603
[17:59:37] 1.151 | 58 | 27896 | 38793 | 28629
[17:59:37] 1.201 | 63 | 27889 | 38793 | 28622
[17:59:37] 1.251 | 64 | 27895 | 38780 | 28629
[17:59:37] 1.301 | 62 | 27924 | 38798 | 28586
[17:59:37] 1.351 | 60 | 27918 | 38817 | 28608
[17:59:37] 1.401 | 56 | 27922 | 38825 | 28615
[17:59:37] 1.451 | 73 | 27894 | 38843 | 28592
[17:59:37] 1.501 | 57 | 27914 | 38817 | 28618
[17:59:37] 1.551 | 80 | 27938 | 38859 | 28627
[17:59:38] 1.601 | 76 | 27943 | 38881 | 28611
[17:59:38] 1.651 | 60 | 27939 | 38876 | 28615
[17:59:38] 1.701 | 65 | 27926 | 38861 | 28634
[17:59:38] 1.751 | 59 | 27964 | 38897 | 28605
[17:59:38] 1.801 | 65 | 27930 | 38873 | 28621
[17:59:38] 1.851 | 72 | 27946 | 38870 | 28627
[17:59:38] 1.901 | 62 | 27946 | 38877 | 28594
[17:59:38] 1.951 | 82 | 27959 | 38895 | 28595
[17:59:38] 2.001 | 76 | 27949 | 38870 | 28609
[17:59:38] 2.051 | 51 | 27936 | 38876 | 28569
[17:59:38] 2.101 | 68 | 27926 | 38873 | 28595
[17:59:38] 2.151 | 69 | 27938 | 38870 | 28613
[17:59:38] 2.201 | 53 | 27943 | 38884 | 28626
[17:59:38] 2.251 | 59 | 27944 | 38901 | 28618
[17:59:38] 2.301 | 61 | 27941 | 38876 | 28641
[17:59:38] 2.351 | 65 | 27935 | 38888 | 28632
[17:59:38] 2.401 | 70 | 27943 | 38887 | 28617
[17:59:38] 2.451 | 71 | 27972 | 38907 | 28607
[17:59:38] ✅ Baseline complete. Starting main recording for 10 seconds...
[17:59:38] 2.501 | 59 | 27940 | 38908 | 28629
[17:59:38] 0.050 | 61 | 27910 | 38922 | 28616
[17:59:39] 0.100 | 55 | 27918 | 38953 | 28611
[17:59:39] 0.150 | 68 | 27909 | 38936 | 28644
[17:59:39] 0.200 | 68 | 27915 | 38944 | 28610
[17:59:39] 0.250 | 61 | 27903 | 38936 | 28595
[17:59:39] 0.300 | 63 | 27916 | 38935 | 28644
[17:59:39] 0.350 | 62 | 27912 | 38912 | 28628
[17:59:39] 0.400 | 64 | 27896 | 38943 | 28640
[17:59:39] 0.450 | 61 | 27922 | 38992 | 28599
[17:59:39] 0.500 | 67 | 27904 | 38989 | 28580
[17:59:39] 0.550 | 66 | 27927 | 38984 | 28598
[17:59:39] 0.600 | 71 | 27899 | 38957 | 28570
[17:59:39] 0.650 | 51 | 27923 | 38992 | 28600
[17:59:39] 0.700 | 62 | 27897 | 38974 | 28612
[17:59:39] 0.750 | 67 | 27891 | 38964 | 28631
[17:59:39] 0.800 | 54 | 27877 | 38976 | 28641
[17:59:39] 0.850 | 56 | 27881 | 38965 | 28659
[17:59:39] 0.900 | 56 | 27868 | 38949 | 28662
[17:59:39] 0.950 | 61 | 27870 | 38983 | 28666
[17:59:39] 1.000 | 73 | 27865 | 39005 | 28650
[17:59:39] 1.050 | 55 | 27869 | 38995 | 28678
[17:59:40] 1.100 | 48 | 27867 | 39001 | 28645
[17:59:40] 1.150 | 52 | 27865 | 39008 | 28670
[17:59:40] 1.200 | 62 | 27842 | 39017 | 28647
[17:59:40] 1.250 | 50 | 27859 | 39019 | 28656
[17:59:40] 1.300 | 54 | 27884 | 39006 | 28644
[17:59:40] 1.350 | 48 | 27885 | 38998 | 28640
[17:59:40] 1.400 | 54 | 27851 | 38981 | 28655
[17:59:40] 1.450 | 58 | 27841 | 38992 | 28660
[17:59:40] 1.500 | 61 | 27848 | 39007 | 28658
[17:59:40] 1.550 | 59 | 27855 | 38990 | 28671
[17:59:40] 1.600 | 59 | 27840 | 39016 | 28644
[17:59:40] 1.650 | 66 | 27846 | 39013 | 28633
[17:59:40] 1.700 | 58 | 27858 | 39023 | 28631
[17:59:40] 1.750 | 47 | 27888 | 39016 | 28627
[17:59:40] 1.800 | 49 | 27881 | 39025 | 28610
[17:59:40] 1.850 | 56 | 27902 | 39038 | 28617
[17:59:40] 1.900 | 59 | 27912 | 39016 | 28665
[17:59:40] 1.950 | 52 | 27900 | 39039 | 28685
[17:59:40] 2.000 | 59 | 27887 | 39044 | 28695
[17:59:40] 2.050 | 55 | 27874 | 39043 | 28726
[17:59:41] 2.100 | 57 | 27859 | 39064 | 28687
[17:59:41] 2.150 | 48 | 27873 | 39068 | 28692
[17:59:41] 2.200 | 47 | 27898 | 39068 | 28752
[17:59:41] 2.250 | 53 | 27881 | 39070 | 28720
[17:59:41] 2.300 | 51 | 27880 | 39075 | 28678
[17:59:41] 2.350 | 53 | 27899 | 39086 | 28702
[17:59:41] 2.400 | 55 | 27892 | 39099 | 28715
[17:59:41] 2.450 | 43 | 27899 | 39094 | 28707
[17:59:41] 2.500 | 53 | 27904 | 39085 | 28674
[17:59:41] 2.550 | 54 | 27911 | 39072 | 28680
[17:59:41] 2.600 | 56 | 27904 | 39058 | 28653
[17:59:41] 2.650 | 62 | 27914 | 39075 | 28668
[17:59:41] 2.700 | 64 | 27932 | 39090 | 28682
[17:59:41] 2.750 | 55 | 27902 | 39095 | 28681
[17:59:41] 2.800 | 52 | 27902 | 39079 | 28691
[17:59:41] 2.850 | 54 | 27928 | 39076 | 28661
[17:59:41] 2.900 | 63 | 27911 | 39086 | 28681
[17:59:41] 2.950 | 58 | 27900 | 39066 | 28650
[17:59:41] 3.000 | 46 | 27909 | 39108 | 28694
[17:59:41] 3.050 | 53 | 27891 | 39094 | 28686
[17:59:42] 3.100 | 48 | 27899 | 39097 | 28696
[17:59:42] 3.150 | 53 | 27902 | 39099 | 28686
[17:59:42] 3.200 | 46 | 27903 | 39108 | 28686
[17:59:42] 3.250 | 51 | 27892 | 39080 | 28672
[17:59:42] 3.300 | 53 | 27905 | 39073 | 28691
[17:59:42] 3.350 | 46 | 27899 | 39093 | 28701
[17:59:42] 3.400 | 48 | 27901 | 39069 | 28683
[17:59:42] 3.450 | 58 | 27911 | 39111 | 28663
[17:59:42] 3.500 | 60 | 27921 | 39109 | 28686
[17:59:42] 3.550 | 44 | 27896 | 39110 | 28678
[17:59:42] 3.600 | 60 | 27903 | 39108 | 28714
[17:59:42] 3.650 | 56 | 27913 | 39126 | 28707
[17:59:42] 3.700 | 59 | 27885 | 39118 | 28693
[17:59:42] 3.750 | 51 | 27898 | 39132 | 28713
[17:59:42] 3.800 | 45 | 27927 | 39138 | 28684
[17:59:42] 3.850 | 40 | 27922 | 39128 | 28676
[17:59:42] 3.900 | 52 | 27942 | 39145 | 28689
[17:59:42] 3.950 | 45 | 27933 | 39145 | 28704
[17:59:42] 4.000 | 44 | 27953 | 39145 | 28731
[17:59:42] 4.050 | 47 | 27914 | 39144 | 28727
[17:59:43] 4.100 | 62 | 27950 | 39157 | 28715
[17:59:43] 4.150 | 39 | 27941 | 39159 | 28754
[17:59:43] 4.200 | 49 | 27950 | 39172 | 28762
[17:59:43] 4.250 | 44 | 27968 | 39147 | 28778
[17:59:43] 4.300 | 49 | 27969 | 39151 | 28750
[17:59:43] 4.350 | 41 | 27974 | 39157 | 28743
[17:59:43] 4.400 | 30 | 27974 | 39169 | 28751
[17:59:43] 4.450 | 49 | 27979 | 39161 | 28766
[17:59:43] 4.500 | 60 | 27986 | 39154 | 28779
[17:59:43] 4.550 | 49 | 28002 | 39146 | 28769
[17:59:43] 4.600 | 44 | 27989 | 39175 | 28762
[17:59:43] 4.650 | 51 | 27990 | 39159 | 28765
[17:59:43] 4.700 | 57 | 28011 | 39163 | 28774
[17:59:43] 4.750 | 44 | 27991 | 39164 | 28772
