timestamped_line
[18:00:52] ▶ Starting baseline phase for 2.5 seconds...
[18:00:52] t (s) | A | B | C | D
[18:00:52] 0.050 | 48 | 48607 | 49941 | 45604
[18:00:52] 0.100 | 64 | 48599 | 49949 | 45601
[18:00:53] 0.150 | 74 | 48602 | 49944 | 45606
[18:00:53] 0.200 | 79 | 48603 | 49950 | 45609
[18:00:53] 0.250 | 53 | 48606 | 49950 | 45603
[18:00:53] 0.300 | 69 | 48621 | 49950 | 45604
[18:00:53] 0.350 | 71 | 48613 | 49944 | 45596
[18:00:53] 0.400 | 54 | 48613 | 49944 | 45608
[18:00:53] 0.450 | 74 | 48619 | 49959 | 45586
[18:00:53] 0.500 | 54 | 48614 | 49946 | 45601
[18:00:53] 0.550 | 71 | 48617 | 49935 | 45605
[18:00:53] 0.600 | 54 | 48614 | 49945 | 45600
[18:00:53] 0.650 | 59 | 48613 | 49948 | 45604
[18:00:53] 0.700 | 69 | 48612 | 49946 | 45606
[18:00:53] 0.750 | 71 | 48620 | 49944 | 45598
[18:00:53] 0.800 | 55 | 48620 | 49935 | 45593
[18:00:53] 0.850 | 53 | 48624 | 49935 | 45603
[18:00:53] 0.900 | 54 | 48618 | 49944 | 45596
[18:00:53] 0.950 | 59 | 48622 | 49947 | 45610
[18:00:53] 1.000 | 68 | 48617 | 49947 | 45611
[18:00:53] 1.050 | 58 | 48619 | 49945 | 45596
[18:00:53] 1.100 | 85 | 48621 | 49947 | 45604
[18:00:54] 1.150 | 46 | 48619 | 49945 | 45614
[18:00:54] 1.200 | 65 | 48618 | 49945 | 45605
[18:00:54] 1.250 | 59 | 48620 | 49941 | 45607
[18:00:54] 1.300 | 58 | 48622 | 49959 | 45611
[18:00:54] 1.350 | 65 | 48622 | 49949 | 45609
[18:00:54] 1.400 | 65 | 48625 | 49950 | 45613
[18:00:54] 1.450 | 68 | 48628 | 49945 | 45610
[18:00:54] 1.500 | 54 | 48622 | 49949 | 45601
[18:00:54] 1.550 | 62 | 48623 | 49952 | 45602
[18:00:54] 1.600 | 44 | 48614 | 49945 | 45611
[18:00:54] 1.650 | 57 | 48619 | 49943 | 45617
[18:00:54] 1.700 | 67 | 48636 | 49943 | 45612
[18:00:54] 1.750 | 38 | 48623 | 49946 | 45610
[18:00:54] 1.800 | 58 | 48616 | 49944 | 45609
[18:00:54] 1.850 | 51 | 48620 | 49937 | 45608
[18:00:54] 1.900 | 65 | 48628 | 49947 | 45610
[18:00:54] 1.950 | 58 | 48617 | 49950 | 45619
[18:00:54] 2.000 | 53 | 48611 | 49953 | 45602
[18:00:54] 2.050 | 65 | 48617 | 49962 | 45610
[18:00:54] 2.100 | 70 | 48608 | 49938 | 45613
[18:00:55] 2.150 | 63 | 48611 | 49956 | 45600
[18:00:55] 2.200 | 61 | 48612 | 49953 | 45603
[18:00:55] 2.250 | 57 | 48602 | 49949 | 45609
[18:00:55] 2.300 | 66 | 48607 | 49950 | 45614
[18:00:55] 2.350 | 56 | 48613 | 49964 | 45610
[18:00:55] 2.400 | 60 | 48615 | 49956 | 45620
[18:00:55] 2.450 | 69 | 48617 | 49956 | 45606
[18:00:55] 2.500 | 46 | 48616 | 49944 | 45614
[18:00:55] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:00:55] 2.550 | 56 | 48613 | 49946 | 45608
[18:00:55] 0.050 | 52 | 48616 | 49938 | 45609
[18:00:55] 0.100 | 68 | 48612 | 49946 | 45605
[18:00:55] 0.150 | 76 | 48613 | 49950 | 45609
[18:00:55] 0.200 | 60 | 48617 | 49948 | 45617
[18:00:55] 0.250 | 53 | 48620 | 49937 | 45607
[18:00:55] 0.300 | 59 | 48619 | 49945 | 45612
[18:00:55] 0.350 | 62 | 48616 | 49944 | 45606
[18:00:55] 0.400 | 66 | 48623 | 49953 | 45620
[18:00:55] 0.450 | 69 | 48619 | 49936 | 45617
[18:00:55] 0.500 | 65 | 48616 | 49952 | 45620
[18:00:55] 0.550 | 73 | 48615 | 49950 | 45614
[18:00:56] 0.600 | 65 | 48618 | 49942 | 45617
[18:00:56] 0.650 | 68 | 48623 | 49947 | 45612
[18:00:56] 0.700 | 69 | 48625 | 49957 | 45604
[18:00:56] 0.750 | 66 | 48615 | 49950 | 45615
[18:00:56] 0.800 | 69 | 48632 | 49947 | 45612
[18:00:56] 0.850 | 84 | 48628 | 49949 | 45617
[18:00:56] 0.900 | 72 | 48626 | 49944 | 45610
[18:00:56] 0.950 | 65 | 48622 | 49953 | 45612
[18:00:56] 1.000 | 76 | 48627 | 49954 | 45619
[18:00:56] 1.050 | 65 | 48627 | 49935 | 45617
[18:00:56] 1.100 | 76 | 48625 | 49940 | 45627
[18:00:56] 1.150 | 72 | 48628 | 49938 | 45623
[18:00:56] 1.200 | 63 | 48631 | 49947 | 45621
[18:00:56] 1.250 | 62 | 48630 | 49948 | 45618
[18:00:56] 1.300 | 75 | 48625 | 49941 | 45624
[18:00:56] 1.350 | 75 | 48633 | 49950 | 45611
[18:00:56] 1.400 | 74 | 48614 | 49945 | 45613
