timestamped_line
[18:45:29] ▶ Starting baseline phase for 2.5 seconds...
[18:45:29] t (s) | A | B | C | D
[18:45:29] 0.050 | 25 | 14282 | 36499 | 30213
[18:45:29] 0.100 | 20 | 14258 | 36498 | 30208
[18:45:29] 0.150 | 28 | 14266 | 36493 | 30213
[18:45:29] 0.200 | 16 | 14261 | 36489 | 30210
[18:45:29] 0.250 | 25 | 14258 | 36488 | 30209
[18:45:29] 0.300 | 18 | 14290 | 36477 | 30214
[18:45:29] 0.350 | 28 | 14280 | 36490 | 30200
[18:45:29] 0.400 | 30 | 14246 | 36480 | 30209
[18:45:30] 0.450 | 31 | 14279 | 36487 | 30208
[18:45:30] 0.500 | 17 | 14302 | 36499 | 30200
[18:45:30] 0.550 | 34 | 14250 | 36488 | 30197
[18:45:30] 0.600 | 37 | 14311 | 36490 | 30207
[18:45:30] 0.650 | 29 | 14279 | 36493 | 30201
[18:45:30] 0.700 | 20 | 14302 | 36482 | 30195
[18:45:30] 0.750 | 35 | 14317 | 36488 | 30197
[18:45:30] 0.800 | 36 | 14317 | 36481 | 30194
[18:45:30] 0.850 | 27 | 14299 | 36485 | 30184
[18:45:30] 0.900 | 25 | 14280 | 36482 | 30196
[18:45:30] 0.950 | 33 | 14315 | 36490 | 30206
[18:45:30] 1.000 | 25 | 14339 | 36489 | 30196
[18:45:30] 1.050 | 32 | 14370 | 36491 | 30180
[18:45:30] 1.100 | 23 | 14349 | 36490 | 30184
[18:45:30] 1.150 | 21 | 14359 | 36492 | 30184
[18:45:30] 1.200 | 25 | 14349 | 36494 | 30204
[18:45:30] 1.250 | 25 | 14341 | 36497 | 30184
[18:45:30] 1.300 | 32 | 14381 | 36501 | 30197
[18:45:30] 1.350 | 41 | 14381 | 36489 | 30200
[18:45:30] 1.400 | 28 | 14345 | 36498 | 30200
[18:45:31] 1.450 | 29 | 14364 | 36496 | 30197
[18:45:31] 1.500 | 33 | 14373 | 36505 | 30201
[18:45:31] 1.550 | 25 | 14370 | 36501 | 30193
[18:45:31] 1.600 | 30 | 14369 | 36499 | 30206
[18:45:31] 1.650 | 33 | 14372 | 36510 | 30198
[18:45:31] 1.700 | 37 | 14368 | 36504 | 30192
[18:45:31] 1.750 | 24 | 14363 | 36497 | 30197
[18:45:31] 1.800 | 24 | 14352 | 36488 | 30173
[18:45:31] 1.850 | 27 | 14364 | 36487 | 30166
[18:45:31] 1.900 | 25 | 14371 | 36491 | 30169
[18:45:31] 1.950 | 12 | 14447 | 36490 | 30163
[18:45:31] 2.000 | 23 | 14410 | 36493 | 30167
[18:45:31] 2.050 | 32 | 14396 | 36488 | 30154
[18:45:31] 2.100 | 31 | 14432 | 36491 | 30160
[18:45:31] 2.150 | 16 | 14426 | 36498 | 30147
[18:45:31] 2.200 | 30 | 14441 | 36490 | 30151
[18:45:31] 2.250 | 44 | 14453 | 36502 | 30160
[18:45:31] 2.300 | 30 | 14476 | 36490 | 30164
[18:45:31] 2.350 | 44 | 14454 | 36501 | 30149
[18:45:31] 2.400 | 27 | 14452 | 36504 | 30153
[18:45:32] 2.450 | 22 | 14468 | 36491 | 30157
[18:45:32] 2.500 | 30 | 14499 | 36507 | 30144
[18:45:32] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:45:32] 2.550 | 19 | 14498 | 36492 | 30149
[18:45:32] 0.050 | 18 | 14500 | 36490 | 30147
[18:45:32] 0.100 | 34 | 14492 | 36489 | 30152
[18:45:32] 0.150 | 29 | 14513 | 36494 | 30154
[18:45:32] 0.200 | 26 | 14505 | 36483 | 30152
[18:45:32] 0.250 | 27 | 14506 | 36490 | 30163
[18:45:32] 0.300 | 45 | 14489 | 36493 | 30151
[18:45:32] 0.350 | 38 | 14493 | 36495 | 30174
[18:45:32] 0.400 | 24 | 14474 | 36482 | 30159
[18:45:32] 0.450 | 21 | 14491 | 36481 | 30165
[18:45:32] 0.500 | 22 | 14513 | 36486 | 30181
[18:45:32] 0.550 | 23 | 14525 | 36495 | 30158
[18:45:32] 0.600 | 23 | 14542 | 36483 | 30162
[18:45:32] 0.650 | 18 | 14541 | 36483 | 30167
[18:45:32] 0.700 | 34 | 14556 | 36491 | 30171
[18:45:32] 0.750 | 31 | 14546 | 36497 | 30164
[18:45:32] 0.800 | 35 | 14522 | 36480 | 30179
[18:45:32] 0.850 | 31 | 14529 | 36482 | 30170
[18:45:33] 0.900 | 18 | 14544 | 36486 | 30168
