timestamped_line
[18:47:01] ▶ Starting baseline phase for 2.5 seconds...
[18:47:01] t (s) | A | B | C | D
[18:47:01] 0.051 | 49 | 48814 | 51154 | 47663
[18:47:01] 0.101 | 23 | 48845 | 51158 | 47661
[18:47:01] 0.151 | 31 | 48833 | 51148 | 47659
[18:47:01] 0.201 | 21 | 48821 | 51144 | 47658
[18:47:01] 0.251 | 20 | 48825 | 51147 | 47650
[18:47:01] 0.301 | 34 | 48826 | 51138 | 47664
[18:47:01] 0.351 | 38 | 48806 | 51141 | 47669
[18:47:01] 0.401 | 39 | 48809 | 51143 | 47666
[18:47:01] 0.451 | 34 | 48814 | 51142 | 47660
[18:47:01] 0.501 | 28 | 48821 | 51137 | 47664
[18:47:01] 0.551 | 21 | 48826 | 51132 | 47659
[18:47:01] 0.601 | 37 | 48816 | 51145 | 47659
[18:47:01] 0.651 | 33 | 48808 | 51133 | 47659
[18:47:01] 0.701 | 28 | 48810 | 51144 | 47649
[18:47:01] 0.751 | 18 | 48805 | 51143 | 47655
[18:47:02] 0.801 | 45 | 48809 | 51139 | 47655
[18:47:02] 0.851 | 23 | 48809 | 51146 | 47657
[18:47:02] 0.901 | 25 | 48810 | 51147 | 47656
[18:47:02] 0.951 | 31 | 48827 | 51139 | 47663
[18:47:02] 1.001 | 30 | 48822 | 51151 | 47668
[18:47:02] 1.051 | 50 | 48816 | 51141 | 47659
[18:47:02] 1.101 | 40 | 48812 | 51145 | 47669
[18:47:02] 1.151 | 33 | 48819 | 51143 | 47665
[18:47:02] 1.201 | 36 | 48822 | 51143 | 47657
[18:47:02] 1.251 | 32 | 48826 | 51137 | 47663
[18:47:02] 1.301 | 37 | 48827 | 51144 | 47659
[18:47:02] 1.351 | 29 | 48817 | 51135 | 47673
[18:47:02] 1.401 | 29 | 48828 | 51145 | 47659
[18:47:02] 1.451 | 28 | 48822 | 51136 | 47661
[18:47:02] 1.501 | 36 | 48817 | 51143 | 47657
[18:47:02] 1.551 | 41 | 48828 | 51145 | 47654
[18:47:02] 1.601 | 33 | 48821 | 51138 | 47660
[18:47:02] 1.651 | 27 | 48826 | 51140 | 47667
[18:47:02] 1.701 | 46 | 48822 | 51152 | 47663
[18:47:02] 1.751 | 30 | 48836 | 51149 | 47666
[18:47:03] 1.801 | 23 | 48828 | 51144 | 47667
[18:47:03] 1.851 | 47 | 48834 | 51147 | 47664
[18:47:03] 1.901 | 33 | 48834 | 51141 | 47672
[18:47:03] 1.951 | 37 | 48833 | 51145 | 47678
[18:47:03] 2.001 | 37 | 48827 | 51144 | 47667
[18:47:03] 2.051 | 30 | 48824 | 51146 | 47669
[18:47:03] 2.101 | 41 | 48820 | 51143 | 47667
[18:47:03] 2.151 | 33 | 48841 | 51144 | 47661
[18:47:03] 2.201 | 39 | 48820 | 51149 | 47683
[18:47:03] 2.251 | 48 | 48843 | 51153 | 47676
[18:47:03] 2.301 | 38 | 48831 | 51144 | 47668
[18:47:03] 2.351 | 38 | 48835 | 51146 | 47683
[18:47:03] 2.401 | 42 | 48845 | 51148 | 47673
[18:47:03] 2.451 | 37 | 48841 | 51142 | 47669
[18:47:03] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:47:03] 2.501 | 36 | 48844 | 51138 | 47673
[18:47:03] 0.050 | 43 | 48840 | 51146 | 47673
[18:47:03] 0.100 | 57 | 48849 | 51145 | 47671
[18:47:03] 0.150 | 40 | 48842 | 51140 | 47667
[18:47:03] 0.200 | 41 | 48849 | 51152 | 47671
[18:47:03] 0.250 | 38 | 48845 | 51145 | 47673
[18:47:04] 0.300 | 45 | 48840 | 51139 | 47665
[18:47:04] 0.350 | 28 | 48846 | 51138 | 47671
[18:47:04] 0.400 | 34 | 48836 | 51144 | 47672
[18:47:04] 0.450 | 52 | 48844 | 51126 | 47672
[18:47:04] 0.500 | 51 | 48841 | 51145 | 47671
[18:47:04] 0.550 | 52 | 48842 | 51142 | 47660
[18:47:04] 0.600 | 41 | 48835 | 51147 | 47670
[18:47:04] 0.650 | 45 | 48844 | 51134 | 47665
[18:47:04] 0.700 | 42 | 48849 | 51140 | 47669
[18:47:04] 0.750 | 38 | 48842 | 51130 | 47668
[18:47:04] 0.800 | 46 | 48862 | 51141 | 47673
[18:47:04] 0.850 | 45 | 48849 | 51130 | 47665
[18:47:04] 0.900 | 39 | 48850 | 51134 | 47668
[18:47:04] 0.950 | 33 | 48863 | 51141 | 47669
[18:47:04] 1.000 | 33 | 48854 | 51136 | 47680
[18:47:04] 1.050 | 42 | 48857 | 51127 | 47684
[18:47:04] 1.100 | 46 | 48862 | 51136 | 47675
[18:47:04] 1.150 | 41 | 48851 | 51144 | 47680
[18:47:04] 1.200 | 22 | 48860 | 51128 | 47689
[18:47:04] 1.250 | 40 | 48861 | 51143 | 47673
[18:47:05] 1.300 | 50 | 48861 | 51144 | 47680
[18:47:05] 1.350 | 39 | 48863 | 51133 | 47679
[18:47:05] 1.400 | 44 | 48856 | 51148 | 47680
[18:47:05] 1.450 | 41 | 48854 | 51140 | 47675
[18:47:05] 1.500 | 41 | 48859 | 51141 | 47690
[18:47:05] 1.550 | 42 | 48860 | 51152 | 47685
[18:47:05] 1.600 | 29 | 48854 | 51139 | 47672
[18:47:05] 1.650 | 33 | 48840 | 51137 | 47678
[18:47:05] 1.700 | 38 | 48865 | 51145 | 47673
[18:47:05] 1.750 | 41 | 48869 | 51152 | 47672
[18:47:05] 1.800 | 41 | 48862 | 51144 | 47674
[18:47:05] 1.850 | 27 | 48854 | 51145 | 47672
[18:47:05] 1.900 | 37 | 48853 | 51147 | 47668
[18:47:05] 1.950 | 48 | 48854 | 51148 | 47668
[18:47:05] 2.000 | 49 | 48871 | 51149 | 47661
[18:47:05] 2.050 | 41 | 48857 | 51146 | 47662
[18:47:05] 2.100 | 44 | 48840 | 51149 | 47672
[18:47:05] 2.150 | 50 | 48867 | 51154 | 47669
[18:47:05] 2.200 | 36 | 48856 | 51145 | 47665
[18:47:05] 2.250 | 37 | 48849 | 51141 | 47657
[18:47:06] 2.300 | 38 | 48859 | 51148 | 47663
[18:47:06] 2.350 | 41 | 48871 | 51158 | 47658
[18:47:06] 2.400 | 42 | 48863 | 51150 | 47658
[18:47:06] 2.450 | 44 | 48860 | 51144 | 47670
[18:47:06] 2.500 | 46 | 48875 | 51140 | 47661
[18:47:06] 2.550 | 32 | 48851 | 51143 | 47673
[18:47:06] 2.600 | 37 | 48855 | 51155 | 47669
[18:47:06] 2.650 | 39 | 48860 | 51140 | 47668
[18:47:06] 2.700 | 34 | 48859 | 51141 | 47658
[18:47:06] 2.750 | 54 | 48851 | 51137 | 47667
[18:47:06] 2.800 | 44 | 48852 | 51143 | 47668
[18:47:06] 2.850 | 64 | 48866 | 51150 | 47663
[18:47:06] 2.900 | 41 | 48866 | 51151 | 47666
[18:47:06] 2.950 | 44 | 48859 | 51152 | 47663
[18:47:06] 3.000 | 39 | 48850 | 51170 | 47666
[18:47:06] 3.050 | 37 | 48854 | 51149 | 47667
[18:47:06] 3.100 | 38 | 48862 | 51155 | 47667
[18:47:06] 3.150 | 31 | 48857 | 51152 | 47665
[18:47:06] 3.200 | 47 | 48868 | 51149 | 47658
[18:47:06] 3.250 | 57 | 48866 | 51150 | 47664
[18:47:07] 3.300 | 49 | 48853 | 51154 | 47659
[18:47:07] 3.350 | 47 | 48853 | 51146 | 47664
[18:47:07] 3.400 | 53 | 48862 | 51132 | 47665
[18:47:07] 3.450 | 58 | 48858 | 51160 | 47661
[18:47:07] 3.500 | 57 | 48866 | 51167 | 47649
[18:47:07] 3.550 | 53 | 48856 | 51153 | 47660
[18:47:07] 3.600 | 60 | 48845 | 51157 | 47653
[18:47:07] 3.650 | 58 | 48850 | 51156 | 47657
[18:47:07] 3.700 | 53 | 48860 | 51152 | 47670
[18:47:07] 3.750 | 45 | 48863 | 51146 | 47665
[18:47:07] 3.800 | 55 | 48863 | 51154 | 47669
[18:47:07] 3.850 | 68 | 48867 | 51156 | 47663
[18:47:07] 3.900 | 62 | 48864 | 51153 | 47663
[18:47:07] 3.950 | 58 | 48863 | 51152 | 47664
[18:47:07] 4.000 | 60 | 48868 | 51160 | 47670
[18:47:07] 4.050 | 58 | 48863 | 51156 | 47663
[18:47:07] 4.100 | 62 | 48863 | 51156 | 47658
[18:47:07] 4.150 | 59 | 48866 | 51162 | 47667
[18:47:07] 4.200 | 50 | 48859 | 51160 | 47667
[18:47:07] 4.250 | 46 | 48873 | 51163 | 47660
[18:47:08] 4.300 | 56 | 48876 | 51162 | 47657
[18:47:08] 4.350 | 55 | 48877 | 51158 | 47655
[18:47:08] 4.400 | 76 | 48877 | 51153 | 47663
[18:47:08] 4.450 | 50 | 48873 | 51154 | 47662
[18:47:08] 4.500 | 64 | 48895 | 51159 | 47664
[18:47:08] 4.550 | 44 | 48889 | 51154 | 47665
[18:47:08] 4.600 | 45 | 48884 | 51161 | 47657
[18:47:08] 4.650 | 60 | 48879 | 51152 | 47662
[18:47:08] 4.700 | 59 | 48884 | 51155 | 47668
[18:47:08] 4.750 | 40 | 48878 | 51158 | 47660
[18:47:08] 4.800 | 55 | 48883 | 51156 | 47658
[18:47:08] 4.850 | 60 | 48879 | 51164 | 47663
[18:47:08] 4.900 | 62 | 48878 | 51158 | 47669
[18:47:08] 4.950 | 59 | 48885 | 51164 | 47663
[18:47:08] 5.000 | 67 | 48885 | 51156 | 47666
[18:47:08] 5.050 | 61 | 48892 | 51155 | 47663
[18:47:08] 5.100 | 61 | 48883 | 51151 | 47674
[18:47:08] 5.150 | 61 | 48891 | 51127 | 47667
[18:47:08] 5.200 | 76 | 48891 | 51156 | 47660
[18:47:08] 5.250 | 49 | 48887 | 51158 | 47658
[18:47:09] 5.300 | 61 | 48882 | 51152 | 47660
[18:47:09] 5.350 | 65 | 48883 | 51152 | 47655
[18:47:09] 5.400 | 60 | 48880 | 51152 | 47660
[18:47:09] 5.450 | 60 | 48888 | 51153 | 47659
[18:47:09] 5.500 | 71 | 48888 | 51159 | 47666
[18:47:09] 5.550 | 71 | 48895 | 51158 | 47667
[18:47:09] 5.600 | 52 | 48899 | 51156 | 47665
[18:47:09] 5.650 | 66 | 48897 | 51157 | 47661
[18:47:09] 5.700 | 62 | 48891 | 51155 | 47661
[18:47:09] 5.750 | 45 | 48893 | 51158 | 47661
[18:47:09] 5.800 | 56 | 48895 | 51156 | 47665
[18:47:09] 5.850 | 59 | 48901 | 51145 | 47670
[18:47:09] 5.900 | 54 | 48886 | 51154 | 47669
[18:47:09] 5.950 | 72 | 48895 | 51153 | 47668
[18:47:09] 6.000 | 59 | 48903 | 51165 | 47677
[18:47:09] 6.050 | 71 | 48903 | 51151 | 47664
[18:47:09] 6.100 | 52 | 48899 | 51152 | 47671
[18:47:09] 6.150 | 61 | 48903 | 51153 | 47676
[18:47:09] 6.200 | 73 | 48896 | 51154 | 47665
[18:47:09] 6.250 | 60 | 48899 | 51155 | 47663
[18:47:10] 6.300 | 63 | 48903 | 51151 | 47661
[18:47:10] 6.350 | 64 | 48898 | 51154 | 47672
[18:47:10] 6.400 | 58 | 48912 | 51147 | 47671
[18:47:10] 6.450 | 52 | 48922 | 51160 | 47669
[18:47:10] 6.500 | 78 | 48917 | 51158 | 47678
[18:47:10] 6.550 | 67 | 48917 | 51153 | 47660
[18:47:10] 6.600 | 58 | 48921 | 51152 | 47683
[18:47:10] 6.650 | 43 | 48913 | 51148 | 47665
[18:47:10] 6.700 | 74 | 48927 | 51164 | 47680
[18:47:10] 6.750 | 73 | 48931 | 51162 | 47676
[18:47:10] 6.800 | 61 | 48929 | 51161 | 47668
[18:47:10] 6.850 | 76 | 48918 | 51164 | 47675
[18:47:10] 6.900 | 69 | 48907 | 51165 | 47666
[18:47:10] 6.950 | 75 | 48904 | 51157 | 47675
[18:47:10] 7.000 | 75 | 48910 | 51164 | 47675
[18:47:10] 7.050 | 51 | 48920 | 51163 | 47673
[18:47:10] 7.100 | 57 | 48920 | 51164 | 47669
[18:47:10] 7.150 | 47 | 48915 | 51161 | 47677
[18:47:10] 7.200 | 54 | 48922 | 51161 | 47676
[18:47:10] 7.250 | 35 | 48923 | 51156 | 47670
[18:47:11] 7.300 | 51 | 48905 | 51154 | 47665
