timestamped_line
[14:45:26] ▶ Starting baseline phase for 2.5 seconds...
[14:45:26] t (s) | A | B | C | D
[14:45:26] 0.051 | 40859 | 45877 | 38 | 19168
[14:45:26] 0.101 | 40661 | 37068 | 35 | 19133
[14:45:26] 0.151 | 36185 | 38952 | 40 | 19213
[14:45:26] 0.201 | 32238 | 35773 | 37 | 19226
[14:45:27] 0.251 | 35086 | 35709 | 38 | 19188
[14:45:27] 0.301 | 36137 | 37404 | 38 | 19246
[14:45:27] 0.351 | 36007 | 41262 | 40 | 19226
[14:45:27] 0.401 | 35592 | 41850 | 38 | 19240
[14:45:27] 0.451 | 35221 | 38075 | 41 | 19221
[14:45:27] 0.501 | 36029 | 33788 | 37 | 19231
[14:45:27] 0.551 | 33430 | 38945 | 35 | 19372
[14:45:27] 0.601 | 35687 | 38423 | 31 | 19479
[14:45:27] 0.651 | 36439 | 40469 | 38 | 19500
[14:45:27] 0.701 | 34664 | 37227 | 35 | 19503
[14:45:27] 0.751 | 38119 | 34955 | 40 | 19500
[14:45:27] 0.801 | 38169 | 36759 | 43 | 19551
[14:45:27] 0.851 | 38449 | 42167 | 45 | 19531
[14:45:27] 0.901 | 35316 | 40642 | 32 | 19532
[14:45:27] 0.951 | 34351 | 38248 | 33 | 19502
[14:45:27] 1.001 | 35345 | 34783 | 43 | 18914
[14:45:27] 1.051 | 32304 | 34190 | 37 | 19143
[14:45:27] 1.101 | 33298 | 34485 | 36 | 20237
[14:45:27] 1.151 | 36763 | 37857 | 48 | 20601
[14:45:27] 1.201 | 32266 | 39557 | 34 | 21173
[14:45:28] 1.251 | 37938 | 40192 | 36 | 21483
[14:45:28] 1.301 | 36867 | 38489 | 38 | 21628
[14:45:28] 1.351 | 35021 | 39984 | 42 | 21826
[14:45:28] 1.401 | 35214 | 41105 | 38 | 23290
[14:45:28] 1.451 | 40250 | 40612 | 42 | 23979
[14:45:28] 1.501 | 33982 | 39061 | 33 | 24070
[14:45:28] 1.551 | 40710 | 40391 | 39 | 24249
[14:45:28] 1.601 | 41738 | 35560 | 35 | 24340
[14:45:28] 1.651 | 38295 | 36737 | 42 | 24551
[14:45:28] 1.701 | 38455 | 38613 | 46 | 25303
[14:45:28] 1.751 | 37556 | 42902 | 42 | 25777
[14:45:28] 1.801 | 35802 | 38783 | 39 | 25912
[14:45:28] 1.851 | 37586 | 37219 | 38 | 25867
[14:45:28] 1.901 | 37170 | 33834 | 36 | 25939
[14:45:28] 1.951 | 36249 | 41100 | 41 | 25865
[14:45:28] 2.001 | 34746 | 37794 | 43 | 25667
[14:45:28] 2.051 | 37391 | 41340 | 39 | 25548
[14:45:28] 2.101 | 39237 | 37666 | 37 | 25382
[14:45:28] 2.151 | 37830 | 36161 | 37 | 25576
[14:45:28] 2.201 | 36382 | 38914 | 36 | 25784
[14:45:29] 2.251 | 38597 | 41853 | 30 | 25895
[14:45:29] 2.301 | 36706 | 39742 | 32 | 25919
[14:45:29] 2.351 | 32092 | 36468 | 41 | 25957
[14:45:29] 2.401 | 35403 | 34086 | 33 | 25777
[14:45:29] 2.451 | 35646 | 35672 | 34 | 25896
[14:45:29] ✅ Baseline complete. Starting main recording for 10 seconds...
[14:45:29] 2.501 | 37110 | 37944 | 38 | 25802
[14:45:29] 0.050 | 36721 | 39335 | 39 | 25978
[14:45:29] 0.100 | 38266 | 37338 | 32 | 26067
[14:45:29] 0.150 | 34633 | 40940 | 40 | 25850
[14:45:29] 0.200 | 33328 | 36937 | 33 | 26054
[14:45:29] 0.250 | 33834 | 43469 | 36 | 26344
[14:45:29] 0.300 | 37626 | 38424 | 36 | 26366
[14:45:29] 0.350 | 35286 | 34753 | 37 | 26371
[14:45:29] 0.400 | 34687 | 37699 | 37 | 26489
[14:45:29] 0.450 | 33226 | 40131 | 33 | 26547
[14:45:29] 0.500 | 36519 | 41605 | 38 | 26605
[14:45:29] 0.550 | 32821 | 37969 | 45 | 26619
[14:45:29] 0.600 | 38814 | 38979 | 38 | 26740
[14:45:29] 0.650 | 42858 | 38012 | 34 | 26771
[14:45:29] 0.700 | 36727 | 42377 | 37 | 26776
[14:45:30] 0.750 | 37070 | 39780 | 36 | 26791
[14:45:30] 0.800 | 41848 | 38114 | 36 | 26707
[14:45:30] 0.850 | 39028 | 39800 | 35 | 26710
[14:45:30] 0.900 | 43456 | 37280 | 36 | 26563
[14:45:30] 0.950 | 35123 | 37916 | 41 | 26578
[14:45:30] 1.000 | 39062 | 39532 | 38 | 26392
[14:45:30] 1.050 | 36045 | 36929 | 37 | 26572
[14:45:30] 1.100 | 33249 | 38083 | 33 | 26621
[14:45:30] 1.150 | 41024 | 40240 | 49 | 26593
[14:45:30] 1.200 | 40757 | 38130 | 34 | 26552
[14:45:30] 1.250 | 42510 | 37480 | 38 | 26510
[14:45:30] 1.300 | 40622 | 39779 | 37 | 26608
[14:45:30] 1.350 | 37976 | 38500 | 39 | 26536
[14:45:30] 1.400 | 38313 | 37613 | 40 | 26499
[14:45:30] 1.450 | 36346 | 36699 | 38 | 26615
[14:45:30] 1.500 | 37946 | 41716 | 45 | 26556
[14:45:30] 1.550 | 36358 | 41854 | 42 | 26735
[14:45:30] 1.600 | 38171 | 42113 | 39 | 26894
[14:45:30] 1.650 | 34251 | 39095 | 42 | 26755
[14:45:30] 1.700 | 40890 | 38179 | 44 | 26742
[14:45:31] 1.750 | 44161 | 39467 | 35 | 26730
[14:45:31] 1.800 | 42608 | 39560 | 43 | 26832
[14:45:31] 1.850 | 35759 | 40145 | 39 | 26905
[14:45:31] 1.900 | 32625 | 37511 | 36 | 26959
[14:45:31] 1.950 | 35384 | 39858 | 41 | 26964
[14:45:31] 2.000 | 33582 | 35917 | 42 | 27058
[14:45:31] 2.050 | 31941 | 38249 | 43 | 26736
[14:45:31] 2.100 | 36111 | 42316 | 42 | 26733
[14:45:31] 2.150 | 34711 | 38748 | 35 | 27210
[14:45:31] 2.200 | 37794 | 38572 | 40 | 27934
[14:45:31] 2.250 | 38962 | 34863 | 41 | 28279
[14:45:31] 2.300 | 35161 | 39184 | 40 | 28531
[14:45:31] 2.350 | 36771 | 41282 | 40 | 28626
[14:45:31] 2.400 | 38184 | 38035 | 43 | 28552
[14:45:31] 2.450 | 39316 | 37116 | 43 | 28613
[14:45:31] 2.500 | 36887 | 40588 | 37 | 28700
[14:45:31] 2.550 | 37565 | 36441 | 41 | 28752
[14:45:31] 2.600 | 35800 | 36132 | 35 | 28551
[14:45:31] 2.650 | 34518 | 37424 | 37 | 28748
[14:45:31] 2.700 | 33940 | 40727 | 31 | 28850
[14:45:32] 2.750 | 43123 | 36422 | 34 | 28612
[14:45:32] 2.800 | 35452 | 40564 | 36 | 28847
[14:45:32] 2.850 | 34812 | 38897 | 36 | 28857
[14:45:32] 2.900 | 40464 | 33335 | 42 | 28757
[14:45:32] 2.950 | 36726 | 39289 | 41 | 28751
[14:45:32] 3.000 | 37893 | 39812 | 34 | 28873
[14:45:32] 3.050 | 39498 | 39724 | 40 | 29222
[14:45:32] 3.100 | 39060 | 39518 | 38 | 29243
[14:45:32] 3.150 | 38734 | 36609 | 40 | 29277
[14:45:32] 3.200 | 37200 | 41916 | 40 | 29353
[14:45:32] 3.250 | 35371 | 37612 | 45 | 29317
[14:45:32] 3.300 | 40084 | 39507 | 42 | 29014
[14:45:32] 3.350 | 40143 | 37898 | 39 | 29002
[14:45:32] 3.400 | 34545 | 35619 | 43 | 29001
[14:45:32] 3.450 | 36015 | 37903 | 39 | 29037
[14:45:32] 3.500 | 37854 | 38110 | 39 | 29129
[14:45:32] 3.550 | 41579 | 37329 | 30 | 29183
[14:45:32] 3.600 | 40707 | 38301 | 39 | 29650
