timestamped_line
[17:58:38] ▶ Starting baseline phase for 2.5 seconds...
[17:58:38] t (s) | A | B | C | D
[17:58:38] 0.050 | 51 | 33780 | 36141 | 29703
[17:58:38] 0.100 | 42 | 33761 | 36091 | 29713
[17:58:38] 0.150 | 55 | 33787 | 36166 | 29692
[17:58:38] 0.200 | 54 | 33871 | 36155 | 29694
[17:58:38] 0.250 | 39 | 33878 | 36193 | 29709
[17:58:38] 0.300 | 41 | 33871 | 36153 | 29711
[17:58:38] 0.350 | 40 | 33873 | 36146 | 29693
[17:58:38] 0.400 | 57 | 33869 | 36173 | 29705
[17:58:38] 0.450 | 52 | 33870 | 36126 | 29707
[17:58:38] 0.500 | 51 | 33867 | 36106 | 29732
[17:58:38] 0.550 | 47 | 33871 | 36165 | 29738
[17:58:38] 0.600 | 41 | 33772 | 36084 | 29685
[17:58:38] 0.650 | 52 | 33860 | 36135 | 29700
[17:58:38] 0.700 | 43 | 33860 | 36156 | 29693
[17:58:38] 0.750 | 70 | 33861 | 36162 | 29720
[17:58:38] 0.800 | 53 | 33876 | 36091 | 29710
[17:58:39] 0.850 | 44 | 33879 | 36147 | 29716
[17:58:39] 0.900 | 55 | 33875 | 36161 | 29730
[17:58:39] 0.950 | 44 | 33876 | 36169 | 29742
[17:58:39] 1.000 | 47 | 33876 | 36148 | 29731
[17:58:39] 1.050 | 52 | 33872 | 36149 | 29735
[17:58:39] 1.100 | 44 | 33855 | 36111 | 29740
[17:58:39] 1.150 | 50 | 33856 | 36071 | 29763
[17:58:39] 1.200 | 52 | 33867 | 36185 | 29749
[17:58:39] 1.250 | 51 | 33857 | 36152 | 29755
[17:58:39] 1.300 | 43 | 33865 | 36149 | 29772
[17:58:39] 1.350 | 52 | 33858 | 36195 | 29814
[17:58:39] 1.400 | 50 | 33839 | 36158 | 29774
[17:58:39] 1.450 | 41 | 33866 | 36157 | 29783
[17:58:39] 1.500 | 43 | 33851 | 36181 | 29780
[17:58:39] 1.550 | 49 | 33855 | 36114 | 29799
[17:58:39] 1.600 | 45 | 33841 | 36102 | 29769
[17:58:39] 1.650 | 49 | 33836 | 36147 | 29785
[17:58:39] 1.700 | 42 | 33843 | 36164 | 29782
[17:58:39] 1.750 | 36 | 33850 | 36154 | 29783
[17:58:39] 1.800 | 46 | 33841 | 36133 | 29780
[17:58:40] 1.850 | 36 | 33840 | 36140 | 29780
[17:58:40] 1.900 | 40 | 33834 | 36151 | 29785
[17:58:40] 1.950 | 46 | 33850 | 36105 | 29796
[17:58:40] 2.000 | 49 | 33822 | 36159 | 29784
[17:58:40] 2.050 | 41 | 33756 | 36154 | 29759
[17:58:40] 2.100 | 49 | 33814 | 36129 | 29771
[17:58:40] 2.150 | 54 | 33821 | 36148 | 29776
[17:58:40] 2.200 | 32 | 33820 | 36141 | 29764
[17:58:40] 2.250 | 41 | 33829 | 36162 | 29768
[17:58:40] 2.300 | 46 | 33822 | 36188 | 29785
[17:58:40] 2.350 | 55 | 33819 | 36191 | 29780
[17:58:40] 2.400 | 40 | 33840 | 36189 | 29779
[17:58:40] 2.450 | 47 | 33812 | 36116 | 29761
[17:58:40] 2.500 | 46 | 33761 | 36150 | 29759
[17:58:40] ✅ Baseline complete. Starting main recording for 10 seconds...
[17:58:40] 2.550 | 42 | 33805 | 36181 | 29761
[17:58:40] 0.050 | 53 | 33767 | 36154 | 29767
[17:58:40] 0.100 | 44 | 33845 | 36175 | 29781
[17:58:40] 0.150 | 43 | 33846 | 36209 | 29751
[17:58:40] 0.200 | 44 | 33831 | 36192 | 29775
[17:58:40] 0.250 | 36 | 33836 | 36225 | 29789
[17:58:41] 0.300 | 39 | 33851 | 36216 | 29766
[17:58:41] 0.350 | 47 | 33859 | 36189 | 29767
[17:58:41] 0.400 | 41 | 33796 | 36157 | 29756
[17:58:41] 0.450 | 44 | 33833 | 36132 | 29803
[17:58:41] 0.500 | 44 | 33782 | 36157 | 29775
[17:58:41] 0.550 | 36 | 33839 | 36128 | 29780
[17:58:41] 0.600 | 49 | 33835 | 36197 | 29779
[17:58:41] 0.650 | 46 | 33847 | 36182 | 29751
[17:58:41] 0.700 | 46 | 33838 | 36230 | 29767
[17:58:41] 0.750 | 43 | 33847 | 36212 | 29768
[17:58:41] 0.800 | 45 | 33864 | 36204 | 29774
[17:58:41] 0.850 | 53 | 33864 | 36176 | 29761
[17:58:41] 0.900 | 46 | 33786 | 36170 | 29759
[17:58:41] 0.950 | 41 | 33826 | 36166 | 29745
[17:58:41] 1.000 | 48 | 33861 | 36096 | 29738
[17:58:41] 1.050 | 43 | 33841 | 36114 | 29733
[17:58:41] 1.100 | 45 | 33886 | 36184 | 29754
[17:58:41] 1.150 | 45 | 33879 | 36140 | 29749
[17:58:41] 1.200 | 39 | 33895 | 36198 | 29749
[17:58:41] 1.250 | 47 | 33884 | 36164 | 29732
[17:58:42] 1.300 | 41 | 33881 | 36162 | 29736
[17:58:42] 1.350 | 40 | 33820 | 36127 | 29749
[17:58:42] 1.400 | 47 | 33815 | 36138 | 29732
[17:58:42] 1.450 | 39 | 33828 | 36131 | 29745
[17:58:42] 1.500 | 60 | 33769 | 36168 | 29739
[17:58:42] 1.550 | 39 | 33874 | 36179 | 29750
[17:58:42] 1.600 | 31 | 33882 | 36155 | 29747
[17:58:42] 1.650 | 44 | 33879 | 36207 | 29750
[17:58:42] 1.700 | 40 | 33877 | 36205 | 29732
[17:58:42] 1.750 | 41 | 33874 | 36220 | 29733
[17:58:42] 1.800 | 50 | 33824 | 36171 | 29729
[17:58:42] 1.850 | 43 | 33795 | 36200 | 29727
[17:58:42] 1.900 | 39 | 33785 | 36160 | 29750
[17:58:42] 1.950 | 44 | 33807 | 36151 | 29744
[17:58:42] 2.000 | 33 | 33772 | 36114 | 29749
[17:58:42] 2.050 | 44 | 33790 | 36196 | 29765
[17:58:42] 2.100 | 43 | 33811 | 36192 | 29749
[17:58:42] 2.150 | 38 | 33801 | 36112 | 29758
[17:58:42] 2.200 | 45 | 33851 | 36131 | 29769
[17:58:42] 2.250 | 48 | 33858 | 36141 | 29766
[17:58:43] 2.300 | 40 | 33856 | 36188 | 29780
[17:58:43] 2.350 | 31 | 33842 | 36196 | 29773
[17:58:43] 2.400 | 42 | 33836 | 36206 | 29775
[17:58:43] 2.450 | 43 | 33835 | 36147 | 29785
[17:58:43] 2.500 | 41 | 33827 | 36139 | 29793
[17:58:43] 2.550 | 49 | 33859 | 36199 | 29811
[17:58:43] 2.600 | 41 | 33812 | 36189 | 29780
[17:58:43] 2.650 | 49 | 33855 | 36196 | 29798
[17:58:43] 2.700 | 43 | 33856 | 36229 | 29771
[17:58:43] 2.750 | 48 | 33835 | 36151 | 29760
[17:58:43] 2.800 | 36 | 33846 | 36143 | 29783
[17:58:43] 2.850 | 41 | 33837 | 36222 | 29785
[17:58:43] 2.900 | 45 | 33826 | 36176 | 29777
[17:58:43] 2.950 | 36 | 33850 | 36175 | 29803
[17:58:43] 3.000 | 57 | 33849 | 36213 | 29789
[17:58:43] 3.050 | 56 | 33844 | 36208 | 29787
[17:58:43] 3.100 | 34 | 33780 | 36147 | 29794
[17:58:43] 3.150 | 46 | 33809 | 36188 | 29787
[17:58:43] 3.200 | 41 | 33800 | 36189 | 29806
[17:58:43] 3.250 | 58 | 33790 | 36153 | 29797
[17:58:44] 3.300 | 54 | 33754 | 36204 | 29805
[17:58:44] 3.350 | 34 | 33805 | 36132 | 29821
[17:58:44] 3.400 | 46 | 33790 | 36180 | 29828
[17:58:44] 3.450 | 37 | 33781 | 36183 | 29842
[17:58:44] 3.500 | 47 | 33866 | 36236 | 29872
[17:58:44] 3.550 | 46 | 33785 | 36219 | 29850
