timestamped_line
[17:56:59] ▶ Starting baseline phase for 2.5 seconds...
[17:56:59] t (s) | A | B | C | D
[17:56:59] 0.050 | 104 | 47927 | 46652 | 44856
[17:56:59] 0.100 | 109 | 47921 | 46646 | 44852
[17:56:59] 0.150 | 102 | 47914 | 46643 | 44846
[17:56:59] 0.200 | 101 | 47908 | 46653 | 44850
[17:56:59] 0.250 | 89 | 47917 | 46650 | 44843
[17:56:59] 0.300 | 102 | 47901 | 46658 | 44847
[17:56:59] 0.350 | 100 | 47918 | 46643 | 44854
[17:56:59] 0.400 | 96 | 47913 | 46648 | 44856
[17:56:59] 0.450 | 92 | 47916 | 46636 | 44852
[17:56:59] 0.500 | 80 | 47909 | 46635 | 44866
[17:56:59] 0.550 | 92 | 47920 | 46636 | 44866
[17:56:59] 0.600 | 86 | 47899 | 46656 | 44849
[17:57:00] 0.650 | 77 | 47912 | 46638 | 44859
[17:57:00] 0.700 | 100 | 47912 | 46649 | 44845
[17:57:00] 0.750 | 100 | 47916 | 46650 | 44861
[17:57:00] 0.800 | 91 | 47919 | 46649 | 44856
[17:57:00] 0.850 | 103 | 47911 | 46643 | 44842
[17:57:00] 0.900 | 92 | 47901 | 46654 | 44856
[17:57:00] 0.950 | 104 | 47909 | 46660 | 44853
[17:57:00] 1.000 | 108 | 47912 | 46656 | 44848
[17:57:00] 1.050 | 102 | 47905 | 46659 | 44853
[17:57:00] 1.100 | 109 | 47920 | 46653 | 44852
[17:57:00] 1.150 | 104 | 47910 | 46649 | 44847
[17:57:00] 1.200 | 103 | 47907 | 46653 | 44852
[17:57:00] 1.250 | 84 | 47913 | 46647 | 44861
[17:57:00] 1.300 | 98 | 47907 | 46652 | 44847
[17:57:00] 1.350 | 96 | 47920 | 46652 | 44842
[17:57:00] 1.400 | 95 | 47916 | 46644 | 44849
[17:57:00] 1.450 | 88 | 47930 | 46645 | 44852
[17:57:00] 1.500 | 94 | 47922 | 46642 | 44854
[17:57:00] 1.550 | 84 | 47913 | 46648 | 44846
[17:57:00] 1.600 | 95 | 47908 | 46655 | 44854
[17:57:01] 1.650 | 91 | 47907 | 46656 | 44850
[17:57:01] 1.700 | 87 | 47923 | 46662 | 44835
[17:57:01] 1.750 | 92 | 47915 | 46642 | 44851
[17:57:01] 1.800 | 96 | 47916 | 46653 | 44852
[17:57:01] 1.850 | 90 | 47922 | 46646 | 44850
[17:57:01] 1.900 | 79 | 47915 | 46650 | 44868
[17:57:01] 1.950 | 98 | 47917 | 46659 | 44857
[17:57:01] 2.000 | 99 | 47909 | 46651 | 44857
[17:57:01] 2.050 | 90 | 47909 | 46654 | 44863
[17:57:01] 2.100 | 98 | 47908 | 46656 | 44850
