timestamped_line
[18:47:50] ▶ Starting baseline phase for 2.5 seconds...
[18:47:50] t (s) | A | B | C | D
[18:47:50] 0.050 | 37 | 83 | 225 | 255
[18:47:50] 0.100 | 35 | 67 | 216 | 254
[18:47:50] 0.150 | 33 | 80 | 227 | 246
[18:47:50] 0.200 | 39 | 76 | 234 | 247
[18:47:50] 0.250 | 38 | 78 | 219 | 258
[18:47:50] 0.300 | 42 | 72 | 232 | 254
[18:47:50] 0.350 | 33 | 75 | 224 | 241
[18:47:51] 0.400 | 41 | 75 | 214 | 255
[18:47:51] 0.450 | 35 | 70 | 222 | 253
[18:47:51] 0.500 | 32 | 73 | 223 | 254
[18:47:51] 0.550 | 40 | 70 | 226 | 271
[18:47:51] 0.600 | 26 | 71 | 214 | 250
[18:47:51] 0.650 | 28 | 77 | 237 | 256
[18:47:51] 0.700 | 40 | 82 | 225 | 247
[18:47:51] 0.750 | 33 | 79 | 220 | 260
[18:47:51] 0.800 | 34 | 88 | 208 | 251
[18:47:51] 0.850 | 36 | 82 | 226 | 266
[18:47:51] 0.900 | 43 | 69 | 219 | 257
[18:47:51] 0.950 | 28 | 75 | 218 | 252
[18:47:51] 1.000 | 41 | 70 | 208 | 267
[18:47:51] 1.050 | 32 | 84 | 222 | 266
[18:47:51] 1.100 | 49 | 64 | 230 | 247
[18:47:51] 1.150 | 34 | 76 | 225 | 257
[18:47:51] 1.200 | 43 | 85 | 220 | 253
[18:47:51] 1.250 | 39 | 94 | 224 | 248
[18:47:51] 1.300 | 44 | 70 | 227 | 248
[18:47:51] 1.350 | 42 | 75 | 230 | 247
[18:47:52] 1.400 | 31 | 64 | 211 | 264
[18:47:52] 1.450 | 41 | 78 | 215 | 258
[18:47:52] 1.500 | 38 | 81 | 248 | 250
[18:47:52] 1.550 | 27 | 74 | 230 | 249
[18:47:52] 1.600 | 34 | 75 | 224 | 263
[18:47:52] 1.650 | 44 | 77 | 213 | 262
[18:47:52] 1.700 | 24 | 64 | 226 | 250
[18:47:52] 1.750 | 39 | 73 | 211 | 261
[18:47:52] 1.800 | 53 | 83 | 226 | 260
[18:47:52] 1.850 | 38 | 81 | 217 | 245
[18:47:52] 1.900 | 38 | 64 | 236 | 245
[18:47:52] 1.950 | 43 | 68 | 223 | 251
[18:47:52] 2.000 | 44 | 71 | 215 | 267
[18:47:52] 2.050 | 21 | 74 | 215 | 243
[18:47:52] 2.100 | 50 | 62 | 210 | 249
[18:47:52] 2.150 | 30 | 76 | 216 | 258
[18:47:52] 2.200 | 33 | 86 | 230 | 250
[18:47:52] 2.250 | 31 | 65 | 231 | 253
[18:47:52] 2.300 | 27 | 58 | 232 | 252
[18:47:52] 2.350 | 40 | 69 | 231 | 242
[18:47:53] 2.400 | 37 | 70 | 235 | 235
[18:47:53] 2.450 | 31 | 69 | 214 | 258
[18:47:53] 2.500 | 36 | 73 | 229 | 243
[18:47:53] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:47:53] 2.550 | 20 | 67 | 213 | 251
[18:47:53] 0.050 | 42 | 71 | 221 | 252
[18:47:53] 0.100 | 37 | 71 | 211 | 252
[18:47:53] 0.150 | 27 | 68 | 226 | 245
[18:47:53] 0.200 | 29 | 75 | 219 | 241
[18:47:53] 0.250 | 38 | 80 | 217 | 254
[18:47:53] 0.300 | 33 | 74 | 224 | 258
[18:47:53] 0.350 | 24 | 81 | 204 | 251
