timestamped_line
"[16:01:24] Ready. Type 's' to start logging, 'e' to stop."
[16:01:24] Sensor Info:
[16:01:24] Sensor ID: 50
[16:01:24] Sensor Name: FORCE PLATE 850
[16:01:24] Units: N
[16:01:24] ▶️ START LOGGING
"[16:01:24] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:01:24] 4.15, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:25] 4.42, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:25] 4.54, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:01:25] 4.65, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:25] 4.76, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:01:25] 4.97, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:25] 5.09, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:01:26] 6.01, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:26] 6.22, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:27] 6.33, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:27] 6.45, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:28] 7.27, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:28] 7.38, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:28] 7.59, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:28] 7.71, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:28] 7.82, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:28] 8.03, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:29] 8.35, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:01:29] 8.46, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:29] 8.67, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:29] 9.09, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:01:29] 9.20, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 868, FSR3: 1023"
