Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.25,19.644,1.011,1023,1023,1023
4.66,18.633,-1.011,1022,1023,1023
4.98,19.644,1.011,1023,1023,1023
5.19,18.633,-1.011,1022,1023,1023
5.40,19.644,1.011,1023,1023,1023
5.52,18.633,-1.011,1023,1023,1023
5.63,19.644,1.011,1023,1023,1023
5.74,18.633,-1.011,1023,1023,1023
6.16,19.644,1.011,1023,1023,1023
6.27,18.633,-1.011,1022,1023,1023
6.48,16.611,-2.021,1023,1023,1023
6.59,17.622,1.011,1023,1023,1023
6.71,16.611,-1.011,1023,1023,1023
6.82,17.622,1.011,1023,1023,1023
6.93,16.611,-1.011,1023,1022,1023
7.15,17.622,1.011,1023,1023,1023
7.36,18.633,1.011,1023,1023,1023
7.47,20.654,2.021,1023,1023,1023
7.58,19.644,-1.011,1023,1023,1023
7.90,16.611,-3.032,1023,1023,1022
8.21,17.622,1.011,1023,1023,1023
8.43,16.611,-1.011,1023,1023,1023
8.64,17.622,1.011,1023,1023,1023
8.85,16.611,-1.011,1023,1023,1023
8.97,15.601,-1.011,1023,1023,1023
9.08,16.611,1.011,1023,1023,1023
9.29,17.622,1.011,1023,1023,1023
9.40,16.611,-1.011,1023,1023,1023
9.72,17.622,1.011,1023,1023,1023
9.83,16.611,-1.011,1023,1023,1023
9.94,17.622,1.011,1023,1023,1023
10.06,16.611,-1.011,1022,1023,1023
10.27,17.622,1.011,1023,1023,1023
10.38,16.611,-1.011,1022,1023,1023
10.50,17.622,1.011,1023,1023,1023
10.61,16.611,-1.011,1023,1023,1023
10.93,17.622,1.011,1023,1023,1023
11.24,16.611,-1.011,1023,1022,1023
11.36,17.622,1.011,1023,1023,1023
11.47,18.633,1.011,1022,1023,1023
11.58,16.611,-2.021,1023,1023,1023
11.90,17.622,1.011,1023,1023,1023
12.21,16.611,-1.011,1023,1023,1023
12.33,17.622,1.011,1023,1023,1023
12.54,16.611,-1.011,1023,1023,1023
13.06,17.622,1.011,1023,1023,1023
13.17,16.611,-1.011,1023,1023,1023
13.49,17.622,1.011,1023,1023,1023
13.70,16.611,-1.011,1023,1023,1023
13.92,17.622,1.011,1023,1023,1023
14.03,16.611,-1.011,1023,1023,1023
14.25,18.633,2.021,1023,1023,1023
14.36,17.622,-1.011,1022,1023,1023
14.47,18.633,1.011,1023,1022,1023
14.59,19.644,1.011,1023,1022,1023
14.80,21.665,2.021,896,1023,1023
14.91,20.654,-1.011,857,1023,1023
15.02,22.676,2.021,832,1023,1023
15.14,24.697,2.021,818,1023,1023
15.25,25.708,1.011,818,1023,1023
15.36,26.719,1.011,814,1023,1023
15.68,27.729,1.011,773,1023,1023
15.79,28.740,1.011,743,1023,1023
15.90,29.751,1.011,728,1022,1023
16.01,30.762,1.011,708,1022,1023
16.22,32.783,2.021,685,1023,1023
16.44,33.794,1.011,646,1023,1023
16.55,34.805,1.011,627,1023,1023
16.76,35.815,1.011,609,1023,1023
16.87,34.805,-1.011,598,1023,1023
16.99,35.815,1.011,579,1023,1023
17.10,36.826,1.011,566,1023,1023
17.21,37.837,1.011,546,1023,1023
17.32,36.826,-1.011,543,1023,1023
17.74,37.837,1.011,523,1023,1023
18.05,38.848,1.011,513,1023,1023
18.37,39.858,1.011,508,1022,1023
18.48,38.848,-1.011,507,1023,1023
18.59,37.837,-1.011,507,1023,1023
18.70,38.848,1.011,504,1023,1023
18.82,39.858,1.011,503,1023,1023
18.93,38.848,-1.011,503,1023,1023
19.04,39.858,1.011,503,1023,1023
19.66,40.869,1.011,486,1023,1023
19.77,39.858,-1.011,484,1023,1023
19.88,40.869,1.011,486,1023,1023
20.00,39.858,-1.011,488,1023,1023
20.21,40.869,1.011,488,1023,1023
20.32,38.848,-2.021,493,1023,1023
20.54,39.858,1.011,488,1023,1023
20.85,40.869,1.011,489,1023,1023
21.06,38.848,-2.021,500,1023,1023
21.18,37.837,-1.011,507,1023,1023
21.29,35.815,-2.021,541,1023,1023
21.40,33.794,-2.021,599,1023,1023
21.51,31.772,-2.021,692,1023,1023
21.63,27.729,-4.043,740,1023,1023
21.74,26.719,-1.011,787,1023,1023
21.85,24.697,-2.021,814,1023,1023
22.07,23.687,-1.011,846,1023,1023
22.18,21.665,-2.021,872,1023,1023
22.39,20.654,-1.011,879,1023,1023
22.51,18.633,-2.021,917,1023,1023
22.62,19.644,1.011,935,1023,1023
22.73,18.633,-1.011,1023,1023,1023
23.15,17.622,-1.011,1023,1023,1023
23.26,18.633,1.011,1023,1023,1023
23.38,16.611,-2.021,1023,1023,1023
23.49,18.633,2.021,1023,1023,1023
23.60,17.622,-1.011,1023,1023,1023
23.82,18.633,1.011,1023,1023,1023
23.93,16.611,-2.021,1023,1023,1023
24.15,17.622,1.011,1022,1023,1023
24.67,18.633,1.011,1023,1023,1023
24.88,17.622,-1.011,1022,1023,1023
25.19,18.633,1.011,1023,1023,1023
25.51,19.644,1.011,923,1022,1023
25.62,21.665,2.021,904,1023,1023
25.94,22.676,1.011,850,1023,1023
26.05,24.697,2.021,835,1023,1023
26.16,25.708,1.011,810,1023,1023
26.27,27.729,2.021,778,1023,1023
26.38,28.740,1.011,751,1022,1023
26.50,30.762,2.021,727,1022,1023
26.61,32.783,2.021,712,1023,1023
26.82,33.794,1.011,669,1022,1023
27.03,34.805,1.011,642,1023,1023
27.25,33.794,-1.011,630,1023,1023
27.36,34.805,1.011,616,1023,1023
27.47,35.815,1.011,603,1023,1023
27.58,34.805,-1.011,598,1023,1023
27.70,35.815,1.011,590,1023,1023
27.81,36.826,1.011,579,1023,1023
27.92,37.837,1.011,576,1023,1023
28.03,35.815,-2.021,573,1023,1023
28.14,36.826,1.011,571,1023,1023
28.46,37.837,1.011,559,1023,1023
28.67,38.848,1.011,539,1023,1023
28.88,39.858,1.011,520,1023,1023
29.00,38.848,-1.011,515,1023,1023
29.11,39.858,1.011,513,1023,1023
29.42,38.848,-1.011,509,1023,1023
29.54,39.858,1.011,509,1023,1023
29.75,41.880,2.021,492,1023,1023
29.86,40.869,-1.011,487,1023,1023
29.97,41.880,1.011,493,1023,1023
30.09,36.826,-5.054,558,1023,1023
30.20,32.783,-4.043,626,1023,1023
30.31,30.762,-2.021,703,1023,1022
30.42,29.751,-1.011,733,1023,1023
30.54,26.719,-3.032,788,1023,1023
30.65,25.708,-1.011,815,1023,1023
30.76,23.687,-2.021,833,1023,1023
30.88,22.676,-1.011,848,1022,1023
30.99,20.654,-2.021,856,1023,1023
31.41,19.644,-1.011,924,1023,1023
31.52,18.633,-1.011,1023,1023,1023
31.63,19.644,1.011,1023,1023,1023
31.75,18.633,-1.011,1023,1023,1023
31.86,17.622,-1.011,1023,1023,1023
31.97,18.633,1.011,1023,1022,1023
32.29,17.622,-1.011,1023,1023,1023
32.40,18.633,1.011,1022,1023,1023
33.02,19.644,1.011,1023,1023,1023
33.24,18.633,-1.011,944,1023,1023
33.35,19.644,1.011,1023,1023,1023
33.46,20.654,1.011,922,1023,1023
33.57,19.644,-1.011,874,1023,1023
33.69,20.654,1.011,873,1023,1023
33.80,22.676,2.021,847,1023,1023
33.91,23.687,1.011,833,1023,1023
34.12,24.697,1.011,820,1023,1023
34.24,26.719,2.021,806,1023,1023
34.35,27.729,1.011,798,1023,1023
34.46,28.740,1.011,747,1023,1023
34.57,30.762,2.021,726,1023,1023
34.68,33.794,3.032,682,1023,1023
34.79,35.815,2.021,624,1023,1023
35.01,36.826,1.011,568,1023,1023
35.12,39.858,3.032,532,1023,1023
35.23,38.848,-1.011,521,1023,1023
35.34,39.858,1.011,517,1023,1023
35.56,40.869,1.011,513,1023,1023
35.77,38.848,-2.021,512,1023,1023
36.09,39.858,1.011,510,1023,1023
36.40,40.869,1.011,496,1023,1023
36.61,41.880,1.011,490,1023,1023
36.72,40.869,-1.011,490,1023,1023
36.94,41.880,1.011,484,1023,1023
37.05,42.891,1.011,477,1023,1023
37.16,40.869,-2.021,484,1023,1023
37.38,37.837,-3.032,558,1023,1023
37.49,32.783,-5.054,657,1023,1023
37.60,30.762,-2.021,720,1023,1023
