timestamped_line
"[15:59:31] Ready. Type 's' to start logging, 'e' to stop."
[15:59:31] Sensor Info:
[15:59:31] Sensor ID: 50
[15:59:31] Sensor Name: FORCE PLATE 850
[15:59:31] Units: N
[15:59:31] ▶️ START LOGGING
"[15:59:31] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:59:31] 4.25, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:31] 4.66, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:32] 4.98, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:32] 5.19, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:32] 5.40, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:32] 5.52, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:32] 5.63, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:33] 5.74, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:33] 6.16, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:33] 6.27, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:33] 6.48, Force(N): 16.611, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:33] 6.59, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:33] 6.71, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:34] 6.82, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:34] 6.93, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:59:34] 7.15, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:34] 7.36, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:34] 7.47, Force(N): 20.654, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:34] 7.58, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:35] 7.90, Force(N): 16.611, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:59:35] 8.21, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:35] 8.43, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:35] 8.64, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:36] 8.85, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:36] 8.97, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:36] 9.08, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:36] 9.29, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:36] 9.40, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:37] 9.72, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:37] 9.83, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:37] 9.94, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:37] 10.06, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:37] 10.27, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:37] 10.38, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:37] 10.50, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:37] 10.61, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:38] 10.93, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:38] 11.24, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:59:38] 11.36, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:38] 11.47, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:38] 11.58, Force(N): 16.611, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:39] 11.90, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:39] 12.21, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:39] 12.33, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:39] 12.54, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:40] 13.06, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:40] 13.17, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:40] 13.49, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:40] 13.70, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:41] 13.92, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:41] 14.03, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:41] 14.25, Force(N): 18.633, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:41] 14.36, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:41] 14.47, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:59:41] 14.59, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:59:42] 14.80, Force(N): 21.665, ΔF(N): 2.021, FSR1: 896, FSR2: 1023, FSR3: 1023"
"[15:59:42] 14.91, Force(N): 20.654, ΔF(N): -1.011, FSR1: 857, FSR2: 1023, FSR3: 1023"
"[15:59:42] 15.02, Force(N): 22.676, ΔF(N): 2.021, FSR1: 832, FSR2: 1023, FSR3: 1023"
"[15:59:42] 15.14, Force(N): 24.697, ΔF(N): 2.021, FSR1: 818, FSR2: 1023, FSR3: 1023"
"[15:59:42] 15.25, Force(N): 25.708, ΔF(N): 1.011, FSR1: 818, FSR2: 1023, FSR3: 1023"
"[15:59:42] 15.36, Force(N): 26.719, ΔF(N): 1.011, FSR1: 814, FSR2: 1023, FSR3: 1023"
"[15:59:42] 15.68, Force(N): 27.729, ΔF(N): 1.011, FSR1: 773, FSR2: 1023, FSR3: 1023"
"[15:59:43] 15.79, Force(N): 28.740, ΔF(N): 1.011, FSR1: 743, FSR2: 1023, FSR3: 1023"
"[15:59:43] 15.90, Force(N): 29.751, ΔF(N): 1.011, FSR1: 728, FSR2: 1022, FSR3: 1023"
"[15:59:43] 16.01, Force(N): 30.762, ΔF(N): 1.011, FSR1: 708, FSR2: 1022, FSR3: 1023"
"[15:59:43] 16.22, Force(N): 32.783, ΔF(N): 2.021, FSR1: 685, FSR2: 1023, FSR3: 1023"
"[15:59:43] 16.44, Force(N): 33.794, ΔF(N): 1.011, FSR1: 646, FSR2: 1023, FSR3: 1023"
"[15:59:43] 16.55, Force(N): 34.805, ΔF(N): 1.011, FSR1: 627, FSR2: 1023, FSR3: 1023"
"[15:59:44] 16.76, Force(N): 35.815, ΔF(N): 1.011, FSR1: 609, FSR2: 1023, FSR3: 1023"
"[15:59:44] 16.87, Force(N): 34.805, ΔF(N): -1.011, FSR1: 598, FSR2: 1023, FSR3: 1023"
"[15:59:44] 16.99, Force(N): 35.815, ΔF(N): 1.011, FSR1: 579, FSR2: 1023, FSR3: 1023"
"[15:59:44] 17.10, Force(N): 36.826, ΔF(N): 1.011, FSR1: 566, FSR2: 1023, FSR3: 1023"
"[15:59:44] 17.21, Force(N): 37.837, ΔF(N): 1.011, FSR1: 546, FSR2: 1023, FSR3: 1023"
"[15:59:44] 17.32, Force(N): 36.826, ΔF(N): -1.011, FSR1: 543, FSR2: 1023, FSR3: 1023"
"[15:59:45] 17.74, Force(N): 37.837, ΔF(N): 1.011, FSR1: 523, FSR2: 1023, FSR3: 1023"
"[15:59:45] 18.05, Force(N): 38.848, ΔF(N): 1.011, FSR1: 513, FSR2: 1023, FSR3: 1023"
"[15:59:45] 18.37, Force(N): 39.858, ΔF(N): 1.011, FSR1: 508, FSR2: 1022, FSR3: 1023"
"[15:59:45] 18.48, Force(N): 38.848, ΔF(N): -1.011, FSR1: 507, FSR2: 1023, FSR3: 1023"
"[15:59:45] 18.59, Force(N): 37.837, ΔF(N): -1.011, FSR1: 507, FSR2: 1023, FSR3: 1023"
"[15:59:45] 18.70, Force(N): 38.848, ΔF(N): 1.011, FSR1: 504, FSR2: 1023, FSR3: 1023"
"[15:59:46] 18.82, Force(N): 39.858, ΔF(N): 1.011, FSR1: 503, FSR2: 1023, FSR3: 1023"
"[15:59:46] 18.93, Force(N): 38.848, ΔF(N): -1.011, FSR1: 503, FSR2: 1023, FSR3: 1023"
"[15:59:46] 19.04, Force(N): 39.858, ΔF(N): 1.011, FSR1: 503, FSR2: 1023, FSR3: 1023"
"[15:59:46] 19.66, Force(N): 40.869, ΔF(N): 1.011, FSR1: 486, FSR2: 1023, FSR3: 1023"
"[15:59:47] 19.77, Force(N): 39.858, ΔF(N): -1.011, FSR1: 484, FSR2: 1023, FSR3: 1023"
"[15:59:47] 19.88, Force(N): 40.869, ΔF(N): 1.011, FSR1: 486, FSR2: 1023, FSR3: 1023"
"[15:59:47] 20.00, Force(N): 39.858, ΔF(N): -1.011, FSR1: 488, FSR2: 1023, FSR3: 1023"
"[15:59:47] 20.21, Force(N): 40.869, ΔF(N): 1.011, FSR1: 488, FSR2: 1023, FSR3: 1023"
"[15:59:47] 20.32, Force(N): 38.848, ΔF(N): -2.021, FSR1: 493, FSR2: 1023, FSR3: 1023"
"[15:59:47] 20.54, Force(N): 39.858, ΔF(N): 1.011, FSR1: 488, FSR2: 1023, FSR3: 1023"
"[15:59:48] 20.85, Force(N): 40.869, ΔF(N): 1.011, FSR1: 489, FSR2: 1023, FSR3: 1023"
"[15:59:48] 21.06, Force(N): 38.848, ΔF(N): -2.021, FSR1: 500, FSR2: 1023, FSR3: 1023"
"[15:59:48] 21.18, Force(N): 37.837, ΔF(N): -1.011, FSR1: 507, FSR2: 1023, FSR3: 1023"
"[15:59:48] 21.29, Force(N): 35.815, ΔF(N): -2.021, FSR1: 541, FSR2: 1023, FSR3: 1023"
"[15:59:48] 21.40, Force(N): 33.794, ΔF(N): -2.021, FSR1: 599, FSR2: 1023, FSR3: 1023"
"[15:59:48] 21.51, Force(N): 31.772, ΔF(N): -2.021, FSR1: 692, FSR2: 1023, FSR3: 1023"
"[15:59:48] 21.63, Force(N): 27.729, ΔF(N): -4.043, FSR1: 740, FSR2: 1023, FSR3: 1023"
"[15:59:49] 21.74, Force(N): 26.719, ΔF(N): -1.011, FSR1: 787, FSR2: 1023, FSR3: 1023"
"[15:59:49] 21.85, Force(N): 24.697, ΔF(N): -2.021, FSR1: 814, FSR2: 1023, FSR3: 1023"
"[15:59:49] 22.07, Force(N): 23.687, ΔF(N): -1.011, FSR1: 846, FSR2: 1023, FSR3: 1023"
"[15:59:49] 22.18, Force(N): 21.665, ΔF(N): -2.021, FSR1: 872, FSR2: 1023, FSR3: 1023"
"[15:59:49] 22.39, Force(N): 20.654, ΔF(N): -1.011, FSR1: 879, FSR2: 1023, FSR3: 1023"
"[15:59:49] 22.51, Force(N): 18.633, ΔF(N): -2.021, FSR1: 917, FSR2: 1023, FSR3: 1023"
"[15:59:49] 22.62, Force(N): 19.644, ΔF(N): 1.011, FSR1: 935, FSR2: 1023, FSR3: 1023"
"[15:59:50] 22.73, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:50] 23.15, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:50] 23.26, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:50] 23.38, Force(N): 16.611, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:50] 23.49, Force(N): 18.633, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:50] 23.60, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:51] 23.82, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:51] 23.93, Force(N): 16.611, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:51] 24.15, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:51] 24.67, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:52] 24.88, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:59:52] 25.19, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:59:52] 25.51, Force(N): 19.644, ΔF(N): 1.011, FSR1: 923, FSR2: 1022, FSR3: 1023"
"[15:59:52] 25.62, Force(N): 21.665, ΔF(N): 2.021, FSR1: 904, FSR2: 1023, FSR3: 1023"
"[15:59:53] 25.94, Force(N): 22.676, ΔF(N): 1.011, FSR1: 850, FSR2: 1023, FSR3: 1023"
"[15:59:53] 26.05, Force(N): 24.697, ΔF(N): 2.021, FSR1: 835, FSR2: 1023, FSR3: 1023"
"[15:59:53] 26.16, Force(N): 25.708, ΔF(N): 1.011, FSR1: 810, FSR2: 1023, FSR3: 1023"
"[15:59:53] 26.27, Force(N): 27.729, ΔF(N): 2.021, FSR1: 778, FSR2: 1023, FSR3: 1023"
"[15:59:53] 26.38, Force(N): 28.740, ΔF(N): 1.011, FSR1: 751, FSR2: 1022, FSR3: 1023"
"[15:59:53] 26.50, Force(N): 30.762, ΔF(N): 2.021, FSR1: 727, FSR2: 1022, FSR3: 1023"
"[15:59:53] 26.61, Force(N): 32.783, ΔF(N): 2.021, FSR1: 712, FSR2: 1023, FSR3: 1023"
"[15:59:54] 26.82, Force(N): 33.794, ΔF(N): 1.011, FSR1: 669, FSR2: 1022, FSR3: 1023"
"[15:59:54] 27.03, Force(N): 34.805, ΔF(N): 1.011, FSR1: 642, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.25, Force(N): 33.794, ΔF(N): -1.011, FSR1: 630, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.36, Force(N): 34.805, ΔF(N): 1.011, FSR1: 616, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.47, Force(N): 35.815, ΔF(N): 1.011, FSR1: 603, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.58, Force(N): 34.805, ΔF(N): -1.011, FSR1: 598, FSR2: 1023, FSR3: 1023"
"[15:59:54] 27.70, Force(N): 35.815, ΔF(N): 1.011, FSR1: 590, FSR2: 1023, FSR3: 1023"
"[15:59:55] 27.81, Force(N): 36.826, ΔF(N): 1.011, FSR1: 579, FSR2: 1023, FSR3: 1023"
"[15:59:55] 27.92, Force(N): 37.837, ΔF(N): 1.011, FSR1: 576, FSR2: 1023, FSR3: 1023"
"[15:59:55] 28.03, Force(N): 35.815, ΔF(N): -2.021, FSR1: 573, FSR2: 1023, FSR3: 1023"
"[15:59:55] 28.14, Force(N): 36.826, ΔF(N): 1.011, FSR1: 571, FSR2: 1023, FSR3: 1023"
"[15:59:55] 28.46, Force(N): 37.837, ΔF(N): 1.011, FSR1: 559, FSR2: 1023, FSR3: 1023"
"[15:59:55] 28.67, Force(N): 38.848, ΔF(N): 1.011, FSR1: 539, FSR2: 1023, FSR3: 1023"
"[15:59:56] 28.88, Force(N): 39.858, ΔF(N): 1.011, FSR1: 520, FSR2: 1023, FSR3: 1023"
"[15:59:56] 29.00, Force(N): 38.848, ΔF(N): -1.011, FSR1: 515, FSR2: 1023, FSR3: 1023"
"[15:59:56] 29.11, Force(N): 39.858, ΔF(N): 1.011, FSR1: 513, FSR2: 1023, FSR3: 1023"
"[15:59:56] 29.42, Force(N): 38.848, ΔF(N): -1.011, FSR1: 509, FSR2: 1023, FSR3: 1023"
"[15:59:56] 29.54, Force(N): 39.858, ΔF(N): 1.011, FSR1: 509, FSR2: 1023, FSR3: 1023"
"[15:59:57] 29.75, Force(N): 41.880, ΔF(N): 2.021, FSR1: 492, FSR2: 1023, FSR3: 1023"
"[15:59:57] 29.86, Force(N): 40.869, ΔF(N): -1.011, FSR1: 487, FSR2: 1023, FSR3: 1023"
"[15:59:57] 29.97, Force(N): 41.880, ΔF(N): 1.011, FSR1: 493, FSR2: 1023, FSR3: 1023"
