Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.25,21.665,-1.011,1023,1023,1023
4.46,22.676,1.011,1023,1023,1023
4.57,21.665,-1.011,1023,1023,1023
4.68,22.676,1.011,1023,1023,1023
4.80,21.665,-1.011,1023,1023,1023
4.91,20.654,-1.011,1023,1023,1022
5.02,21.665,1.011,1023,1023,1023
5.34,22.676,1.011,1022,1023,1023
5.45,21.665,-1.011,1023,1023,1023
5.66,20.654,-1.011,1023,1023,1023
5.78,22.676,2.021,1022,1023,1023
6.09,20.654,-2.021,1023,1023,1023
6.30,21.665,1.011,1022,1023,1023
6.82,22.676,1.011,1023,1023,1023
6.93,21.665,-1.011,1023,1023,1023
7.05,20.654,-1.011,1023,1023,1023
7.16,21.665,1.011,1023,1023,1022
7.67,20.654,-1.011,1022,1023,1023
7.79,21.665,1.011,1023,1023,1023
8.20,20.654,-1.011,1023,1023,1023
8.42,21.665,1.011,1023,1023,1023
8.53,20.654,-1.011,1023,1023,1022
8.94,21.665,1.011,1023,1023,1023
9.06,20.654,-1.011,1023,1023,1023
9.68,21.665,1.011,1023,1023,1023
9.99,20.654,-1.011,1022,1023,1023
10.31,21.665,1.011,1023,1023,1023
10.42,20.654,-1.011,1023,1023,1022
10.53,22.676,2.021,1023,1023,1023
10.85,21.665,-1.011,1023,1023,1023
11.16,22.676,1.011,1023,1023,1022
11.68,23.687,1.011,1023,1023,857
12.00,25.708,2.021,1023,1023,799
12.11,26.719,1.011,1023,1023,796
12.42,27.729,1.011,1023,1023,791
12.53,29.751,2.021,1023,1023,785
12.65,28.740,-1.011,1023,1023,769
12.76,29.751,1.011,1023,1023,765
12.97,30.762,1.011,1023,1023,762
13.08,31.772,1.011,1023,1022,746
13.19,32.783,1.011,1023,1023,743
13.31,31.772,-1.011,1022,1023,733
13.62,32.783,1.011,1023,1023,725
13.73,33.794,1.011,1023,1023,723
13.85,32.783,-1.011,1023,1023,735
14.16,33.794,1.011,1023,1023,747
14.37,39.858,6.064,1022,1023,736
14.49,37.837,-2.021,1023,1023,736
14.60,35.815,-2.021,1023,1023,711
14.71,36.826,1.011,1023,1023,716
15.03,37.837,1.011,1022,1023,711
15.14,36.826,-1.011,1023,1023,716
15.25,37.837,1.011,1023,1023,708
15.36,36.826,-1.011,1023,1023,704
15.48,37.837,1.011,1023,1022,705
15.69,36.826,-1.011,1022,1023,699
16.00,37.837,1.011,1023,1023,693
16.12,38.848,1.011,1023,1022,689
16.23,39.858,1.011,1022,1023,695
16.34,38.848,-1.011,1023,1023,689
16.45,39.858,1.011,1023,1023,689
16.56,38.848,-1.011,1023,1023,693
16.68,40.869,2.021,1022,1023,691
16.79,39.858,-1.011,1023,1023,692
16.90,40.869,1.011,1023,1023,699
17.01,41.880,1.011,1023,1023,696
17.43,40.869,-1.011,1023,1023,671
17.64,41.880,1.011,1023,1023,640
17.86,40.869,-1.011,1023,1023,635
17.97,41.880,1.011,1022,1023,633
18.08,40.869,-1.011,1023,1022,644
18.19,41.880,1.011,1022,1023,637
18.31,39.858,-2.021,1022,1023,651
18.42,40.869,1.011,1023,1023,657
18.63,41.880,1.011,1023,1023,647
18.74,39.858,-2.021,1023,1023,645
18.86,38.848,-1.011,1022,1023,675
18.97,36.826,-2.021,1023,1023,679
19.18,35.815,-1.011,1023,1023,682
19.30,33.794,-2.021,1023,1023,687
19.41,32.783,-1.011,1023,1023,702
19.62,31.772,-1.011,1022,1023,726
19.84,30.762,-1.011,1023,1022,736
19.95,29.751,-1.011,1023,1022,735
20.06,28.740,-1.011,1023,1023,739
20.28,26.719,-2.021,1023,1023,746
20.39,28.740,2.021,1022,1023,744
20.50,26.719,-2.021,1023,1023,740
20.82,25.708,-1.011,1022,1023,748
21.03,24.697,-1.011,1023,1023,767
