timestamped_line
"[15:46:05] Ready. Type 's' to start logging, 'e' to stop."
[15:46:05] Sensor Info:
[15:46:05] Sensor ID: 50
[15:46:05] Sensor Name: FORCE PLATE 850
[15:46:05] Units: N
[15:46:05] ▶️ START LOGGING
"[15:46:05] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:46:05] 4.15, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:46:06] 4.63, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:46:06] 4.74, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:46:06] 4.95, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:46:06] 5.17, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:46:06] 5.28, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[15:46:06] 5.39, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:46:07] 5.70, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:46:07] 5.92, Force(N): 20.654, ΔF(N): 2.021, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[15:46:07] 6.03, Force(N): 18.633, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:46:07] 6.24, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:46:08] 7.06, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:46:08] 7.18, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:46:08] 7.29, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 941"
"[15:46:08] 7.50, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 840"
"[15:46:09] 7.71, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 809"
"[15:46:09] 7.92, Force(N): 24.697, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 788"
"[15:46:09] 8.04, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 774"
"[15:46:09] 8.15, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 753"
"[15:46:09] 8.26, Force(N): 26.719, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 735"
"[15:46:09] 8.37, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 715"
"[15:46:09] 8.48, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 662"
"[15:46:10] 8.59, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 615"
"[15:46:10] 8.70, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 573"
"[15:46:10] 8.81, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 514"
"[15:46:10] 8.93, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 492"
"[15:46:10] 9.34, Force(N): 30.762, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 473"
"[15:46:11] 9.65, Force(N): 29.751, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 456"
"[15:46:11] 9.87, Force(N): 31.772, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 448"
"[15:46:11] 9.98, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 442"
"[15:46:11] 10.29, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 430"
"[15:46:11] 10.40, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 427"
"[15:46:11] 10.51, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 424"
"[15:46:12] 10.73, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 418"
"[15:46:12] 11.04, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 409"
"[15:46:12] 11.15, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 406"
"[15:46:12] 11.47, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 402"
"[15:46:13] 11.58, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 400"
"[15:46:13] 11.69, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 399"
"[15:46:13] 11.81, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 398"
"[15:46:13] 12.12, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 394"
"[15:46:13] 12.23, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 393"
"[15:46:13] 12.35, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 392"
"[15:46:13] 12.46, Force(N): 35.815, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 390"
"[15:46:14] 12.57, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 389"
"[15:46:14] 12.78, Force(N): 34.805, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 388"
"[15:46:14] 12.90, Force(N): 36.826, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 387"
"[15:46:14] 13.01, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 387"
"[15:46:14] 13.12, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 386"
"[15:46:14] 13.23, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 386"
"[15:46:14] 13.45, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 384"
"[15:46:15] 13.66, Force(N): 37.837, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 383"
"[15:46:15] 13.77, Force(N): 39.858, ΔF(N): 2.021, FSR1: 1022, FSR2: 1022, FSR3: 383"
"[15:46:15] 13.88, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 382"
"[15:46:15] 14.00, Force(N): 37.837, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 382"
"[15:46:15] 14.11, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 382"
"[15:46:15] 14.22, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 381"
"[15:46:16] 14.53, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 381"
"[15:46:16] 14.65, Force(N): 37.837, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 380"
"[15:46:16] 14.76, Force(N): 39.858, ΔF(N): 2.021, FSR1: 1022, FSR2: 1022, FSR3: 380"
"[15:46:16] 14.97, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 380"
"[15:46:16] 15.09, Force(N): 38.848, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 379"
"[15:46:16] 15.20, Force(N): 40.869, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 379"
"[15:46:16] 15.51, Force(N): 39.858, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 379"
"[15:46:17] 15.63, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 379"
"[15:46:17] 15.84, Force(N): 38.848, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 378"
"[15:46:17] 15.95, Force(N): 36.826, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 379"
"[15:46:17] 16.06, Force(N): 34.805, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 378"
"[15:46:17] 16.18, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 378"
"[15:46:17] 16.39, Force(N): 34.805, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 378"
"[15:46:17] 16.50, Force(N): 36.826, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 378"
"[15:46:18] 16.72, Force(N): 34.805, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 378"
"[15:46:18] 16.83, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 378"
"[15:46:18] 16.94, Force(N): 31.772, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 378"
"[15:46:18] 17.05, Force(N): 29.751, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 379"
"[15:46:18] 17.17, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 380"
"[15:46:18] 17.38, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 391"
"[15:46:18] 17.50, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 399"
"[15:46:19] 17.61, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 406"
"[15:46:19] 17.72, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 429"
"[15:46:19] 17.83, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 457"
"[15:46:19] 17.95, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 477"
"[15:46:19] 18.06, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 542"
"[15:46:19] 18.17, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 575"
"[15:46:19] 18.28, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 590"
"[15:46:19] 18.40, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 601"
"[15:46:19] 18.51, Force(N): 22.676, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 608"
"[15:46:20] 18.62, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 613"
"[15:46:20] 18.73, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 618"
"[15:46:20] 19.05, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 627"
"[15:46:20] 19.36, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 640"
"[15:46:20] 19.48, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 645"
"[15:46:21] 19.79, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 659"
"[15:46:21] 20.00, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 665"
"[15:46:21] 20.22, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 669"
"[15:46:22] 20.63, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 684"
"[15:46:22] 20.75, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 689"
"[15:46:22] 21.26, Force(N): 22.676, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 623"
"[15:46:22] 21.38, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 612"
"[15:46:22] 21.49, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 604"
"[15:46:23] 21.60, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 595"
"[15:46:23] 21.71, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 594"
"[15:46:23] 21.83, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 589"
"[15:46:23] 21.94, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 585"
"[15:46:23] 22.15, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 477"
"[15:46:23] 22.46, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 384"
"[15:46:24] 22.58, Force(N): 28.740, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 371"
"[15:46:24] 22.69, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 366"
"[15:46:24] 22.90, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 363"
"[15:46:24] 23.11, Force(N): 30.762, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 360"
"[15:46:24] 23.43, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 359"
"[15:46:25] 23.64, Force(N): 33.794, ΔF(N): 2.021, FSR1: 1023, FSR2: 1022, FSR3: 359"
"[15:46:25] 23.86, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 359"
"[15:46:25] 24.07, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 359"
"[15:46:25] 24.18, Force(N): 35.815, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 359"
"[15:46:25] 24.29, Force(N): 34.805, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 359"
"[15:46:25] 24.51, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 359"
"[15:46:26] 24.62, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 359"
"[15:46:26] 24.73, Force(N): 35.815, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 359"
"[15:46:26] 24.84, Force(N): 37.837, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 358"
"[15:46:26] 25.16, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 357"
"[15:46:26] 25.27, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 357"
"[15:46:27] 25.69, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 357"
"[15:46:27] 25.80, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 357"
