Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.15,19.644,-1.011,1023,1022,1023
4.42,20.654,1.011,1023,1023,1023
4.54,19.644,-1.011,1023,1023,1023
4.75,20.654,1.011,1023,1022,1023
4.96,19.644,-1.011,1023,1023,1022
5.07,20.654,1.011,1023,1023,1023
5.19,19.644,-1.011,1023,1023,1023
5.81,20.654,1.011,1022,1023,1023
5.92,19.644,-1.011,1023,1023,1023
6.64,20.654,1.011,1022,1023,1023
6.75,19.644,-1.011,1023,1023,1023
6.96,20.654,1.011,1022,1023,1023
7.18,19.644,-1.011,1023,1023,1023
7.29,20.654,1.011,1023,1023,1023
7.40,19.644,-1.011,1023,1022,1023
7.72,20.654,1.011,1023,1023,1023
7.83,19.644,-1.011,1023,1022,1023
8.14,20.654,1.011,1023,1023,1023
8.46,19.644,-1.011,1023,1023,1023
8.67,20.654,1.011,1023,1023,1023
8.78,19.644,-1.011,1022,1023,1022
9.10,20.654,1.011,1022,1023,1023
9.31,21.665,1.011,1023,1023,1022
9.42,22.676,1.011,1023,1023,860
9.74,23.687,1.011,1023,1023,817
10.05,25.708,2.021,1022,1023,783
10.57,26.719,1.011,1023,1023,763
10.88,28.740,2.021,1023,1023,752
10.99,27.729,-1.011,1023,1023,754
11.21,28.740,1.011,1023,1023,718
11.32,29.751,1.011,1023,1023,708
11.43,28.740,-1.011,1023,1023,687
11.54,29.751,1.011,1023,1023,678
11.76,30.762,1.011,1023,1023,674
11.87,31.772,1.011,1022,1023,679
12.18,30.762,-1.011,1023,1023,659
12.30,31.772,1.011,1023,1023,655
12.51,32.783,1.011,1022,1023,651
12.62,33.794,1.011,1022,1023,647
12.83,34.805,1.011,1023,1023,634
12.95,33.794,-1.011,1023,1023,630
13.36,34.805,1.011,1022,1023,623
13.47,33.794,-1.011,1023,1023,622
13.59,35.815,2.021,1023,1023,618
13.70,34.805,-1.011,1023,1023,617
14.11,35.815,1.011,1022,1023,605
14.63,34.805,-1.011,1022,1023,602
14.75,35.815,1.011,1023,1023,600
14.86,36.826,1.011,1023,1023,599
15.17,37.837,1.011,1023,1023,594
15.28,36.826,-1.011,1023,1022,595
15.50,37.837,1.011,1023,1023,593
16.22,38.848,1.011,1023,1023,590
16.33,37.837,-1.011,1023,1023,590
16.44,38.848,1.011,1023,1023,591
16.55,39.858,1.011,1023,1022,585
16.97,38.848,-1.011,1022,1023,582
17.08,39.858,1.011,1023,1023,583
17.29,38.848,-1.011,1023,1023,582
17.41,40.869,2.021,1023,1023,583
17.52,39.858,-1.011,1023,1023,582
17.63,41.880,2.021,1023,1023,582
17.74,40.869,-1.011,1023,1023,582
18.57,41.880,1.011,1023,1023,581
19.08,42.891,1.011,1022,1023,579
19.19,41.880,-1.011,1023,1023,578
19.41,42.891,1.011,1023,1023,576
19.52,41.880,-1.011,1023,1023,576
19.63,42.891,1.011,1023,1023,572
19.95,41.880,-1.011,1022,1023,574
20.06,35.815,-6.064,1023,1023,593
20.17,31.772,-4.043,1023,1022,630
20.29,28.740,-3.032,1022,1023,645
20.40,27.729,-1.011,1023,1023,668
20.51,26.719,-1.011,1023,1023,695
20.62,25.708,-1.011,1023,1023,702
20.74,24.697,-1.011,1023,1023,698
20.85,23.687,-1.011,1023,1023,725
21.06,22.676,-1.011,1022,1023,777
21.28,21.665,-1.011,1023,1023,813
21.49,20.654,-1.011,1023,1023,831
21.60,21.665,1.011,1023,1023,835
21.72,20.654,-1.011,1023,1022,838
22.03,19.644,-1.011,1023,1023,850
22.35,20.654,1.011,1022,1023,839
22.46,19.644,-1.011,1023,1023,833
22.77,20.654,1.011,1023,1023,923
23.19,19.644,-1.011,1023,1023,985
23.30,20.654,1.011,1023,1023,951
23.42,19.644,-1.011,1023,1023,949
23.63,20.654,1.011,1022,1023,956
23.84,19.644,-1.011,1023,1023,1023
23.96,20.654,1.011,1023,1022,1023
24.17,19.644,-1.011,1023,1023,972
24.38,20.654,1.011,1023,1023,958
24.60,19.644,-1.011,1023,1023,1023
24.91,20.654,1.011,1023,1022,1023
25.03,19.644,-1.011,1023,1023,997
25.24,20.654,1.011,1023,1023,944
25.35,19.644,-1.011,1023,1023,931
25.57,20.654,1.011,1022,1023,871
25.88,19.644,-1.011,1023,1023,880
26.09,20.654,1.011,1023,1023,850
26.41,19.644,-1.011,1021,1023,837
26.52,20.654,1.011,1023,1022,830
26.84,19.644,-1.011,1023,1023,936
26.95,20.654,1.011,1023,1023,946
27.36,21.665,1.011,1022,1023,905
27.48,20.654,-1.011,1022,1023,860
27.59,21.665,1.011,1020,1023,789
27.70,22.676,1.011,1023,1023,759
27.81,23.687,1.011,1023,1023,735
28.03,26.719,3.032,1023,1023,673
28.14,27.729,1.011,1023,1023,660
28.25,29.751,2.021,1022,1022,646
28.36,28.740,-1.011,1023,1023,634
28.47,30.762,2.021,1022,1023,629
28.69,32.783,2.021,1023,1023,613
28.80,33.794,1.011,1023,1023,609
29.01,34.805,1.011,1023,1023,606
29.12,35.815,1.011,1023,1023,606
29.34,37.837,2.021,1023,1023,602
29.55,36.826,-1.011,1023,1023,597
29.66,39.858,3.032,1022,1023,596
29.88,38.848,-1.011,1022,1023,593
30.09,39.858,1.011,1023,1023,593
30.20,38.848,-1.011,1023,1023,591
30.32,39.858,1.011,1023,1023,592
30.43,38.848,-1.011,1022,1023,592
30.64,39.858,1.011,1022,1023,591
30.85,40.869,1.011,1023,1023,586
31.47,39.858,-1.011,1023,1023,585
31.59,40.869,1.011,1023,1023,583
31.70,39.858,-1.011,1023,1023,585
32.32,40.869,1.011,1020,1023,582
33.24,39.858,-1.011,1023,1023,585
33.35,37.837,-2.021,1023,1023,590
33.46,34.805,-3.032,1022,1023,593
33.58,32.783,-2.021,1023,1023,607
33.69,31.772,-1.011,1023,1023,623
33.80,30.762,-1.011,1022,1023,640
33.92,27.729,-3.032,1023,1023,646
34.13,26.719,-1.011,1023,1023,670
34.34,24.697,-2.021,1023,1023,710
34.46,23.687,-1.011,1023,1023,715
34.57,24.697,1.011,1022,1023,724
34.68,23.687,-1.011,1023,1023,732
34.90,22.676,-1.011,1023,1023,746
35.01,21.665,-1.011,1023,1023,773
35.12,20.654,-1.011,1023,1023,775
35.23,21.665,1.011,1022,1023,778
35.35,20.654,-1.011,1023,1023,799
35.46,22.676,2.021,1022,1023,802
35.57,21.665,-1.011,1023,1023,818
35.68,20.654,-1.011,1022,1023,823
36.10,19.644,-1.011,1023,1023,864
36.52,21.665,2.021,1023,1023,960
36.63,20.654,-1.011,1023,1023,1023
36.84,19.644,-1.011,1023,1023,1023
36.96,20.654,1.011,1023,1023,1023
37.17,19.644,-1.011,1022,1023,1023
37.49,20.654,1.011,1023,1023,1023
37.60,19.644,-1.011,1023,1023,1023
37.82,20.654,1.011,1022,1023,1023
37.93,19.644,-1.011,1023,1023,1023
38.04,20.654,1.011,1023,1023,1023
38.26,19.644,-1.011,1023,1023,1023
38.47,18.633,-1.011,1023,1023,1023
38.59,19.644,1.011,1021,1023,1023
40.22,20.654,1.011,1023,1023,798
40.53,21.665,1.011,1023,1023,863
40.74,20.654,-1.011,1023,1023,862
40.86,22.676,2.021,1023,1023,804
41.17,23.687,1.011,1023,1023,718
41.28,24.697,1.011,1022,1023,718
41.40,25.708,1.011,1023,1023,711
41.61,26.719,1.011,1023,1023,689
41.72,28.740,2.021,1022,1023,675
41.83,27.729,-1.011,1022,1023,668
41.95,28.740,1.011,1022,1023,667
42.06,29.751,1.011,1022,1023,664
42.17,30.762,1.011,1022,1023,657
42.28,31.772,1.011,1023,1023,650
42.39,32.783,1.011,1023,1023,647
42.50,31.772,-1.011,1023,1023,646
42.72,33.794,2.021,1022,1023,641
42.83,34.805,1.011,1022,1023,641
42.94,33.794,-1.011,1023,1023,629
43.06,34.805,1.011,1023,1023,624
43.17,35.815,1.011,1023,1023,621
43.38,36.826,1.011,1023,1023,608
43.79,37.837,1.011,1023,1023,598
43.91,38.848,1.011,1023,1023,596
44.12,37.837,-1.011,1022,1023,594
44.34,39.858,2.021,1023,1023,589
44.45,38.848,-1.011,1023,1023,590
44.66,39.858,1.011,1022,1023,588
45.38,40.869,1.011,1023,1023,589
45.79,41.880,1.011,1023,1023,590
45.91,42.891,1.011,1023,1023,586
46.02,41.880,-1.011,1023,1023,583
46.13,42.891,1.011,1023,1023,583
46.24,43.901,1.011,1023,1023,583
46.36,42.891,-1.011,1023,1023,583
46.47,43.901,1.011,1023,1023,581
46.58,42.891,-1.011,1023,1023,582
46.79,41.880,-1.011,1022,1023,583
46.91,38.848,-3.032,1023,1023,598
47.02,36.826,-2.021,1023,1023,604
47.13,34.805,-2.021,1023,1023,613
47.25,33.794,-1.011,1023,1023,631
47.36,31.772,-2.021,1022,1023,635
47.47,29.751,-2.021,1023,1023,640
47.58,27.729,-2.021,1022,1023,660
47.70,26.719,-1.011,1023,1023,684
47.81,25.708,-1.011,1023,1023,699
47.92,24.697,-1.011,1023,1023,711
48.14,22.676,-2.021,1022,1023,768
48.25,23.687,1.011,1022,1023,770
48.36,21.665,-2.021,1023,1023,775
48.47,22.676,1.011,1023,1023,787
48.59,21.665,-1.011,1023,1023,786
49.00,20.654,-1.011,1023,1022,832
49.93,21.665,1.011,1022,1023,864
50.04,19.644,-2.021,1023,1023,869
50.25,20.654,1.011,1023,1023,860
50.57,19.644,-1.011,1023,1023,864
50.68,20.654,1.011,1023,1023,851
50.79,19.644,-1.011,1022,1023,860
50.90,20.654,1.011,1023,1022,850
51.22,21.665,1.011,1023,1023,818
51.43,20.654,-1.011,1022,1023,792
51.54,21.665,1.011,1022,1023,789
51.65,22.676,1.011,1023,1022,773
51.87,24.697,2.021,1023,1023,716
52.08,25.708,1.011,1023,1023,682
52.19,26.719,1.011,1022,1023,667
52.31,27.729,1.011,1020,1023,655
52.42,28.740,1.011,1023,1023,651
52.63,29.751,1.011,1023,1023,644
52.74,30.762,1.011,1023,1023,640
52.85,29.751,-1.011,1023,1023,638
52.97,30.762,1.011,1022,1023,634
53.08,32.783,2.021,1023,1023,631
53.19,31.772,-1.011,1023,1023,630
53.30,32.783,1.011,1023,1023,629
53.42,33.794,1.011,1022,1023,626
53.83,34.805,1.011,1023,1023,612
53.94,35.815,1.011,1023,1023,604
54.16,36.826,1.011,1023,1023,599
54.27,37.837,1.011,1023,1023,597
54.58,38.848,1.011,1022,1023,592
54.79,39.858,1.011,1023,1023,590
55.01,40.869,1.011,1023,1023,588
55.12,39.858,-1.011,1023,1023,588
55.33,40.869,1.011,1023,1023,586
55.45,39.858,-1.011,1023,1023,587
55.56,36.826,-3.032,1023,1023,609
55.67,29.751,-7.075,1023,1023,643
55.78,26.719,-3.032,1023,1023,700
55.90,21.665,-5.054,1023,1023,789
56.01,19.644,-2.021,1023,1023,875
56.22,20.654,1.011,1022,1023,974
56.34,19.644,-1.011,1023,1023,1023
56.45,20.654,1.011,1023,1023,1023
56.56,18.633,-2.021,1023,1023,1023
56.68,19.644,1.011,1023,1023,1023
56.79,20.654,1.011,1023,1023,1023
56.90,19.644,-1.011,1023,1023,1023
57.02,18.633,-1.011,1023,1023,1023
57.23,19.644,1.011,1023,1023,1022
57.35,20.654,1.011,1023,1023,1023
57.46,19.644,-1.011,1023,1023,1023
57.77,20.654,1.011,1023,1023,1023
57.89,19.644,-1.011,1022,1023,1023
58.61,20.654,1.011,1022,1023,1023
58.72,19.644,-1.011,1023,1023,1023
58.94,18.633,-1.011,1023,1023,1023
59.05,19.644,1.011,1023,1022,1023
59.27,20.654,1.011,1023,1023,1023
59.38,19.644,-1.011,1022,1023,1023
59.49,20.654,1.011,1023,1023,1022
59.60,19.644,-1.011,1023,1023,1023
59.72,20.654,1.011,1022,1023,1023
59.83,19.644,-1.011,1023,1023,1023
60.15,18.633,-1.011,1023,1023,1023
60.36,19.644,1.011,1023,1023,1023
60.47,18.633,-1.011,1023,1023,1023
60.59,19.644,1.011,1023,1023,1023
61.01,20.654,1.011,1023,1023,1023
61.12,19.644,-1.011,1023,1023,1023
