timestamped_line
"[15:51:14] Ready. Type 's' to start logging, 'e' to stop."
[15:51:14] Sensor Info:
[15:51:14] Sensor ID: 50
[15:51:14] Sensor Name: FORCE PLATE 850
[15:51:14] Units: N
[15:51:14] ▶️ START LOGGING
"[15:51:14] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:51:14] 4.15, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:51:15] 4.42, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:15] 4.54, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:15] 4.75, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:51:15] 4.96, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:51:15] 5.07, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:15] 5.19, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:16] 5.81, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:51:16] 5.92, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:17] 6.64, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:51:17] 6.75, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:17] 6.96, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:51:17] 7.18, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:17] 7.29, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:18] 7.40, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:51:18] 7.72, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:18] 7.83, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:51:18] 8.14, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:19] 8.46, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:19] 8.67, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:19] 8.78, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:51:19] 9.10, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:51:20] 9.31, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:51:20] 9.42, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 860"
"[15:51:20] 9.74, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 817"
"[15:51:20] 10.05, Force(N): 25.708, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 783"
"[15:51:21] 10.57, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 763"
"[15:51:21] 10.88, Force(N): 28.740, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 752"
"[15:51:21] 10.99, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 754"
"[15:51:21] 11.21, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 718"
"[15:51:22] 11.32, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 708"
"[15:51:22] 11.43, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 687"
"[15:51:22] 11.54, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 678"
"[15:51:22] 11.76, Force(N): 30.762, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 674"
"[15:51:22] 11.87, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 679"
"[15:51:22] 12.18, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 659"
"[15:51:22] 12.30, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 655"
"[15:51:23] 12.51, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 651"
"[15:51:23] 12.62, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 647"
"[15:51:23] 12.83, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 634"
"[15:51:23] 12.95, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 630"
"[15:51:24] 13.36, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 623"
"[15:51:24] 13.47, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 622"
"[15:51:24] 13.59, Force(N): 35.815, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 618"
"[15:51:24] 13.70, Force(N): 34.805, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 617"
"[15:51:24] 14.11, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 605"
"[15:51:25] 14.63, Force(N): 34.805, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 602"
"[15:51:25] 14.75, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 600"
"[15:51:25] 14.86, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 599"
"[15:51:25] 15.17, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 594"
"[15:51:25] 15.28, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 595"
"[15:51:26] 15.50, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 593"
"[15:51:26] 16.22, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 590"
"[15:51:27] 16.33, Force(N): 37.837, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 590"
"[15:51:27] 16.44, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 591"
"[15:51:27] 16.55, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 585"
"[15:51:27] 16.97, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 582"
"[15:51:27] 17.08, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 583"
"[15:51:28] 17.29, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 582"
"[15:51:28] 17.41, Force(N): 40.869, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 583"
"[15:51:28] 17.52, Force(N): 39.858, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 582"
"[15:51:28] 17.63, Force(N): 41.880, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 582"
"[15:51:28] 17.74, Force(N): 40.869, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 582"
"[15:51:29] 18.57, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 581"
"[15:51:29] 19.08, Force(N): 42.891, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 579"
"[15:51:29] 19.19, Force(N): 41.880, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 578"
"[15:51:30] 19.41, Force(N): 42.891, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 576"
"[15:51:30] 19.52, Force(N): 41.880, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 576"
"[15:51:30] 19.63, Force(N): 42.891, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 572"
"[15:51:30] 19.95, Force(N): 41.880, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 574"
"[15:51:30] 20.06, Force(N): 35.815, ΔF(N): -6.064, FSR1: 1023, FSR2: 1023, FSR3: 593"
"[15:51:30] 20.17, Force(N): 31.772, ΔF(N): -4.043, FSR1: 1023, FSR2: 1022, FSR3: 630"
"[15:51:30] 20.29, Force(N): 28.740, ΔF(N): -3.032, FSR1: 1022, FSR2: 1023, FSR3: 645"
"[15:51:31] 20.40, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 668"
"[15:51:31] 20.51, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 695"
"[15:51:31] 20.62, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 702"
"[15:51:31] 20.74, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 698"
"[15:51:31] 20.85, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 725"
"[15:51:31] 21.06, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 777"
"[15:51:31] 21.28, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 813"
"[15:51:32] 21.49, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 831"
"[15:51:32] 21.60, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 835"
"[15:51:32] 21.72, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 838"
"[15:51:32] 22.03, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 850"
"[15:51:33] 22.35, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 839"
"[15:51:33] 22.46, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 833"
"[15:51:33] 22.77, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 923"
"[15:51:33] 23.19, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 985"
"[15:51:34] 23.30, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 951"
"[15:51:34] 23.42, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 949"
"[15:51:34] 23.63, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 956"
"[15:51:34] 23.84, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:34] 23.96, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:51:34] 24.17, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 972"
"[15:51:35] 24.38, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 958"
"[15:51:35] 24.60, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:51:35] 24.91, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:51:35] 25.03, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 997"
"[15:51:35] 25.24, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 944"
"[15:51:36] 25.35, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 931"
