timestamped_line
"[16:17:43] Ready. Type 's' to start logging, 'e' to stop."
[16:17:43] Sensor Info:
[16:17:43] Sensor ID: 50
[16:17:43] Sensor Name: FORCE PLATE 850
[16:17:43] Units: N
[16:17:43] ▶️ START LOGGING
"[16:17:43] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:17:43] 4.55, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:43] 4.76, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:44] 4.98, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:17:44] 5.19, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:44] 5.30, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:44] 5.41, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:44] 5.53, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:45] 5.84, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:45] 5.95, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:45] 6.07, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:45] 6.18, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:17:45] 6.39, Force(N): 20.654, ΔF(N): 1.011, FSR1: 855, FSR2: 1023, FSR3: 1023"
"[16:17:45] 6.60, Force(N): 21.665, ΔF(N): 1.011, FSR1: 804, FSR2: 1023, FSR3: 1023"
"[16:17:46] 7.22, Force(N): 20.654, ΔF(N): -1.011, FSR1: 842, FSR2: 1023, FSR3: 1023"
"[16:17:46] 7.33, Force(N): 21.665, ΔF(N): 1.011, FSR1: 838, FSR2: 1023, FSR3: 1023"
"[16:17:46] 7.44, Force(N): 20.654, ΔF(N): -1.011, FSR1: 865, FSR2: 1021, FSR3: 1023"
"[16:17:46] 7.55, Force(N): 21.665, ΔF(N): 1.011, FSR1: 841, FSR2: 1023, FSR3: 1022"
"[16:17:46] 7.67, Force(N): 20.654, ΔF(N): -1.011, FSR1: 818, FSR2: 1023, FSR3: 1023"
"[16:17:47] 8.79, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:48] 9.21, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:48] 9.32, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:48] 9.43, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:48] 9.54, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:49] 9.86, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:49] 9.97, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:17:49] 10.18, Force(N): 20.654, ΔF(N): 1.011, FSR1: 837, FSR2: 1023, FSR3: 1023"
"[16:17:49] 10.30, Force(N): 21.665, ΔF(N): 1.011, FSR1: 832, FSR2: 1023, FSR3: 1023"
"[16:17:49] 10.51, Force(N): 22.676, ΔF(N): 1.011, FSR1: 823, FSR2: 1023, FSR3: 1023"
"[16:17:49] 10.72, Force(N): 21.665, ΔF(N): -1.011, FSR1: 795, FSR2: 1023, FSR3: 1023"
"[16:17:50] 10.83, Force(N): 22.676, ΔF(N): 1.011, FSR1: 794, FSR2: 1023, FSR3: 1023"
"[16:17:50] 10.95, Force(N): 23.687, ΔF(N): 1.011, FSR1: 783, FSR2: 1023, FSR3: 1023"
"[16:17:50] 11.06, Force(N): 22.676, ΔF(N): -1.011, FSR1: 769, FSR2: 1023, FSR3: 1023"
"[16:17:50] 11.17, Force(N): 23.687, ΔF(N): 1.011, FSR1: 761, FSR2: 1022, FSR3: 1023"
"[16:17:50] 11.38, Force(N): 24.697, ΔF(N): 1.011, FSR1: 728, FSR2: 1023, FSR3: 1023"
"[16:17:50] 11.50, Force(N): 26.719, ΔF(N): 2.021, FSR1: 711, FSR2: 1023, FSR3: 1023"
"[16:17:50] 11.61, Force(N): 27.729, ΔF(N): 1.011, FSR1: 683, FSR2: 1023, FSR3: 1023"
"[16:17:51] 11.82, Force(N): 28.740, ΔF(N): 1.011, FSR1: 650, FSR2: 1023, FSR3: 1023"
"[16:17:51] 11.93, Force(N): 29.751, ΔF(N): 1.011, FSR1: 642, FSR2: 1022, FSR3: 1023"
"[16:17:51] 12.15, Force(N): 31.772, ΔF(N): 2.021, FSR1: 615, FSR2: 1023, FSR3: 1023"
"[16:17:51] 12.26, Force(N): 32.783, ΔF(N): 1.011, FSR1: 602, FSR2: 1023, FSR3: 1023"
"[16:17:51] 12.37, Force(N): 34.805, ΔF(N): 2.021, FSR1: 587, FSR2: 1023, FSR3: 1023"
"[16:17:51] 12.48, Force(N): 35.815, ΔF(N): 1.011, FSR1: 585, FSR2: 1023, FSR3: 1023"
"[16:17:52] 12.80, Force(N): 36.826, ΔF(N): 1.011, FSR1: 560, FSR2: 1023, FSR3: 1023"
"[16:17:52] 12.91, Force(N): 37.837, ΔF(N): 1.011, FSR1: 557, FSR2: 1023, FSR3: 1023"
"[16:17:52] 13.22, Force(N): 38.848, ΔF(N): 1.011, FSR1: 539, FSR2: 1023, FSR3: 1023"
"[16:17:52] 13.64, Force(N): 39.858, ΔF(N): 1.011, FSR1: 521, FSR2: 1023, FSR3: 1023"
"[16:17:53] 13.95, Force(N): 40.869, ΔF(N): 1.011, FSR1: 488, FSR2: 1023, FSR3: 1023"
"[16:17:53] 14.06, Force(N): 41.880, ΔF(N): 1.011, FSR1: 485, FSR2: 1023, FSR3: 1023"
"[16:17:53] 14.18, Force(N): 40.869, ΔF(N): -1.011, FSR1: 480, FSR2: 1023, FSR3: 1023"
"[16:17:53] 14.39, Force(N): 41.880, ΔF(N): 1.011, FSR1: 463, FSR2: 1023, FSR3: 1023"
"[16:17:53] 14.60, Force(N): 40.869, ΔF(N): -1.011, FSR1: 476, FSR2: 1023, FSR3: 1023"
"[16:17:53] 14.72, Force(N): 36.826, ΔF(N): -4.043, FSR1: 574, FSR2: 1023, FSR3: 1022"
"[16:17:54] 14.83, Force(N): 31.772, ΔF(N): -5.054, FSR1: 624, FSR2: 1023, FSR3: 1023"
"[16:17:54] 14.94, Force(N): 27.729, ΔF(N): -4.043, FSR1: 679, FSR2: 1023, FSR3: 1023"
"[16:17:54] 15.05, Force(N): 26.719, ΔF(N): -1.011, FSR1: 725, FSR2: 1023, FSR3: 1023"
"[16:17:54] 15.17, Force(N): 25.708, ΔF(N): -1.011, FSR1: 733, FSR2: 1023, FSR3: 1023"
"[16:17:54] 15.28, Force(N): 23.687, ΔF(N): -2.021, FSR1: 787, FSR2: 1023, FSR3: 1023"
"[16:17:54] 15.39, Force(N): 22.676, ΔF(N): -1.011, FSR1: 806, FSR2: 1023, FSR3: 1023"
"[16:17:54] 15.51, Force(N): 21.665, ΔF(N): -1.011, FSR1: 826, FSR2: 1023, FSR3: 1023"
"[16:17:54] 15.62, Force(N): 22.676, ΔF(N): 1.011, FSR1: 827, FSR2: 1023, FSR3: 1022"
"[16:17:54] 15.73, Force(N): 21.665, ΔF(N): -1.011, FSR1: 845, FSR2: 1023, FSR3: 1023"
"[16:17:55] 15.84, Force(N): 20.654, ΔF(N): -1.011, FSR1: 838, FSR2: 1023, FSR3: 1023"
"[16:17:55] 16.06, Force(N): 21.665, ΔF(N): 1.011, FSR1: 843, FSR2: 1023, FSR3: 1023"
"[16:17:55] 16.17, Force(N): 20.654, ΔF(N): -1.011, FSR1: 843, FSR2: 1023, FSR3: 1023"
"[16:17:55] 16.38, Force(N): 21.665, ΔF(N): 1.011, FSR1: 832, FSR2: 1023, FSR3: 1023"
"[16:17:55] 16.70, Force(N): 22.676, ΔF(N): 1.011, FSR1: 825, FSR2: 1023, FSR3: 1023"
"[16:17:56] 16.81, Force(N): 21.665, ΔF(N): -1.011, FSR1: 818, FSR2: 1023, FSR3: 1023"
"[16:17:56] 17.02, Force(N): 20.654, ΔF(N): -1.011, FSR1: 819, FSR2: 1023, FSR3: 1022"
"[16:17:56] 17.24, Force(N): 21.665, ΔF(N): 1.011, FSR1: 833, FSR2: 1023, FSR3: 1023"
"[16:17:56] 17.35, Force(N): 22.676, ΔF(N): 1.011, FSR1: 824, FSR2: 1023, FSR3: 1023"
